
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.9644      1.00000
      2     -19.0040      1.00000
      3     -18.8642      1.00000
      4     -18.8590      1.00000
      5     -18.7095      1.00000
      6     -18.4427      1.00000
      7     -18.4374      1.00000
      8     -18.4296      1.00000
      9     -18.4257      1.00000
     10     -18.3999      1.00000
     11     -18.3561      1.00000
     12     -18.3099      1.00000
     13     -18.3058      1.00000
     14     -18.3004      1.00000
     15     -18.2962      1.00000
     16     -18.2803      1.00000
     17     -18.2750      1.00000
     18     -18.2737      1.00000
     19     -18.2655      1.00000
     20     -18.2612      1.00000
     21     -18.2571      1.00000
     22     -18.2398      1.00000
     23     -18.1635      1.00000
     24     -18.1454      1.00000
     25     -18.1398      1.00000
     26     -18.1361      1.00000
     27     -18.1267      1.00000
     28     -18.1187      1.00000
     29     -17.8550      1.00000
     30     -17.3319      1.00000
     31     -17.3077      1.00000
     32     -17.3037      1.00000
     33     -17.2873      1.00000
     34     -17.2584      1.00000
     35     -17.2410      1.00000
     36     -17.2054      1.00000
     37     -17.1936      1.00000
     38     -17.1909      1.00000
     39     -17.1768      1.00000
     40     -17.1581      1.00000
     41     -17.1579      1.00000
     42     -17.1568      1.00000
     43     -17.1546      1.00000
     44     -17.1523      1.00000
     45     -17.1481      1.00000
     46     -17.1266      1.00000
     47     -17.0801      1.00000
     48     -17.0509      1.00000
     49     -17.0475      1.00000
     50     -17.0459      1.00000
     51     -17.0407      1.00000
     52     -17.0176      1.00000
     53     -16.9513      1.00000
     54     -16.8483      1.00000
     55     -16.8120      1.00000
     56     -16.7968      1.00000
     57     -16.7846      1.00000
     58     -16.7517      1.00000
     59     -16.7365      1.00000
     60     -16.7199      1.00000
     61     -16.7068      1.00000
     62     -16.6972      1.00000
     63     -16.6859      1.00000
     64     -16.6724      1.00000
     65     -16.6701      1.00000
     66     -16.6691      1.00000
     67     -16.6678      1.00000
     68     -16.6662      1.00000
     69     -16.6623      1.00000
     70     -16.6108      1.00000
     71     -16.5859      1.00000
     72     -16.5778      1.00000
     73     -16.5734      1.00000
     74     -16.5698      1.00000
     75     -16.5651      1.00000
     76     -16.4831      1.00000
     77     -16.0617      1.00000
     78     -15.6947      1.00000
     79     -15.6132      1.00000
     80     -15.6105      1.00000
     81     -15.6005      1.00000
     82     -15.5907      1.00000
     83     -15.5856      1.00000
     84     -15.5808      1.00000
     85     -15.5772      1.00000
     86     -15.5557      1.00000
     87     -15.5477      1.00000
     88     -15.5368      1.00000
     89     -15.5285      1.00000
     90     -15.5250      1.00000
     91     -15.5233      1.00000
     92     -15.5210      1.00000
     93     -15.5195      1.00000
     94     -15.5175      1.00000
     95     -15.5151      1.00000
     96     -15.5135      1.00000
     97     -15.5120      1.00000
     98     -15.5019      1.00000
     99     -15.5000      1.00000
    100     -15.4994      1.00000
    101     -15.4953      1.00000
    102     -15.4953      1.00000
    103     -15.4947      1.00000
    104     -15.4940      1.00000
    105     -15.4926      1.00000
    106     -15.4869      1.00000
