
 Fermi energy:         7.1294390700

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9902      1.00000
      2     -18.8744      1.00000
      3     -18.7821      1.00000
      4     -18.6721      1.00000
      5     -18.4595      1.00000
      6     -18.3837      1.00000
      7     -18.3837      1.00000
      8     -18.3688      1.00000
      9     -18.3566      1.00000
     10     -18.3566      1.00000
     11     -18.2835      1.00000
     12     -18.2720      1.00000
     13     -18.2720      1.00000
     14     -18.2478      1.00000
     15     -18.2407      1.00000
     16     -18.2407      1.00000
     17     -18.2123      1.00000
     18     -18.2037      1.00000
     19     -18.2037      1.00000
     20     -18.1785      1.00000
     21     -18.1785      1.00000
     22     -18.1380      1.00000
     23     -18.0829      1.00000
     24     -18.0829      1.00000
     25     -18.0829      1.00000
     26     -18.0652      1.00000
     27     -18.0652      1.00000
     28     -18.0496      1.00000
     29     -17.2774      1.00000
     30     -17.2773      1.00000
     31     -17.2539      1.00000
     32     -17.2391      1.00000
     33     -17.2200      1.00000
     34     -17.2200      1.00000
     35     -17.1714      1.00000
     36     -17.1714      1.00000
     37     -17.1620      1.00000
     38     -17.1472      1.00000
     39     -17.1189      1.00000
     40     -17.1189      1.00000
     41     -17.0816      1.00000
     42     -17.0816      1.00000
     43     -17.0816      1.00000
     44     -17.0746      1.00000
     45     -17.0746      1.00000
     46     -17.0614      1.00000
     47     -16.9952      1.00000
     48     -16.9952      1.00000
     49     -16.9864      1.00000
     50     -16.9788      1.00000
     51     -16.9722      1.00000
     52     -16.9722      1.00000
     53     -16.7727      1.00000
     54     -16.7727      1.00000
     55     -16.7408      1.00000
     56     -16.7284      1.00000
     57     -16.7216      1.00000
     58     -16.7216      1.00000
     59     -16.6787      1.00000
     60     -16.6787      1.00000
     61     -16.6661      1.00000
     62     -16.6436      1.00000
     63     -16.6324      1.00000
     64     -16.6324      1.00000
     65     -16.5957      1.00000
     66     -16.5908      1.00000
     67     -16.5908      1.00000
     68     -16.5879      1.00000
     69     -16.5879      1.00000
     70     -16.5742      1.00000
     71     -16.5159      1.00000
     72     -16.5159      1.00000
     73     -16.5066      1.00000
     74     -16.4992      1.00000
     75     -16.4978      1.00000
     76     -16.4977      1.00000
     77     -15.6152      1.00000
     78     -15.6152      1.00000
     79     -15.5321      1.00000
     80     -15.5321      1.00000
     81     -15.5147      1.00000
     82     -15.5141      1.00000
     83     -15.5101      1.00000
     84     -15.5101      1.00000
     85     -15.5035      1.00000
     86     -15.4951      1.00000
     87     -15.4951      1.00000
     88     -15.4896      1.00000
     89     -15.4795      1.00000
     90     -15.4795      1.00000
     91     -15.4765      1.00000
     92     -15.4765      1.00000
     93     -15.4685      1.00000
