
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.2432      1.00000
      2     -18.8706      1.00000
      3     -18.7700      1.00000
      4     -18.7670      1.00000
      5     -18.7388      1.00000
      6     -18.7361      1.00000
      7     -18.5837      1.00000
      8     -18.3634      1.00000
      9     -18.3595      1.00000
     10     -18.3066      1.00000
     11     -18.2485      1.00000
     12     -18.2323      1.00000
     13     -18.2301      1.00000
     14     -18.1907      1.00000
     15     -18.1884      1.00000
     16     -18.1714      1.00000
     17     -18.1686      1.00000
     18     -18.1509      1.00000
     19     -18.1487      1.00000
     20     -18.1279      1.00000
     21     -18.1260      1.00000
     22     -18.1182      1.00000
     23     -18.0344      1.00000
     24     -18.0233      1.00000
     25     -18.0214      1.00000
     26     -17.9967      1.00000
     27     -17.9945      1.00000
     28     -17.9854      1.00000
     29     -17.7688      1.00000
     30     -17.7685      1.00000
     31     -17.6208      1.00000
     32     -17.3241      1.00000
     33     -17.3147      1.00000
     34     -17.3038      1.00000
     35     -17.1122      1.00000
     36     -17.1107      1.00000
     37     -17.1070      1.00000
     38     -17.0897      1.00000
     39     -17.0874      1.00000
     40     -17.0859      1.00000
     41     -17.0370      1.00000
     42     -17.0343      1.00000
     43     -17.0311      1.00000
     44     -17.0291      1.00000
     45     -17.0259      1.00000
     46     -17.0252      1.00000
     47     -16.9609      1.00000
     48     -16.9518      1.00000
     49     -16.9307      1.00000
     50     -16.9162      1.00000
     51     -16.9141      1.00000
     52     -16.9127      1.00000
     53     -16.8938      1.00000
     54     -16.8871      1.00000
     55     -16.8577      1.00000
     56     -16.8086      1.00000
     57     -16.7918      1.00000
     58     -16.7840      1.00000
     59     -16.6054      1.00000
     60     -16.6052      1.00000
     61     -16.6011      1.00000
     62     -16.5948      1.00000
     63     -16.5939      1.00000
     64     -16.5937      1.00000
     65     -16.5462      1.00000
     66     -16.5439      1.00000
     67     -16.5437      1.00000
     68     -16.5422      1.00000
     69     -16.5422      1.00000
     70     -16.5403      1.00000
     71     -16.4455      1.00000
     72     -16.4452      1.00000
     73     -16.4427      1.00000
     74     -16.4391      1.00000
     75     -16.4387      1.00000
     76     -16.4384      1.00000
     77     -16.1936      1.00000
     78     -16.1909      1.00000
     79     -15.7967      1.00000
     80     -15.7626      1.00000
     81     -15.7245      1.00000
     82     -15.6712      1.00000
     83     -15.5720      1.00000
     84     -15.5222      1.00000
     85     -15.5147      1.00000
     86     -15.5128      1.00000
     87     -15.4751      1.00000
     88     -15.4701      1.00000
     89     -15.4299      1.00000
     90     -15.4226      1.00000
     91     -15.4167      1.00000
     92     -15.4094      1.00000
     93     -15.4082      1.00000
     94     -15.4026      1.00000
     95     -15.3990      1.00000
     96     -15.3948      1.00000
     97     -15.3936      1.00000
     98     -15.3908      1.00000
     99     -15.3848      1.00000
    100     -15.3842      1.00000
    101     -15.3820      1.00000
    102     -15.3766      1.00000
    103     -15.3744      1.00000
    104     -15.3743      1.00000
    105     -15.3740      1.00000
    106     -15.3704      1.00000
    107     -15.3699      1.00000
    108     -15.3668      1.00000
    109     -15.3667      1.00000
    110     -15.3503      1.00000
    111     -15.3482      1.00000
    112     -15.3481      1.00000
    113     -15.3463      1.00000
    114     -15.3402      1.00000
    115     -15.3391      1.00000
    116     -15.3072      1.00000
    117     -15.3026      1.00000
    118     -15.3009      1.00000
    119     -15.3005      1.00000
    120     -15.2956      1.00000
    121     -15.2939      1.00000
    122     -15.2892      1.00000
    123     -15.2872      1.00000
    124     -15.2832      1.00000
    125     -15.2831      1.00000
    126     -15.2808      1.00000
    127     -15.2805      1.00000
    128     -15.2659      1.00000
    129     -15.2652      1.00000
    130     -15.2610      1.00000
    131     -15.2525      1.00000
    132     -15.2511      1.00000
    133     -15.2463      1.00000
    134     -15.2090      1.00000
    135     -15.2080      1.00000
    136     -15.2054      1.00000
    137     -14.8232      1.00000
    138     -14.8215      1.00000
    139     -14.6034      1.00000
    140     -14.6033      1.00000
    141     -14.6030      1.00000
    142     -14.6028      1.00000
    143     -14.5771      1.00000
    144     -14.5771      1.00000
    145     -10.1619      1.00000
    146      -9.3309      1.00000
    147      -9.3292      1.00000
    148      -8.8030      1.00000
    149      -8.8011      1.00000
    150      -8.8002      1.00000
    151      -8.7949      1.00000
    152      -8.7931      1.00000
    153      -8.7908      1.00000
    154      -8.7466      1.00000
    155      -8.7451      1.00000
    156      -8.7448      1.00000
    157      -8.5837      1.00000
    158      -8.5621      1.00000
    159      -8.5460      1.00000
    160      -8.4442      1.00000
    161      -8.2772      1.00000
    162      -8.2694      1.00000
    163      -8.1018      1.00000
    164      -8.0874      1.00000
    165      -8.0239      1.00000
    166      -8.0216      1.00000
    167      -8.0119      1.00000
    168      -7.9980      1.00000
    169      -7.8795      1.00000
    170      -7.8795      1.00000
    171      -7.8751      1.00000
    172      -7.8720      1.00000
    173      -7.8706      1.00000
    174      -7.8695      1.00000
    175      -7.8659      1.00000
    176      -7.8645      1.00000
    177      -7.8626      1.00000
    178      -7.8610      1.00000
    179      -7.8598      1.00000
    180      -7.8595      1.00000
    181      -7.8569      1.00000
    182      -7.8553      1.00000
    183      -7.8540      1.00000
    184      -7.8525      1.00000
    185      -7.8522      1.00000
    186      -7.8519      1.00000
    187      -7.8506      1.00000
    188      -7.8476      1.00000
    189      -7.8460      1.00000
    190      -7.8445      1.00000
    191      -7.8367      1.00000
    192      -7.8349      1.00000
    193      -7.8348      1.00000
    194      -7.8329      1.00000
    195      -7.8058      1.00000
    196      -7.8048      1.00000
    197      -7.8040      1.00000
    198      -7.8034      1.00000
    199      -7.8020      1.00000
    200      -7.8019      1.00000
    201      -7.7958      1.00000
    202      -7.7956      1.00000
    203      -7.7949      1.00000
    204      -7.7940      1.00000
    205      -7.7940      1.00000
    206      -7.7927      1.00000
    207      -7.6582      1.00000
    208      -7.6581      1.00000
    209      -7.6173      1.00000
    210      -7.6172      1.00000
    211      -7.5385      1.00000
    212      -7.5385      1.00000
    213      -7.2928      1.00000
    214      -7.1935      1.00000
    215      -7.0115      1.00000
    216      -7.0056      1.00000
    217      -6.8765      1.00000
    218      -6.8765      1.00000
    219      -6.8758      1.00000
    220      -6.8694      1.00000
    221      -6.8694      1.00000
    222      -6.8447      1.00000
    223      -6.8447      1.00000
    224      -6.7983      1.00000
    225      -6.7922      1.00000
    226      -6.7500      1.00000
    227      -6.5276      1.00000
    228      -6.5274      1.00000
    229      -6.5267      1.00000
    230      -6.5256      1.00000
