
 Fermi energy:         1.7318982036

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -22.1807      1.00000
      2     -19.9216      1.00000
      3     -19.9216      1.00000
      4     -19.1562      1.00000
      5     -18.7194      1.00000
      6     -18.7194      1.00000
      7     -18.6924      1.00000
      8     -18.6700      1.00000
      9     -18.4979      1.00000
     10     -18.4978      1.00000
     11     -18.4960      1.00000
     12     -18.3585      1.00000
     13     -18.2370      1.00000
     14     -18.1480      1.00000
     15     -18.1286      1.00000
     16     -18.1110      1.00000
     17     -18.1110      1.00000
     18     -18.0897      1.00000
     19     -18.0897      1.00000
     20     -18.0411      1.00000
     21     -18.0411      1.00000
     22     -18.0078      1.00000
     23     -18.0078      1.00000
     24     -18.0077      1.00000
     25     -17.9762      1.00000
     26     -17.8003      1.00000
     27     -17.8003      1.00000
     28     -17.7988      1.00000
     29     -17.7753      1.00000
     30     -17.7753      1.00000
     31     -17.7403      1.00000
     32     -17.7403      1.00000
     33     -17.7338      1.00000
     34     -17.7267      1.00000
     35     -17.3692      1.00000
     36     -17.3094      1.00000
     37     -17.3094      1.00000
     38     -17.1455      1.00000
     39     -17.1454      1.00000
     40     -17.0987      1.00000
     41     -16.9830      1.00000
     42     -16.9740      1.00000
     43     -16.9701      1.00000
     44     -16.9701      1.00000
     45     -16.9603      1.00000
     46     -16.9603      1.00000
     47     -16.9545      1.00000
     48     -16.9545      1.00000
     49     -16.9542      1.00000
     50     -16.9384      1.00000
     51     -16.9384      1.00000
     52     -16.9311      1.00000
     53     -16.8042      1.00000
     54     -16.8042      1.00000
     55     -16.6707      1.00000
     56     -16.6648      1.00000
     57     -16.6648      1.00000
     58     -16.6598      1.00000
     59     -16.6598      1.00000
     60     -16.6575      1.00000
     61     -16.4765      1.00000
     62     -16.4708      1.00000
     63     -16.4708      1.00000
     64     -16.4694      1.00000
     65     -16.4643      1.00000
     66     -16.4643      1.00000
     67     -16.4597      1.00000
     68     -16.4541      1.00000
     69     -16.4541      1.00000
     70     -16.4476      1.00000
     71     -16.4476      1.00000
     72     -16.4475      1.00000
     73     -16.3190      1.00000
     74     -16.2856      1.00000
     75     -16.2856      1.00000
     76     -16.1822      1.00000
     77     -16.1801      1.00000
     78     -16.1801      1.00000
