
 Fermi energy:         4.8060362621

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0104      1.00000
      2     -18.8056      1.00000
      3     -18.7310      1.00000
      4     -18.6035      1.00000
      5     -18.4937      1.00000
      6     -18.4916      1.00000
      7     -18.4223      1.00000
      8     -18.4159      1.00000
      9     -18.3851      1.00000
     10     -18.2641      1.00000
     11     -18.2164      1.00000
     12     -18.2140      1.00000
     13     -18.2102      1.00000
     14     -18.2096      1.00000
     15     -18.2069      1.00000
     16     -18.1519      1.00000
     17     -18.1484      1.00000
     18     -18.1465      1.00000
     19     -18.1399      1.00000
     20     -18.1321      1.00000
     21     -18.1319      1.00000
     22     -18.1071      1.00000
     23     -18.0269      1.00000
     24     -18.0263      1.00000
     25     -18.0248      1.00000
     26     -18.0149      1.00000
     27     -18.0118      1.00000
     28     -17.9804      1.00000
     29     -17.4084      1.00000
     30     -17.3421      1.00000
     31     -17.3159      1.00000
     32     -17.2558      1.00000
     33     -17.2550      1.00000
     34     -17.1467      1.00000
     35     -17.0998      1.00000
     36     -17.0965      1.00000
     37     -17.0919      1.00000
     38     -17.0873      1.00000
     39     -17.0871      1.00000
     40     -17.0523      1.00000
     41     -17.0317      1.00000
     42     -17.0301      1.00000
     43     -17.0293      1.00000
     44     -17.0253      1.00000
     45     -17.0230      1.00000
     46     -17.0188      1.00000
     47     -16.9350      1.00000
     48     -16.9312      1.00000
     49     -16.9282      1.00000
     50     -16.9245      1.00000
     51     -16.9228      1.00000
     52     -16.9149      1.00000
     53     -16.8758      1.00000
     54     -16.8528      1.00000
     55     -16.7859      1.00000
     56     -16.7476      1.00000
     57     -16.7381      1.00000
     58     -16.6146      1.00000
     59     -16.6047      1.00000
     60     -16.6032      1.00000
     61     -16.5986      1.00000
     62     -16.5943      1.00000
     63     -16.5930      1.00000
     64     -16.5442      1.00000
     65     -16.5418      1.00000
     66     -16.5415      1.00000
     67     -16.5392      1.00000
     68     -16.5372      1.00000
     69     -16.5333      1.00000
     70     -16.4638      1.00000
     71     -16.4539      1.00000
     72     -16.4539      1.00000
     73     -16.4508      1.00000
     74     -16.4473      1.00000
     75     -16.4465      1.00000
     76     -16.2540      1.00000
     77     -15.8696      1.00000
     78     -15.6816      1.00000
     79     -15.6398      1.00000
     80     -15.6395      1.00000
     81     -15.5960      1.00000
     82     -15.5546      1.00000
     83     -15.5420      1.00000
     84     -15.5247      1.00000
     85     -15.5178      1.00000
     86     -15.4943      1.00000
     87     -15.4430      1.00000
     88     -15.4350      1.00000
     89     -15.4143      1.00000
     90     -15.4114      1.00000
     91     -15.4033      1.00000
     92     -15.4025      1.00000
     93     -15.4017      1.00000
     94     -15.4002      1.00000
     95     -15.3989      1.00000
     96     -15.3965      1.00000
     97     -15.3948      1.00000
     98     -15.3920      1.00000
     99     -15.3909      1.00000
    100     -15.3871      1.00000
    101     -15.3718      1.00000
    102     -15.3705      1.00000
    103     -15.3682      1.00000
    104     -15.3674      1.00000
    105     -15.3662      1.00000
    106     -15.3659      1.00000
    107     -15.3637      1.00000
    108     -15.3583      1.00000
    109     -15.3539      1.00000
    110     -15.3532      1.00000
    111     -15.3518      1.00000
    112     -15.3500      1.00000
    113     -15.3403      1.00000
    114     -15.3332      1.00000
    115     -15.3130      1.00000
    116     -15.3117      1.00000
    117     -15.3110      1.00000
    118     -15.3109      1.00000
    119     -15.3095      1.00000
    120     -15.3094      1.00000
    121     -15.3007      1.00000
    122     -15.3003      1.00000
    123     -15.2983      1.00000
    124     -15.2965      1.00000
    125     -15.2905      1.00000
    126     -15.2898      1.00000
    127     -15.2731      1.00000
    128     -15.2713      1.00000
    129     -15.2668      1.00000
    130     -15.2499      1.00000
    131     -15.2486      1.00000
    132     -15.2441      1.00000
    133     -15.2215      1.00000
    134     -15.2197      1.00000
    135     -15.2171      1.00000
    136     -14.8332      1.00000
    137     -14.7982      1.00000
    138     -14.6013      1.00000
    139     -14.6010      1.00000
    140     -14.6006      1.00000
    141     -14.6002      1.00000
    142     -14.5987      1.00000
    143     -14.5987      1.00000
    144     -11.1971      1.00000
    145      -9.2894      1.00000
    146      -9.0001      1.00000
    147      -8.9397      1.00000
    148      -8.8049      1.00000
    149      -8.8039      1.00000
    150      -8.8032      1.00000
    151      -8.7878      1.00000
    152      -8.7875      1.00000
    153      -8.7872      1.00000
    154      -8.7576      1.00000
    155      -8.7567      1.00000
    156      -8.7554      1.00000
    157      -8.4685      1.00000
    158      -8.3002      1.00000
    159      -8.1835      1.00000
    160      -8.1249      1.00000
    161      -8.0813      1.00000
    162      -8.0467      1.00000
    163      -8.0166      1.00000
    164      -8.0121      1.00000
    165      -8.0009      1.00000
    166      -7.9581      1.00000
    167      -7.9237      1.00000
    168      -7.8748      1.00000
    169      -7.8725      1.00000
    170      -7.8721      1.00000
    171      -7.8714      1.00000
    172      -7.8700      1.00000
    173      -7.8690      1.00000
    174      -7.8659      1.00000
    175      -7.8638      1.00000
    176      -7.8628      1.00000
    177      -7.8624      1.00000
    178      -7.8591      1.00000
    179      -7.8586      1.00000
    180      -7.8567      1.00000
    181      -7.8563      1.00000
    182      -7.8549      1.00000
    183      -7.8546      1.00000
    184      -7.8497      1.00000
    185      -7.8485      1.00000
    186      -7.8484      1.00000
    187      -7.8427      1.00000
    188      -7.8380      1.00000
    189      -7.8361      1.00000
    190      -7.8294      1.00000
    191      -7.8272      1.00000
    192      -7.8216      1.00000
    193      -7.8189      1.00000
    194      -7.8170      1.00000
    195      -7.8160      1.00000
    196      -7.8147      1.00000
    197      -7.8146      1.00000
    198      -7.8116      1.00000
    199      -7.8092      1.00000
    200      -7.8076      1.00000
    201      -7.8067      1.00000
    202      -7.8025      1.00000
    203      -7.8012      1.00000
    204      -7.7189      1.00000
    205      -7.7071      1.00000
    206      -7.6916      1.00000
    207      -7.6544      1.00000
    208      -7.6429      1.00000
    209      -7.6151      1.00000
    210      -7.6143      1.00000
    211      -7.5479      1.00000
    212      -7.5469      1.00000
    213      -7.2164      1.00000
    214      -7.0303      1.00000
    215      -6.8722      1.00000
    216      -6.8713      1.00000
    217      -6.8659      1.00000
    218      -6.8655      1.00000
    219      -6.8649      1.00000
    220      -6.8640      1.00000
    221      -6.7825      1.00000
    222      -6.7479      1.00000
    223      -6.7147      1.00000
    224      -6.6181      1.00000
    225      -6.5368      1.00000
    226      -6.5345      1.00000
    227      -6.5324      1.00000
    228      -6.5314      1.00000
    229      -6.5305      1.00000
    230      -6.5282      1.00000
    231      -6.5104      1.00000
    232      -6.5096      1.00000
    233      -6.5093      1.00000
    234      -6.5075      1.00000
    235      -6.5060      1.00000
    236      -6.5059      1.00000
    237      -6.4874      1.00000
    238      -6.4769      1.00000
    239      -6.4706      1.00000
    240      -6.4701      1.00000
    241      -6.4692      1.00000
    242      -6.4676      1.00000
    243      -6.4443      1.00000
    244      -6.3650      1.00000
    245      -5.7288      1.00000
    246      -5.5246      1.00000
    247      -5.3271      1.00000
    248      -5.2615      1.00000
    249      -5.2568      1.00000
    250      -5.2079      1.00000
    251      -5.1680      1.00000
    252      -5.0912      1.00000
    253      -5.0264      1.00000
    254      -4.9792      1.00000
    255      -4.9775      1.00000
    256      -4.9768      1.00000
    257      -4.9767      1.00000
    258      -4.9762      1.00000
    259      -4.9753      1.00000
    260      -4.9751      1.00000
    261      -4.9751      1.00000
    262      -4.9750      1.00000
    263      -4.9748      1.00000
    264      -4.9743      1.00000
    265      -4.9740      1.00000
    266      -4.9733      1.00000
    267      -4.9611      1.00000
    268      -4.9608      1.00000
    269      -4.9604      1.00000
    270      -4.9598      1.00000
    271      -4.9597      1.00000
    272      -4.9594      1.00000
    273      -4.9101      1.00000
    274      -4.9029      1.00000
    275      -4.9002      1.00000
    276      -4.8966      1.00000
    277      -4.8938      1.00000
    278      -4.8938      1.00000
    279      -4.8902      1.00000
    280      -4.8776      1.00000
    281      -4.8239      1.00000
    282      -4.8228      1.00000
    283      -4.7673      1.00000
    284      -4.7569      1.00000
    285      -4.7558      1.00000
    286      -4.7557      1.00000
    287      -4.7554      1.00000
    288      -4.7553      1.00000
    289      -4.7535      1.00000
    290      -4.7514      1.00000
    291      -4.7449      1.00000
    292      -4.7438      1.00000
    293      -4.7417      1.00000
    294      -4.7414      1.00000
    295      -4.7393      1.00000
    296      -4.7387      1.00000
    297      -4.7374      1.00000
    298      -4.7372      1.00000
    299      -4.7370      1.00000
    300      -4.7331      1.00000
    301      -4.7326      1.00000
    302      -4.7273      1.00000
    303      -4.7223      1.00000
    304      -4.7216      1.00000
    305      -4.7167      1.00000
    306      -4.7160      1.00000
    307      -4.7138      1.00000
    308      -4.7104      1.00000
    309      -4.7104      1.00000
    310      -4.7031      1.00000
    311      -4.7026      1.00000
    312      -4.7015      1.00000
    313      -4.7012      1.00000
    314      -4.7000      1.00000
    315      -4.6993      1.00000
    316      -4.6918      1.00000
    317      -4.6889      1.00000
    318      -4.6876      1.00000
    319      -4.6856      1.00000
    320      -4.6829      1.00000
    321      -4.6806      1.00000
    322      -4.6664      1.00000
    323      -4.4334      1.00000
    324      -4.3534      1.00000
    325      -4.2010      1.00000
    326      -3.9791      1.00000
    327      -3.9626      1.00000
    328      -3.9625      1.00000
    329      -3.9521      1.00000
    330      -3.9360      1.00000
    331      -3.8789      1.00000
    332      -3.8760      1.00000
    333      -3.8745      1.00000
    334      -3.8596      1.00000
    335      -3.8582      1.00000
    336      -3.8194      1.00000
    337      -3.8071      1.00000
    338      -3.7987      1.00000
    339      -3.6842      1.00000
    340      -3.6238      1.00000
    341      -3.5314      1.00000
    342      -3.4545      1.00000
    343      -3.4287      1.00000
    344      -3.4286      1.00000
    345      -3.4273      1.00000
    346      -3.4076      1.00000
    347      -3.4071      1.00000
    348      -3.4070      1.00000
    349      -3.3807      1.00000
    350      -3.3805      1.00000
    351      -3.3798      1.00000
    352      -3.3069      1.00000
    353      -3.2776      1.00000
    354      -3.2769      1.00000
    355      -3.2693      1.00000
    356      -3.2457      1.00000
    357      -3.2412      1.00000
    358      -3.2369      1.00000
    359      -3.2176      1.00000
    360      -3.1721      1.00000
    361      -3.1702      1.00000
    362      -3.1693      1.00000
    363      -3.1681      1.00000
    364      -3.1674      1.00000
    365      -3.1673      1.00000
    366      -3.1663      1.00000
    367      -3.1564      1.00000
    368      -3.1560      1.00000
    369      -3.1547      1.00000
    370      -3.1543      1.00000
    371      -3.1542      1.00000
    372      -3.1535      1.00000
    373      -3.1410      1.00000
    374      -3.1319      1.00000
    375      -3.1285      1.00000
    376      -3.1271      1.00000
    377      -3.1266      1.00000
    378      -3.1264      1.00000
    379      -3.1130      1.00000
    380      -3.0880      1.00000
    381      -3.0214      1.00000
    382      -3.0140      1.00000
    383      -2.9576      1.00000
    384      -2.9070      1.00000
    385      -2.8623      1.00000
    386      -2.8047      1.00000
    387      -2.8021      1.00000
    388      -2.8020      1.00000
    389      -2.7998      1.00000
    390      -2.7995      1.00000
    391      -2.7993      1.00000
    392      -2.7831      1.00000
    393      -2.7828      1.00000
    394      -2.7818      1.00000
    395      -2.7796      1.00000
    396      -2.7787      1.00000
    397      -2.7778      1.00000
    398      -2.7659      1.00000
    399      -2.7568      1.00000
    400      -2.7567      1.00000
    401      -2.7554      1.00000
    402      -2.7541      1.00000
    403      -2.7541      1.00000
    404      -2.7424      1.00000
    405      -2.7105      1.00000
    406      -2.7041      1.00000
    407      -2.6988      1.00000
    408      -2.6987      1.00000
    409      -2.6839      1.00000
    410      -2.6325      1.00000
    411      -2.6257      1.00000
    412      -2.5448      1.00000
    413      -2.5364      1.00000
    414      -2.5098      1.00000
    415      -2.4975      1.00000
    416      -2.4916      1.00000
    417      -2.4836      1.00000
    418      -2.4823      1.00000
    419      -2.4817      1.00000
    420      -2.4789      1.00000
    421      -2.4755      1.00000
    422      -2.4747      1.00000
    423      -2.4742      1.00000
    424      -2.4706      1.00000
    425      -2.4591      1.00000
    426      -2.4549      1.00000
    427      -2.4544      1.00000
    428      -2.4500      1.00000
    429      -2.4473      1.00000
    430      -2.4469      1.00000
    431      -2.4452      1.00000
    432      -2.4440      1.00000
    433      -2.4422      1.00000
    434      -2.4414      1.00000
    435      -2.4407      1.00000
    436      -2.4400      1.00000
    437      -2.4309      1.00000
    438      -2.3959      1.00000
    439      -2.3859      1.00000
    440      -2.3545      1.00000
    441      -2.3430      1.00000
    442      -2.3346      1.00000
