
 Fermi energy:         5.2061666067

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9586      1.00000
      2     -18.8210      1.00000
      3     -18.8000      1.00000
      4     -18.6535      1.00000
      5     -18.3921      1.00000
      6     -18.3773      1.00000
      7     -18.3664      1.00000
      8     -18.3607      1.00000
      9     -18.3519      1.00000
     10     -18.3209      1.00000
     11     -18.2551      1.00000
     12     -18.2463      1.00000
     13     -18.2362      1.00000
     14     -18.2308      1.00000
     15     -18.2224      1.00000
     16     -18.2131      1.00000
     17     -18.2106      1.00000
     18     -18.2106      1.00000
     19     -18.2038      1.00000
     20     -18.2030      1.00000
     21     -18.1950      1.00000
     22     -18.1554      1.00000
     23     -18.0788      1.00000
     24     -18.0780      1.00000
     25     -18.0755      1.00000
     26     -18.0719      1.00000
     27     -18.0646      1.00000
     28     -18.0212      1.00000
     29     -17.2533      1.00000
     30     -17.2497      1.00000
     31     -17.2482      1.00000
     32     -17.2374      1.00000
     33     -17.2290      1.00000
     34     -17.1929      1.00000
     35     -17.1369      1.00000
     36     -17.1352      1.00000
     37     -17.1339      1.00000
     38     -17.1260      1.00000
     39     -17.1184      1.00000
     40     -17.0977      1.00000
     41     -17.0970      1.00000
     42     -17.0969      1.00000
     43     -17.0952      1.00000
     44     -17.0951      1.00000
     45     -17.0937      1.00000
     46     -17.0444      1.00000
     47     -16.9873      1.00000
     48     -16.9865      1.00000
     49     -16.9861      1.00000
     50     -16.9845      1.00000
     51     -16.9816      1.00000
     52     -16.9354      1.00000
     53     -16.7605      1.00000
     54     -16.7494      1.00000
     55     -16.7403      1.00000
     56     -16.7373      1.00000
     57     -16.7338      1.00000
     58     -16.6875      1.00000
     59     -16.6509      1.00000
     60     -16.6456      1.00000
     61     -16.6395      1.00000
     62     -16.6376      1.00000
     63     -16.6344      1.00000
     64     -16.6110      1.00000
     65     -16.6103      1.00000
     66     -16.6098      1.00000
     67     -16.6094      1.00000
     68     -16.6093      1.00000
     69     -16.6081      1.00000
     70     -16.5385      1.00000
     71     -16.5136      1.00000
     72     -16.5120      1.00000
     73     -16.5106      1.00000
     74     -16.5100      1.00000
     75     -16.5088      1.00000
     76     -16.3329      1.00000
     77     -15.5719      1.00000
     78     -15.5464      1.00000
     79     -15.5400      1.00000
     80     -15.5297      1.00000
     81     -15.5214      1.00000
     82     -15.5156      1.00000
     83     -15.5130      1.00000
     84     -15.5128      1.00000
     85     -15.5091      1.00000
     86     -15.5047      1.00000
     87     -15.4971      1.00000
     88     -15.4737      1.00000
     89     -15.4636      1.00000
     90     -15.4590      1.00000
     91     -15.4579      1.00000
     92     -15.4551      1.00000
     93     -15.4516      1.00000
     94     -15.4510      1.00000
     95     -15.4490      1.00000
     96     -15.4487      1.00000
     97     -15.4466      1.00000
     98     -15.4432      1.00000
     99     -15.4359      1.00000
    100     -15.4334      1.00000
    101     -15.4329      1.00000
    102     -15.4311      1.00000
    103     -15.4308      1.00000
    104     -15.4304      1.00000
    105     -15.4304      1.00000
    106     -15.4246      1.00000
    107     -15.4246      1.00000
    108     -15.4237      1.00000
    109     -15.4232      1.00000
    110     -15.4197      1.00000
    111     -15.4179      1.00000
    112     -15.4176      1.00000
    113     -15.3931      1.00000
    114     -15.3887      1.00000
    115     -15.3745      1.00000
    116     -15.3737      1.00000
    117     -15.3712      1.00000
    118     -15.3707      1.00000
    119     -15.3703      1.00000
    120     -15.3688      1.00000
    121     -15.3684      1.00000
    122     -15.3667      1.00000
    123     -15.3643      1.00000
    124     -15.3640      1.00000
    125     -15.3630      1.00000
    126     -15.3580      1.00000
    127     -15.3421      1.00000
    128     -15.3395      1.00000
    129     -15.3385      1.00000
    130     -15.3212      1.00000
    131     -15.3211      1.00000
    132     -15.3208      1.00000
    133     -15.2913      1.00000
    134     -15.2900      1.00000
    135     -15.2898      1.00000
    136     -14.8135      1.00000
    137     -14.7229      1.00000
    138     -14.6717      1.00000
    139     -14.6715      1.00000
    140     -14.6714      1.00000
    141     -14.6711      1.00000
    142     -14.6698      1.00000
    143     -14.6698      1.00000
    144     -10.0190      1.00000
    145      -8.9179      1.00000
    146      -8.8866      1.00000
    147      -8.8782      1.00000
    148      -8.8709      1.00000
    149      -8.8608      1.00000
    150      -8.8566      1.00000
    151      -8.8564      1.00000
    152      -8.8562      1.00000
    153      -8.8403      1.00000
    154      -8.8232      1.00000
    155      -8.8188      1.00000
    156      -8.8032      1.00000
    157      -8.0673      1.00000
    158      -8.0373      1.00000
    159      -7.9974      1.00000
    160      -7.9955      1.00000
    161      -7.9853      1.00000
    162      -7.9784      1.00000
    163      -7.9704      1.00000
    164      -7.9548      1.00000
    165      -7.9530      1.00000
    166      -7.9410      1.00000
    167      -7.9396      1.00000
    168      -7.9373      1.00000
    169      -7.9351      1.00000
    170      -7.9350      1.00000
    171      -7.9337      1.00000
    172      -7.9335      1.00000
    173      -7.9323      1.00000
    174      -7.9306      1.00000
    175      -7.9294      1.00000
    176      -7.9220      1.00000
    177      -7.9215      1.00000
    178      -7.9196      1.00000
    179      -7.9196      1.00000
    180      -7.9190      1.00000
    181      -7.9190      1.00000
    182      -7.9162      1.00000
    183      -7.9160      1.00000
    184      -7.9155      1.00000
    185      -7.9129      1.00000
    186      -7.9106      1.00000
    187      -7.9103      1.00000
    188      -7.9073      1.00000
    189      -7.9062      1.00000
    190      -7.8928      1.00000
    191      -7.8872      1.00000
    192      -7.8840      1.00000
    193      -7.8810      1.00000
    194      -7.8808      1.00000
    195      -7.8803      1.00000
    196      -7.8801      1.00000
    197      -7.8799      1.00000
    198      -7.8771      1.00000
    199      -7.8766      1.00000
    200      -7.8734      1.00000
    201      -7.8726      1.00000
    202      -7.8524      1.00000
    203      -7.8229      1.00000
    204      -7.7479      1.00000
    205      -7.7415      1.00000
    206      -7.6904      1.00000
    207      -7.6850      1.00000
    208      -7.6849      1.00000
    209      -7.6348      1.00000
    210      -7.6101      1.00000
    211      -7.5476      1.00000
    212      -7.3935      1.00000
    213      -6.9829      1.00000
    214      -6.9412      1.00000
    215      -6.9407      1.00000
    216      -6.9407      1.00000
    217      -6.9361      1.00000
    218      -6.9344      1.00000
    219      -6.9339      1.00000
    220      -6.9336      1.00000
    221      -6.6749      1.00000
    222      -6.6378      1.00000
    223      -6.6268      1.00000
    224      -6.6044      1.00000
    225      -6.6043      1.00000
    226      -6.6030      1.00000
    227      -6.5983      1.00000
    228      -6.5945      1.00000
    229      -6.5893      1.00000
    230      -6.5785      1.00000
    231      -6.5780      1.00000
    232      -6.5779      1.00000
    233      -6.5771      1.00000
    234      -6.5770      1.00000
    235      -6.5761      1.00000
    236      -6.5482      1.00000
    237      -6.5456      1.00000
    238      -6.5422      1.00000
    239      -6.5374      1.00000
    240      -6.5353      1.00000
    241      -6.5327      1.00000
    242      -6.4667      1.00000
    243      -6.4297      1.00000
    244      -6.0017      1.00000
    245      -5.7613      1.00000
    246      -5.1285      1.00000
    247      -5.1171      1.00000
    248      -5.0904      1.00000
    249      -5.0583      1.00000
    250      -5.0519      1.00000
    251      -5.0460      1.00000
    252      -5.0455      1.00000
    253      -5.0454      1.00000
    254      -5.0451      1.00000
    255      -5.0451      1.00000
    256      -5.0449      1.00000
    257      -5.0446      1.00000
    258      -5.0445      1.00000
    259      -5.0444      1.00000
    260      -5.0444      1.00000
    261      -5.0443      1.00000
    262      -5.0440      1.00000
    263      -5.0308      1.00000
    264      -5.0297      1.00000
    265      -5.0295      1.00000
    266      -5.0294      1.00000
    267      -5.0287      1.00000
    268      -5.0276      1.00000
    269      -4.9531      1.00000
    270      -4.9287      1.00000
    271      -4.9234      1.00000
    272      -4.9182      1.00000
    273      -4.9166      1.00000
    274      -4.9141      1.00000
    275      -4.9079      1.00000
    276      -4.8931      1.00000
    277      -4.8856      1.00000
    278      -4.8790      1.00000
    279      -4.8737      1.00000
    280      -4.8689      1.00000
    281      -4.8670      1.00000
    282      -4.8611      1.00000
    283      -4.8474      1.00000
    284      -4.8262      1.00000
    285      -4.8200      1.00000
    286      -4.8197      1.00000
    287      -4.8185      1.00000
    288      -4.8182      1.00000
    289      -4.8179      1.00000
    290      -4.8163      1.00000
    291      -4.8162      1.00000
    292      -4.8153      1.00000
    293      -4.8146      1.00000
    294      -4.8132      1.00000
    295      -4.8099      1.00000
    296      -4.8018      1.00000
    297      -4.8017      1.00000
    298      -4.8011      1.00000
    299      -4.8010      1.00000
    300      -4.7988      1.00000
    301      -4.7984      1.00000
    302      -4.7963      1.00000
    303      -4.7938      1.00000
    304      -4.7923      1.00000
    305      -4.7919      1.00000
    306      -4.7897      1.00000
    307      -4.7880      1.00000
    308      -4.7849      1.00000
    309      -4.7667      1.00000
