
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9962      1.00000
      2     -18.8665      1.00000
      3     -18.7374      1.00000
      4     -18.6398      1.00000
      5     -18.4179      1.00000
      6     -18.4015      1.00000
      7     -18.4000      1.00000
      8     -18.3955      1.00000
      9     -18.3919      1.00000
     10     -18.3914      1.00000
     11     -18.3507      1.00000
     12     -18.3073      1.00000
     13     -18.2922      1.00000
     14     -18.2557      1.00000
     15     -18.2093      1.00000
     16     -18.1587      1.00000
     17     -18.1460      1.00000
     18     -18.1444      1.00000
     19     -18.1441      1.00000
     20     -18.1435      1.00000
     21     -18.1421      1.00000
     22     -18.1417      1.00000
     23     -18.0681      1.00000
     24     -18.0610      1.00000
     25     -18.0575      1.00000
     26     -18.0476      1.00000
     27     -18.0286      1.00000
     28     -17.9890      1.00000
     29     -17.2955      1.00000
     30     -17.2869      1.00000
     31     -17.2868      1.00000
     32     -17.2636      1.00000
     33     -17.2630      1.00000
     34     -17.2588      1.00000
     35     -17.2356      1.00000
     36     -17.1713      1.00000
     37     -17.1645      1.00000
     38     -17.1587      1.00000
     39     -17.1336      1.00000
     40     -17.0430      1.00000
     41     -17.0349      1.00000
     42     -17.0339      1.00000
     43     -17.0337      1.00000
     44     -17.0331      1.00000
     45     -17.0327      1.00000
     46     -17.0327      1.00000
     47     -16.9754      1.00000
     48     -16.9649      1.00000
     49     -16.9637      1.00000
     50     -16.9613      1.00000
     51     -16.9570      1.00000
     52     -16.9031      1.00000
     53     -16.7980      1.00000
     54     -16.7976      1.00000
     55     -16.7949      1.00000
     56     -16.7944      1.00000
     57     -16.7571      1.00000
     58     -16.7512      1.00000
     59     -16.7243      1.00000
     60     -16.7178      1.00000
     61     -16.6808      1.00000
     62     -16.6481      1.00000
     63     -16.6445      1.00000
     64     -16.5486      1.00000
     65     -16.5476      1.00000
     66     -16.5474      1.00000
     67     -16.5469      1.00000
     68     -16.5468      1.00000
     69     -16.5464      1.00000
     70     -16.5264      1.00000
     71     -16.4960      1.00000
     72     -16.4958      1.00000
     73     -16.4883      1.00000
     74     -16.4824      1.00000
     75     -16.4806      1.00000
     76     -16.3102      1.00000
     77     -15.6015      1.00000
     78     -15.6008      1.00000
     79     -15.6000      1.00000
     80     -15.5986      1.00000
     81     -15.5975      1.00000
     82     -15.5965      1.00000
     83     -15.5770      1.00000
     84     -15.5677      1.00000
     85     -15.5672      1.00000
     86     -15.5659      1.00000
     87     -15.5656      1.00000
     88     -15.5643      1.00000
     89     -15.5605      1.00000
     90     -15.5435      1.00000
     91     -15.5284      1.00000
     92     -15.5248      1.00000
     93     -15.5087      1.00000
     94     -15.4922      1.00000
     95     -15.4815      1.00000
     96     -15.4772      1.00000
     97     -15.4698      1.00000
     98     -15.4697      1.00000
     99     -15.4696      1.00000
    100     -15.4540      1.00000
    101     -15.4503      1.00000
    102     -15.4061      1.00000
    103     -15.4029      1.00000
    104     -15.3677      1.00000
    105     -15.3665      1.00000
    106     -15.3654      1.00000
    107     -15.3650      1.00000
    108     -15.3648      1.00000
    109     -15.3648      1.00000
    110     -15.3643      1.00000
    111     -15.3641      1.00000
    112     -15.3639      1.00000
    113     -15.3630      1.00000
    114     -15.3630      1.00000
    115     -15.3629      1.00000
    116     -15.3621      1.00000
    117     -15.3488      1.00000
    118     -15.3455      1.00000
    119     -15.3439      1.00000
    120     -15.3412      1.00000
    121     -15.3407      1.00000
    122     -15.3396      1.00000
    123     -15.3395      1.00000
    124     -15.3383      1.00000
    125     -15.3377      1.00000
    126     -15.3357      1.00000
    127     -15.3316      1.00000
    128     -15.3272      1.00000
    129     -15.2974      1.00000
    130     -15.2596      1.00000
    131     -15.2590      1.00000
    132     -15.2589      1.00000
    133     -15.2524      1.00000
    134     -15.2502      1.00000
    135     -15.2478      1.00000
    136     -14.8365      1.00000
    137     -14.8085      1.00000
    138     -14.7988      1.00000
    139     -14.6980      1.00000
    140     -14.6096      1.00000
    141     -14.6093      1.00000
    142     -14.6090      1.00000
    143     -14.6088      1.00000
    144     -10.1934      1.00000
    145      -8.9844      1.00000
    146      -8.9843      1.00000
    147      -8.9843      1.00000
    148      -8.8830      1.00000
    149      -8.8521      1.00000
    150      -8.8127      1.00000
    151      -8.7937      1.00000
    152      -8.7933      1.00000
    153      -8.7932      1.00000
