
 Fermi energy:         7.1382902921

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9601      1.00000
      2     -18.8340      1.00000
      3     -18.7896      1.00000
      4     -18.6547      1.00000
      5     -18.3860      1.00000
      6     -18.3860      1.00000
      7     -18.3706      1.00000
      8     -18.3693      1.00000
      9     -18.3693      1.00000
     10     -18.3076      1.00000
     11     -18.2636      1.00000
     12     -18.2636      1.00000
     13     -18.2520      1.00000
     14     -18.2520      1.00000
     15     -18.2497      1.00000
     16     -18.2084      1.00000
     17     -18.2038      1.00000
     18     -18.2038      1.00000
     19     -18.1914      1.00000
     20     -18.1914      1.00000
     21     -18.1715      1.00000
     22     -18.1243      1.00000
     23     -18.0836      1.00000
     24     -18.0836      1.00000
     25     -18.0812      1.00000
     26     -18.0720      1.00000
     27     -18.0720      1.00000
     28     -17.9419      1.00000
     29     -17.2835      1.00000
     30     -17.2503      1.00000
     31     -17.2503      1.00000
     32     -17.2212      1.00000
     33     -17.2212      1.00000
     34     -17.1912      1.00000
     35     -17.1591      1.00000
     36     -17.1469      1.00000
     37     -17.1469      1.00000
     38     -17.1201      1.00000
     39     -17.1201      1.00000
     40     -17.0886      1.00000
     41     -17.0886      1.00000
     42     -17.0867      1.00000
     43     -17.0830      1.00000
     44     -17.0830      1.00000
     45     -17.0768      1.00000
     46     -17.0473      1.00000
     47     -16.9931      1.00000
     48     -16.9894      1.00000
     49     -16.9894      1.00000
     50     -16.9764      1.00000
     51     -16.9764      1.00000
     52     -16.9369      1.00000
     53     -16.7709      1.00000
     54     -16.7708      1.00000
     55     -16.7268      1.00000
     56     -16.7215      1.00000
     57     -16.7214      1.00000
     58     -16.6880      1.00000
     59     -16.6657      1.00000
     60     -16.6657      1.00000
     61     -16.6364      1.00000
     62     -16.6325      1.00000
     63     -16.6325      1.00000
     64     -16.6008      1.00000
     65     -16.6002      1.00000
     66     -16.6002      1.00000
     67     -16.5955      1.00000
     68     -16.5955      1.00000
     69     -16.5930      1.00000
     70     -16.5328      1.00000
     71     -16.5166      1.00000
     72     -16.5166      1.00000
     73     -16.5060      1.00000
     74     -16.5022      1.00000
     75     -16.5022      1.00000
     76     -16.1706      1.00000
     77     -15.7045      1.00000
     78     -15.5537      1.00000
     79     -15.5537      1.00000
     80     -15.5402      1.00000
     81     -15.5402      1.00000
     82     -15.5093      1.00000
     83     -15.5093      1.00000
     84     -15.5053      1.00000
     85     -15.5021      1.00000
     86     -15.4810      1.00000
     87     -15.4810      1.00000
     88     -15.4757      1.00000
     89     -15.4722      1.00000
     90     -15.4715      1.00000
     91     -15.4715      1.00000
     92     -15.4679      1.00000
     93     -15.4679      1.00000
     94     -15.4590      1.00000
     95     -15.4590      1.00000
     96     -15.4532      1.00000
     97     -15.4508      1.00000
     98     -15.4259      1.00000
     99     -15.4259      1.00000
    100     -15.4235      1.00000
    101     -15.4221      1.00000
    102     -15.4219      1.00000
    103     -15.4219      1.00000
    104     -15.4203      1.00000
    105     -15.4122      1.00000
    106     -15.4101      1.00000
    107     -15.4101      1.00000
    108     -15.4069      1.00000
    109     -15.4030      1.00000
    110     -15.4030      1.00000
    111     -15.3971      1.00000
    112     -15.3971      1.00000
    113     -15.3803      1.00000
    114     -15.3803      1.00000
    115     -15.3761      1.00000
    116     -15.3761      1.00000
    117     -15.3733      1.00000
    118     -15.3733      1.00000
    119     -15.3728      1.00000
    120     -15.3692      1.00000
    121     -15.3682      1.00000
    122     -15.3648      1.00000
    123     -15.3579      1.00000
    124     -15.3579      1.00000
    125     -15.3511      1.00000
    126     -15.3509      1.00000
    127     -15.3509      1.00000
    128     -15.3112      1.00000
    129     -15.3112      1.00000
