
 Fermi energy:         7.1479589417

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9861      1.00000
      2     -18.8463      1.00000
      3     -18.8267      1.00000
      4     -18.6813      1.00000
      5     -18.4177      1.00000
      6     -18.4163      1.00000
      7     -18.4154      1.00000
      8     -18.3640      1.00000
      9     -18.3631      1.00000
     10     -18.3295      1.00000
     11     -18.2989      1.00000
     12     -18.2986      1.00000
     13     -18.2916      1.00000
     14     -18.2691      1.00000
     15     -18.2543      1.00000
     16     -18.2531      1.00000
     17     -18.2140      1.00000
     18     -18.2131      1.00000
     19     -18.2016      1.00000
     20     -18.2012      1.00000
     21     -18.1643      1.00000
     22     -18.1345      1.00000
     23     -18.1252      1.00000
     24     -18.1240      1.00000
     25     -18.0989      1.00000
     26     -18.0517      1.00000
     27     -18.0513      1.00000
     28     -17.8230      1.00000
     29     -17.2621      1.00000
     30     -17.2570      1.00000
     31     -17.2564      1.00000
     32     -17.2427      1.00000
     33     -17.2416      1.00000
     34     -17.2345      1.00000
     35     -17.1596      1.00000
     36     -17.1547      1.00000
     37     -17.1514      1.00000
     38     -17.1278      1.00000
     39     -17.1268      1.00000
     40     -17.1208      1.00000
     41     -17.1171      1.00000
     42     -17.1118      1.00000
     43     -17.1083      1.00000
     44     -17.0882      1.00000
     45     -17.0880      1.00000
     46     -17.0697      1.00000
     47     -17.0155      1.00000
     48     -17.0112      1.00000
     49     -17.0109      1.00000
     50     -16.9517      1.00000
     51     -16.9517      1.00000
     52     -16.9495      1.00000
     53     -16.7563      1.00000
     54     -16.7558      1.00000
     55     -16.7493      1.00000
     56     -16.7376      1.00000
     57     -16.7371      1.00000
     58     -16.7304      1.00000
     59     -16.6622      1.00000
     60     -16.6618      1.00000
     61     -16.6383      1.00000
     62     -16.6323      1.00000
     63     -16.6317      1.00000
     64     -16.6272      1.00000
     65     -16.6265      1.00000
     66     -16.6218      1.00000
     67     -16.6189      1.00000
     68     -16.5821      1.00000
     69     -16.5816      1.00000
     70     -16.5561      1.00000
     71     -16.5346      1.00000
     72     -16.5341      1.00000
     73     -16.5050      1.00000
     74     -16.3810      1.00000
     75     -16.3808      1.00000
     76     -16.0728      1.00000
     77     -15.5634      1.00000
     78     -15.5589      1.00000
     79     -15.5504      1.00000
     80     -15.5486      1.00000
     81     -15.5441      1.00000
     82     -15.5407      1.00000
     83     -15.5252      1.00000
     84     -15.5191      1.00000
     85     -15.5166      1.00000
     86     -15.5137      1.00000
     87     -15.5133      1.00000
     88     -15.5102      1.00000
     89     -15.5069      1.00000
     90     -15.5060      1.00000
     91     -15.4858      1.00000
     92     -15.4836      1.00000
     93     -15.4779      1.00000
     94     -15.4743      1.00000
     95     -15.4730      1.00000
     96     -15.4730      1.00000
     97     -15.4703      1.00000
     98     -15.4698      1.00000
     99     -15.4656      1.00000
    100     -15.4648      1.00000
    101     -15.4419      1.00000
    102     -15.4371      1.00000
    103     -15.4365      1.00000
    104     -15.4361      1.00000
    105     -15.4320      1.00000
    106     -15.4314      1.00000
    107     -15.4294      1.00000
    108     -15.4234      1.00000
    109     -15.4208      1.00000
    110     -15.4199      1.00000
    111     -15.4156      1.00000
    112     -15.4094      1.00000
    113     -15.4059      1.00000
    114     -15.4016      1.00000
    115     -15.3985      1.00000
    116     -15.3974      1.00000
    117     -15.3944      1.00000
    118     -15.3930      1.00000
    119     -15.3887      1.00000
    120     -15.3829      1.00000
    121     -15.3826      1.00000
    122     -15.3693      1.00000
    123     -15.3644      1.00000
    124     -15.3297      1.00000
    125     -15.3202      1.00000
    126     -15.3176      1.00000
    127     -15.3135      1.00000
    128     -15.3121      1.00000
    129     -15.3074      1.00000
    130     -15.2985      1.00000
