
 Fermi energy:         6.1497507581

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9445      1.00000
      2     -18.8090      1.00000
      3     -18.7808      1.00000
      4     -18.6377      1.00000
      5     -18.3935      1.00000
      6     -18.3935      1.00000
      7     -18.3409      1.00000
      8     -18.3274      1.00000
      9     -18.3274      1.00000
     10     -18.3139      1.00000
     11     -18.2426      1.00000
     12     -18.2426      1.00000
     13     -18.2146      1.00000
     14     -18.2115      1.00000
     15     -18.1956      1.00000
     16     -18.1956      1.00000
     17     -18.1885      1.00000
     18     -18.1884      1.00000
     19     -18.1777      1.00000
     20     -18.1777      1.00000
     21     -18.1747      1.00000
     22     -18.1193      1.00000
     23     -18.0593      1.00000
     24     -18.0593      1.00000
     25     -18.0460      1.00000
     26     -18.0432      1.00000
     27     -18.0432      1.00000
     28     -17.9412      1.00000
     29     -17.2496      1.00000
     30     -17.2414      1.00000
     31     -17.2413      1.00000
     32     -17.1838      1.00000
     33     -17.1838      1.00000
     34     -17.1778      1.00000
     35     -17.1225      1.00000
     36     -17.1203      1.00000
     37     -17.1203      1.00000
     38     -17.0863      1.00000
     39     -17.0775      1.00000
     40     -17.0775      1.00000
     41     -17.0728      1.00000
     42     -17.0728      1.00000
     43     -17.0712      1.00000
     44     -17.0545      1.00000
     45     -17.0545      1.00000
     46     -17.0270      1.00000
     47     -16.9671      1.00000
     48     -16.9671      1.00000
     49     -16.9659      1.00000
     50     -16.9425      1.00000
     51     -16.9425      1.00000
     52     -16.9345      1.00000
     53     -16.7440      1.00000
     54     -16.7440      1.00000
     55     -16.7050      1.00000
     56     -16.6781      1.00000
     57     -16.6781      1.00000
     58     -16.6670      1.00000
     59     -16.6314      1.00000
     60     -16.6314      1.00000
     61     -16.6070      1.00000
     62     -16.5975      1.00000
     63     -16.5894      1.00000
     64     -16.5894      1.00000
     65     -16.5885      1.00000
     66     -16.5885      1.00000
     67     -16.5852      1.00000
     68     -16.5457      1.00000
     69     -16.5457      1.00000
     70     -16.5154      1.00000
     71     -16.4928      1.00000
     72     -16.4927      1.00000
     73     -16.4840      1.00000
     74     -16.4426      1.00000
     75     -16.4426      1.00000
     76     -16.1625      1.00000
     77     -15.5787      1.00000
     78     -15.5787      1.00000
     79     -15.4896      1.00000
     80     -15.4867      1.00000
     81     -15.4867      1.00000
     82     -15.4863      1.00000
     83     -15.4754      1.00000
     84     -15.4716      1.00000
     85     -15.4672      1.00000
     86     -15.4672      1.00000
     87     -15.4570      1.00000
     88     -15.4570      1.00000
     89     -15.4405      1.00000
     90     -15.4405      1.00000
     91     -15.4386      1.00000
     92     -15.4338      1.00000
     93     -15.4338      1.00000
     94     -15.4249      1.00000
     95     -15.4236      1.00000
     96     -15.4203      1.00000
     97     -15.4133      1.00000
     98     -15.4133      1.00000
     99     -15.4096      1.00000
    100     -15.4082      1.00000
    101     -15.4082      1.00000
    102     -15.4066      1.00000
    103     -15.4066      1.00000
    104     -15.3988      1.00000
    105     -15.3988      1.00000
    106     -15.3983      1.00000
    107     -15.3982      1.00000
    108     -15.3962      1.00000
    109     -15.3950      1.00000
    110     -15.3717      1.00000
    111     -15.3665      1.00000
    112     -15.3665      1.00000
    113     -15.3585      1.00000
    114     -15.3569      1.00000
    115     -15.3569      1.00000
    116     -15.3504      1.00000
    117     -15.3478      1.00000
    118     -15.3478      1.00000
    119     -15.3386      1.00000
    120     -15.3374      1.00000
    121     -15.3369      1.00000
    122     -15.3369      1.00000
    123     -15.3226      1.00000
    124     -15.3226      1.00000
    125     -15.3139      1.00000
    126     -15.3003      1.00000
    127     -15.2995      1.00000
    128     -15.2995      1.00000
    129     -15.2784      1.00000
    130     -15.2784      1.00000
    131     -15.2674      1.00000
    132     -15.2659      1.00000
    133     -15.2659      1.00000
    134     -14.9174      1.00000
    135     -14.9173      1.00000
    136     -14.7901      1.00000
    137     -14.6516      1.00000
    138     -14.6511      1.00000
    139     -14.6510      1.00000
    140     -14.6505      1.00000
    141     -14.6474      1.00000
    142     -14.6474      1.00000
    143     -14.3207      1.00000
    144     -14.3207      1.00000
    145      -8.8750      1.00000
    146      -8.8749      1.00000
    147      -8.8561      1.00000
    148      -8.8457      1.00000
    149      -8.8457      1.00000
    150      -8.8380      1.00000
    151      -8.8380      1.00000
    152      -8.8361      1.00000
    153      -8.8187      1.00000
    154      -8.8014      1.00000
    155      -8.8014      1.00000
