
 Fermi energy:         1.6707823463

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.6818      1.00000
      2     -19.3879      1.00000
      3     -19.0601      1.00000
      4     -18.8044      1.00000
      5     -18.7242      1.00000
      6     -18.7217      1.00000
      7     -18.7171      1.00000
      8     -18.5873      1.00000
      9     -18.4903      1.00000
     10     -18.3878      1.00000
     11     -18.2056      1.00000
     12     -18.2018      1.00000
     13     -18.1607      1.00000
     14     -18.1532      1.00000
     15     -18.1389      1.00000
     16     -18.1361      1.00000
     17     -18.0749      1.00000
     18     -18.0637      1.00000
     19     -18.0445      1.00000
     20     -18.0410      1.00000
     21     -18.0263      1.00000
     22     -18.0068      1.00000
     23     -17.9948      1.00000
     24     -17.9727      1.00000
     25     -17.9394      1.00000
     26     -17.8286      1.00000
     27     -17.8044      1.00000
     28     -17.8037      1.00000
     29     -17.7684      1.00000
     30     -17.7666      1.00000
     31     -17.7518      1.00000
     32     -17.6617      1.00000
     33     -17.5945      1.00000
     34     -17.3629      1.00000
     35     -17.2848      1.00000
     36     -17.2520      1.00000
     37     -17.1683      1.00000
     38     -17.0917      1.00000
     39     -17.0393      1.00000
     40     -17.0241      1.00000
     41     -17.0076      1.00000
     42     -17.0039      1.00000
     43     -17.0039      1.00000
     44     -17.0033      1.00000
     45     -17.0018      1.00000
     46     -16.9908      1.00000
     47     -16.9812      1.00000
     48     -16.9797      1.00000
     49     -16.9785      1.00000
     50     -16.9730      1.00000
     51     -16.9697      1.00000
     52     -16.7784      1.00000
     53     -16.6971      1.00000
     54     -16.6943      1.00000
     55     -16.6919      1.00000
     56     -16.6906      1.00000
     57     -16.6855      1.00000
     58     -16.6844      1.00000
     59     -16.6795      1.00000
     60     -16.5064      1.00000
     61     -16.5059      1.00000
     62     -16.5033      1.00000
     63     -16.5023      1.00000
     64     -16.5012      1.00000
     65     -16.4949      1.00000
     66     -16.4942      1.00000
     67     -16.4916      1.00000
     68     -16.4911      1.00000
     69     -16.4886      1.00000
     70     -16.4882      1.00000
     71     -16.4834      1.00000
     72     -16.3227      1.00000
     73     -16.2071      1.00000
     74     -16.2053      1.00000
     75     -16.2046      1.00000
     76     -16.2044      1.00000
     77     -16.2038      1.00000
     78     -16.2026      1.00000
     79     -16.1824      1.00000
     80     -16.0105      1.00000
     81     -15.9229      1.00000
