
 Fermi energy:         5.9729932087

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0357      1.00000
      2     -18.8455      1.00000
      3     -18.8356      1.00000
      4     -18.6341      1.00000
      5     -18.4591      1.00000
      6     -18.4490      1.00000
      7     -18.4490      1.00000
      8     -18.4227      1.00000
      9     -18.4227      1.00000
     10     -18.4019      1.00000
     11     -18.2901      1.00000
     12     -18.2840      1.00000
     13     -18.2735      1.00000
     14     -18.2735      1.00000
     15     -18.2715      1.00000
     16     -18.2715      1.00000
     17     -18.2307      1.00000
     18     -18.2307      1.00000
     19     -18.2100      1.00000
     20     -18.2100      1.00000
     21     -18.1803      1.00000
     22     -18.1565      1.00000
     23     -18.1072      1.00000
     24     -18.0916      1.00000
     25     -18.0916      1.00000
     26     -17.9521      1.00000
     27     -17.9521      1.00000
     28     -17.8652      1.00000
     29     -17.3127      1.00000
     30     -17.3114      1.00000
     31     -17.3114      1.00000
     32     -17.3085      1.00000
     33     -17.3085      1.00000
     34     -17.3065      1.00000
     35     -17.1441      1.00000
     36     -17.1422      1.00000
     37     -17.1422      1.00000
     38     -17.1357      1.00000
     39     -17.1357      1.00000
     40     -17.1356      1.00000
     41     -17.1328      1.00000
     42     -17.1328      1.00000
     43     -17.1270      1.00000
     44     -17.1173      1.00000
     45     -17.1166      1.00000
     46     -17.1166      1.00000
     47     -16.9510      1.00000
     48     -16.9509      1.00000
     49     -16.9464      1.00000
     50     -16.9305      1.00000
     51     -16.8706      1.00000
     52     -16.8706      1.00000
     53     -16.8168      1.00000
     54     -16.8157      1.00000
     55     -16.8157      1.00000
     56     -16.8122      1.00000
     57     -16.8122      1.00000
     58     -16.8111      1.00000
     59     -16.6565      1.00000
     60     -16.6516      1.00000
     61     -16.6516      1.00000
     62     -16.6462      1.00000
     63     -16.6462      1.00000
     64     -16.6431      1.00000
     65     -16.6431      1.00000
     66     -16.6406      1.00000
     67     -16.6355      1.00000
     68     -16.6228      1.00000
     69     -16.6228      1.00000
     70     -16.6180      1.00000
     71     -16.4621      1.00000
     72     -16.4621      1.00000
     73     -16.4179      1.00000
     74     -16.3727      1.00000
     75     -16.3026      1.00000
     76     -16.3026      1.00000
     77     -15.6249      1.00000
     78     -15.6249      1.00000
     79     -15.6220      1.00000
     80     -15.6209      1.00000
     81     -15.6184      1.00000
     82     -15.6184      1.00000
     83     -15.6053      1.00000
     84     -15.6053      1.00000
     85     -15.6024      1.00000
     86     -15.6016      1.00000
     87     -15.5953      1.00000
     88     -15.5953      1.00000
     89     -15.5074      1.00000
     90     -15.5046      1.00000
     91     -15.4986      1.00000
     92     -15.4973      1.00000
     93     -15.4949      1.00000
     94     -15.4949      1.00000
     95     -15.4941      1.00000
     96     -15.4941      1.00000
     97     -15.4896      1.00000
     98     -15.4896      1.00000
     99     -15.4891      1.00000
    100     -15.4891      1.00000
    101     -15.4889      1.00000
    102     -15.4839      1.00000
    103     -15.4838      1.00000
    104     -15.4592      1.00000
    105     -15.4592      1.00000
    106     -15.4527      1.00000
    107     -15.4527      1.00000
    108     -15.4517      1.00000
