
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -21.6364      1.00000
      2     -19.2417      1.00000
      3     -19.2417      1.00000
      4     -19.0072      1.00000
      5     -18.7324      1.00000
      6     -18.7056      1.00000
      7     -18.5229      1.00000
      8     -18.5229      1.00000
      9     -18.5044      1.00000
     10     -18.4218      1.00000
     11     -18.2041      1.00000
     12     -18.2041      1.00000
     13     -18.1954      1.00000
     14     -18.1394      1.00000
     15     -18.1288      1.00000
     16     -18.1287      1.00000
     17     -18.1236      1.00000
     18     -18.1236      1.00000
     19     -18.1115      1.00000
     20     -18.0944      1.00000
     21     -18.0943      1.00000
     22     -18.0857      1.00000
     23     -18.0857      1.00000
     24     -18.0818      1.00000
     25     -17.9632      1.00000
     26     -17.9216      1.00000
     27     -17.9216      1.00000
     28     -17.9095      1.00000
     29     -17.9095      1.00000
     30     -17.9081      1.00000
     31     -17.9015      1.00000
     32     -17.5192      1.00000
     33     -17.5192      1.00000
     34     -17.5113      1.00000
     35     -17.1495      1.00000
     36     -17.1495      1.00000
     37     -17.0904      1.00000
     38     -17.0427      1.00000
     39     -17.0317      1.00000
     40     -17.0317      1.00000
     41     -17.0249      1.00000
     42     -17.0145      1.00000
     43     -17.0145      1.00000
     44     -17.0018      1.00000
     45     -17.0015      1.00000
     46     -17.0015      1.00000
     47     -16.9988      1.00000
     48     -16.9988      1.00000
     49     -16.9975      1.00000
     50     -16.9764      1.00000
     51     -16.9651      1.00000
     52     -16.9651      1.00000
     53     -16.8213      1.00000
     54     -16.8213      1.00000
     55     -16.8208      1.00000
     56     -16.8208      1.00000
     57     -16.8206      1.00000
     58     -16.8206      1.00000
     59     -16.5567      1.00000
     60     -16.5567      1.00000
     61     -16.5391      1.00000
     62     -16.5358      1.00000
     63     -16.5350      1.00000
     64     -16.5350      1.00000
     65     -16.5131      1.00000
     66     -16.5131      1.00000
     67     -16.5124      1.00000
     68     -16.5124      1.00000
     69     -16.5123      1.00000
     70     -16.5116      1.00000
     71     -16.4499      1.00000
     72     -16.4499      1.00000
     73     -16.3431      1.00000
     74     -16.3427      1.00000
     75     -16.3427      1.00000
     76     -16.3424      1.00000
     77     -16.3405      1.00000
     78     -16.3405      1.00000
     79     -16.0524      1.00000
     80     -15.9843      1.00000
     81     -15.9843      1.00000
     82     -15.8877      1.00000
     83     -15.7903      1.00000
     84     -15.6804      1.00000
     85     -15.6799      1.00000
     86     -15.6799      1.00000
     87     -15.6154      1.00000
     88     -15.6154      1.00000
     89     -15.5809      1.00000
     90     -15.5809      1.00000
     91     -15.5462      1.00000
     92     -15.3783      1.00000
     93     -15.3667      1.00000
     94     -15.3570      1.00000
     95     -15.3568      1.00000
     96     -15.3568      1.00000
     97     -15.3558      1.00000
     98     -15.3508      1.00000
     99     -15.3508      1.00000
    100     -15.3467      1.00000
    101     -15.3467      1.00000
    102     -15.3413      1.00000
    103     -15.3413      1.00000
    104     -15.3291      1.00000
    105     -15.3291      1.00000
    106     -15.3261      1.00000
    107     -15.3261      1.00000
    108     -15.3182      1.00000
    109     -15.3182      1.00000
    110     -15.3169      1.00000
    111     -15.3164      1.00000
    112     -15.3163      1.00000
    113     -15.3163      1.00000
    114     -15.3058      1.00000
    115     -15.3049      1.00000
    116     -15.2245      1.00000
    117     -15.2244      1.00000
    118     -15.2244      1.00000
    119     -15.2189      1.00000
    120     -15.2187      1.00000
    121     -15.2187      1.00000
    122     -15.1901      1.00000
    123     -15.1901      1.00000
    124     -15.1873      1.00000
    125     -15.1863      1.00000
    126     -15.1850      1.00000
    127     -15.1850      1.00000
    128     -15.1781      1.00000
    129     -15.1781      1.00000
    130     -15.1765      1.00000
    131     -15.1760      1.00000
    132     -15.1736      1.00000
    133     -15.1736      1.00000
    134     -15.0864      1.00000
    135     -15.0864      1.00000
    136     -15.0864      1.00000
    137     -14.9963      1.00000
    138     -14.9962      1.00000
    139     -14.5752      1.00000
    140     -14.5749      1.00000
    141     -14.5727      1.00000
    142     -14.5718      1.00000
    143     -14.4421      1.00000
    144     -14.4421      1.00000
    145     -12.0800      1.00000
    146      -9.7517      1.00000
    147      -9.7517      1.00000
    148      -8.9894      1.00000
    149      -8.9894      1.00000
    150      -8.8452      1.00000
    151      -8.7835      1.00000
    152      -8.7618      1.00000
    153      -8.7618      1.00000
    154      -8.7607      1.00000
    155      -8.7562      1.00000
    156      -8.7562      1.00000
    157      -8.7541      1.00000
    158      -8.6194      1.00000
    159      -8.6194      1.00000
    160      -8.6192      1.00000
    161      -8.5634      1.00000
    162      -8.5634      1.00000
    163      -8.2973      1.00000
    164      -8.2973      1.00000
    165      -8.2115      1.00000
    166      -8.2115      1.00000
    167      -8.1922      1.00000
    168      -8.1689      1.00000
    169      -8.0329      1.00000
    170      -8.0329      1.00000
    171      -7.8431      1.00000
    172      -7.8431      1.00000
    173      -7.8366      1.00000
    174      -7.8366      1.00000
    175      -7.8325      1.00000
    176      -7.8325      1.00000
    177      -7.8292      1.00000
    178      -7.8292      1.00000
    179      -7.8230      1.00000
    180      -7.8201      1.00000
    181      -7.8199      1.00000
    182      -7.8190      1.00000
    183      -7.8152      1.00000
    184      -7.8132      1.00000
    185      -7.8123      1.00000
    186      -7.8112      1.00000
    187      -7.8022      1.00000
    188      -7.8022      1.00000
    189      -7.8010      1.00000
    190      -7.8010      1.00000
    191      -7.8004      1.00000
    192      -7.8004      1.00000
    193      -7.7999      1.00000
    194      -7.7999      1.00000
    195      -7.6820      1.00000
    196      -7.6818      1.00000
    197      -7.6814      1.00000
    198      -7.6814      1.00000
    199      -7.6783      1.00000
    200      -7.6783      1.00000
    201      -7.6751      1.00000
    202      -7.6751      1.00000
    203      -7.6721      1.00000
    204      -7.6721      1.00000
    205      -7.6717      1.00000
    206      -7.6716      1.00000
    207      -7.6015      1.00000
    208      -7.6015      1.00000
    209      -7.5857      1.00000
    210      -7.5857      1.00000
    211      -7.5461      1.00000
    212      -7.4493      1.00000
    213      -7.4322      1.00000
    214      -7.4322      1.00000
    215      -7.3074      1.00000
    216      -7.3074      1.00000
    217      -7.1026      1.00000
    218      -7.0147      1.00000
    219      -7.0147      1.00000
    220      -6.9463      1.00000
    221      -6.8446      1.00000
    222      -6.8446      1.00000
    223      -6.8367      1.00000
    224      -6.8367      1.00000
    225      -6.7082      1.00000
    226      -6.7079      1.00000
    227      -6.4835      1.00000
    228      -6.4834      1.00000
    229      -6.4834      1.00000
    230      -6.4811      1.00000
    231      -6.4811      1.00000
    232      -6.4810      1.00000
    233      -6.4797      1.00000
    234      -6.4790      1.00000
    235      -6.4790      1.00000
    236      -6.4784      1.00000
    237      -6.4774      1.00000
    238      -6.4774      1.00000
    239      -6.3378      1.00000
    240      -6.3378      1.00000
    241      -6.3377      1.00000
    242      -6.3376      1.00000
    243      -6.3376      1.00000
    244      -6.3375      1.00000
    245      -6.1974      1.00000
    246      -6.0526      1.00000
    247      -6.0526      1.00000
    248      -6.0122      1.00000
    249      -5.6155      1.00000
    250      -5.5781      1.00000
    251      -5.5781      1.00000
    252      -5.5325      1.00000
    253      -5.4788      1.00000
    254      -5.4374      1.00000
    255      -5.4374      1.00000
    256      -5.2438      1.00000
    257      -5.1896      1.00000
    258      -5.1896      1.00000
    259      -5.1674      1.00000
    260      -5.1674      1.00000
    261      -5.0884      1.00000
    262      -5.0402      1.00000
    263      -5.0366      1.00000
    264      -5.0366      1.00000
    265      -5.0221      1.00000
    266      -5.0221      1.00000
    267      -4.9497      1.00000
    268      -4.9497      1.00000
    269      -4.9494      1.00000
    270      -4.9492      1.00000
    271      -4.9491      1.00000
    272      -4.9491      1.00000
    273      -4.9398      1.00000
    274      -4.9397      1.00000
    275      -4.9396      1.00000
    276      -4.9396      1.00000
    277      -4.9386      1.00000
    278      -4.9386      1.00000
    279      -4.8768      1.00000
    280      -4.8768      1.00000
    281      -4.8347      1.00000
    282      -4.8106      1.00000
    283      -4.8106      1.00000
    284      -4.8105      1.00000
    285      -4.8104      1.00000
    286      -4.8104      1.00000
    287      -4.8104      1.00000
    288      -4.7551      1.00000
    289      -4.7254      1.00000
    290      -4.7253      1.00000
    291      -4.7191      1.00000
    292      -4.7191      1.00000
    293      -4.7150      1.00000
    294      -4.7150      1.00000
    295      -4.7126      1.00000
    296      -4.7126      1.00000
    297      -4.7086      1.00000
    298      -4.7047      1.00000
    299      -4.7043      1.00000
    300      -4.7030      1.00000
    301      -4.6945      1.00000
    302      -4.6931      1.00000
    303      -4.6931      1.00000
    304      -4.6920      1.00000
    305      -4.6840      1.00000
    306      -4.6840      1.00000
    307      -4.6823      1.00000
    308      -4.6822      1.00000
    309      -4.6814      1.00000
    310      -4.6814      1.00000
    311      -4.6802      1.00000
    312      -4.6802      1.00000
    313      -4.6497      1.00000
    314      -4.5655      1.00000
    315      -4.5655      1.00000
    316      -4.5651      1.00000
    317      -4.5644      1.00000
    318      -4.5619      1.00000
    319      -4.5619      1.00000
    320      -4.5571      1.00000
    321      -4.5571      1.00000
    322      -4.5545      1.00000
    323      -4.5543      1.00000
    324      -4.5535      1.00000
    325      -4.5535      1.00000
    326      -4.3015      1.00000
    327      -4.0830      1.00000
    328      -4.0830      1.00000
    329      -4.0388      1.00000
    330      -4.0387      1.00000
    331      -3.9830      1.00000
    332      -3.9219      1.00000
    333      -3.9219      1.00000
    334      -3.8938      1.00000
    335      -3.8761      1.00000
    336      -3.8659      1.00000
    337      -3.8659      1.00000
    338      -3.8254      1.00000
    339      -3.8254      1.00000
    340      -3.8243      1.00000
    341      -3.8243      1.00000
    342      -3.8199      1.00000
    343      -3.8082      1.00000
    344      -3.6657      1.00000
    345      -3.6657      1.00000
    346      -3.6137      1.00000
    347      -3.5292      1.00000
    348      -3.4336      1.00000
    349      -3.4209      1.00000
    350      -3.4209      1.00000
    351      -3.3830      1.00000
    352      -3.3830      1.00000
    353      -3.3825      1.00000
    354      -3.3787      1.00000
    355      -3.3782      1.00000
    356      -3.3782      1.00000
    357      -3.2984      1.00000
    358      -3.2974      1.00000
    359      -3.2974      1.00000
    360      -3.2423      1.00000
    361      -3.2422      1.00000
    362      -3.2421      1.00000
    363      -3.2215      1.00000
    364      -3.2215      1.00000
    365      -3.2110      1.00000
    366      -3.1911      1.00000
    367      -3.1911      1.00000
    368      -3.1506      1.00000
    369      -3.1506      1.00000
    370      -3.1349      1.00000
    371      -3.1274      1.00000
    372      -3.1274      1.00000
    373      -3.1264      1.00000
    374      -3.1256      1.00000
    375      -3.1253      1.00000
    376      -3.1253      1.00000
    377      -3.1220      1.00000
    378      -3.1213      1.00000
    379      -3.1213      1.00000
    380      -3.1197      1.00000
    381      -3.1197      1.00000
    382      -3.1190      1.00000
    383      -2.9887      1.00000
    384      -2.9886      1.00000
    385      -2.9886      1.00000
    386      -2.9885      1.00000
    387      -2.9884      1.00000
    388      -2.9884      1.00000
    389      -2.9215      1.00000
    390      -2.8870      1.00000
    391      -2.8870      1.00000
    392      -2.8673      1.00000
    393      -2.7838      1.00000
    394      -2.7838      1.00000
    395      -2.7657      1.00000
    396      -2.7561      1.00000
    397      -2.7561      1.00000
    398      -2.7557      1.00000
    399      -2.7551      1.00000
    400      -2.7551      1.00000
    401      -2.7545      1.00000
    402      -2.7521      1.00000
    403      -2.7520      1.00000
    404      -2.7518      1.00000
    405      -2.7513      1.00000
    406      -2.7503      1.00000
    407      -2.7502      1.00000
    408      -2.6657      1.00000
    409      -2.6656      1.00000
    410      -2.6583      1.00000
    411      -2.6313      1.00000
    412      -2.6312      1.00000
    413      -2.6230      1.00000
    414      -2.6166      1.00000
    415      -2.6165      1.00000
    416      -2.6165      1.00000
    417      -2.6165      1.00000
    418      -2.6163      1.00000
    419      -2.6163      1.00000
    420      -2.5551      1.00000
    421      -2.5551      1.00000
    422      -2.5364      1.00000
    423      -2.4512      1.00000
    424      -2.4484      1.00000
    425      -2.4484      1.00000
    426      -2.4354      1.00000
    427      -2.4354      1.00000
    428      -2.4338      1.00000
    429      -2.4284      1.00000
    430      -2.4284      1.00000
    431      -2.4280      1.00000
    432      -2.4167      1.00000
    433      -2.4167      1.00000
    434      -2.4095      1.00000
    435      -2.3864      1.00000
    436      -2.3861      1.00000
    437      -2.3861      1.00000
    438      -2.3816      1.00000
    439      -2.3616      1.00000
    440      -2.3616      1.00000
    441      -2.3017      1.00000
    442      -2.2998      1.00000
    443      -2.2998      1.00000
    444      -2.2958      1.00000
    445      -2.2958      1.00000
    446      -2.2935      1.00000
    447      -2.2646      1.00000
    448      -2.2609      1.00000
    449      -2.2609      1.00000
    450      -2.2564      1.00000
    451      -2.2564      1.00000
    452      -2.2552      1.00000
    453      -1.8845      1.00000
    454      -1.8019      1.00000
    455      -1.8019      1.00000
    456      -1.7961      1.00000
    457      -1.7813      1.00000
    458      -1.7813      1.00000
    459      -1.6938      1.00000
    460      -1.6938      1.00000
    461      -1.6853      1.00000
    462      -1.5953      1.00000
    463      -1.5953      1.00000
    464      -1.5784      1.00000
    465      -1.5759      1.00000
    466      -1.5759      1.00000
    467      -1.5746      1.00000
    468      -1.5746      1.00000
    469      -1.5732      1.00000
    470      -1.5344      1.00000
    471      -1.2828      1.00000
    472      -1.2828      1.00000
    473      -1.2721      1.00000
    474      -1.2453      1.00000
    475      -1.2406      1.00000
    476      -1.2406      1.00000
    477      -1.2399      1.00000
    478      -1.2373      1.00000
    479      -1.2362      1.00000
    480      -1.2362      1.00000
    481      -1.2297      1.00000
    482      -1.2297      1.00000
    483      -1.2193      1.00000
    484      -1.2192      1.00000
    485      -1.2163      1.00000
    486      -1.2163      1.00000
    487      -1.2115      1.00000
    488      -1.2098      1.00000
    489      -1.0935      1.00000
    490      -1.0914      1.00000
    491      -1.0914      1.00000
    492      -1.0875      1.00000
    493      -1.0875      1.00000
    494      -1.0855      1.00000
    495      -1.0142      1.00000
    496      -1.0142      1.00000
    497      -0.9302      1.00000
    498      -0.6983      1.00000
    499      -0.6840      1.00000
    500      -0.6840      1.00000
    501      -0.6669      1.00000
    502      -0.6669      1.00000
    503      -0.6373      1.00000
    504      -0.6373      1.00000
    505      -0.6352      1.00000
    506      -0.6199      1.00000
    507      -0.6087      1.00000
    508      -0.6087      1.00000
    509      -0.5747      1.00000
    510      -0.5747      1.00000
    511      -0.5450      1.00000
    512      -0.5295      1.00000
    513      -0.5241      1.00000
    514      -0.5241      1.00000
    515      -0.3419      1.00000
    516      -0.3419      1.00000
    517      -0.3408      1.00000
    518      -0.2364      1.00000
    519      -0.2364      1.00000
    520      -0.2333      1.00000
    521      -0.2332      1.00000
    522      -0.1027      1.00000
    523      -0.1027      1.00000
    524      -0.1007      1.00000
    525      -0.1007      1.00000
    526      -0.0444      1.00000
    527       0.0002      1.00000
    528       0.0283      1.00000
    529       0.0283      1.00000
    530       0.0812      1.00000
    531       0.0812      1.00000
    532       0.0971      1.00000
    533       0.1125      1.00000
    534       0.1189      1.00000
    535       0.1230      1.00000
    536       0.1230      1.00000
    537       0.1288      1.00000
    538       0.1373      1.00000
    539       0.1373      1.00000
    540       0.1522      1.00000
    541       0.1522      1.00000
    542       0.1715      1.00000
    543       0.1715      1.00000
    544       0.1821      1.00000
    545       0.1821      1.00000
    546       0.1893      1.00000
    547       0.1910      1.00000
    548       0.2372      1.00000
    549       0.2373      1.00000
    550       0.2402      1.00000
    551       0.3273      1.00000
    552       0.3278      1.00000
    553       0.3278      1.00000
    554       0.7078      1.00000
    555       0.7079      1.00000
    556       0.7494      1.00000
    557       0.7600      1.00000
    558       0.7814      1.00000
    559       0.7814      1.00000
    560       0.7918      1.00000
    561       0.7918      1.00000
    562       0.8130      1.00000
    563       0.8196      1.00000
    564       0.8196      1.00000
    565       0.8225      1.00000
    566       0.8385      1.00000
    567       0.8385      1.00000
    568       0.8388      1.00000
    569       0.9615      1.00000
    570       0.9615      1.00000
    571       1.2752      1.00000
    572       1.2826      1.00000
    573       1.3526      1.00000
    574       1.3539      1.00000
    575       1.4519      1.00000
    576       1.4519      1.00000
    577       3.0385      0.00000
    578       4.9771      1.00000
    579       7.1435      0.00000
    580       7.1435      0.00000
    581       7.3625      0.00000
    582       7.4100      0.00000
    583       7.7274      0.00000
    584       7.7305      0.00000
    585       7.7305      0.00000
    586       7.8442      0.00000
    587       7.8443      0.00000
    588       7.8583      0.00000
    589       7.8657      0.00000
    590       7.8657      0.00000
    591       7.9541      0.00000
    592       8.0699      0.00000
    593       8.0796      0.00000
    594       8.0796      0.00000
    595       8.0819      0.00000
    596       8.1166      0.00000
    597       8.1166      0.00000
    598       8.1497      0.00000
    599       8.1721      0.00000
    600       8.1894      0.00000
    601       8.1894      0.00000
    602       8.2966      0.00000
    603       8.2966      0.00000
    604       8.3450      0.00000
    605       8.3579      0.00000
    606       8.3579      0.00000
    607       8.3655      0.00000
    608       8.5515      0.00000
    609       8.5849      0.00000
    610       8.5849      0.00000
    611       8.6028      0.00000
    612       8.6028      0.00000
    613       8.6064      0.00000
    614       8.6332      0.00000
    615       8.6332      0.00000
    616       8.6543      0.00000
    617       8.6543      0.00000
    618       8.6566      0.00000
    619       8.6601      0.00000
    620       8.6641      0.00000
    621       8.6641      0.00000
    622       8.6826      0.00000
    623       8.6858      0.00000
    624       8.6858      0.00000
    625       8.6893      0.00000
    626       8.6893      0.00000
    627       8.6917      0.00000
    628       8.6958      0.00000
    629       8.7005      0.00000
    630       8.7084      0.00000
    631       8.7084      0.00000
    632       8.7931      0.00000
    633       8.7931      0.00000
    634       8.8537      0.00000
    635       8.8571      0.00000
    636       8.8571      0.00000
    637       8.9512      0.00000
    638       9.0012      0.00000
    639       9.0012      0.00000
    640       9.0741      0.00000
    641       9.0811      0.00000
    642       9.0811      0.00000
    643       9.2337      0.00000
    644       9.2972      0.00000
    645       9.3009      0.00000
    646       9.3009      0.00000
    647       9.3286      0.00000
    648       9.3286      0.00000
    649       9.3490      0.00000
    650       9.3490      0.00000
    651       9.3663      0.00000
    652       9.3715      0.00000
    653       9.3715      0.00000
    654       9.3735      0.00000
    655       9.7640      0.00000
    656      10.0585      0.00000
    657      10.0585      0.00000
    658      10.0834      0.00000
    659      10.0834      0.00000
    660      10.0951      0.00000
    661      10.4048      0.00000
    662      10.4130      0.00000
    663      10.4130      0.00000
    664      10.4178      0.00000
    665      10.4249      0.00000
    666      10.4325      0.00000
    667      10.4325      0.00000
    668      10.4406      0.00000
    669      10.4407      0.00000
    670      10.4438      0.00000
    671      10.4438      0.00000
    672      10.4454      0.00000
    673      10.6196      0.00000
    674      10.6381      0.00000
    675      10.6859      0.00000
    676      10.6859      0.00000
    677      10.6862      0.00000
    678      10.7144      0.00000
    679      10.7144      0.00000
    680      10.7228      0.00000
    681      10.9592      0.00000
    682      11.1500      0.00000
    683      11.1500      0.00000
    684      11.1761      0.00000
    685      11.2065      0.00000
    686      11.2065      0.00000
    687      11.2098      0.00000
    688      11.2098      0.00000
    689      11.2217      0.00000
    690      11.2332      0.00000
    691      11.2506      0.00000
    692      11.2506      0.00000
    693      11.2537      0.00000
    694      11.2740      0.00000
    695      11.2740      0.00000
    696      11.2798      0.00000
    697      11.2798      0.00000
    698      11.2948      0.00000
    699      11.2948      0.00000
    700      11.3088      0.00000
    701      11.3286      0.00000
    702      11.3295      0.00000
    703      11.3295      0.00000
    704      11.3355      0.00000
    705      11.3465      0.00000
    706      11.3465      0.00000
    707      11.3504      0.00000
    708      11.3504      0.00000
    709      11.3518      0.00000
    710      11.3543      0.00000
    711      11.4171      0.00000
    712      11.4193      0.00000
    713      11.4193      0.00000
    714      11.4222      0.00000
    715      11.4222      0.00000
    716      11.4245      0.00000
    717      11.9456      0.00000
    718      11.9817      0.00000
    719      11.9817      0.00000
    720      11.9910      0.00000
    721      11.9910      0.00000
    722      12.0010      0.00000
    723      12.0720      0.00000
    724      12.1052      0.00000
    725      12.1052      0.00000
    726      12.1236      0.00000
    727      12.1236      0.00000
    728      12.1335      0.00000
    729      12.8523      0.00000
    730      12.8523      0.00000
    731      12.9875      0.00000
    732      13.0958      0.00000
    733      13.1444      0.00000
    734      13.1444      0.00000
    735      13.2449      0.00000
    736      13.3326      0.00000
    737      13.3326      0.00000
    738      13.3642      0.00000
    739      13.3642      0.00000
    740      13.3801      0.00000
    741      13.4051      0.00000
    742      13.4051      0.00000
    743      13.4541      0.00000
    744      13.4774      0.00000
    745      13.4774      0.00000
    746      13.4903      0.00000
    747      13.4903      0.00000
    748      13.4955      0.00000
    749      13.5040      0.00000
    750      13.5182      0.00000
    751      13.5182      0.00000
    752      13.5320      0.00000
    753      13.5320      0.00000
    754      13.5330      0.00000
    755      13.5350      0.00000
    756      13.5482      0.00000
    757      13.5482      0.00000
    758      13.5919      0.00000
    759      13.6207      0.00000
    760      13.6207      0.00000
    761      13.6349      0.00000
    762      13.6349      0.00000
    763      13.6360      0.00000
    764      13.6501      0.00000
    765      13.6501      0.00000
    766      13.6955      0.00000
    767      13.6955      0.00000
    768      13.7064      0.00000
    769      13.7120      0.00000
    770      13.7120      0.00000
    771      13.7130      0.00000
    772      13.7632      0.00000
    773      13.8179      0.00000
    774      13.8358      0.00000
    775      13.8358      0.00000
    776      13.8515      0.00000
    777      13.8885      0.00000
    778      13.8885      0.00000
    779      13.9919      0.00000
    780      14.1356      0.00000
    781      14.2334      0.00000
    782      14.2334      0.00000
    783      14.2509      0.00000
    784      14.2895      0.00000
    785      14.2895      0.00000
    786      14.3432      0.00000
    787      14.3432      0.00000
    788      14.3495      0.00000
    789      14.3514      0.00000
    790      14.3514      0.00000
    791      14.3573      0.00000
    792      14.3688      0.00000
    793      14.4101      0.00000
    794      14.4101      0.00000
    795      14.6129      0.00000
    796      14.6129      0.00000
    797      14.6931      0.00000
    798      14.6931      0.00000
    799      14.7319      0.00000
    800      14.7664      0.00000
    801      14.7965      0.00000
    802      14.8186      0.00000
    803      14.8187      0.00000
    804      14.8517      0.00000
    805      14.8517      0.00000
    806      14.9099      0.00000
    807      14.9221      0.00000
    808      14.9221      0.00000
    809      14.9239      0.00000
    810      14.9239      0.00000
    811      14.9468      0.00000
    812      14.9499      0.00000
    813      14.9499      0.00000
    814      14.9600      0.00000
    815      15.0418      0.00000
    816      15.0459      0.00000
    817      15.0460      0.00000
    818      15.0497      0.00000
    819      15.0497      0.00000
    820      15.0670      0.00000
    821      15.1464      0.00000
    822      15.1464      0.00000
    823      15.1807      0.00000
    824      15.1807      0.00000
    825      15.2068      0.00000
    826      15.2158      0.00000
    827      15.2158      0.00000
    828      15.2232      0.00000
    829      15.2247      0.00000
    830      15.2353      0.00000
    831      15.2353      0.00000
    832      15.2408      0.00000
    833      15.2444      0.00000
    834      15.2444      0.00000
    835      15.2500      0.00000
    836      15.2500      0.00000
    837      15.2629      0.00000
    838      15.2629      0.00000
    839      15.2797      0.00000
    840      15.2905      0.00000
    841      15.2935      0.00000
    842      15.2935      0.00000
    843      15.3072      0.00000
    844      15.3197      0.00000
    845      15.3197      0.00000
    846      15.3285      0.00000
    847      15.3331      0.00000
    848      15.3331      0.00000
    849      15.3522      0.00000
    850      15.3557      0.00000
    851      15.3557      0.00000
    852      15.3606      0.00000
    853      15.3606      0.00000
    854      15.3698      0.00000
    855      15.4194      0.00000
    856      15.4194      0.00000
    857      15.4279      0.00000
    858      15.4279      0.00000
    859      15.4487      0.00000
    860      15.4487      0.00000
    861      15.4646      0.00000
    862      15.5192      0.00000
    863      15.5626      0.00000
    864      15.5768      0.00000
    865      15.5768      0.00000
    866      15.5773      0.00000
    867      15.5774      0.00000
    868      15.6017      0.00000
    869      15.6017      0.00000
    870      15.6146      0.00000
    871      15.6191      0.00000
    872      15.6533      0.00000
    873      15.6533      0.00000
    874      15.6565      0.00000
    875      15.7363      0.00000
    876      15.7414      0.00000
    877      15.7415      0.00000
    878      15.7547      0.00000
    879      15.7549      0.00000
    880      15.7697      0.00000
    881      15.7697      0.00000
    882      15.7732      0.00000
    883      15.7732      0.00000
    884      15.7946      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -21.5091      1.00000
      2     -19.1684      1.00000
      3     -19.1684      1.00000
      4     -19.0052      1.00000
      5     -18.7326      1.00000
      6     -18.7058      1.00000
      7     -18.5246      1.00000
      8     -18.5246      1.00000
      9     -18.5044      1.00000
     10     -18.4230      1.00000
     11     -18.1951      1.00000
     12     -18.1879      1.00000
     13     -18.1879      1.00000
     14     -18.1399      1.00000
     15     -18.1286      1.00000
     16     -18.1286      1.00000
     17     -18.1238      1.00000
     18     -18.1238      1.00000
     19     -18.1118      1.00000
     20     -18.0945      1.00000
     21     -18.0944      1.00000
     22     -18.0820      1.00000
     23     -18.0507      1.00000
     24     -18.0507      1.00000
     25     -17.9601      1.00000
     26     -17.9208      1.00000
     27     -17.9208      1.00000
     28     -17.9094      1.00000
     29     -17.9094      1.00000
     30     -17.9062      1.00000
     31     -17.9013      1.00000
     32     -17.5234      1.00000
     33     -17.5234      1.00000
     34     -17.5117      1.00000
     35     -17.1401      1.00000
     36     -17.1401      1.00000
     37     -17.0947      1.00000
     38     -17.0443      1.00000
     39     -17.0321      1.00000
     40     -17.0321      1.00000
     41     -17.0249      1.00000
     42     -17.0142      1.00000
     43     -17.0142      1.00000
     44     -17.0026      1.00000
     45     -17.0016      1.00000
     46     -17.0016      1.00000
     47     -16.9990      1.00000
     48     -16.9990      1.00000
     49     -16.9975      1.00000
     50     -16.9757      1.00000
     51     -16.9655      1.00000
     52     -16.9655      1.00000
     53     -16.8213      1.00000
     54     -16.8213      1.00000
     55     -16.8209      1.00000
     56     -16.8209      1.00000
     57     -16.8207      1.00000
     58     -16.8207      1.00000
     59     -16.5517      1.00000
     60     -16.5517      1.00000
     61     -16.5398      1.00000
     62     -16.5362      1.00000
     63     -16.5351      1.00000
     64     -16.5351      1.00000
     65     -16.5132      1.00000
     66     -16.5132      1.00000
     67     -16.5127      1.00000
     68     -16.5125      1.00000
     69     -16.5124      1.00000
     70     -16.5120      1.00000
     71     -16.4303      1.00000
     72     -16.4303      1.00000
     73     -16.3433      1.00000
     74     -16.3427      1.00000
     75     -16.3427      1.00000
     76     -16.3425      1.00000
     77     -16.3402      1.00000
     78     -16.3402      1.00000
     79     -16.0593      1.00000
     80     -15.9846      1.00000
     81     -15.9845      1.00000
     82     -15.8881      1.00000
     83     -15.7903      1.00000
     84     -15.6816      1.00000
     85     -15.6812      1.00000
     86     -15.6812      1.00000
     87     -15.6164      1.00000
     88     -15.6163      1.00000
     89     -15.5817      1.00000
     90     -15.5817      1.00000
     91     -15.5473      1.00000
     92     -15.3820      1.00000
     93     -15.3668      1.00000
     94     -15.3573      1.00000
     95     -15.3568      1.00000
     96     -15.3568      1.00000
     97     -15.3551      1.00000
     98     -15.3510      1.00000
     99     -15.3510      1.00000
    100     -15.3469      1.00000
    101     -15.3469      1.00000
    102     -15.3417      1.00000
    103     -15.3417      1.00000
    104     -15.3293      1.00000
    105     -15.3293      1.00000
    106     -15.3261      1.00000
    107     -15.3261      1.00000
    108     -15.3183      1.00000
    109     -15.3183      1.00000
    110     -15.3173      1.00000
    111     -15.3165      1.00000
    112     -15.3163      1.00000
    113     -15.3163      1.00000
    114     -15.3062      1.00000
