
 Fermi energy:         6.6191120611

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9860      1.00000
      2     -18.8309      1.00000
      3     -18.7910      1.00000
      4     -18.6501      1.00000
      5     -18.4046      1.00000
      6     -18.3961      1.00000
      7     -18.3961      1.00000
      8     -18.3778      1.00000
      9     -18.3716      1.00000
     10     -18.3675      1.00000
     11     -18.2983      1.00000
     12     -18.2539      1.00000
     13     -18.2476      1.00000
     14     -18.2459      1.00000
     15     -18.2316      1.00000
     16     -18.2180      1.00000
     17     -18.2145      1.00000
     18     -18.1960      1.00000
     19     -18.1797      1.00000
     20     -18.1754      1.00000
     21     -18.1633      1.00000
     22     -18.1403      1.00000
     23     -18.0848      1.00000
     24     -18.0817      1.00000
     25     -18.0739      1.00000
     26     -18.0546      1.00000
     27     -18.0185      1.00000
     28     -17.9370      1.00000
     29     -17.2632      1.00000
     30     -17.2598      1.00000
     31     -17.2589      1.00000
     32     -17.2570      1.00000
     33     -17.2556      1.00000
     34     -17.2545      1.00000
     35     -17.1721      1.00000
     36     -17.1185      1.00000
     37     -17.1135      1.00000
     38     -17.0885      1.00000
     39     -17.0870      1.00000
     40     -17.0869      1.00000
     41     -17.0865      1.00000
     42     -17.0846      1.00000
     43     -17.0826      1.00000
     44     -17.0821      1.00000
     45     -17.0780      1.00000
     46     -17.0719      1.00000
     47     -16.9948      1.00000
     48     -16.9680      1.00000
     49     -16.9635      1.00000
     50     -16.9253      1.00000
     51     -16.9196      1.00000
     52     -16.8909      1.00000
     53     -16.7631      1.00000
     54     -16.7629      1.00000
     55     -16.7627      1.00000
     56     -16.7615      1.00000
     57     -16.7600      1.00000
     58     -16.7575      1.00000
     59     -16.6599      1.00000
     60     -16.6272      1.00000
     61     -16.6095      1.00000
     62     -16.6002      1.00000
     63     -16.5976      1.00000
     64     -16.5975      1.00000
     65     -16.5967      1.00000
     66     -16.5935      1.00000
     67     -16.5934      1.00000
     68     -16.5888      1.00000
     69     -16.5847      1.00000
     70     -16.5660      1.00000
     71     -16.5102      1.00000
     72     -16.4901      1.00000
     73     -16.4649      1.00000
     74     -16.4362      1.00000
     75     -16.3924      1.00000
     76     -16.2088      1.00000
     77     -15.5678      1.00000
     78     -15.5677      1.00000
     79     -15.5651      1.00000
     80     -15.5643      1.00000
     81     -15.5629      1.00000
     82     -15.5625      1.00000
     83     -15.5515      1.00000
     84     -15.5512      1.00000
     85     -15.5487      1.00000
     86     -15.5486      1.00000
     87     -15.5443      1.00000
     88     -15.5435      1.00000
     89     -15.4903      1.00000
     90     -15.4768      1.00000
     91     -15.4486      1.00000
     92     -15.4465      1.00000
     93     -15.4447      1.00000
     94     -15.4445      1.00000
     95     -15.4418      1.00000
     96     -15.4412      1.00000
     97     -15.4380      1.00000
     98     -15.4359      1.00000
     99     -15.4347      1.00000
    100     -15.4343      1.00000
    101     -15.4343      1.00000
    102     -15.4334      1.00000
    103     -15.4310      1.00000
    104     -15.4248      1.00000
    105     -15.4068      1.00000
    106     -15.4061      1.00000
    107     -15.4026      1.00000
    108     -15.4004      1.00000
    109     -15.3998      1.00000
    110     -15.3994      1.00000
    111     -15.3966      1.00000
    112     -15.3964      1.00000
    113     -15.3881      1.00000
    114     -15.3880      1.00000
    115     -15.3789      1.00000
    116     -15.3751      1.00000
    117     -15.3733      1.00000
    118     -15.3351      1.00000
    119     -15.3343      1.00000
    120     -15.3200      1.00000
    121     -15.3135      1.00000
    122     -15.3053      1.00000
    123     -15.3025      1.00000
    124     -15.2939      1.00000
    125     -15.2939      1.00000
    126     -15.2894      1.00000
    127     -15.2868      1.00000
    128     -15.2841      1.00000
    129     -15.2732      1.00000
    130     -15.2714      1.00000
    131     -15.2516      1.00000
    132     -15.1318      1.00000
    133     -15.1255      1.00000
    134     -15.0105      1.00000
    135     -14.9821      1.00000
    136     -14.7834      1.00000
    137     -14.7834      1.00000
    138     -14.7025      1.00000
    139     -14.6551      1.00000
    140     -14.6548      1.00000
    141     -14.6543      1.00000
    142     -14.6540      1.00000
    143     -14.5166      1.00000
    144     -13.9311      1.00000
    145     -10.2992      1.00000
    146      -8.9720      1.00000
    147      -8.9718      1.00000
    148      -8.9710      1.00000
    149      -8.8467      1.00000
    150      -8.8467      1.00000
    151      -8.8466      1.00000
    152      -8.8462      1.00000
    153      -8.8420      1.00000
    154      -8.8366      1.00000
    155      -8.7941      1.00000
    156      -8.7341      1.00000
    157      -8.4528      1.00000
    158      -8.0397      1.00000
    159      -8.0393      1.00000
    160      -8.0391      1.00000
    161      -8.0389      1.00000
    162      -8.0346      1.00000
    163      -8.0343      1.00000
    164      -8.0297      1.00000
    165      -8.0295      1.00000
    166      -8.0252      1.00000
    167      -8.0250      1.00000
    168      -8.0242      1.00000
    169      -8.0224      1.00000
    170      -8.0141      1.00000
    171      -7.9869      1.00000
    172      -7.9621      1.00000
    173      -7.9280      1.00000
    174      -7.9272      1.00000
    175      -7.9266      1.00000
    176      -7.9264      1.00000
    177      -7.9252      1.00000
    178      -7.9188      1.00000
    179      -7.9120      1.00000
    180      -7.9104      1.00000
    181      -7.9087      1.00000
    182      -7.9061      1.00000
    183      -7.9033      1.00000
    184      -7.9026      1.00000
    185      -7.9016      1.00000
    186      -7.8984      1.00000
    187      -7.8957      1.00000
    188      -7.8864      1.00000
    189      -7.8844      1.00000
    190      -7.8834      1.00000
    191      -7.8821      1.00000
    192      -7.8816      1.00000
    193      -7.8791      1.00000
    194      -7.8782      1.00000
    195      -7.8753      1.00000
    196      -7.8736      1.00000
    197      -7.8632      1.00000
    198      -7.8215      1.00000
    199      -7.8205      1.00000
    200      -7.8186      1.00000
    201      -7.8053      1.00000
    202      -7.7819      1.00000
    203      -7.7586      1.00000
    204      -7.7387      1.00000
    205      -7.6876      1.00000
    206      -7.6692      1.00000
    207      -7.6686      1.00000
    208      -7.6595      1.00000
    209      -7.6261      1.00000
    210      -7.6222      1.00000
    211      -7.5815      1.00000
    212      -7.4863      1.00000
    213      -7.0810      1.00000
    214      -7.0513      1.00000
    215      -7.0507      1.00000
    216      -7.0066      1.00000
    217      -6.9284      1.00000
    218      -6.9278      1.00000
    219      -6.9213      1.00000
    220      -6.9209      1.00000
    221      -6.6949      1.00000
    222      -6.6949      1.00000
    223      -6.6945      1.00000
    224      -6.6944      1.00000
    225      -6.6943      1.00000
    226      -6.6942      1.00000
    227      -6.6363      1.00000
    228      -6.6099      1.00000
    229      -6.5668      1.00000
    230      -6.5668      1.00000
    231      -6.5665      1.00000
    232      -6.5662      1.00000
    233      -6.5643      1.00000
    234      -6.5636      1.00000
    235      -6.5626      1.00000
    236      -6.5564      1.00000
    237      -6.5554      1.00000
    238      -6.5538      1.00000
    239      -6.5422      1.00000
    240      -6.5383      1.00000
    241      -6.4903      1.00000
    242      -6.3631      1.00000
    243      -6.3246      1.00000
    244      -6.2400      1.00000
    245      -5.7621      1.00000
    246      -5.2976      1.00000
    247      -5.1543      1.00000
    248      -5.1542      1.00000
    249      -5.1541      1.00000
    250      -5.1540      1.00000
    251      -5.1539      1.00000
    252      -5.1538      1.00000
    253      -5.0550      1.00000
    254      -5.0469      1.00000
    255      -5.0345      1.00000
    256      -5.0341      1.00000
    257      -5.0341      1.00000
    258      -5.0335      1.00000
    259      -5.0330      1.00000
    260      -5.0315      1.00000
    261      -5.0262      1.00000
    262      -5.0251      1.00000
    263      -5.0240      1.00000
    264      -5.0223      1.00000
    265      -5.0223      1.00000
    266      -5.0216      1.00000
    267      -4.9837      1.00000
    268      -4.9738      1.00000
    269      -4.9442      1.00000
    270      -4.9347      1.00000
    271      -4.9310      1.00000
    272      -4.9245      1.00000
    273      -4.9234      1.00000
    274      -4.9226      1.00000
    275      -4.9221      1.00000
    276      -4.9189      1.00000
    277      -4.9186      1.00000
    278      -4.9113      1.00000
    279      -4.9108      1.00000
    280      -4.9107      1.00000
    281      -4.9064      1.00000
    282      -4.9060      1.00000
    283      -4.9048      1.00000
    284      -4.9047      1.00000
    285      -4.8939      1.00000
    286      -4.8886      1.00000
    287      -4.8803      1.00000
    288      -4.8720      1.00000
    289      -4.8661      1.00000
    290      -4.8421      1.00000
    291      -4.8112      1.00000
    292      -4.8105      1.00000
    293      -4.8099      1.00000
    294      -4.8083      1.00000
    295      -4.8077      1.00000
    296      -4.8050      1.00000
    297      -4.8022      1.00000
    298      -4.7948      1.00000
    299      -4.7942      1.00000
    300      -4.7939      1.00000
    301      -4.7909      1.00000
    302      -4.7878      1.00000
    303      -4.7783      1.00000
    304      -4.7760      1.00000
    305      -4.7740      1.00000
    306      -4.7630      1.00000
    307      -4.7598      1.00000
    308      -4.7589      1.00000
    309      -4.7561      1.00000
    310      -4.7553      1.00000
    311      -4.7536      1.00000
    312      -4.7529      1.00000
    313      -4.7526      1.00000
    314      -4.7480      1.00000
    315      -4.7470      1.00000
    316      -4.7460      1.00000
    317      -4.7215      1.00000
    318      -4.7063      1.00000
    319      -4.6634      1.00000
    320      -4.6334      1.00000
    321      -4.6323      1.00000
    322      -4.4571      1.00000
    323      -4.2972      1.00000
    324      -4.1670      1.00000
    325      -4.1011      1.00000
    326      -3.9830      1.00000
    327      -3.9796      1.00000
    328      -3.9683      1.00000
    329      -3.9578      1.00000
    330      -3.9429      1.00000
    331      -3.9392      1.00000
    332      -3.9321      1.00000
    333      -3.9181      1.00000
    334      -3.8977      1.00000
    335      -3.8927      1.00000
    336      -3.8795      1.00000
    337      -3.8475      1.00000
    338      -3.5949      1.00000
    339      -3.5948      1.00000
    340      -3.5948      1.00000
    341      -3.5180      1.00000
    342      -3.4780      1.00000
    343      -3.4738      1.00000
    344      -3.4648      1.00000
    345      -3.4643      1.00000
    346      -3.4635      1.00000
    347      -3.4621      1.00000
    348      -3.4571      1.00000
    349      -3.4274      1.00000
    350      -3.3609      1.00000
    351      -3.3376      1.00000
    352      -3.3375      1.00000
    353      -3.3373      1.00000
    354      -3.3372      1.00000
    355      -3.3370      1.00000
    356      -3.3368      1.00000
    357      -3.2960      1.00000
    358      -3.2864      1.00000
    359      -3.2800      1.00000
    360      -3.2770      1.00000
    361      -3.2657      1.00000
    362      -3.2649      1.00000
    363      -3.2615      1.00000
    364      -3.2133      1.00000
    365      -3.2120      1.00000
    366      -3.2116      1.00000
    367      -3.2114      1.00000
    368      -3.2101      1.00000
    369      -3.2078      1.00000
    370      -3.2075      1.00000
    371      -3.2062      1.00000
    372      -3.2048      1.00000
    373      -3.2029      1.00000
    374      -3.2028      1.00000
    375      -3.2013      1.00000
    376      -3.1106      1.00000
    377      -3.0840      1.00000
    378      -3.0628      1.00000
    379      -2.9683      1.00000
    380      -2.9682      1.00000
    381      -2.9680      1.00000
    382      -2.9677      1.00000
    383      -2.9673      1.00000
    384      -2.9673      1.00000
    385      -2.9563      1.00000
    386      -2.8661      1.00000
    387      -2.8398      1.00000
    388      -2.8386      1.00000
    389      -2.8383      1.00000
    390      -2.8380      1.00000
    391      -2.8375      1.00000
    392      -2.8357      1.00000
    393      -2.8341      1.00000
    394      -2.8328      1.00000
    395      -2.8326      1.00000
    396      -2.8313      1.00000
    397      -2.8303      1.00000
    398      -2.8277      1.00000
    399      -2.7827      1.00000
    400      -2.7704      1.00000
    401      -2.7528      1.00000
    402      -2.7475      1.00000
    403      -2.7418      1.00000
    404      -2.7017      1.00000
    405      -2.6827      1.00000
    406      -2.6494      1.00000
    407      -2.6464      1.00000
    408      -2.6459      1.00000
    409      -2.6412      1.00000
    410      -2.6406      1.00000
    411      -2.6372      1.00000
    412      -2.6306      1.00000
    413      -2.6079      1.00000
    414      -2.5977      1.00000
    415      -2.5604      1.00000
    416      -2.5494      1.00000
    417      -2.5407      1.00000
    418      -2.5354      1.00000
    419      -2.5347      1.00000
    420      -2.5318      1.00000
    421      -2.5303      1.00000
    422      -2.5252      1.00000
    423      -2.5225      1.00000
    424      -2.5224      1.00000
    425      -2.5128      1.00000
    426      -2.5125      1.00000
    427      -2.5121      1.00000
    428      -2.5102      1.00000
    429      -2.5078      1.00000
    430      -2.5075      1.00000
    431      -2.4964      1.00000
    432      -2.4913      1.00000
    433      -2.4904      1.00000
    434      -2.4149      1.00000
    435      -2.3816      1.00000
    436      -2.3755      1.00000
    437      -2.3723      1.00000
    438      -2.3638      1.00000
    439      -2.3534      1.00000
    440      -2.3390      1.00000
    441      -2.3372      1.00000
    442      -2.3340      1.00000
    443      -2.3329      1.00000
    444      -2.3320      1.00000
    445      -2.3228      1.00000
    446      -2.3206      1.00000
    447      -2.3052      1.00000
    448      -2.2739      1.00000
    449      -2.1591      1.00000
    450      -2.1469      1.00000
    451      -2.0309      1.00000
    452      -1.9500      1.00000
    453      -1.6999      1.00000
    454      -1.6890      1.00000
    455      -1.6881      1.00000
    456      -1.6574      1.00000
    457      -1.6548      1.00000
    458      -1.6517      1.00000
    459      -1.6500      1.00000
    460      -1.6467      1.00000
    461      -1.6447      1.00000
    462      -1.6433      1.00000
    463      -1.6400      1.00000
    464      -1.6132      1.00000
