
 Fermi energy:         3.7343915360

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1313      1.00000
      2     -18.8948      1.00000
      3     -18.7935      1.00000
      4     -18.7338      1.00000
      5     -18.6310      1.00000
      6     -18.3969      1.00000
      7     -18.3739      1.00000
      8     -18.3728      1.00000
      9     -18.3675      1.00000
     10     -18.3297      1.00000
     11     -18.2798      1.00000
     12     -18.2542      1.00000
     13     -18.2416      1.00000
     14     -18.2409      1.00000
     15     -18.2366      1.00000
     16     -18.2112      1.00000
     17     -18.2075      1.00000
     18     -18.2074      1.00000
     19     -18.1964      1.00000
     20     -18.1956      1.00000
     21     -18.1955      1.00000
     22     -18.1771      1.00000
     23     -18.0787      1.00000
     24     -18.0771      1.00000
     25     -18.0762      1.00000
     26     -18.0726      1.00000
     27     -18.0700      1.00000
     28     -18.0497      1.00000
     29     -17.4813      1.00000
     30     -17.3297      1.00000
     31     -17.2564      1.00000
     32     -17.2440      1.00000
     33     -17.2291      1.00000
     34     -17.1894      1.00000
     35     -17.1637      1.00000
     36     -17.1538      1.00000
     37     -17.1350      1.00000
     38     -17.1287      1.00000
     39     -17.1179      1.00000
     40     -17.0931      1.00000
     41     -17.0919      1.00000
     42     -17.0916      1.00000
     43     -17.0882      1.00000
     44     -17.0874      1.00000
     45     -17.0828      1.00000
     46     -17.0538      1.00000
     47     -16.9954      1.00000
     48     -16.9907      1.00000
     49     -16.9842      1.00000
     50     -16.9817      1.00000
     51     -16.9775      1.00000
     52     -16.9481      1.00000
     53     -16.8379      1.00000
     54     -16.8223      1.00000
     55     -16.7586      1.00000
     56     -16.7385      1.00000
     57     -16.7366      1.00000
     58     -16.6823      1.00000
     59     -16.6628      1.00000
     60     -16.6607      1.00000
     61     -16.6464      1.00000
     62     -16.6366      1.00000
     63     -16.6347      1.00000
     64     -16.6060      1.00000
     65     -16.6049      1.00000
     66     -16.6040      1.00000
     67     -16.6020      1.00000
     68     -16.6012      1.00000
     69     -16.5975      1.00000
     70     -16.5363      1.00000
     71     -16.5143      1.00000
     72     -16.5115      1.00000
     73     -16.5095      1.00000
     74     -16.5058      1.00000
     75     -16.5048      1.00000
     76     -16.3802      1.00000
     77     -15.7213      1.00000
     78     -15.6516      1.00000
     79     -15.5668      1.00000
     80     -15.5593      1.00000
     81     -15.5394      1.00000
     82     -15.5325      1.00000
     83     -15.5281      1.00000
     84     -15.5269      1.00000
     85     -15.5252      1.00000
     86     -15.5137      1.00000
     87     -15.5088      1.00000
     88     -15.4686      1.00000
     89     -15.4663      1.00000
     90     -15.4582      1.00000
     91     -15.4569      1.00000
     92     -15.4563      1.00000
     93     -15.4535      1.00000
     94     -15.4523      1.00000
     95     -15.4519      1.00000
     96     -15.4514      1.00000
     97     -15.4497      1.00000
     98     -15.4458      1.00000
     99     -15.4443      1.00000
    100     -15.4335      1.00000
    101     -15.4314      1.00000
    102     -15.4304      1.00000
    103     -15.4294      1.00000
    104     -15.4277      1.00000
    105     -15.4276      1.00000
    106     -15.4272      1.00000
    107     -15.4264      1.00000
    108     -15.4179      1.00000
    109     -15.4169      1.00000
    110     -15.4155      1.00000
    111     -15.4152      1.00000
    112     -15.4063      1.00000
    113     -15.4043      1.00000
    114     -15.4006      1.00000
    115     -15.3702      1.00000
    116     -15.3701      1.00000
    117     -15.3689      1.00000
    118     -15.3687      1.00000
    119     -15.3685      1.00000
    120     -15.3682      1.00000
    121     -15.3642      1.00000
    122     -15.3626      1.00000
    123     -15.3614      1.00000
    124     -15.3604      1.00000
    125     -15.3567      1.00000
    126     -15.3546      1.00000
    127     -15.3361      1.00000
    128     -15.3358      1.00000
    129     -15.3333      1.00000
    130     -15.3140      1.00000
    131     -15.3130      1.00000
    132     -15.3098      1.00000
    133     -15.2851      1.00000
    134     -15.2845      1.00000
    135     -15.2820      1.00000
    136     -14.8473      1.00000
    137     -14.7674      1.00000
    138     -14.6645      1.00000
    139     -14.6641      1.00000
    140     -14.6639      1.00000
    141     -14.6635      1.00000
    142     -14.6635      1.00000
    143     -14.6634      1.00000
