
 Fermi energy:         2.4037485481

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.3008      1.00000
      2     -19.1477      1.00000
      3     -18.9295      1.00000
      4     -18.7808      1.00000
      5     -18.7232      1.00000
      6     -18.6938      1.00000
      7     -18.6184      1.00000
      8     -18.5437      1.00000
      9     -18.5221      1.00000
     10     -18.4602      1.00000
     11     -18.1922      1.00000
     12     -18.1821      1.00000
     13     -18.1817      1.00000
     14     -18.1564      1.00000
     15     -18.1524      1.00000
     16     -18.1486      1.00000
     17     -18.1420      1.00000
     18     -18.1373      1.00000
     19     -18.1354      1.00000
     20     -18.1191      1.00000
     21     -18.1172      1.00000
     22     -18.1080      1.00000
     23     -17.9695      1.00000
     24     -17.9466      1.00000
     25     -17.9465      1.00000
     26     -17.9347      1.00000
     27     -17.9332      1.00000
     28     -17.9252      1.00000
     29     -17.9127      1.00000
     30     -17.8614      1.00000
     31     -17.6564      1.00000
     32     -17.5997      1.00000
     33     -17.5605      1.00000
     34     -17.3267      1.00000
     35     -17.2004      1.00000
     36     -17.1463      1.00000
     37     -17.0753      1.00000
     38     -17.0647      1.00000
     39     -17.0491      1.00000
     40     -17.0478      1.00000
     41     -17.0406      1.00000
     42     -17.0400      1.00000
     43     -17.0348      1.00000
     44     -17.0206      1.00000
     45     -17.0204      1.00000
     46     -17.0195      1.00000
     47     -17.0187      1.00000
     48     -17.0175      1.00000
     49     -17.0143      1.00000
     50     -17.0052      1.00000
     51     -16.9933      1.00000
     52     -16.8413      1.00000
     53     -16.8408      1.00000
     54     -16.8408      1.00000
     55     -16.8396      1.00000
     56     -16.8395      1.00000
     57     -16.8375      1.00000
     58     -16.7880      1.00000
     59     -16.5630      1.00000
     60     -16.5603      1.00000
     61     -16.5558      1.00000
     62     -16.5554      1.00000
     63     -16.5549      1.00000
     64     -16.5456      1.00000
     65     -16.5339      1.00000
     66     -16.5327      1.00000
     67     -16.5324      1.00000
     68     -16.5318      1.00000
     69     -16.5316      1.00000
     70     -16.5277      1.00000
     71     -16.4258      1.00000
     72     -16.3635      1.00000
     73     -16.3628      1.00000
     74     -16.3622      1.00000
     75     -16.3616      1.00000
     76     -16.3614      1.00000
     77     -16.3602      1.00000
     78     -16.1881      1.00000
     79     -16.1866      1.00000
     80     -16.0022      1.00000
     81     -15.9383      1.00000
     82     -15.7915      1.00000
     83     -15.7791      1.00000
     84     -15.7480      1.00000
     85     -15.7385      1.00000
     86     -15.6736      1.00000
     87     -15.6570      1.00000
     88     -15.6501      1.00000
     89     -15.6107      1.00000
     90     -15.5768      1.00000
     91     -15.3796      1.00000
     92     -15.3791      1.00000
     93     -15.3728      1.00000
     94     -15.3713      1.00000
     95     -15.3710      1.00000
     96     -15.3691      1.00000
     97     -15.3668      1.00000
     98     -15.3644      1.00000
     99     -15.3618      1.00000
    100     -15.3611      1.00000
    101     -15.3570      1.00000
    102     -15.3532      1.00000
    103     -15.3523      1.00000
    104     -15.3513      1.00000
    105     -15.3501      1.00000
    106     -15.3488      1.00000
    107     -15.3423      1.00000
    108     -15.3419      1.00000
    109     -15.3415      1.00000
    110     -15.3409      1.00000
    111     -15.3403      1.00000
    112     -15.3387      1.00000
    113     -15.3313      1.00000
    114     -15.3308      1.00000
    115     -15.2459      1.00000
    116     -15.2458      1.00000
    117     -15.2446      1.00000
    118     -15.2410      1.00000
    119     -15.2410      1.00000
    120     -15.2399      1.00000
    121     -15.2075      1.00000
    122     -15.2063      1.00000
    123     -15.2053      1.00000
    124     -15.2048      1.00000
    125     -15.2034      1.00000
    126     -15.2030      1.00000
    127     -15.1988      1.00000
    128     -15.1985      1.00000
    129     -15.1972      1.00000
    130     -15.1969      1.00000
    131     -15.1956      1.00000
    132     -15.1951      1.00000
    133     -15.1061      1.00000
    134     -15.1061      1.00000
    135     -15.1061      1.00000
    136     -15.0871      1.00000
    137     -15.0632      1.00000
    138     -14.5936      1.00000
    139     -14.5932      1.00000
    140     -14.5931      1.00000
