
 Fermi energy:         4.1245710434

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0657      1.00000
      2     -18.8758      1.00000
      3     -18.8473      1.00000
      4     -18.5901      1.00000
      5     -18.4886      1.00000
      6     -18.4793      1.00000
      7     -18.4774      1.00000
      8     -18.4554      1.00000
      9     -18.4532      1.00000
     10     -18.4348      1.00000
     11     -18.3193      1.00000
     12     -18.3049      1.00000
     13     -18.3010      1.00000
     14     -18.3001      1.00000
     15     -18.2823      1.00000
     16     -18.2800      1.00000
     17     -18.2637      1.00000
     18     -18.2576      1.00000
     19     -18.2294      1.00000
     20     -18.2281      1.00000
     21     -18.2167      1.00000
     22     -18.1757      1.00000
     23     -18.0981      1.00000
     24     -18.0600      1.00000
     25     -18.0590      1.00000
     26     -17.8996      1.00000
     27     -17.8610      1.00000
     28     -17.4824      1.00000
     29     -17.3439      1.00000
     30     -17.3428      1.00000
     31     -17.3427      1.00000
     32     -17.3399      1.00000
     33     -17.3398      1.00000
     34     -17.3355      1.00000
     35     -17.1741      1.00000
     36     -17.1724      1.00000
     37     -17.1712      1.00000
     38     -17.1665      1.00000
     39     -17.1651      1.00000
     40     -17.1609      1.00000
     41     -17.1532      1.00000
     42     -17.1493      1.00000
     43     -17.1485      1.00000
     44     -17.1392      1.00000
     45     -17.1380      1.00000
     46     -17.1231      1.00000
     47     -16.9044      1.00000
     48     -16.8875      1.00000
     49     -16.8817      1.00000
     50     -16.8531      1.00000
     51     -16.8520      1.00000
     52     -16.8486      1.00000
     53     -16.8471      1.00000
     54     -16.8469      1.00000
     55     -16.8452      1.00000
     56     -16.8342      1.00000
     57     -16.8240      1.00000
     58     -16.7493      1.00000
     59     -16.6855      1.00000
     60     -16.6823      1.00000
     61     -16.6810      1.00000
     62     -16.6775      1.00000
     63     -16.6756      1.00000
     64     -16.6710      1.00000
     65     -16.6650      1.00000
     66     -16.6600      1.00000
     67     -16.6573      1.00000
     68     -16.6455      1.00000
     69     -16.6425      1.00000
     70     -16.6205      1.00000
     71     -16.3883      1.00000
     72     -16.3613      1.00000
     73     -16.3361      1.00000
     74     -16.2093      1.00000
     75     -16.1084      1.00000
     76     -15.7578      1.00000
     77     -15.6568      1.00000
     78     -15.6563      1.00000
     79     -15.6536      1.00000
     80     -15.6530      1.00000
     81     -15.6501      1.00000
     82     -15.6501      1.00000
     83     -15.6390      1.00000
     84     -15.6384      1.00000
     85     -15.6356      1.00000
     86     -15.6345      1.00000
     87     -15.6300      1.00000
     88     -15.6300      1.00000
     89     -15.5362      1.00000
     90     -15.5340      1.00000
     91     -15.5292      1.00000
     92     -15.5284      1.00000
     93     -15.5271      1.00000
     94     -15.5248      1.00000
     95     -15.5248      1.00000
     96     -15.5220      1.00000
     97     -15.5213      1.00000
     98     -15.5206      1.00000
     99     -15.5178      1.00000
    100     -15.5149      1.00000
    101     -15.5136      1.00000
    102     -15.5114      1.00000
    103     -15.5080      1.00000
    104     -15.4893      1.00000
    105     -15.4876      1.00000
    106     -15.4853      1.00000
    107     -15.4802      1.00000
    108     -15.4790      1.00000
    109     -15.4775      1.00000
    110     -15.4737      1.00000
    111     -15.4711      1.00000
    112     -15.4699      1.00000
    113     -15.4604      1.00000
    114     -15.4591      1.00000
    115     -15.4548      1.00000
    116     -15.3743      1.00000
    117     -15.3743      1.00000
    118     -15.3741      1.00000
    119     -15.3727      1.00000
    120     -15.3619      1.00000
    121     -15.3588      1.00000
    122     -15.3442      1.00000
    123     -15.3394      1.00000
    124     -15.3349      1.00000
    125     -15.3122      1.00000
    126     -15.3099      1.00000
    127     -15.2938      1.00000
    128     -15.2223      1.00000
    129     -15.1614      1.00000
    130     -15.1456      1.00000
    131     -15.1225      1.00000
    132     -15.0837      1.00000
    133     -14.9085      1.00000
    134     -14.8718      1.00000
    135     -14.8718      1.00000
    136     -14.7384      1.00000
    137     -14.7381      1.00000
    138     -14.7375      1.00000
    139     -14.7372      1.00000
    140     -14.6626      1.00000
    141     -14.5150      1.00000
    142     -14.1937      1.00000
    143     -13.6998      1.00000
    144     -11.9793      1.00000
    145      -9.0599      1.00000
    146      -9.0599      1.00000
    147      -9.0598      1.00000
    148      -8.9310      1.00000
    149      -8.9305      1.00000
    150      -8.9304      1.00000
    151      -8.9223      1.00000
    152      -8.9219      1.00000
    153      -8.9219      1.00000
    154      -8.6530      1.00000
    155      -8.6172      1.00000
    156      -8.5802      1.00000
    157      -8.1287      1.00000
    158      -8.1283      1.00000
    159      -8.1281      1.00000
    160      -8.1277      1.00000
    161      -8.1230      1.00000
    162      -8.1227      1.00000
    163      -8.1181      1.00000
    164      -8.1172      1.00000
    165      -8.1129      1.00000
    166      -8.1119      1.00000
    167      -8.1115      1.00000
    168      -8.1097      1.00000
    169      -8.0146      1.00000
    170      -8.0143      1.00000
    171      -8.0124      1.00000
    172      -8.0123      1.00000
    173      -8.0058      1.00000
    174      -8.0053      1.00000
    175      -8.0033      1.00000
    176      -8.0030      1.00000
    177      -7.9951      1.00000
    178      -7.9934      1.00000
    179      -7.9885      1.00000
    180      -7.9877      1.00000
    181      -7.9861      1.00000
    182      -7.9802      1.00000
    183      -7.9798      1.00000
    184      -7.9715      1.00000
    185      -7.9669      1.00000
    186      -7.9654      1.00000
    187      -7.9636      1.00000
    188      -7.9605      1.00000
    189      -7.9555      1.00000
    190      -7.9532      1.00000
    191      -7.9505      1.00000
    192      -7.9468      1.00000
    193      -7.9074      1.00000
    194      -7.9070      1.00000
    195      -7.8165      1.00000
    196      -7.8079      1.00000
    197      -7.7824      1.00000
    198      -7.7673      1.00000
    199      -7.7522      1.00000
    200      -7.7522      1.00000
    201      -7.7476      1.00000
    202      -7.7424      1.00000
    203      -7.6876      1.00000
    204      -7.6742      1.00000
    205      -7.6444      1.00000
    206      -7.6356      1.00000
    207      -7.6285      1.00000
    208      -7.5904      1.00000
    209      -7.5193      1.00000
    210      -7.2733      1.00000
    211      -7.1983      1.00000
    212      -7.1394      1.00000
    213      -7.1393      1.00000
    214      -7.0115      1.00000
    215      -7.0114      1.00000
    216      -7.0047      1.00000
    217      -7.0045      1.00000
    218      -6.9930      1.00000
    219      -6.7830      1.00000
    220      -6.7827      1.00000
    221      -6.7827      1.00000
    222      -6.7826      1.00000
    223      -6.7826      1.00000
    224      -6.7823      1.00000
    225      -6.6509      1.00000
    226      -6.6506      1.00000
    227      -6.6501      1.00000
    228      -6.6477      1.00000
    229      -6.6464      1.00000
    230      -6.6464      1.00000
    231      -6.6427      1.00000
    232      -6.6395      1.00000
    233      -6.6391      1.00000
    234      -6.6388      1.00000
    235      -6.6359      1.00000
    236      -6.6356      1.00000
    237      -6.5810      1.00000
    238      -6.5715      1.00000
    239      -6.3298      1.00000
    240      -6.2212      1.00000
    241      -6.2123      1.00000
    242      -6.1688      1.00000
    243      -6.1286      1.00000
    244      -5.8068      1.00000
    245      -5.7121      1.00000
    246      -5.2427      1.00000
    247      -5.2425      1.00000
    248      -5.2425      1.00000
    249      -5.2423      1.00000
    250      -5.2423      1.00000
    251      -5.2422      1.00000
    252      -5.1188      1.00000
    253      -5.1181      1.00000
    254      -5.1178      1.00000
    255      -5.1166      1.00000
    256      -5.1162      1.00000
    257      -5.1154      1.00000
    258      -5.1097      1.00000
    259      -5.1090      1.00000
    260      -5.1087      1.00000
    261      -5.1073      1.00000
    262      -5.1071      1.00000
    263      -5.1064      1.00000
    264      -5.0127      1.00000
    265      -5.0125      1.00000
    266      -5.0122      1.00000
    267      -5.0114      1.00000
    268      -5.0111      1.00000
    269      -5.0071      1.00000
    270      -5.0069      1.00000
    271      -4.9992      1.00000
    272      -4.9986      1.00000
    273      -4.9940      1.00000
    274      -4.9937      1.00000
    275      -4.9930      1.00000
    276      -4.9925      1.00000
    277      -4.9922      1.00000
    278      -4.9891      1.00000
    279      -4.9302      1.00000
    280      -4.9266      1.00000
    281      -4.8976      1.00000
    282      -4.8965      1.00000
    283      -4.8952      1.00000
    284      -4.8941      1.00000
    285      -4.8933      1.00000
    286      -4.8931      1.00000
    287      -4.8887      1.00000
    288      -4.8882      1.00000
    289      -4.8834      1.00000
    290      -4.8803      1.00000
    291      -4.8798      1.00000
    292      -4.8787      1.00000
    293      -4.8760      1.00000
    294      -4.8628      1.00000
    295      -4.8578      1.00000
    296      -4.8573      1.00000
    297      -4.8563      1.00000
    298      -4.8498      1.00000
    299      -4.8409      1.00000
    300      -4.8401      1.00000
    301      -4.8393      1.00000
    302      -4.8365      1.00000
    303      -4.8357      1.00000
    304      -4.8351      1.00000
    305      -4.8336      1.00000
    306      -4.8317      1.00000
    307      -4.8199      1.00000
    308      -4.8130      1.00000
    309      -4.8036      1.00000
    310      -4.7922      1.00000
    311      -4.7483      1.00000
    312      -4.7206      1.00000
    313      -4.6993      1.00000
    314      -4.6764      1.00000
    315      -4.6513      1.00000
    316      -4.6042      1.00000
    317      -4.6035      1.00000
    318      -4.5891      1.00000
    319      -4.5195      1.00000
    320      -4.4424      1.00000
    321      -4.3238      1.00000
    322      -4.2180      1.00000
    323      -4.0438      1.00000
    324      -4.0277      1.00000
    325      -4.0247      1.00000
    326      -4.0176      1.00000
    327      -4.0054      1.00000
    328      -3.9925      1.00000
    329      -3.9870      1.00000
    330      -3.9799      1.00000
    331      -3.9778      1.00000
    332      -3.9568      1.00000
    333      -3.9104      1.00000
    334      -3.8905      1.00000
    335      -3.8799      1.00000
    336      -3.7312      1.00000
    337      -3.6832      1.00000
    338      -3.6832      1.00000
    339      -3.6831      1.00000
    340      -3.5490      1.00000
    341      -3.5485      1.00000
    342      -3.5483      1.00000
    343      -3.5473      1.00000
    344      -3.5456      1.00000
    345      -3.5452      1.00000
    346      -3.5283      1.00000
    347      -3.4644      1.00000
    348      -3.4258      1.00000
    349      -3.4258      1.00000
    350      -3.4257      1.00000
    351      -3.4255      1.00000
    352      -3.4255      1.00000
    353      -3.4254      1.00000
    354      -3.3415      1.00000
    355      -3.3344      1.00000
    356      -3.3330      1.00000
    357      -3.3217      1.00000
    358      -3.3207      1.00000
    359      -3.3075      1.00000
    360      -3.2943      1.00000
    361      -3.2916      1.00000
    362      -3.2915      1.00000
    363      -3.2905      1.00000
    364      -3.2892      1.00000
    365      -3.2889      1.00000
    366      -3.2878      1.00000
    367      -3.2873      1.00000
    368      -3.2863      1.00000
    369      -3.2831      1.00000
    370      -3.2819      1.00000
    371      -3.2633      1.00000
    372      -3.2524      1.00000
    373      -3.2155      1.00000
    374      -3.1665      1.00000
    375      -3.0567      1.00000
    376      -3.0566      1.00000
    377      -3.0564      1.00000
    378      -3.0560      1.00000
    379      -3.0557      1.00000
    380      -3.0556      1.00000
    381      -3.0094      1.00000
    382      -3.0063      1.00000
    383      -2.9431      1.00000
    384      -2.9254      1.00000
    385      -2.9234      1.00000
    386      -2.9228      1.00000
    387      -2.9214      1.00000
    388      -2.9203      1.00000
    389      -2.9201      1.00000
    390      -2.9169      1.00000
    391      -2.9162      1.00000
    392      -2.9154      1.00000
    393      -2.9153      1.00000
    394      -2.9129      1.00000
    395      -2.9097      1.00000
    396      -2.9021      1.00000
    397      -2.8384      1.00000
    398      -2.8350      1.00000
    399      -2.8113      1.00000
