
 Fermi energy:         1.6937992578

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -20.3478      1.00000
      2     -19.3578      1.00000
      3     -19.3578      1.00000
      4     -18.9323      1.00000
      5     -18.7192      1.00000
      6     -18.7159      1.00000
      7     -18.5914      1.00000
      8     -18.5914      1.00000
      9     -18.4167      1.00000
     10     -18.3619      1.00000
     11     -18.2102      1.00000
     12     -18.1929      1.00000
     13     -18.1485      1.00000
     14     -18.1485      1.00000
     15     -18.1170      1.00000
     16     -18.1170      1.00000
     17     -18.0389      1.00000
     18     -18.0389      1.00000
     19     -18.0108      1.00000
     20     -18.0108      1.00000
     21     -17.9981      1.00000
     22     -17.9981      1.00000
     23     -17.9760      1.00000
     24     -17.9562      1.00000
     25     -17.7992      1.00000
     26     -17.7689      1.00000
     27     -17.7689      1.00000
     28     -17.7434      1.00000
     29     -17.7258      1.00000
     30     -17.7258      1.00000
     31     -17.7070      1.00000
     32     -17.6479      1.00000
     33     -17.6138      1.00000
     34     -17.6138      1.00000
     35     -17.2175      1.00000
     36     -17.1473      1.00000
     37     -17.1473      1.00000
     38     -17.0344      1.00000
     39     -17.0254      1.00000
     40     -17.0135      1.00000
     41     -17.0135      1.00000
     42     -16.9794      1.00000
     43     -16.9794      1.00000
     44     -16.9765      1.00000
     45     -16.9758      1.00000
     46     -16.9758      1.00000
     47     -16.9546      1.00000
     48     -16.9546      1.00000
     49     -16.9477      1.00000
     50     -16.9477      1.00000
     51     -16.9438      1.00000
     52     -16.9322      1.00000
     53     -16.6656      1.00000
     54     -16.6559      1.00000
     55     -16.6559      1.00000
     56     -16.6477      1.00000
     57     -16.6477      1.00000
     58     -16.6433      1.00000
     59     -16.4812      1.00000
     60     -16.4764      1.00000
     61     -16.4733      1.00000
     62     -16.4733      1.00000
     63     -16.4673      1.00000
     64     -16.4673      1.00000
     65     -16.4639      1.00000
     66     -16.4639      1.00000
     67     -16.4625      1.00000
     68     -16.4513      1.00000
     69     -16.4512      1.00000
     70     -16.4512      1.00000
     71     -16.4309      1.00000
     72     -16.4309      1.00000
     73     -16.1701      1.00000
     74     -16.1663      1.00000
     75     -16.1663      1.00000
     76     -16.1654      1.00000
     77     -16.1654      1.00000
     78     -16.1648      1.00000
     79     -16.0881      1.00000
     80     -16.0881      1.00000
     81     -16.0878      1.00000
     82     -15.9813      1.00000
     83     -15.7674      1.00000
     84     -15.7029      1.00000
     85     -15.6815      1.00000
     86     -15.6815      1.00000
     87     -15.6157      1.00000
     88     -15.6157      1.00000
     89     -15.5868      1.00000
     90     -15.5868      1.00000
     91     -15.5433      1.00000
     92     -15.5400      1.00000
     93     -15.5082      1.00000
     94     -15.4085      1.00000
     95     -15.4067      1.00000
     96     -15.3767      1.00000
     97     -15.3767      1.00000
     98     -15.3741      1.00000
     99     -15.3740      1.00000
    100     -15.3157      1.00000
    101     -15.3157      1.00000
    102     -15.3146      1.00000
    103     -15.3146      1.00000
    104     -15.2407      1.00000
    105     -15.2407      1.00000
    106     -15.2358      1.00000
    107     -15.2358      1.00000
    108     -15.2261      1.00000
    109     -15.2261      1.00000
    110     -15.2213      1.00000
    111     -15.2213      1.00000
    112     -15.1950      1.00000
    113     -15.1906      1.00000
    114     -15.1889      1.00000
    115     -15.1836      1.00000
    116     -15.1308      1.00000
    117     -15.1273      1.00000
    118     -15.1188      1.00000
    119     -15.1188      1.00000
    120     -15.1139      1.00000
    121     -15.1139      1.00000
    122     -15.0313      1.00000
    123     -15.0312      1.00000
    124     -15.0159      1.00000
    125     -15.0081      1.00000
    126     -15.0078      1.00000
    127     -15.0078      1.00000
    128     -14.9845      1.00000
    129     -14.9845      1.00000
    130     -14.9824      1.00000
    131     -14.9816      1.00000
    132     -14.9816      1.00000
    133     -14.9780      1.00000
    134     -14.9687      1.00000
    135     -14.9687      1.00000
    136     -14.8887      1.00000
    137     -14.8887      1.00000
    138     -14.8882      1.00000
    139     -14.5144      1.00000
    140     -14.5143      1.00000
    141     -14.5115      1.00000
    142     -14.5113      1.00000
    143     -14.2471      1.00000
    144     -14.2471      1.00000
    145     -10.2579      1.00000
    146      -9.8215      1.00000
    147      -9.8215      1.00000
    148      -9.3152      1.00000
    149      -8.8989      1.00000
    150      -8.8989      1.00000
    151      -8.7345      1.00000
    152      -8.7345      1.00000
    153      -8.7294      1.00000
    154      -8.7285      1.00000
    155      -8.7285      1.00000
    156      -8.7274      1.00000
    157      -8.6904      1.00000
    158      -8.4829      1.00000
    159      -8.4829      1.00000
    160      -8.4284      1.00000
    161      -8.4277      1.00000
    162      -8.4277      1.00000
    163      -8.2771      1.00000
    164      -8.2771      1.00000
    165      -8.2454      1.00000
    166      -8.2454      1.00000
    167      -8.2155      1.00000
    168      -8.2153      1.00000
    169      -8.0491      1.00000
    170      -8.0491      1.00000
    171      -7.8790      1.00000
    172      -7.8789      1.00000
    173      -7.8688      1.00000
    174      -7.8688      1.00000
    175      -7.8490      1.00000
    176      -7.8489      1.00000
    177      -7.8435      1.00000
    178      -7.8435      1.00000
    179      -7.7904      1.00000
    180      -7.7856      1.00000
    181      -7.7819      1.00000
    182      -7.7711      1.00000
    183      -7.7666      1.00000
    184      -7.7601      1.00000
    185      -7.7517      1.00000
    186      -7.7488      1.00000
    187      -7.7462      1.00000
    188      -7.7123      1.00000
    189      -7.7123      1.00000
    190      -7.7095      1.00000
    191      -7.7095      1.00000
    192      -7.6978      1.00000
    193      -7.6978      1.00000
    194      -7.6957      1.00000
    195      -7.6957      1.00000
    196      -7.5219      1.00000
    197      -7.5219      1.00000
    198      -7.5149      1.00000
    199      -7.5149      1.00000
    200      -7.5080      1.00000
    201      -7.5032      1.00000
    202      -7.5032      1.00000
    203      -7.5020      1.00000
    204      -7.4875      1.00000
    205      -7.4875      1.00000
    206      -7.4794      1.00000
    207      -7.4794      1.00000
    208      -7.4681      1.00000
    209      -7.4675      1.00000
    210      -7.4675      1.00000
    211      -7.4662      1.00000
    212      -7.2993      1.00000
    213      -7.2496      1.00000
    214      -7.2496      1.00000
    215      -7.2455      1.00000
    216      -7.2455      1.00000
    217      -7.1068      1.00000
    218      -7.0012      1.00000
    219      -6.9889      1.00000
    220      -6.9888      1.00000
    221      -6.7945      1.00000
    222      -6.7945      1.00000
    223      -6.7864      1.00000
    224      -6.7864      1.00000
    225      -6.5134      1.00000
    226      -6.5126      1.00000
    227      -6.4516      1.00000
    228      -6.4456      1.00000
