
 Fermi energy:         3.8423203988

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9428      1.00000
      2     -18.8005      1.00000
      3     -18.7461      1.00000
      4     -18.6097      1.00000
      5     -18.4674      1.00000
      6     -18.3891      1.00000
      7     -18.3523      1.00000
      8     -18.3367      1.00000
      9     -18.2996      1.00000
     10     -18.2597      1.00000
     11     -18.2303      1.00000
     12     -18.2214      1.00000
     13     -18.2095      1.00000
     14     -18.2011      1.00000
     15     -18.1737      1.00000
     16     -18.1643      1.00000
     17     -18.1608      1.00000
     18     -18.1598      1.00000
     19     -18.1482      1.00000
     20     -18.1470      1.00000
     21     -18.1307      1.00000
     22     -18.0886      1.00000
     23     -18.0359      1.00000
     24     -18.0343      1.00000
     25     -18.0317      1.00000
     26     -18.0252      1.00000
     27     -18.0112      1.00000
     28     -17.9578      1.00000
     29     -17.3003      1.00000
     30     -17.2670      1.00000
     31     -17.2471      1.00000
     32     -17.2193      1.00000
     33     -17.1722      1.00000
     34     -17.1386      1.00000
     35     -17.1084      1.00000
     36     -17.1045      1.00000
     37     -17.1013      1.00000
     38     -17.0927      1.00000
     39     -17.0668      1.00000
     40     -17.0459      1.00000
     41     -17.0443      1.00000
     42     -17.0441      1.00000
     43     -17.0404      1.00000
     44     -17.0401      1.00000
     45     -17.0356      1.00000
     46     -16.9953      1.00000
     47     -16.9421      1.00000
     48     -16.9408      1.00000
     49     -16.9394      1.00000
     50     -16.9353      1.00000
     51     -16.9275      1.00000
     52     -16.8956      1.00000
     53     -16.7795      1.00000
     54     -16.7364      1.00000
     55     -16.7338      1.00000
     56     -16.7308      1.00000
     57     -16.6528      1.00000
     58     -16.6311      1.00000
     59     -16.6147      1.00000
     60     -16.6075      1.00000
     61     -16.6065      1.00000
     62     -16.6061      1.00000
     63     -16.5579      1.00000
     64     -16.5577      1.00000
     65     -16.5573      1.00000
     66     -16.5537      1.00000
     67     -16.5534      1.00000
     68     -16.5511      1.00000
     69     -16.5434      1.00000
     70     -16.4775      1.00000
     71     -16.4657      1.00000
     72     -16.4625      1.00000
     73     -16.4623      1.00000
     74     -16.4604      1.00000
     75     -16.4414      1.00000
     76     -16.2462      1.00000
     77     -15.7796      1.00000
     78     -15.6126      1.00000
     79     -15.5961      1.00000
     80     -15.5237      1.00000
     81     -15.5153      1.00000
     82     -15.5080      1.00000
     83     -15.4857      1.00000
     84     -15.4816      1.00000
     85     -15.4761      1.00000
     86     -15.4512      1.00000
     87     -15.4309      1.00000
     88     -15.4183      1.00000
     89     -15.4180      1.00000
     90     -15.4168      1.00000
     91     -15.4158      1.00000
     92     -15.4136      1.00000
     93     -15.4103      1.00000
     94     -15.4072      1.00000
     95     -15.4065      1.00000
     96     -15.4051      1.00000
     97     -15.4026      1.00000
     98     -15.3967      1.00000
     99     -15.3844      1.00000
