
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9815      1.00000
      2     -18.7840      1.00000
      3     -18.7163      1.00000
      4     -18.5806      1.00000
      5     -18.4887      1.00000
      6     -18.4887      1.00000
      7     -18.4062      1.00000
      8     -18.4062      1.00000
      9     -18.3379      1.00000
     10     -18.2647      1.00000
     11     -18.2013      1.00000
     12     -18.2013      1.00000
     13     -18.1862      1.00000
     14     -18.1862      1.00000
     15     -18.1718      1.00000
     16     -18.1342      1.00000
     17     -18.1272      1.00000
     18     -18.1272      1.00000
     19     -18.1267      1.00000
     20     -18.1158      1.00000
     21     -18.1157      1.00000
     22     -18.1122      1.00000
     23     -18.0018      1.00000
     24     -18.0018      1.00000
     25     -17.9940      1.00000
     26     -17.9940      1.00000
     27     -17.9893      1.00000
     28     -17.9830      1.00000
     29     -17.4053      1.00000
     30     -17.3485      1.00000
     31     -17.3485      1.00000
     32     -17.2429      1.00000
     33     -17.2429      1.00000
     34     -17.1226      1.00000
     35     -17.0784      1.00000
     36     -17.0783      1.00000
     37     -17.0783      1.00000
     38     -17.0682      1.00000
     39     -17.0681      1.00000
     40     -17.0226      1.00000
     41     -17.0133      1.00000
     42     -17.0133      1.00000
     43     -17.0120      1.00000
     44     -17.0105      1.00000
     45     -17.0105      1.00000
     46     -17.0102      1.00000
     47     -16.9127      1.00000
     48     -16.9127      1.00000
     49     -16.9078      1.00000
     50     -16.9041      1.00000
     51     -16.9041      1.00000
     52     -16.8988      1.00000
     53     -16.8682      1.00000
     54     -16.8682      1.00000
     55     -16.7522      1.00000
     56     -16.7522      1.00000
     57     -16.7361      1.00000
     58     -16.5956      1.00000
     59     -16.5858      1.00000
     60     -16.5858      1.00000
     61     -16.5772      1.00000
     62     -16.5772      1.00000
     63     -16.5750      1.00000
     64     -16.5264      1.00000
     65     -16.5264      1.00000
     66     -16.5258      1.00000
     67     -16.5240      1.00000
     68     -16.5240      1.00000
     69     -16.5237      1.00000
     70     -16.4418      1.00000
     71     -16.4327      1.00000
     72     -16.4327      1.00000
     73     -16.4287      1.00000
     74     -16.4287      1.00000
     75     -16.4281      1.00000
     76     -16.2007      1.00000
     77     -16.0536      1.00000
     78     -15.6812      1.00000
     79     -15.6812      1.00000
     80     -15.6287      1.00000
     81     -15.6287      1.00000
     82     -15.5307      1.00000
     83     -15.5307      1.00000
     84     -15.4902      1.00000
     85     -15.4693      1.00000
     86     -15.4469      1.00000
     87     -15.4465      1.00000
     88     -15.4465      1.00000
     89     -15.4012      1.00000
     90     -15.4012      1.00000
     91     -15.3850      1.00000
     92     -15.3839      1.00000
     93     -15.3826      1.00000
     94     -15.3826      1.00000
     95     -15.3754      1.00000
     96     -15.3754      1.00000
     97     -15.3713      1.00000
     98     -15.3713      1.00000
     99     -15.3660      1.00000
    100     -15.3655      1.00000
    101     -15.3526      1.00000
    102     -15.3525      1.00000
    103     -15.3471      1.00000
    104     -15.3471      1.00000
    105     -15.3461      1.00000
    106     -15.3452      1.00000
    107     -15.3374      1.00000
    108     -15.3372      1.00000
    109     -15.3372      1.00000
    110     -15.3361      1.00000
    111     -15.3361      1.00000
    112     -15.3352      1.00000
    113     -15.3325      1.00000
    114     -15.3325      1.00000
    115     -15.2878      1.00000
    116     -15.2874      1.00000
    117     -15.2868      1.00000
    118     -15.2867      1.00000
    119     -15.2820      1.00000
    120     -15.2820      1.00000
    121     -15.2795      1.00000
    122     -15.2795      1.00000
    123     -15.2783      1.00000
    124     -15.2773      1.00000
    125     -15.2758      1.00000
    126     -15.2758      1.00000
    127     -15.2546      1.00000
    128     -15.2544      1.00000
    129     -15.2544      1.00000
    130     -15.2354      1.00000
    131     -15.2354      1.00000
    132     -15.2350      1.00000
    133     -15.2007      1.00000
    134     -15.2007      1.00000
    135     -15.2007      1.00000
    136     -14.8066      1.00000
    137     -14.7937      1.00000
    138     -14.5857      1.00000
    139     -14.5857      1.00000
    140     -14.5854      1.00000
    141     -14.5854      1.00000
    142     -14.5732      1.00000
    143     -14.5731      1.00000
    144      -9.9036      1.00000
    145      -9.0490      1.00000
    146      -8.9159      1.00000
    147      -8.9159      1.00000
    148      -8.7873      1.00000
    149      -8.7841      1.00000
    150      -8.7841      1.00000
    151      -8.7766      1.00000
    152      -8.7734      1.00000
    153      -8.7734      1.00000
    154      -8.7371      1.00000
    155      -8.7353      1.00000
    156      -8.7353      1.00000
    157      -8.3332      1.00000
    158      -8.3332      1.00000
    159      -8.1763      1.00000
    160      -8.0919      1.00000
    161      -8.0303      1.00000
    162      -8.0303      1.00000
    163      -8.0244      1.00000
    164      -7.9765      1.00000
    165      -7.9765      1.00000
    166      -7.9431      1.00000
    167      -7.9431      1.00000
    168      -7.8569      1.00000
    169      -7.8531      1.00000
    170      -7.8531      1.00000
    171      -7.8518      1.00000
    172      -7.8486      1.00000
    173      -7.8486      1.00000
    174      -7.8449      1.00000
    175      -7.8447      1.00000
    176      -7.8447      1.00000
    177      -7.8438      1.00000
    178      -7.8435      1.00000
    179      -7.8435      1.00000
    180      -7.8422      1.00000
    181      -7.8394      1.00000
    182      -7.8389      1.00000
    183      -7.8388      1.00000
    184      -7.8319      1.00000
    185      -7.8319      1.00000
    186      -7.8289      1.00000
    187      -7.8289      1.00000
    188      -7.8241      1.00000
    189      -7.8239      1.00000
    190      -7.8239      1.00000
    191      -7.8234      1.00000
    192      -7.7962      1.00000
    193      -7.7953      1.00000
    194      -7.7952      1.00000
    195      -7.7938      1.00000
    196      -7.7922      1.00000
    197      -7.7922      1.00000
    198      -7.7901      1.00000
    199      -7.7891      1.00000
    200      -7.7891      1.00000
    201      -7.7885      1.00000
    202      -7.7885      1.00000
    203      -7.7882      1.00000
    204      -7.6740      1.00000
    205      -7.6740      1.00000
    206      -7.6304      1.00000
    207      -7.6304      1.00000
    208      -7.6007      1.00000
    209      -7.6007      1.00000
    210      -7.5283      1.00000
    211      -7.5283      1.00000
    212      -7.4749      1.00000
    213      -7.0624      1.00000
    214      -7.0624      1.00000
    215      -6.8594      1.00000
    216      -6.8584      1.00000
    217      -6.8525      1.00000
    218      -6.8513      1.00000
    219      -6.8402      1.00000
    220      -6.8402      1.00000
    221      -6.7492      1.00000
    222      -6.7492      1.00000
    223      -6.7053      1.00000
    224      -6.5173      1.00000
    225      -6.5172      1.00000
    226      -6.5163      1.00000
    227      -6.5124      1.00000
    228      -6.5124      1.00000
    229      -6.5111      1.00000
    230      -6.4964      1.00000
    231      -6.4950      1.00000
    232      -6.4950      1.00000
    233      -6.4932      1.00000
    234      -6.4932      1.00000
    235      -6.4929      1.00000
    236      -6.4645      1.00000
    237      -6.4645      1.00000
    238      -6.4526      1.00000
    239      -6.4497      1.00000
    240      -6.4497      1.00000
    241      -6.4484      1.00000
    242      -6.4281      1.00000
    243      -6.4281      1.00000
    244      -6.0737      1.00000
    245      -5.7250      1.00000
    246      -5.3998      1.00000
    247      -5.3998      1.00000
    248      -5.3436      1.00000
    249      -5.2561      1.00000
    250      -5.2560      1.00000
    251      -5.2162      1.00000
    252      -5.0058      1.00000
    253      -5.0023      1.00000
    254      -4.9848      1.00000
    255      -4.9848      1.00000
    256      -4.9637      1.00000
    257      -4.9635      1.00000
    258      -4.9623      1.00000
    259      -4.9623      1.00000
    260      -4.9592      1.00000
    261      -4.9592      1.00000
    262      -4.9576      1.00000
    263      -4.9569      1.00000
    264      -4.9566      1.00000
    265      -4.9566      1.00000
    266      -4.9537      1.00000
    267      -4.9537      1.00000
    268      -4.9392      1.00000
    269      -4.9392      1.00000
    270      -4.9391      1.00000
    271      -4.9384      1.00000
    272      -4.9377      1.00000
    273      -4.9377      1.00000
    274      -4.9106      1.00000
    275      -4.9106      1.00000
    276      -4.8973      1.00000
    277      -4.8972      1.00000
    278      -4.8680      1.00000
    279      -4.8680      1.00000
    280      -4.8592      1.00000
    281      -4.8506      1.00000
    282      -4.8444      1.00000
    283      -4.7396      1.00000
    284      -4.7371      1.00000
    285      -4.7371      1.00000
    286      -4.7363      1.00000
    287      -4.7342      1.00000
    288      -4.7336      1.00000
    289      -4.7336      1.00000
    290      -4.7274      1.00000
    291      -4.7274      1.00000
    292      -4.7272      1.00000
    293      -4.7262      1.00000
    294      -4.7245      1.00000
    295      -4.7244      1.00000
    296      -4.7243      1.00000
    297      -4.7180      1.00000
    298      -4.7180      1.00000
    299      -4.7174      1.00000
    300      -4.7132      1.00000
    301      -4.7132      1.00000
    302      -4.7098      1.00000
    303      -4.7098      1.00000
    304      -4.7064      1.00000
    305      -4.7050      1.00000
    306      -4.7050      1.00000
    307      -4.7044      1.00000
    308      -4.6793      1.00000
    309      -4.6787      1.00000
    310      -4.6787      1.00000
    311      -4.6772      1.00000
    312      -4.6765      1.00000
    313      -4.6765      1.00000
    314      -4.6724      1.00000
    315      -4.6724      1.00000
    316      -4.6720      1.00000
    317      -4.6703      1.00000
    318      -4.6703      1.00000
    319      -4.6700      1.00000
    320      -4.6573      1.00000
    321      -4.5563      1.00000
    322      -4.5563      1.00000
    323      -4.3137      1.00000
    324      -4.3137      1.00000
    325      -3.9925      1.00000
    326      -3.9925      1.00000
    327      -3.9742      1.00000
    328      -3.9350      1.00000
    329      -3.9350      1.00000
    330      -3.9055      1.00000
    331      -3.8609      1.00000
    332      -3.8609      1.00000
    333      -3.8517      1.00000
    334      -3.8449      1.00000
    335      -3.8449      1.00000
    336      -3.8390      1.00000
    337      -3.8181      1.00000
    338      -3.6728      1.00000
    339      -3.6192      1.00000
    340      -3.6192      1.00000
    341      -3.5743      1.00000
    342      -3.4474      1.00000
    343      -3.4107      1.00000
    344      -3.4078      1.00000
    345      -3.4077      1.00000
    346      -3.3954      1.00000
    347      -3.3898      1.00000
    348      -3.3898      1.00000
    349      -3.3603      1.00000
    350      -3.3581      1.00000
    351      -3.3581      1.00000
    352      -3.2738      1.00000
    353      -3.2738      1.00000
    354      -3.2622      1.00000
    355      -3.2508      1.00000
    356      -3.2507      1.00000
    357      -3.2261      1.00000
    358      -3.2261      1.00000
    359      -3.1719      1.00000
    360      -3.1718      1.00000
    361      -3.1615      1.00000
    362      -3.1496      1.00000
    363      -3.1489      1.00000
    364      -3.1482      1.00000
    365      -3.1482      1.00000
    366      -3.1427      1.00000
    367      -3.1427      1.00000
    368      -3.1422      1.00000
    369      -3.1422      1.00000
    370      -3.1420      1.00000
    371      -3.1385      1.00000
    372      -3.1377      1.00000
    373      -3.1377      1.00000
    374      -3.1117      1.00000
    375      -3.1075      1.00000
    376      -3.1067      1.00000
    377      -3.1067      1.00000
    378      -3.1039      1.00000
    379      -3.1039      1.00000
    380      -3.0747      1.00000
    381      -2.9709      1.00000
    382      -2.9709      1.00000
    383      -2.9212      1.00000
    384      -2.9081      1.00000
    385      -2.9081      1.00000
    386      -2.8065      1.00000
    387      -2.7818      1.00000
    388      -2.7818      1.00000
    389      -2.7811      1.00000
    390      -2.7801      1.00000
    391      -2.7801      1.00000
    392      -2.7719      1.00000
    393      -2.7667      1.00000
    394      -2.7663      1.00000
    395      -2.7663      1.00000
    396      -2.7654      1.00000
    397      -2.7636      1.00000
    398      -2.7636      1.00000
    399      -2.7344      1.00000
    400      -2.7344      1.00000
    401      -2.7341      1.00000
    402      -2.7333      1.00000
    403      -2.7332      1.00000
    404      -2.7321      1.00000
    405      -2.7041      1.00000
    406      -2.7041      1.00000
    407      -2.6749      1.00000
    408      -2.6749      1.00000
    409      -2.6692      1.00000
    410      -2.6565      1.00000
    411      -2.6337      1.00000
    412      -2.6336      1.00000
    413      -2.5336      1.00000
    414      -2.5336      1.00000
    415      -2.5019      1.00000
    416      -2.4815      1.00000
    417      -2.4770      1.00000
    418      -2.4770      1.00000
    419      -2.4645      1.00000
    420      -2.4630      1.00000
    421      -2.4630      1.00000
    422      -2.4582      1.00000
    423      -2.4582      1.00000
    424      -2.4556      1.00000
    425      -2.4499      1.00000
    426      -2.4389      1.00000
    427      -2.4389      1.00000
    428      -2.4350      1.00000
    429      -2.4343      1.00000
    430      -2.4343      1.00000
    431      -2.4292      1.00000
    432      -2.4230      1.00000
    433      -2.4224      1.00000
    434      -2.4224      1.00000
    435      -2.4207      1.00000
    436      -2.4207      1.00000
    437      -2.4194      1.00000
    438      -2.3866      1.00000
    439      -2.3801      1.00000
    440      -2.3801      1.00000
    441      -2.3302      1.00000
    442      -2.3302      1.00000
    443      -2.2787      1.00000
    444      -2.2710      1.00000
    445      -2.2710      1.00000
    446      -2.2704      1.00000
    447      -2.2641      1.00000
    448      -2.2641      1.00000
    449      -2.1184      1.00000
    450      -1.7693      1.00000
    451      -1.7319      1.00000
    452      -1.7319      1.00000
    453      -1.7193      1.00000
    454      -1.7193      1.00000
    455      -1.6994      1.00000
    456      -1.6514      1.00000
    457      -1.6445      1.00000
    458      -1.6444      1.00000
    459      -1.5866      1.00000
    460      -1.5866      1.00000
    461      -1.5845      1.00000
    462      -1.5845      1.00000
    463      -1.5839      1.00000
    464      -1.5416      1.00000
    465      -1.4829      1.00000
    466      -1.2920      1.00000
    467      -1.2920      1.00000
    468      -1.2677      1.00000
    469      -1.2600      1.00000
    470      -1.2600      1.00000
    471      -1.2589      1.00000
    472      -1.2544      1.00000
    473      -1.2517      1.00000
    474      -1.2517      1.00000
    475      -1.2437      1.00000
    476      -1.2437      1.00000
    477      -1.2424      1.00000
    478      -1.2407      1.00000
    479      -1.2407      1.00000
    480      -1.2374      1.00000
    481      -1.2374      1.00000
    482      -1.2333      1.00000
    483      -1.2333      1.00000
    484      -1.2328      1.00000
    485      -1.2313      1.00000
    486      -1.2131      1.00000
    487      -1.2112      1.00000
    488      -1.2112      1.00000
    489      -1.2075      1.00000
    490      -1.2075      1.00000
    491      -1.2041      1.00000
    492      -1.1296      1.00000
    493      -0.6648      1.00000
    494      -0.6648      1.00000
    495      -0.6323      1.00000
    496      -0.6322      1.00000
    497      -0.6304      1.00000
    498      -0.6280      1.00000
    499      -0.6276      1.00000
    500      -0.5713      1.00000
    501      -0.5713      1.00000
    502      -0.5653      1.00000
    503      -0.5653      1.00000
    504      -0.5572      1.00000
    505      -0.5572      1.00000
    506      -0.5096      1.00000
    507      -0.5096      1.00000
    508      -0.5026      1.00000
    509      -0.4947      1.00000
    510      -0.4741      1.00000
    511      -0.4741      1.00000
    512      -0.3453      1.00000
    513      -0.2583      1.00000
    514      -0.2583      1.00000
    515      -0.2555      1.00000
    516      -0.2555      1.00000
    517      -0.2472      1.00000
    518      -0.2472      1.00000
    519      -0.2243      1.00000
    520      -0.2243      1.00000
    521      -0.2227      1.00000
    522      -0.0175      1.00000
    523       0.0365      1.00000
    524       0.0365      1.00000
    525       0.0528      1.00000
    526       0.0528      1.00000
    527       0.1176      1.00000
    528       0.1176      1.00000
    529       0.1319      1.00000
    530       0.1362      1.00000
    531       0.1382      1.00000
    532       0.1382      1.00000
    533       0.1464      1.00000
    534       0.1468      1.00000
    535       0.1490      1.00000
    536       0.1490      1.00000
    537       0.1567      1.00000
    538       0.1567      1.00000
    539       0.1588      1.00000
    540       0.1631      1.00000
    541       0.1631      1.00000
    542       0.1637      1.00000
    543       0.1758      1.00000
    544       0.1759      1.00000
    545       0.2249      1.00000
    546       0.2606      1.00000
    547       0.2606      1.00000
    548       0.3148      1.00000
    549       0.3148      1.00000
    550       0.3150      1.00000
    551       0.5832      1.00000
    552       0.7475      1.00000
    553       0.7584      1.00000
    554       0.7584      1.00000
    555       0.7685      1.00000
    556       0.7685      1.00000
    557       0.7924      1.00000
    558       0.7924      1.00000
    559       0.7926      1.00000
    560       0.7994      1.00000
    561       0.8002      1.00000
    562       0.8007      1.00000
    563       0.8007      1.00000
    564       0.8116      1.00000
    565       0.8116      1.00000
    566       1.1236      1.00000
    567       1.2015      1.00000
    568       1.2780      1.00000
    569       1.2780      1.00000
    570       1.3272      1.00000
    571       1.3315      1.00000
    572       1.3415      1.00000
    573       1.3415      1.00000
    574       1.6896      1.00000
    575       1.6896      1.00000
    576       4.1510      0.00000
    577       6.8221      1.00000
    578       7.3251      0.00000
    579       7.3251      0.00000
    580       7.5609      0.00000
    581       7.5609      0.00000
    582       7.6100      0.00000
