
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9259      1.00000
      2     -18.7948      1.00000
      3     -18.7554      1.00000
      4     -18.6160      1.00000
      5     -18.4192      1.00000
      6     -18.3639      1.00000
      7     -18.3407      1.00000
      8     -18.3223      1.00000
      9     -18.2889      1.00000
     10     -18.2667      1.00000
     11     -18.2372      1.00000
     12     -18.2224      1.00000
     13     -18.2090      1.00000
     14     -18.1947      1.00000
     15     -18.1697      1.00000
     16     -18.1671      1.00000
     17     -18.1666      1.00000
     18     -18.1601      1.00000
     19     -18.1570      1.00000
     20     -18.1477      1.00000
     21     -18.1416      1.00000
     22     -18.0720      1.00000
     23     -18.0418      1.00000
     24     -18.0417      1.00000
     25     -18.0370      1.00000
     26     -18.0301      1.00000
     27     -18.0043      1.00000
     28     -17.8870      1.00000
     29     -17.2532      1.00000
     30     -17.2333      1.00000
     31     -17.2025      1.00000
     32     -17.1862      1.00000
     33     -17.1633      1.00000
     34     -17.1452      1.00000
     35     -17.1117      1.00000
     36     -17.1067      1.00000
     37     -17.0933      1.00000
     38     -17.0783      1.00000
     39     -17.0545      1.00000
     40     -17.0534      1.00000
     41     -17.0527      1.00000
     42     -17.0502      1.00000
     43     -17.0495      1.00000
     44     -17.0471      1.00000
     45     -17.0468      1.00000
     46     -16.9868      1.00000
     47     -16.9487      1.00000
     48     -16.9479      1.00000
     49     -16.9434      1.00000
     50     -16.9383      1.00000
     51     -16.9294      1.00000
     52     -16.8727      1.00000
     53     -16.7428      1.00000
     54     -16.7042      1.00000
     55     -16.7024      1.00000
     56     -16.6836      1.00000
     57     -16.6510      1.00000
     58     -16.6399      1.00000
     59     -16.6191      1.00000
     60     -16.6047      1.00000
     61     -16.6027      1.00000
     62     -16.5863      1.00000
     63     -16.5670      1.00000
     64     -16.5666      1.00000
     65     -16.5666      1.00000
     66     -16.5635      1.00000
     67     -16.5631      1.00000
     68     -16.5621      1.00000
     69     -16.5101      1.00000
     70     -16.4856      1.00000
     71     -16.4735      1.00000
     72     -16.4685      1.00000
     73     -16.4674      1.00000
     74     -16.4640      1.00000
     75     -16.3979      1.00000
     76     -16.1156      1.00000
     77     -15.6728      1.00000
     78     -15.5613      1.00000
     79     -15.5550      1.00000
     80     -15.4932      1.00000
     81     -15.4849      1.00000
     82     -15.4725      1.00000
     83     -15.4681      1.00000
     84     -15.4553      1.00000
     85     -15.4518      1.00000
     86     -15.4459      1.00000
     87     -15.4349      1.00000
     88     -15.4283      1.00000
     89     -15.4277      1.00000
     90     -15.4249      1.00000
     91     -15.4240      1.00000
     92     -15.4204      1.00000
     93     -15.4145      1.00000
     94     -15.4094      1.00000
     95     -15.4069      1.00000
     96     -15.4058      1.00000
     97     -15.3969      1.00000
     98     -15.3899      1.00000
     99     -15.3887      1.00000
    100     -15.3878      1.00000
    101     -15.3869      1.00000
    102     -15.3863      1.00000
    103     -15.3861      1.00000
    104     -15.3852      1.00000
    105     -15.3809      1.00000
    106     -15.3805      1.00000
    107     -15.3788      1.00000
    108     -15.3772      1.00000
    109     -15.3720      1.00000
    110     -15.3691      1.00000
    111     -15.3491      1.00000
    112     -15.3410      1.00000
    113     -15.3343      1.00000
    114     -15.3326      1.00000
    115     -15.3320      1.00000
    116     -15.3298      1.00000
    117     -15.3277      1.00000
    118     -15.3276      1.00000
    119     -15.3255      1.00000
    120     -15.3222      1.00000
    121     -15.3220      1.00000
    122     -15.3178      1.00000
    123     -15.3134      1.00000
    124     -15.3056      1.00000
    125     -15.3018      1.00000
    126     -15.2934      1.00000
    127     -15.2815      1.00000
    128     -15.2769      1.00000
    129     -15.2754      1.00000
    130     -15.2748      1.00000
    131     -15.2496      1.00000
    132     -15.2467      1.00000
    133     -15.2443      1.00000
    134     -15.1072      1.00000
    135     -15.0823      1.00000
    136     -14.7512      1.00000
    137     -14.6278      1.00000
    138     -14.6275      1.00000
    139     -14.6268      1.00000
    140     -14.6265      1.00000
    141     -14.6260      1.00000
    142     -14.6257      1.00000
    143     -14.5690      1.00000
    144      -9.0761      1.00000
    145      -8.8538      1.00000
    146      -8.8397      1.00000
    147      -8.8350      1.00000
    148      -8.8294      1.00000
    149      -8.8126      1.00000
    150      -8.8125      1.00000
    151      -8.8123      1.00000
    152      -8.8119      1.00000
    153      -8.7946      1.00000
    154      -8.7818      1.00000
    155      -8.7729      1.00000
    156      -8.7548      1.00000
    157      -8.1063      1.00000
    158      -8.0451      1.00000
    159      -8.0077      1.00000
    160      -7.9645      1.00000
    161      -7.9493      1.00000
    162      -7.9375      1.00000
    163      -7.9296      1.00000
    164      -7.9022      1.00000
    165      -7.9010      1.00000
    166      -7.8974      1.00000
    167      -7.8961      1.00000
    168      -7.8943      1.00000
    169      -7.8940      1.00000
