
 Fermi energy:         2.1654587398

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.8079      1.00000
      2     -19.5150      1.00000
      3     -19.2390      1.00000
      4     -18.8723      1.00000
      5     -18.8078      1.00000
      6     -18.7470      1.00000
      7     -18.6597      1.00000
      8     -18.6466      1.00000
      9     -18.5511      1.00000
     10     -18.3282      1.00000
     11     -18.1285      1.00000
     12     -18.1150      1.00000
     13     -18.1135      1.00000
     14     -18.1074      1.00000
     15     -18.0709      1.00000
     16     -18.0685      1.00000
     17     -18.0683      1.00000
     18     -18.0528      1.00000
     19     -18.0238      1.00000
     20     -18.0089      1.00000
     21     -18.0011      1.00000
     22     -17.9980      1.00000
     23     -17.9972      1.00000
     24     -17.9897      1.00000
     25     -17.9711      1.00000
     26     -17.8257      1.00000
     27     -17.7864      1.00000
     28     -17.7614      1.00000
     29     -17.7473      1.00000
     30     -17.7457      1.00000
     31     -17.7205      1.00000
     32     -17.7193      1.00000
     33     -17.7081      1.00000
     34     -17.4390      1.00000
     35     -17.3886      1.00000
     36     -17.3821      1.00000
     37     -17.2563      1.00000
     38     -17.1380      1.00000
     39     -17.1350      1.00000
     40     -16.9573      1.00000
     41     -16.9478      1.00000
     42     -16.9472      1.00000
     43     -16.9460      1.00000
     44     -16.9401      1.00000
     45     -16.9381      1.00000
     46     -16.9371      1.00000
     47     -16.9361      1.00000
     48     -16.9354      1.00000
     49     -16.9242      1.00000
     50     -16.9236      1.00000
     51     -16.9188      1.00000
     52     -16.9139      1.00000
     53     -16.8159      1.00000
     54     -16.6380      1.00000
     55     -16.6360      1.00000
     56     -16.6359      1.00000
     57     -16.6332      1.00000
     58     -16.6331      1.00000
     59     -16.6317      1.00000
     60     -16.4760      1.00000
     61     -16.4540      1.00000
     62     -16.4507      1.00000
     63     -16.4501      1.00000
     64     -16.4459      1.00000
     65     -16.4458      1.00000
     66     -16.4427      1.00000
     67     -16.4386      1.00000
     68     -16.4376      1.00000
     69     -16.4351      1.00000
     70     -16.4347      1.00000
     71     -16.4323      1.00000
     72     -16.4043      1.00000
     73     -16.2577      1.00000
     74     -16.1971      1.00000
     75     -16.1542      1.00000
     76     -16.1531      1.00000
     77     -16.1520      1.00000
     78     -16.1520      1.00000
     79     -16.1514      1.00000
     80     -16.1513      1.00000
     81     -16.1503      1.00000
     82     -15.9499      1.00000
     83     -15.9455      1.00000
     84     -15.8687      1.00000
     85     -15.8551      1.00000
     86     -15.7715      1.00000
     87     -15.7479      1.00000
     88     -15.7350      1.00000
     89     -15.7120      1.00000
     90     -15.6523      1.00000
     91     -15.3631      1.00000
     92     -15.3617      1.00000
     93     -15.3487      1.00000
     94     -15.3463      1.00000
     95     -15.3110      1.00000
     96     -15.3035      1.00000
     97     -15.2927      1.00000
     98     -15.2916      1.00000
     99     -15.2901      1.00000
    100     -15.2887      1.00000
    101     -15.2844      1.00000
    102     -15.2770      1.00000
    103     -15.2422      1.00000
    104     -15.2339      1.00000
    105     -15.2311      1.00000
    106     -15.2306      1.00000
    107     -15.2262      1.00000
    108     -15.2247      1.00000
    109     -15.2246      1.00000
    110     -15.2206      1.00000
    111     -15.2040      1.00000
    112     -15.2038      1.00000
    113     -15.1977      1.00000
    114     -15.1975      1.00000
    115     -15.1902      1.00000
    116     -15.1591      1.00000
    117     -15.1289      1.00000
    118     -15.1281      1.00000
    119     -15.1258      1.00000
    120     -15.1252      1.00000
    121     -15.1251      1.00000
    122     -15.1218      1.00000
    123     -15.0078      1.00000
    124     -15.0020      1.00000
    125     -14.9950      1.00000
