
 Fermi energy:         4.1445468259

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.4494      1.00000
      2     -18.8877      1.00000
      3     -18.7689      1.00000
      4     -18.7473      1.00000
      5     -18.6219      1.00000
      6     -18.5526      1.00000
      7     -18.5526      1.00000
      8     -18.3785      1.00000
      9     -18.3785      1.00000
     10     -18.3693      1.00000
     11     -18.2587      1.00000
     12     -18.2570      1.00000
     13     -18.2569      1.00000
     14     -18.2324      1.00000
     15     -18.2324      1.00000
     16     -18.2298      1.00000
     17     -18.1836      1.00000
     18     -18.1811      1.00000
     19     -18.1811      1.00000
     20     -18.1732      1.00000
     21     -18.1731      1.00000
     22     -18.1569      1.00000
     23     -18.0610      1.00000
     24     -18.0610      1.00000
     25     -18.0550      1.00000
     26     -18.0527      1.00000
     27     -18.0527      1.00000
     28     -18.0500      1.00000
     29     -17.5104      1.00000
     30     -17.5104      1.00000
     31     -17.4413      1.00000
     32     -17.3055      1.00000
     33     -17.2361      1.00000
     34     -17.2361      1.00000
     35     -17.1431      1.00000
     36     -17.1431      1.00000
     37     -17.1373      1.00000
     38     -17.1281      1.00000
     39     -17.1124      1.00000
     40     -17.1124      1.00000
     41     -17.0678      1.00000
     42     -17.0672      1.00000
     43     -17.0672      1.00000
     44     -17.0641      1.00000
     45     -17.0641      1.00000
     46     -17.0583      1.00000
     47     -16.9781      1.00000
     48     -16.9781      1.00000
     49     -16.9658      1.00000
     50     -16.9657      1.00000
     51     -16.9594      1.00000
     52     -16.9594      1.00000
     53     -16.8884      1.00000
     54     -16.8884      1.00000
     55     -16.8467      1.00000
     56     -16.7737      1.00000
     57     -16.7438      1.00000
     58     -16.7438      1.00000
     59     -16.6440      1.00000
     60     -16.6440      1.00000
     61     -16.6394      1.00000
     62     -16.6323      1.00000
     63     -16.6252      1.00000
     64     -16.6251      1.00000
     65     -16.5819      1.00000
     66     -16.5795      1.00000
     67     -16.5795      1.00000
     68     -16.5784      1.00000
     69     -16.5784      1.00000
     70     -16.5724      1.00000
     71     -16.4923      1.00000
     72     -16.4923      1.00000
     73     -16.4893      1.00000
     74     -16.4849      1.00000
     75     -16.4849      1.00000
     76     -16.4848      1.00000
     77     -15.8244      1.00000
     78     -15.8244      1.00000
     79     -15.6268      1.00000
     80     -15.6268      1.00000
     81     -15.6113      1.00000
     82     -15.5878      1.00000
     83     -15.5429      1.00000
