
 Fermi energy:         7.1243715215

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9804      1.00000
      2     -18.8272      1.00000
      3     -18.8182      1.00000
      4     -18.6604      1.00000
      5     -18.3945      1.00000
      6     -18.3929      1.00000
      7     -18.3929      1.00000
      8     -18.3709      1.00000
      9     -18.3709      1.00000
     10     -18.3525      1.00000
     11     -18.2645      1.00000
     12     -18.2645      1.00000
     13     -18.2512      1.00000
     14     -18.2471      1.00000
     15     -18.2372      1.00000
     16     -18.2372      1.00000
     17     -18.2244      1.00000
     18     -18.2244      1.00000
     19     -18.2121      1.00000
     20     -18.2121      1.00000
     21     -18.1914      1.00000
     22     -18.1530      1.00000
     23     -18.1030      1.00000
     24     -18.1030      1.00000
     25     -18.0977      1.00000
     26     -18.0640      1.00000
     27     -18.0640      1.00000
     28     -17.9055      1.00000
     29     -17.2612      1.00000
     30     -17.2555      1.00000
     31     -17.2555      1.00000
     32     -17.2461      1.00000
     33     -17.2461      1.00000
     34     -17.2417      1.00000
     35     -17.1651      1.00000
     36     -17.1277      1.00000
     37     -17.1277      1.00000
     38     -17.1172      1.00000
     39     -17.1172      1.00000
     40     -17.1137      1.00000
     41     -17.1137      1.00000
     42     -17.1116      1.00000
     43     -17.1088      1.00000
     44     -17.1088      1.00000
     45     -17.1063      1.00000
     46     -17.0775      1.00000
     47     -17.0115      1.00000
     48     -16.9902      1.00000
     49     -16.9902      1.00000
     50     -16.9712      1.00000
     51     -16.9712      1.00000
     52     -16.9163      1.00000
     53     -16.7590      1.00000
     54     -16.7590      1.00000
     55     -16.7522      1.00000
     56     -16.7508      1.00000
     57     -16.7508      1.00000
     58     -16.7422      1.00000
     59     -16.6621      1.00000
     60     -16.6621      1.00000
     61     -16.6290      1.00000
     62     -16.6278      1.00000
     63     -16.6278      1.00000
     64     -16.6245      1.00000
     65     -16.6245      1.00000
     66     -16.6228      1.00000
     67     -16.6183      1.00000
     68     -16.6169      1.00000
     69     -16.6169      1.00000
     70     -16.5772      1.00000
     71     -16.5310      1.00000
     72     -16.5310      1.00000
     73     -16.4841      1.00000
     74     -16.4841      1.00000
     75     -16.4816      1.00000
     76     -16.1879      1.00000
     77     -15.6068      1.00000
     78     -15.5484      1.00000
     79     -15.5484      1.00000
     80     -15.5483      1.00000
     81     -15.5446      1.00000
     82     -15.5446      1.00000
     83     -15.5441      1.00000
     84     -15.5355      1.00000
     85     -15.5355      1.00000
     86     -15.5315      1.00000
     87     -15.5315      1.00000
     88     -15.5275      1.00000
     89     -15.5251      1.00000
     90     -15.4824      1.00000
     91     -15.4824      1.00000
     92     -15.4655      1.00000
     93     -15.4655      1.00000
     94     -15.4633      1.00000
     95     -15.4633      1.00000
     96     -15.4587      1.00000
     97     -15.4569      1.00000
     98     -15.4569      1.00000
     99     -15.4549      1.00000
    100     -15.4549      1.00000
    101     -15.4499      1.00000
    102     -15.4365      1.00000
    103     -15.4365      1.00000
    104     -15.4345      1.00000
    105     -15.4338      1.00000
    106     -15.4338      1.00000
    107     -15.4324      1.00000
    108     -15.4268      1.00000
    109     -15.4268      1.00000
    110     -15.4223      1.00000
    111     -15.4223      1.00000
    112     -15.4168      1.00000
    113     -15.4132      1.00000
    114     -15.4131      1.00000
    115     -15.4112      1.00000
    116     -15.4010      1.00000
    117     -15.3966      1.00000
    118     -15.3966      1.00000
    119     -15.3790      1.00000
    120     -15.3789      1.00000
    121     -15.3579      1.00000
    122     -15.3531      1.00000
    123     -15.3429      1.00000
    124     -15.3403      1.00000
    125     -15.3403      1.00000
    126     -15.3318      1.00000
    127     -15.3318      1.00000
    128     -15.3318      1.00000
    129     -15.3306      1.00000
    130     -15.3306      1.00000
    131     -15.3046      1.00000
    132     -15.2730      1.00000
    133     -15.2730      1.00000
    134     -15.1746      1.00000
    135     -15.1746      1.00000
    136     -14.7569      1.00000
    137     -14.7568      1.00000
    138     -14.7356      1.00000
    139     -14.6875      1.00000
    140     -14.6875      1.00000
    141     -14.6872      1.00000
    142     -14.6872      1.00000
    143     -14.6518      1.00000
    144     -13.2676      1.00000
    145      -8.9476      1.00000
    146      -8.9476      1.00000
    147      -8.9292      1.00000
    148      -8.8775      1.00000
    149      -8.8775      1.00000
    150      -8.8748      1.00000
    151      -8.8723      1.00000
    152      -8.8723      1.00000
    153      -8.8638      1.00000
    154      -8.8299      1.00000
    155      -8.7964      1.00000
    156      -8.7964      1.00000
    157      -8.0139      1.00000
    158      -8.0139      1.00000
    159      -8.0134      1.00000
    160      -8.0117      1.00000
    161      -8.0117      1.00000
    162      -8.0075      1.00000
    163      -8.0056      1.00000
    164      -8.0056      1.00000
    165      -7.9992      1.00000
    166      -7.9984      1.00000
    167      -7.9984      1.00000
    168      -7.9944      1.00000
    169      -7.9915      1.00000
    170      -7.9915      1.00000
    171      -7.9724      1.00000
    172      -7.9511      1.00000
    173      -7.9449      1.00000
    174      -7.9449      1.00000
    175      -7.9408      1.00000
    176      -7.9358      1.00000
    177      -7.9358      1.00000
    178      -7.9356      1.00000
    179      -7.9356      1.00000
    180      -7.9319      1.00000
    181      -7.9319      1.00000
    182      -7.9290      1.00000
    183      -7.9276      1.00000
    184      -7.9276      1.00000
    185      -7.9250      1.00000
    186      -7.9214      1.00000
    187      -7.9187      1.00000
    188      -7.9150      1.00000
    189      -7.9150      1.00000
    190      -7.9149      1.00000
    191      -7.9148      1.00000
    192      -7.9110      1.00000
    193      -7.9105      1.00000
    194      -7.9105      1.00000
    195      -7.9079      1.00000
    196      -7.8752      1.00000
    197      -7.8752      1.00000
    198      -7.8736      1.00000
    199      -7.8611      1.00000
    200      -7.8611      1.00000
    201      -7.8194      1.00000
    202      -7.8170      1.00000
    203      -7.8170      1.00000
    204      -7.7923      1.00000
    205      -7.7923      1.00000
    206      -7.7004      1.00000
    207      -7.7004      1.00000
    208      -7.6792      1.00000
    209      -7.6792      1.00000
    210      -7.6389      1.00000
    211      -7.5558      1.00000
    212      -7.5558      1.00000
    213      -7.0159      1.00000
    214      -7.0159      1.00000
    215      -6.9549      1.00000
    216      -6.9547      1.00000
    217      -6.9479      1.00000
    218      -6.9475      1.00000
    219      -6.8810      1.00000
    220      -6.8810      1.00000
    221      -6.6682      1.00000
    222      -6.6680      1.00000
    223      -6.6679      1.00000
    224      -6.6672      1.00000
    225      -6.6672      1.00000
    226      -6.6669      1.00000
    227      -6.6116      1.00000
    228      -6.6116      1.00000
    229      -6.5950      1.00000
    230      -6.5935      1.00000
    231      -6.5935      1.00000
    232      -6.5927      1.00000
    233      -6.5927      1.00000
    234      -6.5919      1.00000
    235      -6.5905      1.00000
    236      -6.5810      1.00000
    237      -6.5810      1.00000
    238      -6.5782      1.00000
    239      -6.5552      1.00000
    240      -6.5552      1.00000
    241      -6.5189      1.00000
    242      -6.4253      1.00000
    243      -6.4253      1.00000
    244      -6.3099      1.00000
    245      -5.7850      1.00000
    246      -5.1314      1.00000
    247      -5.1314      1.00000
    248      -5.1286      1.00000
    249      -5.1286      1.00000
    250      -5.1227      1.00000
    251      -5.1227      1.00000
    252      -5.1168      1.00000
    253      -5.1168      1.00000
    254      -5.0646      1.00000
    255      -5.0646      1.00000
    256      -5.0625      1.00000
    257      -5.0613      1.00000
    258      -5.0574      1.00000
    259      -5.0574      1.00000
    260      -5.0573      1.00000
    261      -5.0573      1.00000
    262      -5.0535      1.00000
    263      -5.0532      1.00000
    264      -5.0532      1.00000
    265      -5.0515      1.00000
    266      -5.0408      1.00000
    267      -5.0408      1.00000
    268      -5.0078      1.00000
    269      -4.9894      1.00000
    270      -4.9503      1.00000
    271      -4.9471      1.00000
    272      -4.9471      1.00000
    273      -4.9242      1.00000
    274      -4.9242      1.00000
    275      -4.9077      1.00000
    276      -4.8967      1.00000
    277      -4.8967      1.00000
    278      -4.8947      1.00000
    279      -4.8917      1.00000
    280      -4.8910      1.00000
    281      -4.8910      1.00000
    282      -4.8887      1.00000
    283      -4.8831      1.00000
    284      -4.8824      1.00000
    285      -4.8823      1.00000
    286      -4.8767      1.00000
    287      -4.8767      1.00000
    288      -4.8767      1.00000
    289      -4.8459      1.00000
    290      -4.8459      1.00000
    291      -4.8310      1.00000
    292      -4.8292      1.00000
    293      -4.8292      1.00000
    294      -4.8245      1.00000
    295      -4.8245      1.00000
    296      -4.8233      1.00000
    297      -4.8176      1.00000
    298      -4.8176      1.00000
    299      -4.8152      1.00000
    300      -4.8135      1.00000
    301      -4.8059      1.00000
    302      -4.8059      1.00000
    303      -4.7984      1.00000
    304      -4.7978      1.00000
    305      -4.7977      1.00000
    306      -4.7946      1.00000
    307      -4.7939      1.00000
    308      -4.7939      1.00000
    309      -4.7927      1.00000
    310      -4.7916      1.00000
    311      -4.7916      1.00000
    312      -4.7839      1.00000
    313      -4.7839      1.00000
    314      -4.7832      1.00000
    315      -4.7701      1.00000
    316      -4.7650      1.00000
    317      -4.7650      1.00000
    318      -4.7508      1.00000
    319      -4.7187      1.00000
    320      -4.7063      1.00000
    321      -4.6113      1.00000
    322      -4.6113      1.00000
    323      -4.3039      1.00000
    324      -4.3039      1.00000
    325      -4.2583      1.00000
    326      -3.9862      1.00000
    327      -3.9862      1.00000
    328      -3.9799      1.00000
    329      -3.9720      1.00000
    330      -3.9652      1.00000
    331      -3.9652      1.00000
    332      -3.9621      1.00000
    333      -3.9621      1.00000
    334      -3.9353      1.00000
    335      -3.9353      1.00000
    336      -3.9077      1.00000
    337      -3.9004      1.00000
    338      -3.5804      1.00000
    339      -3.5610      1.00000
    340      -3.5610      1.00000
    341      -3.5062      1.00000
    342      -3.5045      1.00000
    343      -3.5002      1.00000
    344      -3.4935      1.00000
    345      -3.4934      1.00000
    346      -3.4930      1.00000
    347      -3.4882      1.00000
    348      -3.4882      1.00000
    349      -3.4469      1.00000
    350      -3.4468      1.00000
    351      -3.4081      1.00000
    352      -3.3175      1.00000
    353      -3.3175      1.00000
    354      -3.3135      1.00000
    355      -3.3135      1.00000
    356      -3.3095      1.00000
    357      -3.3063      1.00000
    358      -3.3063      1.00000
    359      -3.3011      1.00000
    360      -3.3001      1.00000
    361      -3.2892      1.00000
    362      -3.2892      1.00000
    363      -3.2882      1.00000
    364      -3.2459      1.00000
    365      -3.2459      1.00000
    366      -3.2401      1.00000
    367      -3.2370      1.00000
    368      -3.2369      1.00000
    369      -3.2369      1.00000
    370      -3.2342      1.00000
    371      -3.2342      1.00000
    372      -3.2264      1.00000
    373      -3.2260      1.00000
    374      -3.2250      1.00000
    375      -3.2250      1.00000
    376      -3.1194      1.00000
    377      -3.1194      1.00000
    378      -3.0299      1.00000
    379      -3.0299      1.00000
    380      -2.9944      1.00000
    381      -2.9409      1.00000
    382      -2.9408      1.00000
    383      -2.9408      1.00000
    384      -2.9398      1.00000
    385      -2.9397      1.00000
    386      -2.9397      1.00000
    387      -2.8713      1.00000
    388      -2.8676      1.00000
    389      -2.8676      1.00000
    390      -2.8669      1.00000
    391      -2.8668      1.00000
    392      -2.8666      1.00000
    393      -2.8641      1.00000
    394      -2.8632      1.00000
    395      -2.8632      1.00000
    396      -2.8595      1.00000
    397      -2.8584      1.00000
    398      -2.8584      1.00000
    399      -2.8262      1.00000
    400      -2.8056      1.00000
    401      -2.8055      1.00000
    402      -2.7607      1.00000
    403      -2.7607      1.00000
    404      -2.7602      1.00000
    405      -2.7354      1.00000
    406      -2.7354      1.00000
    407      -2.7189      1.00000
    408      -2.7189      1.00000
    409      -2.6756      1.00000
    410      -2.6616      1.00000
    411      -2.6190      1.00000
    412      -2.6176      1.00000
    413      -2.6176      1.00000
    414      -2.6126      1.00000
    415      -2.6126      1.00000
    416      -2.6106      1.00000
    417      -2.5654      1.00000
    418      -2.5654      1.00000
    419      -2.5601      1.00000
    420      -2.5544      1.00000
    421      -2.5544      1.00000
    422      -2.5517      1.00000
    423      -2.5477      1.00000
    424      -2.5477      1.00000
    425      -2.5470      1.00000
    426      -2.5425      1.00000
    427      -2.5425      1.00000
    428      -2.5394      1.00000
    429      -2.5394      1.00000
    430      -2.5388      1.00000
    431      -2.5382      1.00000
    432      -2.5292      1.00000
    433      -2.5292      1.00000
    434      -2.5226      1.00000
    435      -2.4627      1.00000
    436      -2.4627      1.00000
    437      -2.4114      1.00000
    438      -2.4020      1.00000
    439      -2.4020      1.00000
    440      -2.3969      1.00000
    441      -2.3719      1.00000
    442      -2.3719      1.00000
    443      -2.3654      1.00000
    444      -2.3654      1.00000
    445      -2.3561      1.00000
    446      -2.3517      1.00000
    447      -2.3517      1.00000
    448      -2.3390      1.00000
    449      -2.3119      1.00000
    450      -2.0507      1.00000
    451      -1.9288      1.00000
    452      -1.9288      1.00000
    453      -1.7293      1.00000
    454      -1.7293      1.00000
    455      -1.6854      1.00000
    456      -1.6840      1.00000
    457      -1.6840      1.00000
    458      -1.6834      1.00000
    459      -1.6834      1.00000
    460      -1.6784      1.00000
    461      -1.6784      1.00000
    462      -1.6778      1.00000
    463      -1.6749      1.00000
    464      -1.6323      1.00000
    465      -1.4409      1.00000
