
 Fermi energy:         5.8890589783

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.2383      1.00000
      2     -18.9540      1.00000
      3     -18.9334      1.00000
      4     -18.6705      1.00000
      5     -18.6566      1.00000
      6     -18.6555      1.00000
      7     -18.6238      1.00000
      8     -18.6231      1.00000
      9     -18.5981      1.00000
     10     -18.5004      1.00000
     11     -18.4230      1.00000
     12     -18.4049      1.00000
     13     -18.3943      1.00000
     14     -18.3912      1.00000
     15     -18.3755      1.00000
     16     -18.3729      1.00000
     17     -18.3176      1.00000
     18     -18.3145      1.00000
     19     -18.2954      1.00000
     20     -18.2929      1.00000
     21     -18.2351      1.00000
     22     -18.2087      1.00000
     23     -18.0575      1.00000
     24     -17.9773      1.00000
     25     -17.9733      1.00000
     26     -17.6612      1.00000
     27     -17.6552      1.00000
     28     -17.5218      1.00000
     29     -17.5208      1.00000
     30     -17.5208      1.00000
     31     -17.5184      1.00000
     32     -17.5182      1.00000
     33     -17.5168      1.00000
     34     -17.2472      1.00000
     35     -17.2447      1.00000
     36     -17.2440      1.00000
     37     -17.2372      1.00000
     38     -17.2370      1.00000
     39     -17.2366      1.00000
     40     -17.2317      1.00000
     41     -17.2303      1.00000
     42     -17.2280      1.00000
     43     -17.2279      1.00000
     44     -17.2191      1.00000
     45     -17.2177      1.00000
     46     -17.1044      1.00000
     47     -17.0294      1.00000
     48     -17.0281      1.00000
     49     -17.0280      1.00000
     50     -17.0252      1.00000
     51     -17.0250      1.00000
     52     -17.0233      1.00000
     53     -16.7604      1.00000
     54     -16.7565      1.00000
     55     -16.7503      1.00000
     56     -16.7496      1.00000
     57     -16.7494      1.00000
     58     -16.7463      1.00000
     59     -16.7416      1.00000
     60     -16.7410      1.00000
     61     -16.7368      1.00000
     62     -16.7365      1.00000
     63     -16.7275      1.00000
     64     -16.7270      1.00000
     65     -16.7256      1.00000
     66     -16.7062      1.00000
     67     -16.6968      1.00000
     68     -16.6733      1.00000
     69     -16.6712      1.00000
     70     -16.5430      1.00000
     71     -16.1886      1.00000
     72     -16.1088      1.00000
     73     -16.0672      1.00000
     74     -15.8556      1.00000
     75     -15.8554      1.00000
     76     -15.8470      1.00000
     77     -15.8468      1.00000
     78     -15.8457      1.00000
     79     -15.8456      1.00000
     80     -15.8240      1.00000
     81     -15.8236      1.00000
     82     -15.8229      1.00000
     83     -15.8220      1.00000
     84     -15.8123      1.00000
     85     -15.8106      1.00000
