
 Fermi energy:         7.1666999636

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9717      1.00000
      2     -18.8409      1.00000
      3     -18.7877      1.00000
      4     -18.6548      1.00000
      5     -18.3933      1.00000
      6     -18.3892      1.00000
      7     -18.3883      1.00000
      8     -18.3488      1.00000
      9     -18.3481      1.00000
     10     -18.3471      1.00000
     11     -18.2579      1.00000
     12     -18.2575      1.00000
     13     -18.2574      1.00000
     14     -18.2246      1.00000
     15     -18.2234      1.00000
     16     -18.2223      1.00000
     17     -18.1960      1.00000
     18     -18.1948      1.00000
     19     -18.1947      1.00000
     20     -18.1930      1.00000
     21     -18.1925      1.00000
     22     -18.1921      1.00000
     23     -18.0742      1.00000
     24     -18.0737      1.00000
     25     -18.0722      1.00000
     26     -18.0628      1.00000
     27     -18.0626      1.00000
     28     -18.0614      1.00000
     29     -17.2830      1.00000
     30     -17.2821      1.00000
     31     -17.2394      1.00000
     32     -17.2221      1.00000
     33     -17.2150      1.00000
     34     -17.2142      1.00000
     35     -17.1504      1.00000
     36     -17.1494      1.00000
     37     -17.1341      1.00000
     38     -17.1161      1.00000
     39     -17.1072      1.00000
     40     -17.1041      1.00000
     41     -17.0870      1.00000
     42     -17.0869      1.00000
     43     -17.0855      1.00000
     44     -17.0845      1.00000
     45     -17.0787      1.00000
     46     -17.0784      1.00000
     47     -16.9861      1.00000
     48     -16.9858      1.00000
     49     -16.9810      1.00000
     50     -16.9742      1.00000
     51     -16.9710      1.00000
     52     -16.9707      1.00000
     53     -16.7776      1.00000
     54     -16.7774      1.00000
     55     -16.7244      1.00000
     56     -16.7162      1.00000
     57     -16.7154      1.00000
     58     -16.7152      1.00000
     59     -16.6597      1.00000
     60     -16.6597      1.00000
     61     -16.6319      1.00000
     62     -16.6199      1.00000
     63     -16.6195      1.00000
     64     -16.6187      1.00000
     65     -16.5985      1.00000
     66     -16.5973      1.00000
     67     -16.5971      1.00000
     68     -16.5968      1.00000
     69     -16.5967      1.00000
     70     -16.5966      1.00000
     71     -16.5121      1.00000
     72     -16.5118      1.00000
     73     -16.5016      1.00000
     74     -16.4969      1.00000
     75     -16.4968      1.00000
     76     -16.4965      1.00000
     77     -15.6375      1.00000
     78     -15.6333      1.00000
     79     -15.5346      1.00000
     80     -15.5314      1.00000
     81     -15.5176      1.00000
     82     -15.5025      1.00000
     83     -15.4920      1.00000
     84     -15.4897      1.00000
     85     -15.4895      1.00000
     86     -15.4819      1.00000
     87     -15.4816      1.00000
     88     -15.4814      1.00000
     89     -15.4645      1.00000
     90     -15.4643      1.00000
     91     -15.4581      1.00000
     92     -15.4579      1.00000
     93     -15.4536      1.00000
     94     -15.4470      1.00000
     95     -15.4356      1.00000
     96     -15.4317      1.00000
     97     -15.4316      1.00000
     98     -15.4161      1.00000
     99     -15.4160      1.00000
    100     -15.4155      1.00000
    101     -15.4152      1.00000
    102     -15.4149      1.00000
    103     -15.4148      1.00000
    104     -15.4142      1.00000
    105     -15.4141      1.00000
    106     -15.4136      1.00000
    107     -15.4131      1.00000
    108     -15.4129      1.00000
    109     -15.4119      1.00000
    110     -15.4116      1.00000
    111     -15.4113      1.00000
    112     -15.4110      1.00000
    113     -15.3771      1.00000
    114     -15.3763      1.00000
    115     -15.3706      1.00000
    116     -15.3672      1.00000
    117     -15.3667      1.00000
    118     -15.3634      1.00000
    119     -15.3627      1.00000
    120     -15.3621      1.00000
    121     -15.3612      1.00000
    122     -15.3571      1.00000
    123     -15.3554      1.00000
    124     -15.3552      1.00000
    125     -15.3442      1.00000
    126     -15.3440      1.00000
    127     -15.3434      1.00000
    128     -15.3354      1.00000
    129     -15.3345      1.00000
    130     -15.3123      1.00000
    131     -15.3105      1.00000
    132     -15.3080      1.00000
    133     -15.3072      1.00000
    134     -15.2833      1.00000
    135     -15.2823      1.00000
    136     -15.2816      1.00000
    137     -14.7018      1.00000
    138     -14.7014      1.00000
    139     -14.6773      1.00000
    140     -14.6773      1.00000
    141     -14.6587      1.00000
    142     -14.6584      1.00000
    143     -14.6584      1.00000
    144     -14.6580      1.00000
    145      -8.9403      1.00000
    146      -8.9290      1.00000
    147      -8.9207      1.00000
    148      -8.8804      1.00000
    149      -8.8766      1.00000
    150      -8.8607      1.00000
    151      -8.8513      1.00000
    152      -8.8479      1.00000
    153      -8.8325      1.00000
    154      -8.8229      1.00000
    155      -8.8219      1.00000
    156      -8.8066      1.00000
    157      -8.1022      1.00000
    158      -8.0964      1.00000
    159      -8.0933      1.00000
    160      -8.0145      1.00000
    161      -7.9994      1.00000
    162      -7.9926      1.00000
    163      -7.9496      1.00000
    164      -7.9472      1.00000
    165      -7.9471      1.00000
    166      -7.9436      1.00000
    167      -7.9408      1.00000
    168      -7.9399      1.00000
    169      -7.9368      1.00000
    170      -7.9367      1.00000
    171      -7.9346      1.00000
    172      -7.9301      1.00000
    173      -7.9290      1.00000
    174      -7.9288      1.00000
    175      -7.9223      1.00000
    176      -7.9188      1.00000
    177      -7.9186      1.00000
    178      -7.9112      1.00000
    179      -7.9074      1.00000
    180      -7.9071      1.00000
    181      -7.9070      1.00000
    182      -7.9066      1.00000
    183      -7.9057      1.00000
    184      -7.9052      1.00000
    185      -7.9017      1.00000
    186      -7.8972      1.00000
    187      -7.8966      1.00000
    188      -7.8960      1.00000
    189      -7.8956      1.00000
    190      -7.8950      1.00000
    191      -7.8947      1.00000
    192      -7.8942      1.00000
    193      -7.8803      1.00000
    194      -7.8779      1.00000
    195      -7.8776      1.00000
    196      -7.8728      1.00000
    197      -7.8718      1.00000
    198      -7.8700      1.00000
    199      -7.8675      1.00000
    200      -7.8664      1.00000
    201      -7.8635      1.00000
    202      -7.8595      1.00000
    203      -7.8495      1.00000
    204      -7.8434      1.00000
    205      -7.7784      1.00000
    206      -7.7782      1.00000
    207      -7.7090      1.00000
    208      -7.7089      1.00000
    209      -7.6718      1.00000
    210      -7.6718      1.00000
    211      -7.6050      1.00000
    212      -7.6050      1.00000
    213      -7.1216      1.00000
    214      -6.9415      1.00000
    215      -6.9415      1.00000
    216      -6.9267      1.00000
    217      -6.9267      1.00000
    218      -6.9196      1.00000
    219      -6.9196      1.00000
    220      -6.8887      1.00000
    221      -6.7521      1.00000
    222      -6.7514      1.00000
    223      -6.6274      1.00000
    224      -6.6075      1.00000
    225      -6.6052      1.00000
    226      -6.6045      1.00000
    227      -6.5995      1.00000
    228      -6.5989      1.00000
    229      -6.5945      1.00000
    230      -6.5785      1.00000
    231      -6.5647      1.00000
    232      -6.5644      1.00000
    233      -6.5643      1.00000
    234      -6.5641      1.00000
    235      -6.5636      1.00000
    236      -6.5632      1.00000
    237      -6.5620      1.00000
    238      -6.5614      1.00000
    239      -6.5327      1.00000
    240      -6.5324      1.00000
    241      -6.5280      1.00000
    242      -6.5226      1.00000
    243      -6.5084      1.00000
    244      -6.5082      1.00000
    245      -5.7776      1.00000
    246      -5.3000      1.00000
    247      -5.1874      1.00000
    248      -5.1873      1.00000
    249      -5.1113      1.00000
    250      -5.0799      1.00000
    251      -5.0775      1.00000
    252      -5.0514      1.00000
    253      -5.0512      1.00000
    254      -5.0453      1.00000
    255      -5.0449      1.00000
    256      -5.0449      1.00000
    257      -5.0444      1.00000
    258      -5.0362      1.00000
    259      -5.0361      1.00000
    260      -5.0300      1.00000
    261      -5.0292      1.00000
    262      -5.0288      1.00000
    263      -5.0284      1.00000
    264      -5.0239      1.00000
    265      -5.0237      1.00000
    266      -5.0200      1.00000
    267      -5.0174      1.00000
    268      -5.0174      1.00000
    269      -5.0168      1.00000
    270      -5.0084      1.00000
    271      -4.9603      1.00000
    272      -4.9346      1.00000
    273      -4.9335      1.00000
    274      -4.9198      1.00000
    275      -4.9186      1.00000
    276      -4.9146      1.00000
    277      -4.9133      1.00000
    278      -4.9116      1.00000
    279      -4.8593      1.00000
    280      -4.8352      1.00000
    281      -4.8342      1.00000
    282      -4.8312      1.00000
    283      -4.8208      1.00000
    284      -4.8204      1.00000
    285      -4.8195      1.00000
    286      -4.8178      1.00000
    287      -4.8176      1.00000
    288      -4.8165      1.00000
    289      -4.8150      1.00000
    290      -4.8143      1.00000
    291      -4.8117      1.00000
    292      -4.8094      1.00000
    293      -4.8074      1.00000
    294      -4.8049      1.00000
    295      -4.7863      1.00000
    296      -4.7851      1.00000
    297      -4.7850      1.00000
    298      -4.7847      1.00000
    299      -4.7822      1.00000
    300      -4.7820      1.00000
    301      -4.7809      1.00000
    302      -4.7806      1.00000
    303      -4.7787      1.00000
    304      -4.7779      1.00000
    305      -4.7772      1.00000
    306      -4.7763      1.00000
    307      -4.7718      1.00000
    308      -4.7717      1.00000
    309      -4.7698      1.00000
    310      -4.7638      1.00000
    311      -4.7634      1.00000
    312      -4.7612      1.00000
    313      -4.7603      1.00000
    314      -4.7576      1.00000
    315      -4.7561      1.00000
    316      -4.7540      1.00000
    317      -4.7525      1.00000
    318      -4.7522      1.00000
    319      -4.7500      1.00000
    320      -4.7316      1.00000
    321      -4.7174      1.00000
    322      -4.7161      1.00000
    323      -4.6413      1.00000
    324      -4.6389      1.00000
    325      -4.5394      1.00000
    326      -3.9955      1.00000
    327      -3.9949      1.00000
    328      -3.9929      1.00000
    329      -3.9545      1.00000
    330      -3.9532      1.00000
    331      -3.9480      1.00000
    332      -3.9357      1.00000
    333      -3.9269      1.00000
    334      -3.9264      1.00000
    335      -3.9257      1.00000
    336      -3.9248      1.00000
    337      -3.9239      1.00000
    338      -3.5201      1.00000
    339      -3.5179      1.00000
    340      -3.5174      1.00000
    341      -3.4938      1.00000
    342      -3.4934      1.00000
    343      -3.4907      1.00000
    344      -3.4844      1.00000
    345      -3.4663      1.00000
    346      -3.4633      1.00000
    347      -3.4619      1.00000
    348      -3.4542      1.00000
    349      -3.4434      1.00000
    350      -3.4406      1.00000
    351      -3.4322      1.00000
    352      -3.3653      1.00000
    353      -3.3642      1.00000
    354      -3.3164      1.00000
    355      -3.3163      1.00000
    356      -3.2994      1.00000
    357      -3.2925      1.00000
    358      -3.2804      1.00000
    359      -3.2794      1.00000
    360      -3.2414      1.00000
    361      -3.2414      1.00000
    362      -3.2364      1.00000
    363      -3.2364      1.00000
    364      -3.2308      1.00000
    365      -3.2307      1.00000
    366      -3.2150      1.00000
    367      -3.2142      1.00000
    368      -3.2102      1.00000
    369      -3.2097      1.00000
    370      -3.2042      1.00000
    371      -3.2040      1.00000
    372      -3.1996      1.00000
    373      -3.1958      1.00000
    374      -3.1936      1.00000
    375      -3.1910      1.00000
    376      -3.1850      1.00000
    377      -3.1838      1.00000
    378      -3.1264      1.00000
    379      -3.0882      1.00000
    380      -3.0881      1.00000
    381      -2.9220      1.00000
    382      -2.8994      1.00000
    383      -2.8987      1.00000
    384      -2.8789      1.00000
    385      -2.8704      1.00000
    386      -2.8702      1.00000
    387      -2.8667      1.00000
    388      -2.8649      1.00000
    389      -2.8646      1.00000
    390      -2.8561      1.00000
    391      -2.8354      1.00000
    392      -2.8353      1.00000
    393      -2.8351      1.00000
    394      -2.8350      1.00000
    395      -2.8349      1.00000
    396      -2.8346      1.00000
    397      -2.8241      1.00000
    398      -2.8238      1.00000
    399      -2.8165      1.00000
    400      -2.8153      1.00000
    401      -2.8151      1.00000
    402      -2.8121      1.00000
    403      -2.7680      1.00000
    404      -2.7659      1.00000
    405      -2.7503      1.00000
    406      -2.7499      1.00000
    407      -2.7279      1.00000
    408      -2.7239      1.00000
    409      -2.7231      1.00000
    410      -2.7206      1.00000
    411      -2.6752      1.00000
    412      -2.6743      1.00000
    413      -2.5907      1.00000
    414      -2.5879      1.00000
    415      -2.5505      1.00000
    416      -2.5454      1.00000
    417      -2.5453      1.00000
    418      -2.5452      1.00000
    419      -2.5447      1.00000
    420      -2.5423      1.00000
    421      -2.5420      1.00000
    422      -2.5352      1.00000
    423      -2.5332      1.00000
    424      -2.5288      1.00000
    425      -2.5142      1.00000
    426      -2.5113      1.00000
    427      -2.5109      1.00000
    428      -2.5101      1.00000
    429      -2.5099      1.00000
    430      -2.5098      1.00000
    431      -2.5063      1.00000
    432      -2.5061      1.00000
    433      -2.5057      1.00000
    434      -2.5056      1.00000
    435      -2.5051      1.00000
    436      -2.5037      1.00000
    437      -2.4950      1.00000
    438      -2.4292      1.00000
    439      -2.4192      1.00000
    440      -2.4119      1.00000
    441      -2.3851      1.00000
    442      -2.3762      1.00000
    443      -2.3751      1.00000
    444      -2.3678      1.00000
    445      -2.3673      1.00000
    446      -2.3526      1.00000
    447      -2.3500      1.00000
    448      -2.3491      1.00000
    449      -2.3462      1.00000
    450      -2.3431      1.00000
    451      -2.3278      1.00000
    452      -2.3258      1.00000
    453      -1.7650      1.00000
    454      -1.7630      1.00000
    455      -1.6854      1.00000
    456      -1.6848      1.00000
    457      -1.6827      1.00000
    458      -1.6709      1.00000
    459      -1.6677      1.00000
    460      -1.6619      1.00000
    461      -1.6608      1.00000
    462      -1.6603      1.00000
    463      -1.6595      1.00000
    464      -1.6589      1.00000
    465      -1.4771      1.00000
    466      -1.3763      1.00000
    467      -1.3743      1.00000
    468      -1.3400      1.00000
    469      -1.3380      1.00000
    470      -1.3374      1.00000
    471      -1.3357      1.00000
    472      -1.3348      1.00000
    473      -1.3348      1.00000
    474      -1.3263      1.00000
    475      -1.3254      1.00000
    476      -1.3092      1.00000
    477      -1.3083      1.00000
    478      -1.3082      1.00000
    479      -1.3075      1.00000
    480      -1.3069      1.00000
    481      -1.3063      1.00000
    482      -1.3063      1.00000
    483      -1.3056      1.00000
    484      -1.2980      1.00000
    485      -1.2972      1.00000
    486      -1.2950      1.00000
    487      -1.2946      1.00000
    488      -1.2932      1.00000
    489      -1.2920      1.00000
    490      -1.2918      1.00000
    491      -1.2832      1.00000
    492      -1.2766      1.00000
    493      -1.1718      1.00000
    494      -1.1712      1.00000
    495      -0.7642      1.00000
    496      -0.7641      1.00000
    497      -0.6916      1.00000
    498      -0.6912      1.00000
    499      -0.6880      1.00000
    500      -0.6795      1.00000
    501      -0.6445      1.00000
    502      -0.6302      1.00000
    503      -0.5974      1.00000
    504      -0.5889      1.00000
    505      -0.5885      1.00000
    506      -0.5821      1.00000
    507      -0.5786      1.00000
    508      -0.5718      1.00000
    509      -0.5701      1.00000
    510      -0.5674      1.00000
    511      -0.5650      1.00000
    512      -0.5583      1.00000
    513      -0.3474      1.00000
    514      -0.3469      1.00000
    515      -0.3349      1.00000
