
 Fermi energy:         1.4407505826

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.2651      1.00000
      2     -18.9547      1.00000
      3     -18.6655      1.00000
      4     -18.6438      1.00000
      5     -18.5415      1.00000
      6     -18.5414      1.00000
      7     -18.5263      1.00000
      8     -18.3707      1.00000
      9     -18.3609      1.00000
     10     -18.3608      1.00000
     11     -18.3566      1.00000
     12     -18.3565      1.00000
     13     -18.3483      1.00000
     14     -18.2527      1.00000
     15     -18.2527      1.00000
     16     -18.1822      1.00000
     17     -18.1270      1.00000
     18     -18.0825      1.00000
     19     -18.0825      1.00000
     20     -18.0701      1.00000
     21     -18.0372      1.00000
     22     -18.0372      1.00000
     23     -18.0276      1.00000
     24     -18.0276      1.00000
     25     -18.0199      1.00000
     26     -17.9668      1.00000
     27     -17.9668      1.00000
     28     -17.9397      1.00000
     29     -17.4566      1.00000
     30     -17.4565      1.00000
     31     -17.3249      1.00000
     32     -17.2686      1.00000
     33     -17.2670      1.00000
     34     -17.2589      1.00000
     35     -17.2416      1.00000
     36     -17.2345      1.00000
     37     -17.2198      1.00000
     38     -17.2074      1.00000
     39     -17.2058      1.00000
     40     -17.1946      1.00000
     41     -16.9732      1.00000
     42     -16.9592      1.00000
     43     -16.9591      1.00000
     44     -16.9496      1.00000
     45     -16.9494      1.00000
     46     -16.9458      1.00000
     47     -16.9309      1.00000
     48     -16.9292      1.00000
     49     -16.9272      1.00000
     50     -16.9021      1.00000
     51     -16.8996      1.00000
     52     -16.8966      1.00000
     53     -16.8017      1.00000
     54     -16.7947      1.00000
     55     -16.7894      1.00000
     56     -16.7787      1.00000
     57     -16.7586      1.00000
     58     -16.7367      1.00000
     59     -16.7335      1.00000
     60     -16.7230      1.00000
     61     -16.7208      1.00000
     62     -16.6873      1.00000
     63     -16.6840      1.00000
     64     -16.6820      1.00000
     65     -16.4753      1.00000
     66     -16.4659      1.00000
     67     -16.4656      1.00000
     68     -16.4649      1.00000
     69     -16.4646      1.00000
     70     -16.4606      1.00000
     71     -16.4333      1.00000
     72     -16.4296      1.00000
     73     -16.4288      1.00000
     74     -16.4235      1.00000
     75     -16.4199      1.00000
     76     -16.4191      1.00000
     77     -15.9518      1.00000
     78     -15.9514      1.00000
     79     -15.6530      1.00000
     80     -15.6529      1.00000
     81     -15.6477      1.00000
     82     -15.5963      1.00000
     83     -15.5867      1.00000
     84     -15.5796      1.00000
     85     -15.5770      1.00000
     86     -15.5698      1.00000
     87     -15.5691      1.00000
     88     -15.5650      1.00000
     89     -15.5459      1.00000
     90     -15.5387      1.00000
     91     -15.5360      1.00000
     92     -15.5274      1.00000
     93     -15.5264      1.00000
     94     -15.5217      1.00000
     95     -15.4625      1.00000
     96     -15.4419      1.00000
     97     -15.4416      1.00000
     98     -15.4415      1.00000
     99     -15.4241      1.00000
    100     -15.4210      1.00000
    101     -15.4208      1.00000
    102     -15.3760      1.00000
    103     -15.3747      1.00000
    104     -15.3710      1.00000
    105     -15.3459      1.00000
    106     -15.3307      1.00000
    107     -15.3302      1.00000
    108     -15.3300      1.00000
    109     -15.3150      1.00000
    110     -15.3149      1.00000
    111     -15.3119      1.00000
    112     -15.3040      1.00000
    113     -15.2976      1.00000
    114     -15.2975      1.00000
    115     -15.2951      1.00000
    116     -15.2942      1.00000
    117     -15.2763      1.00000
    118     -15.2759      1.00000
    119     -15.2631      1.00000
    120     -15.2630      1.00000
    121     -15.2598      1.00000
    122     -15.2597      1.00000
    123     -15.2463      1.00000
    124     -15.2461      1.00000
    125     -15.2454      1.00000
    126     -15.2434      1.00000
    127     -15.2370      1.00000
    128     -15.2359      1.00000
    129     -15.2247      1.00000
    130     -15.2219      1.00000
    131     -15.1655      1.00000
    132     -15.1637      1.00000
    133     -15.1637      1.00000
    134     -15.1583      1.00000
    135     -15.1563      1.00000
    136     -15.1563      1.00000
    137     -14.8079      1.00000
    138     -14.7678      1.00000
    139     -14.7183      1.00000
    140     -14.7175      1.00000
    141     -14.5269      1.00000
    142     -14.5264      1.00000
    143     -14.5260      1.00000
    144     -14.5255      1.00000
    145      -9.1038      1.00000
    146      -9.0987      1.00000
    147      -9.0986      1.00000
    148      -8.9937      1.00000
    149      -8.9934      1.00000
    150      -8.9933      1.00000
    151      -8.7166      1.00000
    152      -8.7166      1.00000
    153      -8.7139      1.00000
    154      -8.7069      1.00000
    155      -8.7069      1.00000
    156      -8.7047      1.00000
    157      -8.3266      1.00000
    158      -8.3029      1.00000
    159      -8.3028      1.00000
    160      -8.1984      1.00000
    161      -8.0745      1.00000
    162      -8.0742      1.00000
    163      -8.0664      1.00000
    164      -8.0649      1.00000
    165      -8.0641      1.00000
    166      -8.0636      1.00000
    167      -8.0623      1.00000
    168      -8.0604      1.00000
    169      -8.0457      1.00000
    170      -8.0436      1.00000
    171      -8.0430      1.00000
    172      -8.0422      1.00000
    173      -8.0414      1.00000
    174      -8.0411      1.00000
    175      -7.9669      1.00000
    176      -7.9665      1.00000
    177      -7.9088      1.00000
    178      -7.9088      1.00000
    179      -7.9054      1.00000
    180      -7.9012      1.00000
    181      -7.8365      1.00000
    182      -7.8365      1.00000
    183      -7.8135      1.00000
    184      -7.8135      1.00000
    185      -7.7994      1.00000
    186      -7.7994      1.00000
    187      -7.7981      1.00000
    188      -7.7981      1.00000
    189      -7.7874      1.00000
    190      -7.7873      1.00000
    191      -7.7765      1.00000
    192      -7.7679      1.00000
    193      -7.7672      1.00000
    194      -7.7646      1.00000
    195      -7.7619      1.00000
    196      -7.7609      1.00000
    197      -7.7609      1.00000
    198      -7.7589      1.00000
    199      -7.7527      1.00000
    200      -7.7501      1.00000
    201      -7.7445      1.00000
    202      -7.7444      1.00000
    203      -7.7410      1.00000
    204      -7.7409      1.00000
    205      -7.7354      1.00000
    206      -7.7353      1.00000
    207      -7.7316      1.00000
    208      -7.7315      1.00000
    209      -7.5354      1.00000
    210      -7.5354      1.00000
    211      -7.5119      1.00000
    212      -7.5119      1.00000
    213      -7.1756      1.00000
    214      -7.0774      1.00000
    215      -7.0768      1.00000
    216      -6.9651      1.00000
    217      -6.8276      1.00000
    218      -6.8272      1.00000
    219      -6.7975      1.00000
    220      -6.7969      1.00000
    221      -6.7905      1.00000
    222      -6.7898      1.00000
    223      -6.7335      1.00000
    224      -6.7328      1.00000
    225      -6.7280      1.00000
    226      -6.7274      1.00000
    227      -6.6898      1.00000
    228      -6.6891      1.00000
    229      -6.6885      1.00000
    230      -6.6500      1.00000
    231      -6.6359      1.00000
    232      -6.6354      1.00000
    233      -6.4378      1.00000
    234      -6.4376      1.00000
    235      -6.4351      1.00000
    236      -6.4322      1.00000
    237      -6.4319      1.00000
    238      -6.4317      1.00000
    239      -6.4238      1.00000
    240      -6.4237      1.00000
    241      -6.4218      1.00000
    242      -6.4191      1.00000
    243      -6.4190      1.00000
    244      -6.4185      1.00000
    245      -5.7750      1.00000
    246      -5.5146      1.00000
    247      -5.2738      1.00000
    248      -5.2731      1.00000
    249      -5.2137      1.00000
    250      -5.2103      1.00000
    251      -5.2098      1.00000
    252      -5.2083      1.00000
    253      -5.1542      1.00000
    254      -5.1538      1.00000
    255      -5.1530      1.00000
    256      -5.1445      1.00000
    257      -5.1443      1.00000
