
 Fermi energy:         1.6505844634

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.5663      1.00000
      2     -19.1685      1.00000
      3     -19.0740      1.00000
      4     -18.7955      1.00000
      5     -18.7369      1.00000
      6     -18.7240      1.00000
      7     -18.7015      1.00000
      8     -18.6931      1.00000
      9     -18.5542      1.00000
     10     -18.3816      1.00000
     11     -18.1821      1.00000
     12     -18.1678      1.00000
     13     -18.1448      1.00000
     14     -18.1376      1.00000
     15     -18.1186      1.00000
     16     -18.1098      1.00000
     17     -18.0743      1.00000
     18     -18.0646      1.00000
     19     -18.0389      1.00000
     20     -18.0348      1.00000
     21     -18.0334      1.00000
     22     -18.0068      1.00000
     23     -17.9917      1.00000
     24     -17.8845      1.00000
     25     -17.8378      1.00000
     26     -17.8224      1.00000
     27     -17.8023      1.00000
     28     -17.7996      1.00000
     29     -17.7705      1.00000
     30     -17.7699      1.00000
     31     -17.7579      1.00000
     32     -17.7554      1.00000
     33     -17.7236      1.00000
     34     -17.3631      1.00000
     35     -17.3287      1.00000
     36     -17.3181      1.00000
     37     -17.1978      1.00000
     38     -17.1227      1.00000
     39     -17.1212      1.00000
     40     -17.0077      1.00000
     41     -16.9990      1.00000
     42     -16.9941      1.00000
     43     -16.9936      1.00000
     44     -16.9851      1.00000
     45     -16.9851      1.00000
     46     -16.9836      1.00000
     47     -16.9813      1.00000
     48     -16.9786      1.00000
     49     -16.9657      1.00000
     50     -16.9647      1.00000
     51     -16.9579      1.00000
     52     -16.7953      1.00000
     53     -16.7533      1.00000
     54     -16.6935      1.00000
     55     -16.6910      1.00000
     56     -16.6898      1.00000
     57     -16.6859      1.00000
     58     -16.6857      1.00000
     59     -16.6830      1.00000
     60     -16.4990      1.00000
     61     -16.4982      1.00000
     62     -16.4958      1.00000
     63     -16.4937      1.00000
     64     -16.4918      1.00000
     65     -16.4873      1.00000
     66     -16.4849      1.00000
     67     -16.4817      1.00000
     68     -16.4806      1.00000
     69     -16.4752      1.00000
     70     -16.4750      1.00000
     71     -16.4740      1.00000
     72     -16.3187      1.00000
     73     -16.2399      1.00000
     74     -16.2078      1.00000
     75     -16.2065      1.00000
     76     -16.2062      1.00000
     77     -16.2052      1.00000
     78     -16.2050      1.00000
     79     -16.2044      1.00000
     80     -16.1534      1.00000
     81     -16.0940      1.00000
     82     -15.9397      1.00000
     83     -15.9106      1.00000
     84     -15.8192      1.00000
     85     -15.8011      1.00000
     86     -15.7837      1.00000
     87     -15.7477      1.00000
     88     -15.7341      1.00000
     89     -15.7082      1.00000
     90     -15.6911      1.00000
     91     -15.4242      1.00000
     92     -15.4216      1.00000
     93     -15.3986      1.00000
     94     -15.3954      1.00000
     95     -15.3600      1.00000
     96     -15.3529      1.00000
     97     -15.3458      1.00000
     98     -15.3413      1.00000
     99     -15.3359      1.00000
    100     -15.3311      1.00000
    101     -15.3250      1.00000
    102     -15.3167      1.00000
    103     -15.2790      1.00000
    104     -15.2748      1.00000
    105     -15.2710      1.00000
    106     -15.2695      1.00000
    107     -15.2664      1.00000
    108     -15.2648      1.00000
    109     -15.2606      1.00000
    110     -15.2576      1.00000
    111     -15.2432      1.00000
    112     -15.2414      1.00000
    113     -15.2346      1.00000
    114     -15.2326      1.00000
    115     -15.1726      1.00000
    116     -15.1679      1.00000
    117     -15.1659      1.00000
    118     -15.1640      1.00000
    119     -15.1621      1.00000
    120     -15.1615      1.00000
    121     -15.1581      1.00000
    122     -15.1493      1.00000
    123     -15.0721      1.00000
    124     -15.0632      1.00000
    125     -15.0538      1.00000
    126     -15.0537      1.00000
    127     -15.0493      1.00000
    128     -15.0482      1.00000
    129     -15.0285      1.00000
    130     -15.0280      1.00000
    131     -15.0273      1.00000
    132     -15.0253      1.00000
    133     -15.0171      1.00000
