
 Fermi energy:         5.7777789900

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1950      1.00000
      2     -18.9231      1.00000
      3     -18.9013      1.00000
      4     -18.6335      1.00000
      5     -18.6171      1.00000
      6     -18.6160      1.00000
      7     -18.5770      1.00000
      8     -18.5756      1.00000
      9     -18.5386      1.00000
     10     -18.4885      1.00000
     11     -18.3986      1.00000
     12     -18.3781      1.00000
     13     -18.3670      1.00000
     14     -18.3657      1.00000
     15     -18.3459      1.00000
     16     -18.3424      1.00000
     17     -18.2808      1.00000
     18     -18.2785      1.00000
     19     -18.2605      1.00000
     20     -18.2549      1.00000
     21     -18.1674      1.00000
     22     -18.1453      1.00000
     23     -18.0356      1.00000
     24     -17.9769      1.00000
     25     -17.9138      1.00000
     26     -17.7480      1.00000
     27     -17.6182      1.00000
     28     -17.4786      1.00000
     29     -17.4770      1.00000
     30     -17.4767      1.00000
     31     -17.4728      1.00000
     32     -17.4726      1.00000
     33     -17.4679      1.00000
     34     -17.2362      1.00000
     35     -17.2172      1.00000
     36     -17.2135      1.00000
     37     -17.2127      1.00000
     38     -17.2016      1.00000
     39     -17.2006      1.00000
     40     -17.1998      1.00000
     41     -17.1972      1.00000
     42     -17.1942      1.00000
     43     -17.1854      1.00000
     44     -17.1846      1.00000
     45     -17.1830      1.00000
     46     -17.1404      1.00000
     47     -16.9852      1.00000
     48     -16.9830      1.00000
     49     -16.9828      1.00000
     50     -16.9781      1.00000
     51     -16.9779      1.00000
     52     -16.9719      1.00000
     53     -16.7543      1.00000
     54     -16.7434      1.00000
     55     -16.7309      1.00000
     56     -16.7243      1.00000
     57     -16.7212      1.00000
     58     -16.7170      1.00000
     59     -16.7165      1.00000
     60     -16.7101      1.00000
     61     -16.6985      1.00000
     62     -16.6958      1.00000
     63     -16.6941      1.00000
     64     -16.6926      1.00000
     65     -16.6830      1.00000
     66     -16.6718      1.00000
     67     -16.6674      1.00000
     68     -16.6499      1.00000
     69     -16.6480      1.00000
     70     -16.5445      1.00000
     71     -16.2132      1.00000
     72     -16.1546      1.00000
     73     -16.0899      1.00000
     74     -15.9810      1.00000
     75     -15.8163      1.00000
     76     -15.8144      1.00000
     77     -15.8093      1.00000
     78     -15.8058      1.00000
     79     -15.8053      1.00000
     80     -15.8032      1.00000
     81     -15.8021      1.00000
     82     -15.7776      1.00000
     83     -15.7772      1.00000
     84     -15.7729      1.00000
     85     -15.7724      1.00000
     86     -15.7622      1.00000
     87     -15.7577      1.00000
     88     -15.6669      1.00000
     89     -15.6667      1.00000
     90     -15.6602      1.00000
     91     -15.6092      1.00000
     92     -15.6070      1.00000
     93     -15.6014      1.00000
     94     -15.5987      1.00000
     95     -15.5890      1.00000
     96     -15.5860      1.00000
     97     -15.5837      1.00000
     98     -15.5824      1.00000
     99     -15.5795      1.00000
    100     -15.5791      1.00000
    101     -15.5760      1.00000
    102     -15.5747      1.00000
    103     -15.5261      1.00000
    104     -15.5238      1.00000
    105     -15.5203      1.00000
    106     -15.5180      1.00000
    107     -15.5129      1.00000
    108     -15.5110      1.00000
    109     -15.5032      1.00000
    110     -15.4969      1.00000
    111     -15.4789      1.00000
    112     -15.4756      1.00000
    113     -15.4726      1.00000
    114     -15.4691      1.00000
    115     -15.3974      1.00000
    116     -15.3534      1.00000
    117     -15.3478      1.00000
    118     -15.3211      1.00000
    119     -15.3202      1.00000
    120     -15.3187      1.00000
    121     -15.3168      1.00000
    122     -15.2838      1.00000
    123     -15.2474      1.00000
    124     -15.1895      1.00000
    125     -15.1834      1.00000
    126     -15.1522      1.00000
    127     -15.1091      1.00000
    128     -15.0773      1.00000
    129     -15.0203      1.00000
    130     -15.0195      1.00000
    131     -14.9867      1.00000
    132     -14.8876      1.00000
    133     -14.8338      1.00000
    134     -14.7501      1.00000
    135     -14.7499      1.00000
    136     -14.7498      1.00000
    137     -14.7487      1.00000
    138     -14.7224      1.00000
    139     -14.5838      1.00000
    140     -14.3656      1.00000
    141     -14.2651      1.00000
    142     -14.0104      1.00000
    143     -13.5913      1.00000
    144      -9.2101      1.00000
    145      -9.2098      1.00000
    146      -9.2098      1.00000
    147      -8.9698      1.00000
    148      -8.9697      1.00000
    149      -8.9682      1.00000
    150      -8.9628      1.00000
    151      -8.9622      1.00000
    152      -8.9612      1.00000
    153      -8.5195      1.00000
    154      -8.4354      1.00000
    155      -8.4295      1.00000
    156      -8.2888      1.00000
    157      -8.2888      1.00000
    158      -8.2875      1.00000
    159      -8.2874      1.00000
    160      -8.2750      1.00000
    161      -8.2737      1.00000
    162      -8.2673      1.00000
    163      -8.2625      1.00000
    164      -8.2528      1.00000
    165      -8.2526      1.00000
    166      -8.2456      1.00000
    167      -8.2453      1.00000
    168      -8.0795      1.00000
    169      -8.0764      1.00000
    170      -8.0753      1.00000
    171      -8.0742      1.00000
    172      -8.0725      1.00000
    173      -8.0693      1.00000
    174      -8.0681      1.00000
    175      -8.0681      1.00000
    176      -8.0517      1.00000
    177      -8.0517      1.00000
    178      -8.0352      1.00000
    179      -8.0342      1.00000
    180      -8.0295      1.00000
    181      -8.0284      1.00000
    182      -8.0184      1.00000
    183      -8.0145      1.00000
    184      -8.0115      1.00000
    185      -8.0073      1.00000
    186      -7.9803      1.00000
    187      -7.9801      1.00000
    188      -7.9747      1.00000
    189      -7.9726      1.00000
    190      -7.9718      1.00000
    191      -7.9679      1.00000
    192      -7.9400      1.00000
    193      -7.9382      1.00000
    194      -7.7716      1.00000
    195      -7.7578      1.00000
    196      -7.7574      1.00000
    197      -7.7531      1.00000
    198      -7.7497      1.00000
    199      -7.6824      1.00000
    200      -7.6678      1.00000
    201      -7.6453      1.00000
    202      -7.6320      1.00000
    203      -7.5483      1.00000
    204      -7.4969      1.00000
    205      -7.4926      1.00000
    206      -7.4125      1.00000
    207      -7.3695      1.00000
    208      -7.2894      1.00000
    209      -7.2893      1.00000
    210      -7.2736      1.00000
    211      -7.1101      1.00000
    212      -7.0415      1.00000
    213      -7.0346      1.00000
    214      -7.0334      1.00000
    215      -7.0273      1.00000
    216      -6.9311      1.00000
    217      -6.9311      1.00000
    218      -6.9310      1.00000
    219      -6.9299      1.00000
    220      -6.9289      1.00000
    221      -6.9288      1.00000
    222      -6.8418      1.00000
    223      -6.7587      1.00000
    224      -6.6852      1.00000
    225      -6.6815      1.00000
    226      -6.6814      1.00000
    227      -6.6802      1.00000
    228      -6.6736      1.00000
    229      -6.6731      1.00000
    230      -6.6729      1.00000
    231      -6.6725      1.00000
    232      -6.6681      1.00000
    233      -6.6650      1.00000
    234      -6.6645      1.00000
    235      -6.6594      1.00000
    236      -6.5534      1.00000
    237      -6.3289      1.00000
    238      -6.2959      1.00000
    239      -6.0923      1.00000
    240      -6.0452      1.00000
    241      -5.8920      1.00000
    242      -5.8661      1.00000
    243      -5.6894      1.00000
    244      -5.4466      1.00000
    245      -5.3941      1.00000
    246      -5.3937      1.00000
    247      -5.3937      1.00000
    248      -5.3927      1.00000
    249      -5.3923      1.00000
    250      -5.3922      1.00000
    251      -5.1932      1.00000
    252      -5.1735      1.00000
    253      -5.1734      1.00000
    254      -5.1712      1.00000
    255      -5.1711      1.00000
    256      -5.1606      1.00000
    257      -5.1604      1.00000
    258      -5.1578      1.00000
    259      -5.1531      1.00000
    260      -5.1529      1.00000
    261      -5.1491      1.00000
    262      -5.1487      1.00000
    263      -5.1483      1.00000
    264      -5.1469      1.00000
    265      -5.1462      1.00000
    266      -5.1441      1.00000
    267      -5.1436      1.00000
    268      -5.1417      1.00000
    269      -5.1404      1.00000
    270      -5.1400      1.00000
    271      -5.1335      1.00000
    272      -5.1296      1.00000
    273      -5.1295      1.00000
    274      -5.1264      1.00000
    275      -5.1264      1.00000
    276      -5.0996      1.00000
    277      -5.0683      1.00000
    278      -5.0597      1.00000
    279      -4.9747      1.00000
    280      -4.9614      1.00000
    281      -4.9589      1.00000
    282      -4.9586      1.00000
    283      -4.9576      1.00000
    284      -4.9543      1.00000
    285      -4.9540      1.00000
    286      -4.9538      1.00000
    287      -4.9529      1.00000
    288      -4.9490      1.00000
    289      -4.9273      1.00000
    290      -4.9265      1.00000
    291      -4.9236      1.00000
    292      -4.9228      1.00000
    293      -4.8906      1.00000
    294      -4.8798      1.00000
    295      -4.8777      1.00000
    296      -4.8748      1.00000
    297      -4.8730      1.00000
    298      -4.8480      1.00000
    299      -4.8409      1.00000
    300      -4.8375      1.00000
    301      -4.8242      1.00000
    302      -4.8219      1.00000
    303      -4.8205      1.00000
    304      -4.8200      1.00000
    305      -4.8185      1.00000
    306      -4.8164      1.00000
    307      -4.7012      1.00000
    308      -4.6979      1.00000
    309      -4.6770      1.00000
    310      -4.6629      1.00000
    311      -4.6223      1.00000
    312      -4.5918      1.00000
    313      -4.4750      1.00000
    314      -4.4566      1.00000
    315      -4.4429      1.00000
    316      -4.4079      1.00000
    317      -4.3772      1.00000
    318      -4.3301      1.00000
    319      -4.2762      1.00000
    320      -4.1695      1.00000
    321      -4.1251      1.00000
    322      -4.0902      1.00000
    323      -4.0885      1.00000
    324      -4.0644      1.00000
    325      -4.0244      1.00000
    326      -3.9963      1.00000
    327      -3.9927      1.00000
    328      -3.9912      1.00000
    329      -3.8915      1.00000
    330      -3.8828      1.00000
    331      -3.8638      1.00000
    332      -3.8345      1.00000
    333      -3.8323      1.00000
    334      -3.8321      1.00000
    335      -3.8320      1.00000
    336      -3.8285      1.00000
    337      -3.7017      1.00000
    338      -3.5838      1.00000
    339      -3.5820      1.00000
    340      -3.5788      1.00000
    341      -3.5782      1.00000
    342      -3.5769      1.00000
    343      -3.5766      1.00000
    344      -3.5763      1.00000
    345      -3.5756      1.00000
    346      -3.5754      1.00000
    347      -3.5752      1.00000
    348      -3.5750      1.00000
    349      -3.5744      1.00000
    350      -3.5584      1.00000
    351      -3.4477      1.00000
    352      -3.4013      1.00000
    353      -3.3937      1.00000
    354      -3.3920      1.00000
    355      -3.3894      1.00000
    356      -3.3844      1.00000
    357      -3.3779      1.00000
    358      -3.3378      1.00000
    359      -3.3327      1.00000
    360      -3.3297      1.00000
    361      -3.3294      1.00000
    362      -3.3292      1.00000
    363      -3.3284      1.00000
    364      -3.3264      1.00000
    365      -3.3187      1.00000
    366      -3.3177      1.00000
    367      -3.3162      1.00000
    368      -3.3029      1.00000
    369      -3.3018      1.00000
    370      -3.2798      1.00000
    371      -3.2059      1.00000
    372      -3.2056      1.00000
    373      -3.2054      1.00000
    374      -3.2024      1.00000
    375      -3.2022      1.00000
    376      -3.2021      1.00000
    377      -3.0433      1.00000
    378      -3.0381      1.00000
    379      -2.9548      1.00000
    380      -2.9541      1.00000
    381      -2.9536      1.00000
    382      -2.9535      1.00000
    383      -2.9480      1.00000
    384      -2.9470      1.00000
    385      -2.9390      1.00000
    386      -2.9378      1.00000
    387      -2.9182      1.00000
    388      -2.9159      1.00000
    389      -2.9158      1.00000
    390      -2.9145      1.00000
    391      -2.9102      1.00000
    392      -2.8955      1.00000
    393      -2.8876      1.00000
    394      -2.8872      1.00000
    395      -2.8715      1.00000
    396      -2.8714      1.00000
    397      -2.8682      1.00000
    398      -2.8597      1.00000
    399      -2.8541      1.00000
    400      -2.8324      1.00000
    401      -2.8218      1.00000
    402      -2.7997      1.00000
    403      -2.7781      1.00000
    404      -2.7298      1.00000
    405      -2.7063      1.00000
    406      -2.7005      1.00000
    407      -2.6761      1.00000
    408      -2.6676      1.00000
    409      -2.6625      1.00000
    410      -2.6621      1.00000
    411      -2.6577      1.00000
    412      -2.6524      1.00000
    413      -2.6413      1.00000
    414      -2.6406      1.00000
    415      -2.6361      1.00000
    416      -2.6349      1.00000
    417      -2.6321      1.00000
    418      -2.6253      1.00000
    419      -2.6215      1.00000
    420      -2.6103      1.00000
    421      -2.6070      1.00000
    422      -2.6027      1.00000
    423      -2.6004      1.00000
    424      -2.5940      1.00000
    425      -2.5929      1.00000
    426      -2.5650      1.00000
    427      -2.5562      1.00000
    428      -2.4645      1.00000
    429      -2.4557      1.00000
    430      -2.4553      1.00000
    431      -2.4531      1.00000
    432      -2.4318      1.00000
    433      -2.4300      1.00000
    434      -2.3975      1.00000
    435      -2.3608      1.00000
    436      -2.3607      1.00000
    437      -2.3514      1.00000
    438      -2.3376      1.00000
    439      -2.3195      1.00000
    440      -2.2954      1.00000
    441      -2.2571      1.00000
    442      -2.2411      1.00000
    443      -2.1056      1.00000
    444      -2.0584      1.00000
    445      -2.0362      1.00000
    446      -1.9900      1.00000
    447      -1.9067      1.00000
    448      -1.8975      1.00000
    449      -1.7758      1.00000
    450      -1.7654      1.00000
    451      -1.7652      1.00000
    452      -1.7428      1.00000
    453      -1.7403      1.00000
    454      -1.6931      1.00000
    455      -1.6872      1.00000
    456      -1.6833      1.00000
    457      -1.6829      1.00000
    458      -1.6697      1.00000
    459      -1.6656      1.00000
    460      -1.6653      1.00000
    461      -1.6611      1.00000
    462      -1.6549      1.00000
    463      -1.6389      1.00000
    464      -1.6222      1.00000
    465      -1.6035      1.00000
    466      -1.5494      1.00000
    467      -1.4742      1.00000
    468      -1.4740      1.00000
    469      -1.4605      1.00000
    470      -1.4422      1.00000
    471      -1.4409      1.00000
    472      -1.4403      1.00000
    473      -1.4396      1.00000
    474      -1.3845      1.00000
    475      -1.3824      1.00000
    476      -1.3821      1.00000
    477      -1.3792      1.00000
    478      -1.3785      1.00000
    479      -1.3727      1.00000
    480      -1.2991      1.00000
    481      -1.2867      1.00000
    482      -1.2766      1.00000
    483      -1.2330      1.00000
    484      -1.2239      1.00000
    485      -1.1883      1.00000
    486      -1.1815      1.00000
    487      -1.0413      1.00000
    488      -0.9350      1.00000
    489      -0.7640      1.00000
    490      -0.7613      1.00000
    491      -0.7595      1.00000
    492      -0.7574      1.00000
    493      -0.7308      1.00000
    494      -0.7302      1.00000
    495      -0.6881      1.00000
    496      -0.6841      1.00000
    497      -0.6835      1.00000
    498      -0.6835      1.00000
    499      -0.6825      1.00000
    500      -0.6779      1.00000
    501      -0.6476      1.00000
    502      -0.6475      1.00000
    503      -0.6432      1.00000
    504      -0.6402      1.00000
    505      -0.6332      1.00000
    506      -0.6226      1.00000
    507      -0.5658      1.00000
    508      -0.5579      1.00000
    509      -0.4847      1.00000
    510      -0.4309      1.00000
    511      -0.4305      1.00000
    512      -0.4214      1.00000
    513      -0.4190      1.00000
    514      -0.4026      1.00000
    515      -0.3983      1.00000
    516      -0.3981      1.00000
    517      -0.2184      1.00000
    518      -0.1847      1.00000
    519      -0.1128      1.00000
    520      -0.1100      1.00000
    521      -0.0979      1.00000
    522      -0.0954      1.00000
    523      -0.0786      1.00000
    524      -0.0757      1.00000
    525      -0.0461      1.00000
    526      -0.0379      1.00000
    527      -0.0267      1.00000
    528      -0.0260      1.00000
    529      -0.0166      1.00000
    530      -0.0133      1.00000
    531      -0.0040      1.00000
    532      -0.0004      1.00000
    533       0.0017      1.00000
    534       0.0179      1.00000
    535       0.0198      1.00000
    536       0.0266      1.00000
    537       0.0347      1.00000
    538       0.0901      1.00000
    539       0.1135      1.00000
    540       0.1226      1.00000
    541       0.1379      1.00000
    542       0.1573      1.00000
    543       0.1773      1.00000
    544       0.1827      1.00000
    545       0.2234      1.00000
    546       0.2303      1.00000
    547       0.3388      1.00000
    548       0.3909      1.00000
    549       0.4548      1.00000
    550       0.5462      1.00000
    551       0.6031      1.00000
    552       0.6342      1.00000
    553       0.6374      1.00000
    554       0.6462      1.00000
    555       0.6707      1.00000
    556       0.7001      1.00000
    557       0.7344      1.00000
    558       0.7495      1.00000
    559       0.7849      1.00000
    560       0.8114      1.00000
    561       0.8785      1.00000
    562       0.8874      1.00000
    563       0.9131      1.00000
    564       0.9415      1.00000
    565       0.9840      1.00000
    566       1.1142      1.00000
    567       1.1152      1.00000
    568       1.1786      1.00000
    569       1.1804      1.00000
    570       1.3030      1.00000
    571       1.4118      1.00000
    572       1.6804      1.00000
    573       1.9249      1.00000
    574       4.9419      1.00000
    575       5.7166      1.00000
    576       7.1364      0.00000
    577       7.1400      0.00000
    578       7.1519      0.00000
    579       7.5400      0.00000
    580       7.5405      0.00000
    581       7.6616      0.00000
    582       7.6671      0.00000
    583       7.6698      0.00000
    584       7.6713      0.00000
    585       7.6723      0.00000
    586       7.7694      0.00000
    587       7.8009      0.00000
    588       7.8185      0.00000
    589       7.8929      0.00000
    590       7.9095      0.00000
    591       7.9521      0.00000
    592       8.0946      0.00000
    593       8.0974      0.00000
    594       8.0985      0.00000
    595       8.1011      0.00000
    596       8.1344      0.00000
    597       8.1348      0.00000
    598       8.1391      0.00000
    599       8.1439      0.00000
    600       8.1704      0.00000
    601       8.1719      0.00000
    602       8.1995      0.00000
    603       8.2438      0.00000
    604       8.2494      0.00000
    605       8.2736      0.00000
    606       8.4066      0.00000
    607       8.4133      0.00000
    608       8.4307      0.00000
    609       8.4353      0.00000
    610       8.4577      0.00000
    611       8.4619      0.00000
    612       8.5114      0.00000
    613       8.5200      0.00000
    614       8.5241      0.00000
    615       8.5254      0.00000
    616       8.5525      0.00000
    617       8.5605      0.00000
    618       8.5658      0.00000
    619       8.5759      0.00000
    620       8.5882      0.00000
    621       8.6062      0.00000
    622       8.6089      0.00000
    623       8.6236      0.00000
    624       8.6623      0.00000
    625       8.6686      0.00000
    626       8.7434      0.00000
    627       8.7456      0.00000
    628       8.7736      0.00000
    629       8.7900      0.00000
    630       8.7933      0.00000
    631       8.8320      0.00000
    632       8.8342      0.00000
    633       8.8346      0.00000
    634       8.8504      0.00000
    635       8.9410      0.00000
    636       8.9609      0.00000
    637       8.9686      0.00000
    638       9.1474      0.00000
    639       9.1948      0.00000
    640       9.1986      0.00000
    641       9.2068      0.00000
    642       9.2233      0.00000
    643       9.3120      0.00000
    644       9.3262      0.00000
    645       9.3389      0.00000
    646       9.3492      0.00000
    647       9.5321      0.00000
    648       9.7697      0.00000
    649       9.8501      0.00000
    650       9.9834      0.00000
    651       9.9857      0.00000
    652       9.9899      0.00000
    653       9.9943      0.00000
    654       9.9976      0.00000
    655      10.0206      0.00000
    656      10.1145      0.00000
    657      10.1993      0.00000
    658      10.2383      0.00000
    659      10.2437      0.00000
    660      10.2443      0.00000
    661      10.2529      0.00000
    662      10.2532      0.00000
    663      10.4361      0.00000
    664      10.4442      0.00000
    665      10.4784      0.00000
    666      10.4884      0.00000
    667      10.5280      0.00000
    668      10.5363      0.00000
    669      10.5678      0.00000
    670      10.5806      0.00000
