
 Fermi energy:         3.8632912200

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9459      1.00000
      2     -18.8013      1.00000
      3     -18.8007      1.00000
      4     -18.6472      1.00000
      5     -18.3912      1.00000
      6     -18.3612      1.00000
      7     -18.3549      1.00000
      8     -18.3447      1.00000
      9     -18.3302      1.00000
     10     -18.3163      1.00000
     11     -18.2551      1.00000
     12     -18.2319      1.00000
     13     -18.2231      1.00000
     14     -18.2096      1.00000
     15     -18.2088      1.00000
     16     -18.2086      1.00000
     17     -18.2074      1.00000
     18     -18.2070      1.00000
     19     -18.2062      1.00000
     20     -18.2048      1.00000
     21     -18.1743      1.00000
     22     -18.1282      1.00000
     23     -18.0795      1.00000
     24     -18.0731      1.00000
     25     -18.0698      1.00000
     26     -18.0619      1.00000
     27     -18.0396      1.00000
     28     -17.9384      1.00000
     29     -17.2495      1.00000
     30     -17.2290      1.00000
     31     -17.2248      1.00000
     32     -17.2148      1.00000
     33     -17.2037      1.00000
     34     -17.1904      1.00000
     35     -17.1353      1.00000
     36     -17.1176      1.00000
     37     -17.1133      1.00000
     38     -17.1000      1.00000
     39     -17.0976      1.00000
     40     -17.0974      1.00000
     41     -17.0969      1.00000
     42     -17.0968      1.00000
     43     -17.0963      1.00000
     44     -17.0959      1.00000
     45     -17.0702      1.00000
     46     -17.0305      1.00000
     47     -16.9876      1.00000
     48     -16.9821      1.00000
     49     -16.9805      1.00000
     50     -16.9735      1.00000
     51     -16.9592      1.00000
     52     -16.8921      1.00000
     53     -16.7357      1.00000
     54     -16.7308      1.00000
     55     -16.7290      1.00000
     56     -16.7137      1.00000
     57     -16.7013      1.00000
     58     -16.6862      1.00000
     59     -16.6365      1.00000
     60     -16.6319      1.00000
     61     -16.6288      1.00000
     62     -16.6141      1.00000
     63     -16.6113      1.00000
     64     -16.6112      1.00000
     65     -16.6105      1.00000
     66     -16.6104      1.00000
     67     -16.6098      1.00000
     68     -16.6041      1.00000
     69     -16.5704      1.00000
     70     -16.5364      1.00000
     71     -16.5102      1.00000
     72     -16.5087      1.00000
     73     -16.5079      1.00000
     74     -16.4972      1.00000
     75     -16.4671      1.00000
     76     -16.2475      1.00000
     77     -15.5621      1.00000
     78     -15.5261      1.00000
     79     -15.5222      1.00000
     80     -15.5046      1.00000
     81     -15.5036      1.00000
     82     -15.5028      1.00000
     83     -15.4987      1.00000
     84     -15.4934      1.00000
     85     -15.4887      1.00000
     86     -15.4862      1.00000
     87     -15.4799      1.00000
     88     -15.4748      1.00000
     89     -15.4622      1.00000
     90     -15.4549      1.00000
     91     -15.4539      1.00000
     92     -15.4438      1.00000
     93     -15.4424      1.00000
     94     -15.4415      1.00000
     95     -15.4355      1.00000
     96     -15.4323      1.00000
     97     -15.4300      1.00000
     98     -15.4294      1.00000
     99     -15.4291      1.00000
    100     -15.4289      1.00000
    101     -15.4289      1.00000
    102     -15.4285      1.00000
    103     -15.4276      1.00000
    104     -15.4271      1.00000
    105     -15.4270      1.00000
    106     -15.4270      1.00000
    107     -15.4267      1.00000
    108     -15.4258      1.00000
    109     -15.4257      1.00000
    110     -15.4161      1.00000
    111     -15.3931      1.00000
    112     -15.3864      1.00000
    113     -15.3772      1.00000
    114     -15.3740      1.00000
    115     -15.3716      1.00000
    116     -15.3708      1.00000
    117     -15.3666      1.00000
    118     -15.3666      1.00000
    119     -15.3654      1.00000
    120     -15.3648      1.00000
    121     -15.3624      1.00000
    122     -15.3609      1.00000
    123     -15.3547      1.00000
    124     -15.3499      1.00000
    125     -15.3457      1.00000
    126     -15.3295      1.00000
    127     -15.3242      1.00000
    128     -15.3226      1.00000
    129     -15.3224      1.00000
    130     -15.3186      1.00000
    131     -15.2982      1.00000
    132     -15.2929      1.00000
    133     -15.2874      1.00000
    134     -15.2690      1.00000
    135     -15.2330      1.00000
    136     -14.7757      1.00000
    137     -14.6735      1.00000
    138     -14.6732      1.00000
    139     -14.6729      1.00000
    140     -14.6725      1.00000
    141     -14.6705      1.00000
    142     -14.6704      1.00000
    143     -14.6458      1.00000
    144      -8.9883      1.00000
    145      -8.8801      1.00000
    146      -8.8777      1.00000
    147      -8.8713      1.00000
    148      -8.8581      1.00000
    149      -8.8581      1.00000
    150      -8.8574      1.00000
    151      -8.8453      1.00000
    152      -8.8345      1.00000
    153      -8.8267      1.00000
    154      -8.8201      1.00000
    155      -8.8103      1.00000
    156      -8.7730      1.00000
    157      -8.0246      1.00000
    158      -8.0053      1.00000
    159      -7.9870      1.00000
    160      -7.9572      1.00000
    161      -7.9569      1.00000
    162      -7.9532      1.00000
    163      -7.9473      1.00000
    164      -7.9450      1.00000
    165      -7.9410      1.00000
    166      -7.9396      1.00000
    167      -7.9392      1.00000
    168      -7.9380      1.00000
    169      -7.9343      1.00000
    170      -7.9342      1.00000
    171      -7.9329      1.00000
    172      -7.9252      1.00000
    173      -7.9243      1.00000
    174      -7.9206      1.00000
    175      -7.9174      1.00000
    176      -7.9172      1.00000
    177      -7.9171      1.00000
    178      -7.9169      1.00000
    179      -7.9166      1.00000
    180      -7.9162      1.00000
    181      -7.9158      1.00000
    182      -7.9156      1.00000
    183      -7.9152      1.00000
    184      -7.9152      1.00000
    185      -7.9139      1.00000
    186      -7.9138      1.00000
    187      -7.9128      1.00000
    188      -7.9021      1.00000
    189      -7.8909      1.00000
    190      -7.8867      1.00000
    191      -7.8855      1.00000
    192      -7.8843      1.00000
    193      -7.8805      1.00000
    194      -7.8803      1.00000
    195      -7.8798      1.00000
    196      -7.8768      1.00000
    197      -7.8765      1.00000
    198      -7.8744      1.00000
    199      -7.8737      1.00000
    200      -7.8630      1.00000
    201      -7.8442      1.00000
    202      -7.7931      1.00000
    203      -7.7428      1.00000
    204      -7.7345      1.00000
    205      -7.6868      1.00000
    206      -7.6866      1.00000
    207      -7.6410      1.00000
    208      -7.6408      1.00000
    209      -7.5934      1.00000
    210      -7.5708      1.00000
    211      -7.4417      1.00000
    212      -7.2817      1.00000
    213      -6.9427      1.00000
    214      -6.9423      1.00000
    215      -6.9373      1.00000
    216      -6.9373      1.00000
    217      -6.9358      1.00000
    218      -6.9351      1.00000
    219      -6.8966      1.00000
    220      -6.8867      1.00000
    221      -6.6353      1.00000
    222      -6.6117      1.00000
    223      -6.6098      1.00000
    224      -6.6043      1.00000
    225      -6.6042      1.00000
    226      -6.6033      1.00000
    227      -6.5935      1.00000
    228      -6.5800      1.00000
    229      -6.5798      1.00000
    230      -6.5789      1.00000
    231      -6.5784      1.00000
    232      -6.5782      1.00000
    233      -6.5781      1.00000
    234      -6.5723      1.00000
    235      -6.5611      1.00000
    236      -6.5454      1.00000
    237      -6.5441      1.00000
    238      -6.5431      1.00000
    239      -6.5356      1.00000
    240      -6.5274      1.00000
    241      -6.5141      1.00000
    242      -6.3982      1.00000
    243      -6.2256      1.00000
    244      -5.8790      1.00000
    245      -5.7530      1.00000
    246      -5.0865      1.00000
    247      -5.0809      1.00000
    248      -5.0505      1.00000
    249      -5.0475      1.00000
    250      -5.0471      1.00000
    251      -5.0464      1.00000
    252      -5.0461      1.00000
    253      -5.0460      1.00000
    254      -5.0459      1.00000
    255      -5.0459      1.00000
    256      -5.0456      1.00000
    257      -5.0454      1.00000
    258      -5.0453      1.00000
    259      -5.0452      1.00000
    260      -5.0449      1.00000
    261      -5.0330      1.00000
    262      -5.0324      1.00000
    263      -5.0317      1.00000
    264      -5.0303      1.00000
    265      -5.0301      1.00000
    266      -5.0285      1.00000
    267      -4.9876      1.00000
    268      -4.9801      1.00000
    269      -4.9311      1.00000
    270      -4.9165      1.00000
    271      -4.9102      1.00000
    272      -4.9094      1.00000
    273      -4.9033      1.00000
    274      -4.8897      1.00000
    275      -4.8828      1.00000
    276      -4.8739      1.00000
    277      -4.8695      1.00000
    278      -4.8587      1.00000
    279      -4.8465      1.00000
    280      -4.8449      1.00000
    281      -4.8322      1.00000
    282      -4.8272      1.00000
    283      -4.8231      1.00000
    284      -4.8225      1.00000
    285      -4.8209      1.00000
    286      -4.8209      1.00000
    287      -4.8188      1.00000
    288      -4.8174      1.00000
    289      -4.8147      1.00000
    290      -4.8145      1.00000
    291      -4.8103      1.00000
    292      -4.8101      1.00000
    293      -4.7996      1.00000
    294      -4.7993      1.00000
    295      -4.7993      1.00000
    296      -4.7989      1.00000
    297      -4.7986      1.00000
    298      -4.7983      1.00000
    299      -4.7981      1.00000
    300      -4.7981      1.00000
    301      -4.7974      1.00000
    302      -4.7974      1.00000
    303      -4.7965      1.00000
    304      -4.7949      1.00000
    305      -4.7942      1.00000
    306      -4.7812      1.00000
    307      -4.7705      1.00000
    308      -4.7700      1.00000
    309      -4.7672      1.00000
    310      -4.7670      1.00000
    311      -4.7653      1.00000
    312      -4.7647      1.00000
    313      -4.7637      1.00000
    314      -4.7622      1.00000
    315      -4.7621      1.00000
    316      -4.7621      1.00000
    317      -4.7577      1.00000
    318      -4.7410      1.00000
    319      -4.7387      1.00000
    320      -4.7218      1.00000
    321      -4.6650      1.00000
    322      -4.6192      1.00000
    323      -4.1922      1.00000
    324      -4.1597      1.00000
    325      -3.9913      1.00000
    326      -3.9851      1.00000
    327      -3.9538      1.00000
    328      -3.9444      1.00000
    329      -3.9340      1.00000
