
 Fermi energy:         5.4341962012

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0286      1.00000
      2     -18.8442      1.00000
      3     -18.8296      1.00000
      4     -18.6250      1.00000
      5     -18.4555      1.00000
      6     -18.4444      1.00000
      7     -18.4428      1.00000
      8     -18.4162      1.00000
      9     -18.4139      1.00000
     10     -18.3881      1.00000
     11     -18.2915      1.00000
     12     -18.2890      1.00000
     13     -18.2764      1.00000
     14     -18.2745      1.00000
     15     -18.2739      1.00000
     16     -18.2623      1.00000
     17     -18.2281      1.00000
     18     -18.2264      1.00000
     19     -18.2145      1.00000
     20     -18.1955      1.00000
     21     -18.1707      1.00000
     22     -18.1293      1.00000
     23     -18.1129      1.00000
     24     -18.0998      1.00000
     25     -18.0685      1.00000
     26     -18.0008      1.00000
     27     -17.8892      1.00000
     28     -17.5553      1.00000
     29     -17.3063      1.00000
     30     -17.3052      1.00000
     31     -17.3038      1.00000
     32     -17.3009      1.00000
     33     -17.3003      1.00000
     34     -17.2941      1.00000
     35     -17.1438      1.00000
     36     -17.1411      1.00000
     37     -17.1405      1.00000
     38     -17.1349      1.00000
     39     -17.1334      1.00000
     40     -17.1323      1.00000
     41     -17.1311      1.00000
     42     -17.1231      1.00000
     43     -17.1226      1.00000
     44     -17.1136      1.00000
     45     -17.1088      1.00000
     46     -17.0890      1.00000
     47     -16.9532      1.00000
     48     -16.9448      1.00000
     49     -16.9179      1.00000
     50     -16.8846      1.00000
     51     -16.8820      1.00000
     52     -16.8124      1.00000
     53     -16.8099      1.00000
     54     -16.8078      1.00000
     55     -16.8077      1.00000
     56     -16.8043      1.00000
     57     -16.8005      1.00000
     58     -16.7685      1.00000
     59     -16.6535      1.00000
     60     -16.6513      1.00000
     61     -16.6509      1.00000
     62     -16.6418      1.00000
     63     -16.6406      1.00000
     64     -16.6401      1.00000
     65     -16.6347      1.00000
     66     -16.6322      1.00000
     67     -16.6301      1.00000
     68     -16.6179      1.00000
     69     -16.6065      1.00000
     70     -16.5883      1.00000
     71     -16.4477      1.00000
     72     -16.4196      1.00000
     73     -16.3950      1.00000
     74     -16.3251      1.00000
     75     -16.1554      1.00000
     76     -15.7410      1.00000
