
 Fermi energy:         3.0124329206

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0831      1.00000
      2     -18.7875      1.00000
      3     -18.7660      1.00000
      4     -18.7225      1.00000
      5     -18.5596      1.00000
      6     -18.5472      1.00000
      7     -18.4580      1.00000
      8     -18.4254      1.00000
      9     -18.3695      1.00000
     10     -18.3210      1.00000
     11     -18.2389      1.00000
     12     -18.2133      1.00000
     13     -18.2105      1.00000
     14     -18.1822      1.00000
     15     -18.1816      1.00000
     16     -18.1753      1.00000
     17     -18.1541      1.00000
     18     -18.1409      1.00000
     19     -18.1292      1.00000
     20     -18.1277      1.00000
     21     -18.1263      1.00000
     22     -18.1072      1.00000
     23     -17.9989      1.00000
     24     -17.9785      1.00000
     25     -17.9762      1.00000
     26     -17.9488      1.00000
     27     -17.9483      1.00000
     28     -17.9364      1.00000
     29     -17.5060      1.00000
     30     -17.4411      1.00000
     31     -17.4274      1.00000
     32     -17.3507      1.00000
     33     -17.2664      1.00000
     34     -17.1519      1.00000
     35     -17.0811      1.00000
     36     -17.0771      1.00000
     37     -17.0766      1.00000
     38     -17.0679      1.00000
     39     -17.0637      1.00000
     40     -17.0628      1.00000
     41     -17.0592      1.00000
     42     -17.0579      1.00000
     43     -17.0445      1.00000
     44     -17.0433      1.00000
     45     -17.0382      1.00000
     46     -17.0203      1.00000
     47     -16.9399      1.00000
     48     -16.8900      1.00000
     49     -16.8817      1.00000
     50     -16.8788      1.00000
     51     -16.8741      1.00000
     52     -16.8720      1.00000
     53     -16.8687      1.00000
     54     -16.8669      1.00000
     55     -16.8628      1.00000
     56     -16.8518      1.00000
     57     -16.7238      1.00000
     58     -16.6089      1.00000
     59     -16.5784      1.00000
     60     -16.5776      1.00000
     61     -16.5770      1.00000
     62     -16.5757      1.00000
     63     -16.5739      1.00000
     64     -16.5629      1.00000
     65     -16.5625      1.00000
     66     -16.5616      1.00000
     67     -16.5581      1.00000
     68     -16.5580      1.00000
     69     -16.5540      1.00000
     70     -16.4137      1.00000
     71     -16.3918      1.00000
     72     -16.3914      1.00000
     73     -16.3909      1.00000
     74     -16.3903      1.00000
     75     -16.3892      1.00000
     76     -16.3654      1.00000
     77     -16.0834      1.00000
     78     -15.8445      1.00000
     79     -15.7922      1.00000
     80     -15.6569      1.00000
     81     -15.6480      1.00000
     82     -15.6334      1.00000
     83     -15.5880      1.00000
     84     -15.5843      1.00000
     85     -15.5479      1.00000
     86     -15.5293      1.00000
     87     -15.5008      1.00000
     88     -15.4836      1.00000
     89     -15.4757      1.00000
     90     -15.4737      1.00000
     91     -15.4572      1.00000
     92     -15.4564      1.00000
     93     -15.4250      1.00000
     94     -15.4245      1.00000
     95     -15.4180      1.00000
     96     -15.4054      1.00000
     97     -15.4051      1.00000
     98     -15.4025      1.00000
     99     -15.4000      1.00000
    100     -15.3917      1.00000
    101     -15.3804      1.00000
    102     -15.3785      1.00000
    103     -15.3639      1.00000
    104     -15.3615      1.00000
    105     -15.3589      1.00000
    106     -15.3583      1.00000
    107     -15.3522      1.00000
    108     -15.3510      1.00000
    109     -15.3502      1.00000
    110     -15.3485      1.00000
    111     -15.3414      1.00000
    112     -15.3386      1.00000
    113     -15.3324      1.00000
    114     -15.3320      1.00000
    115     -15.2657      1.00000
    116     -15.2637      1.00000
    117     -15.2624      1.00000
    118     -15.2554      1.00000
    119     -15.2545      1.00000
    120     -15.2534      1.00000
    121     -15.2512      1.00000
    122     -15.2465      1.00000
    123     -15.2408      1.00000
    124     -15.2402      1.00000
    125     -15.2359      1.00000
    126     -15.2355      1.00000
    127     -15.2224      1.00000
    128     -15.2221      1.00000
    129     -15.2185      1.00000
    130     -15.2183      1.00000
    131     -15.2144      1.00000
    132     -15.2131      1.00000
    133     -15.1337      1.00000
    134     -15.1334      1.00000
    135     -15.1333      1.00000
    136     -14.9111      1.00000
    137     -14.8053      1.00000
    138     -14.6212      1.00000
    139     -14.6209      1.00000
    140     -14.6200      1.00000
    141     -14.6197      1.00000
    142     -14.4914      1.00000
    143     -14.4913      1.00000
