
 Fermi energy:         5.4406673089

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0221      1.00000
      2     -18.8402      1.00000
      3     -18.8341      1.00000
      4     -18.6310      1.00000
      5     -18.4514      1.00000
      6     -18.4399      1.00000
      7     -18.4374      1.00000
      8     -18.4093      1.00000
      9     -18.4057      1.00000
     10     -18.3778      1.00000
     11     -18.2915      1.00000
     12     -18.2888      1.00000
     13     -18.2805      1.00000
     14     -18.2714      1.00000
     15     -18.2707      1.00000
     16     -18.2662      1.00000
     17     -18.2230      1.00000
     18     -18.2229      1.00000
     19     -18.2217      1.00000
     20     -18.1992      1.00000
     21     -18.1622      1.00000
     22     -18.1302      1.00000
     23     -18.1155      1.00000
     24     -18.1029      1.00000
     25     -18.0737      1.00000
     26     -18.0179      1.00000
     27     -17.9037      1.00000
     28     -17.5943      1.00000
     29     -17.3005      1.00000
     30     -17.2990      1.00000
     31     -17.2974      1.00000
     32     -17.2945      1.00000
     33     -17.2935      1.00000
     34     -17.2874      1.00000
     35     -17.1400      1.00000
     36     -17.1392      1.00000
     37     -17.1369      1.00000
     38     -17.1366      1.00000
     39     -17.1362      1.00000
     40     -17.1288      1.00000
     41     -17.1275      1.00000
     42     -17.1255      1.00000
     43     -17.1176      1.00000
     44     -17.1174      1.00000
     45     -17.1103      1.00000
     46     -17.0894      1.00000
     47     -16.9611      1.00000
     48     -16.9586      1.00000
     49     -16.9280      1.00000
     50     -16.9016      1.00000
     51     -16.8915      1.00000
     52     -16.8112      1.00000
     53     -16.8036      1.00000
     54     -16.8017      1.00000
     55     -16.8017      1.00000
     56     -16.7982      1.00000
     57     -16.7942      1.00000
     58     -16.7760      1.00000
     59     -16.6493      1.00000
     60     -16.6469      1.00000
     61     -16.6467      1.00000
     62     -16.6440      1.00000
     63     -16.6369      1.00000
     64     -16.6365      1.00000
     65     -16.6348      1.00000
     66     -16.6324      1.00000
     67     -16.6259      1.00000
     68     -16.6214      1.00000
     69     -16.6059      1.00000
     70     -16.5872      1.00000
     71     -16.4643      1.00000
     72     -16.4306      1.00000
     73     -16.4200      1.00000
     74     -16.3637      1.00000
     75     -16.1841      1.00000
     76     -15.7941      1.00000
     77     -15.6151      1.00000
     78     -15.6139      1.00000
     79     -15.6108      1.00000
     80     -15.6104      1.00000
     81     -15.6070      1.00000
     82     -15.6070      1.00000
     83     -15.5912      1.00000
     84     -15.5911      1.00000
     85     -15.5870      1.00000
     86     -15.5870      1.00000
     87     -15.5799      1.00000
     88     -15.5762      1.00000
     89     -15.5045      1.00000
     90     -15.5028      1.00000
     91     -15.5010      1.00000
     92     -15.4996      1.00000
     93     -15.4931      1.00000
     94     -15.4906      1.00000
     95     -15.4903      1.00000
     96     -15.4898      1.00000
     97     -15.4876      1.00000
     98     -15.4873      1.00000
     99     -15.4863      1.00000
    100     -15.4856      1.00000
    101     -15.4787      1.00000
    102     -15.4781      1.00000
    103     -15.4716      1.00000
    104     -15.4502      1.00000
    105     -15.4486      1.00000
    106     -15.4477      1.00000
    107     -15.4455      1.00000
    108     -15.4450      1.00000
    109     -15.4438      1.00000
    110     -15.4388      1.00000
    111     -15.4327      1.00000
    112     -15.4288      1.00000
    113     -15.4267      1.00000
    114     -15.4204      1.00000
    115     -15.4195      1.00000
    116     -15.4018      1.00000
    117     -15.3854      1.00000
    118     -15.3572      1.00000
    119     -15.3542      1.00000
    120     -15.3379      1.00000
    121     -15.3302      1.00000
    122     -15.3248      1.00000
    123     -15.3218      1.00000
    124     -15.3189      1.00000
    125     -15.3171      1.00000
    126     -15.3161      1.00000
    127     -15.3104      1.00000
    128     -15.2763      1.00000
    129     -15.2635      1.00000
    130     -15.2360      1.00000
    131     -15.1766      1.00000
    132     -15.1702      1.00000
    133     -15.1093      1.00000
    134     -14.8250      1.00000
    135     -14.8243      1.00000
    136     -14.8052      1.00000
    137     -14.6982      1.00000
    138     -14.6978      1.00000
    139     -14.6973      1.00000
    140     -14.6970      1.00000
    141     -14.6890      1.00000
    142     -14.4904      1.00000
    143     -14.1583      1.00000
    144      -9.0136      1.00000
    145      -9.0134      1.00000
    146      -9.0128      1.00000
    147      -8.8943      1.00000
    148      -8.8937      1.00000
    149      -8.8927      1.00000
    150      -8.8889      1.00000
    151      -8.8862      1.00000
    152      -8.8849      1.00000
    153      -8.7366      1.00000
    154      -8.6624      1.00000
    155      -8.6341      1.00000
    156      -8.2431      1.00000
    157      -8.0852      1.00000
    158      -8.0851      1.00000
    159      -8.0841      1.00000
    160      -8.0839      1.00000
    161      -8.0780      1.00000
    162      -8.0767      1.00000
    163      -8.0725      1.00000
    164      -8.0686      1.00000
    165      -8.0644      1.00000
    166      -8.0638      1.00000
    167      -8.0590      1.00000
    168      -8.0584      1.00000
    169      -7.9822      1.00000
    170      -7.9807      1.00000
    171      -7.9793      1.00000
    172      -7.9790      1.00000
    173      -7.9757      1.00000
    174      -7.9736      1.00000
    175      -7.9720      1.00000
    176      -7.9668      1.00000
    177      -7.9582      1.00000
    178      -7.9564      1.00000
    179      -7.9550      1.00000
    180      -7.9508      1.00000
    181      -7.9493      1.00000
    182      -7.9462      1.00000
    183      -7.9436      1.00000
    184      -7.9382      1.00000
    185      -7.9245      1.00000
    186      -7.9238      1.00000
    187      -7.9210      1.00000
    188      -7.9206      1.00000
    189      -7.9204      1.00000
    190      -7.9173      1.00000
    191      -7.9031      1.00000
    192      -7.8996      1.00000
    193      -7.8619      1.00000
    194      -7.8604      1.00000
    195      -7.8572      1.00000
    196      -7.8478      1.00000
    197      -7.8424      1.00000
    198      -7.8124      1.00000
    199      -7.8112      1.00000
    200      -7.7654      1.00000
    201      -7.7558      1.00000
    202      -7.7222      1.00000
    203      -7.7106      1.00000
    204      -7.7103      1.00000
    205      -7.6958      1.00000
    206      -7.6846      1.00000
    207      -7.6735      1.00000
