
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -18.9516      1.00000
      2     -18.8124      1.00000
      3     -18.8048      1.00000
      4     -18.6570      1.00000
      5     -18.4124      1.00000
      6     -18.3799      1.00000
      7     -18.3613      1.00000
      8     -18.3453      1.00000
      9     -18.3307      1.00000
     10     -18.3183      1.00000
     11     -18.2703      1.00000
     12     -18.2521      1.00000
     13     -18.2346      1.00000
     14     -18.2225      1.00000
     15     -18.2159      1.00000
     16     -18.2143      1.00000
     17     -18.2122      1.00000
     18     -18.2067      1.00000
     19     -18.2043      1.00000
     20     -18.2009      1.00000
     21     -18.1593      1.00000
     22     -18.1272      1.00000
     23     -18.0897      1.00000
     24     -18.0814      1.00000
     25     -18.0730      1.00000
     26     -18.0631      1.00000
     27     -18.0203      1.00000
     28     -17.8183      1.00000
     29     -17.2569      1.00000
     30     -17.2438      1.00000
     31     -17.2195      1.00000
     32     -17.2126      1.00000
     33     -17.2021      1.00000
     34     -17.1923      1.00000
     35     -17.1432      1.00000
     36     -17.1348      1.00000
     37     -17.1066      1.00000
     38     -17.1045      1.00000
     39     -17.1016      1.00000
     40     -17.1002      1.00000
     41     -17.0999      1.00000
     42     -17.0990      1.00000
     43     -17.0987      1.00000
     44     -17.0883      1.00000
     45     -17.0636      1.00000
     46     -17.0290      1.00000
     47     -16.9924      1.00000
     48     -16.9898      1.00000
     49     -16.9818      1.00000
     50     -16.9722      1.00000
     51     -16.9601      1.00000
     52     -16.8737      1.00000
     53     -16.7433      1.00000
     54     -16.7241      1.00000
     55     -16.7191      1.00000
     56     -16.7096      1.00000
     57     -16.6944      1.00000
     58     -16.6865      1.00000
     59     -16.6463      1.00000
     60     -16.6237      1.00000
     61     -16.6175      1.00000
     62     -16.6148      1.00000
     63     -16.6143      1.00000
     64     -16.6136      1.00000
     65     -16.6134      1.00000
     66     -16.6132      1.00000
     67     -16.6122      1.00000
     68     -16.5897      1.00000
     69     -16.5465      1.00000
     70     -16.5370      1.00000
     71     -16.5157      1.00000
     72     -16.5084      1.00000
     73     -16.5041      1.00000
     74     -16.4891      1.00000
     75     -16.3513      1.00000
     76     -15.9969      1.00000
     77     -15.6539      1.00000
     78     -15.5538      1.00000
     79     -15.5524      1.00000
     80     -15.5064      1.00000
     81     -15.5020      1.00000
     82     -15.4971      1.00000
     83     -15.4929      1.00000
     84     -15.4909      1.00000
     85     -15.4866      1.00000
     86     -15.4823      1.00000
     87     -15.4809      1.00000
     88     -15.4805      1.00000
     89     -15.4754      1.00000
     90     -15.4695      1.00000
     91     -15.4647      1.00000
     92     -15.4504      1.00000
     93     -15.4422      1.00000
     94     -15.4416      1.00000
     95     -15.4400      1.00000
     96     -15.4367      1.00000
     97     -15.4362      1.00000
     98     -15.4355      1.00000
     99     -15.4340      1.00000
    100     -15.4304      1.00000
    101     -15.4283      1.00000
    102     -15.4278      1.00000
    103     -15.4262      1.00000
    104     -15.4249      1.00000
    105     -15.4234      1.00000
    106     -15.4228      1.00000
    107     -15.4227      1.00000
    108     -15.4152      1.00000
    109     -15.4122      1.00000
    110     -15.3984      1.00000
    111     -15.3900      1.00000
    112     -15.3899      1.00000
    113     -15.3861      1.00000
    114     -15.3826      1.00000
    115     -15.3751      1.00000
    116     -15.3727      1.00000
    117     -15.3694      1.00000
    118     -15.3686      1.00000
    119     -15.3679      1.00000
    120     -15.3624      1.00000
    121     -15.3557      1.00000
    122     -15.3546      1.00000
    123     -15.3495      1.00000
    124     -15.3471      1.00000
    125     -15.3376      1.00000
    126     -15.3259      1.00000
    127     -15.3254      1.00000
    128     -15.3246      1.00000
    129     -15.3054      1.00000
    130     -15.2982      1.00000
    131     -15.2981      1.00000
    132     -15.2816      1.00000
    133     -15.2320      1.00000
    134     -14.9830      1.00000
    135     -14.9417      1.00000
