
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1283      1.00000
      2     -18.7789      1.00000
      3     -18.7483      1.00000
      4     -18.7284      1.00000
      5     -18.6458      1.00000
      6     -18.5408      1.00000
      7     -18.4786      1.00000
      8     -18.4699      1.00000
      9     -18.3969      1.00000
     10     -18.3242      1.00000
     11     -18.2116      1.00000
     12     -18.2022      1.00000
     13     -18.1965      1.00000
     14     -18.1732      1.00000
     15     -18.1652      1.00000
     16     -18.1646      1.00000
     17     -18.1490      1.00000
     18     -18.1397      1.00000
     19     -18.1279      1.00000
     20     -18.1200      1.00000
     21     -18.1183      1.00000
     22     -18.1022      1.00000
     23     -17.9754      1.00000
     24     -17.9603      1.00000
     25     -17.9595      1.00000
     26     -17.9369      1.00000
     27     -17.9369      1.00000
     28     -17.9270      1.00000
     29     -17.5481      1.00000
     30     -17.5118      1.00000
     31     -17.4755      1.00000
     32     -17.3913      1.00000
     33     -17.3139      1.00000
     34     -17.1620      1.00000
     35     -17.0714      1.00000
     36     -17.0677      1.00000
     37     -17.0591      1.00000
     38     -17.0584      1.00000
     39     -17.0559      1.00000
     40     -17.0528      1.00000
     41     -17.0429      1.00000
     42     -17.0414      1.00000
     43     -17.0379      1.00000
     44     -17.0315      1.00000
     45     -17.0310      1.00000
     46     -17.0269      1.00000
     47     -16.9584      1.00000
     48     -16.9455      1.00000
     49     -16.9350      1.00000
     50     -16.8832      1.00000
     51     -16.8615      1.00000
     52     -16.8561      1.00000
     53     -16.8550      1.00000
     54     -16.8523      1.00000
     55     -16.8522      1.00000
     56     -16.8504      1.00000
     57     -16.7671      1.00000
     58     -16.6025      1.00000
     59     -16.5678      1.00000
     60     -16.5669      1.00000
     61     -16.5654      1.00000
     62     -16.5654      1.00000
     63     -16.5612      1.00000
     64     -16.5582      1.00000
     65     -16.5492      1.00000
     66     -16.5487      1.00000
     67     -16.5456      1.00000
     68     -16.5453      1.00000
     69     -16.5420      1.00000
     70     -16.4454      1.00000
     71     -16.3762      1.00000
     72     -16.3757      1.00000
     73     -16.3753      1.00000
     74     -16.3748      1.00000
     75     -16.3745      1.00000
     76     -16.3714      1.00000
     77     -16.1678      1.00000
     78     -15.9362      1.00000
     79     -15.8439      1.00000
     80     -15.7197      1.00000
     81     -15.6933      1.00000
     82     -15.6666      1.00000
     83     -15.6323      1.00000
     84     -15.6095      1.00000
     85     -15.5851      1.00000
     86     -15.5572      1.00000
     87     -15.5179      1.00000
     88     -15.5131      1.00000
     89     -15.4749      1.00000
     90     -15.4528      1.00000
     91     -15.4415      1.00000
     92     -15.4312      1.00000
     93     -15.4279      1.00000
     94     -15.4070      1.00000
