
 Fermi energy:         1.9481835619

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1082      1.00000
      2     -18.9177      1.00000
      3     -18.8868      1.00000
      4     -18.6091      1.00000
      5     -18.5299      1.00000
      6     -18.5202      1.00000
      7     -18.5202      1.00000
      8     -18.4977      1.00000
      9     -18.4977      1.00000
     10     -18.4783      1.00000
     11     -18.3603      1.00000
     12     -18.3447      1.00000
     13     -18.3446      1.00000
     14     -18.3358      1.00000
     15     -18.3177      1.00000
     16     -18.3176      1.00000
     17     -18.3037      1.00000
     18     -18.3037      1.00000
     19     -18.2726      1.00000
     20     -18.2726      1.00000
     21     -18.2590      1.00000
     22     -18.2199      1.00000
     23     -18.1145      1.00000
     24     -18.0705      1.00000
     25     -18.0705      1.00000
     26     -17.9319      1.00000
     27     -17.9319      1.00000
     28     -17.5923      1.00000
     29     -17.3865      1.00000
     30     -17.3857      1.00000
     31     -17.3857      1.00000
     32     -17.3831      1.00000
     33     -17.3831      1.00000
     34     -17.3792      1.00000
     35     -17.2163      1.00000
     36     -17.2141      1.00000
     37     -17.2141      1.00000
     38     -17.2082      1.00000
     39     -17.2082      1.00000
     40     -17.2020      1.00000
     41     -17.1920      1.00000
     42     -17.1906      1.00000
     43     -17.1906      1.00000
     44     -17.1829      1.00000
     45     -17.1829      1.00000
     46     -17.1670      1.00000
     47     -16.9098      1.00000
     48     -16.9098      1.00000
     49     -16.9052      1.00000
     50     -16.8927      1.00000
     51     -16.8927      1.00000
     52     -16.8918      1.00000
     53     -16.8900      1.00000
     54     -16.8900      1.00000
     55     -16.8884      1.00000
     56     -16.8759      1.00000
     57     -16.8759      1.00000
     58     -16.7942      1.00000
     59     -16.7281      1.00000
     60     -16.7241      1.00000
     61     -16.7241      1.00000
     62     -16.7192      1.00000
     63     -16.7191      1.00000
     64     -16.7119      1.00000
     65     -16.7077      1.00000
     66     -16.7024      1.00000
     67     -16.7024      1.00000
     68     -16.6919      1.00000
     69     -16.6919      1.00000
     70     -16.6647      1.00000
     71     -16.4236      1.00000
     72     -16.3944      1.00000
     73     -16.3944      1.00000
     74     -16.3001      1.00000
     75     -16.3001      1.00000
     76     -15.8771      1.00000
     77     -15.6991      1.00000
     78     -15.6991      1.00000
     79     -15.6963      1.00000
     80     -15.6955      1.00000
     81     -15.6929      1.00000
     82     -15.6929      1.00000
     83     -15.6819      1.00000
     84     -15.6819      1.00000
     85     -15.6789      1.00000
     86     -15.6780      1.00000
     87     -15.6737      1.00000
     88     -15.6736      1.00000
     89     -15.5778      1.00000
     90     -15.5749      1.00000
     91     -15.5717      1.00000
     92     -15.5705      1.00000
     93     -15.5705      1.00000
     94     -15.5661      1.00000
     95     -15.5652      1.00000
     96     -15.5652      1.00000
     97     -15.5614      1.00000
     98     -15.5607      1.00000
     99     -15.5607      1.00000
    100     -15.5549      1.00000
    101     -15.5549      1.00000
    102     -15.5510      1.00000
    103     -15.5510      1.00000
    104     -15.5318      1.00000
    105     -15.5318      1.00000
    106     -15.5243      1.00000
    107     -15.5243      1.00000
    108     -15.5230      1.00000
    109     -15.5230      1.00000
    110     -15.5148      1.00000
    111     -15.5148      1.00000
    112     -15.5138      1.00000
    113     -15.5026      1.00000
    114     -15.5017      1.00000
    115     -15.4950      1.00000
    116     -15.4181      1.00000
    117     -15.4181      1.00000
    118     -15.4163      1.00000
    119     -15.4163      1.00000
    120     -15.4026      1.00000
    121     -15.3979      1.00000
    122     -15.3505      1.00000
    123     -15.3505      1.00000
    124     -15.3366      1.00000
    125     -15.3223      1.00000
    126     -15.3222      1.00000
    127     -15.3132      1.00000
    128     -15.2296      1.00000
    129     -15.2296      1.00000
    130     -15.1561      1.00000
    131     -15.1480      1.00000
    132     -15.1480      1.00000
    133     -15.0986      1.00000
    134     -14.9150      1.00000
    135     -14.9150      1.00000
    136     -14.7810      1.00000
    137     -14.7807      1.00000
    138     -14.7796      1.00000
    139     -14.7793      1.00000
    140     -14.7085      1.00000
    141     -14.7085      1.00000
    142     -14.5181      1.00000
    143     -14.1445      1.00000
    144     -14.1445      1.00000
    145      -9.1031      1.00000
    146      -9.1031      1.00000
    147      -9.1030      1.00000
    148      -8.9733      1.00000
    149      -8.9724      1.00000
    150      -8.9724      1.00000
    151      -8.9644      1.00000
    152      -8.9641      1.00000
    153      -8.9641      1.00000
    154      -8.6567      1.00000
    155      -8.6567      1.00000
    156      -8.5969      1.00000
    157      -8.1715      1.00000
    158      -8.1710      1.00000
    159      -8.1708      1.00000
    160      -8.1708      1.00000
