
 Fermi energy:         1.6644729443

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.8159      1.00000
      2     -19.3293      1.00000
      3     -19.3293      1.00000
      4     -19.0059      1.00000
      5     -18.8433      1.00000
      6     -18.8433      1.00000
      7     -18.7641      1.00000
      8     -18.7497      1.00000
      9     -18.6690      1.00000
     10     -18.4469      1.00000
     11     -18.2128      1.00000
     12     -18.2120      1.00000
     13     -18.2120      1.00000
     14     -18.1968      1.00000
     15     -18.1751      1.00000
     16     -18.1751      1.00000
     17     -18.1561      1.00000
     18     -18.1560      1.00000
     19     -18.1238      1.00000
     20     -18.1238      1.00000
     21     -18.1223      1.00000
     22     -18.1186      1.00000
     23     -18.1186      1.00000
     24     -18.1037      1.00000
     25     -17.8991      1.00000
     26     -17.8991      1.00000
     27     -17.8762      1.00000
     28     -17.8642      1.00000
     29     -17.8642      1.00000
     30     -17.8448      1.00000
     31     -17.8448      1.00000
     32     -17.8390      1.00000
     33     -17.8368      1.00000
     34     -17.7940      1.00000
     35     -17.4872      1.00000
     36     -17.3724      1.00000
     37     -17.3724      1.00000
     38     -17.2701      1.00000
     39     -17.2701      1.00000
     40     -17.1696      1.00000
     41     -17.0555      1.00000
     42     -17.0555      1.00000
     43     -17.0549      1.00000
     44     -17.0549      1.00000
     45     -17.0542      1.00000
     46     -17.0500      1.00000
     47     -17.0443      1.00000
     48     -17.0442      1.00000
     49     -17.0442      1.00000
     50     -17.0407      1.00000
     51     -17.0407      1.00000
     52     -17.0352      1.00000
     53     -16.7582      1.00000
     54     -16.7582      1.00000
     55     -16.7575      1.00000
     56     -16.7556      1.00000
     57     -16.7556      1.00000
     58     -16.7541      1.00000
     59     -16.7351      1.00000
     60     -16.7351      1.00000
     61     -16.5730      1.00000
     62     -16.5643      1.00000
     63     -16.5643      1.00000
     64     -16.5625      1.00000
     65     -16.5606      1.00000
     66     -16.5606      1.00000
     67     -16.5571      1.00000
     68     -16.5534      1.00000
     69     -16.5534      1.00000
     70     -16.5499      1.00000
     71     -16.5499      1.00000
     72     -16.5492      1.00000
     73     -16.4303      1.00000
     74     -16.3265      1.00000
     75     -16.3265      1.00000
     76     -16.2771      1.00000
     77     -16.2745      1.00000
     78     -16.2743      1.00000
     79     -16.2743      1.00000
     80     -16.2736      1.00000
     81     -16.2736      1.00000
     82     -16.2736      1.00000
     83     -16.0247      1.00000
     84     -16.0145      1.00000
     85     -16.0144      1.00000
     86     -15.9837      1.00000
     87     -15.8825      1.00000
     88     -15.8825      1.00000
     89     -15.8408      1.00000
     90     -15.8408      1.00000
     91     -15.8039      1.00000
     92     -15.4352      1.00000
     93     -15.4320      1.00000
     94     -15.4236      1.00000
     95     -15.4204      1.00000
     96     -15.4078      1.00000
     97     -15.4078      1.00000
     98     -15.4032      1.00000
     99     -15.4032      1.00000
    100     -15.3973      1.00000
    101     -15.3972      1.00000
    102     -15.3926      1.00000
    103     -15.3926      1.00000
    104     -15.3585      1.00000
    105     -15.3585      1.00000
    106     -15.3520      1.00000
    107     -15.3520      1.00000
    108     -15.3519      1.00000
    109     -15.3519      1.00000
    110     -15.3465      1.00000
    111     -15.3465      1.00000
    112     -15.3370      1.00000
    113     -15.3340      1.00000
    114     -15.3313      1.00000
    115     -15.3280      1.00000
    116     -15.2973      1.00000
    117     -15.2973      1.00000
    118     -15.2548      1.00000
    119     -15.2526      1.00000
    120     -15.2526      1.00000
    121     -15.2523      1.00000
    122     -15.2499      1.00000
    123     -15.2499      1.00000
    124     -15.1213      1.00000
    125     -15.1213      1.00000
    126     -15.1130      1.00000
    127     -15.1119      1.00000
    128     -15.1111      1.00000
    129     -15.1111      1.00000
    130     -15.0989      1.00000
    131     -15.0988      1.00000
    132     -15.0988      1.00000
    133     -15.0975      1.00000
    134     -15.0925      1.00000
    135     -15.0925      1.00000
    136     -15.0045      1.00000
    137     -15.0045      1.00000
    138     -15.0040      1.00000
    139     -14.6142      1.00000
    140     -14.6139      1.00000
    141     -14.6128      1.00000
    142     -14.6124      1.00000
    143     -14.3587      1.00000
    144     -14.3587      1.00000
    145      -9.6589      1.00000
    146      -9.6589      1.00000
    147      -9.3069      1.00000
    148      -8.9975      1.00000
    149      -8.8468      1.00000
    150      -8.8468      1.00000
    151      -8.7994      1.00000
    152      -8.7988      1.00000
    153      -8.7988      1.00000
    154      -8.7942      1.00000
    155      -8.7940      1.00000
    156      -8.7940      1.00000
    157      -8.6323      1.00000
    158      -8.6323      1.00000
    159      -8.5362      1.00000
    160      -8.5361      1.00000
    161      -8.5361      1.00000
    162      -8.5359      1.00000
    163      -8.5239      1.00000
    164      -8.5239      1.00000
    165      -8.4524      1.00000
    166      -8.3836      1.00000
    167      -8.3836      1.00000
    168      -8.2780      1.00000
    169      -8.2780      1.00000
    170      -8.0956      1.00000
    171      -7.8872      1.00000
    172      -7.8872      1.00000
    173      -7.8858      1.00000
    174      -7.8858      1.00000
    175      -7.8838      1.00000
    176      -7.8838      1.00000
    177      -7.8820      1.00000
    178      -7.8820      1.00000
    179      -7.8601      1.00000
    180      -7.8587      1.00000
    181      -7.8570      1.00000
    182      -7.8561      1.00000
    183      -7.8507      1.00000
    184      -7.8476      1.00000
    185      -7.8466      1.00000
    186      -7.8434      1.00000
    187      -7.8286      1.00000
    188      -7.8286      1.00000
    189      -7.8262      1.00000
    190      -7.8262      1.00000
    191      -7.8260      1.00000
    192      -7.8260      1.00000
    193      -7.8236      1.00000
    194      -7.8236      1.00000
    195      -7.7027      1.00000
    196      -7.6267      1.00000
    197      -7.6267      1.00000
    198      -7.6198      1.00000
    199      -7.6198      1.00000
