
 Fermi energy:         2.4151221043

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.1335      1.00000
      2     -18.9440      1.00000
      3     -18.9075      1.00000
      4     -18.5994      1.00000
      5     -18.5555      1.00000
      6     -18.5475      1.00000
      7     -18.5429      1.00000
      8     -18.5249      1.00000
      9     -18.5204      1.00000
     10     -18.5031      1.00000
     11     -18.3876      1.00000
     12     -18.3736      1.00000
     13     -18.3679      1.00000
     14     -18.3585      1.00000
     15     -18.3431      1.00000
     16     -18.3338      1.00000
     17     -18.3310      1.00000
     18     -18.3248      1.00000
     19     -18.2977      1.00000
     20     -18.2864      1.00000
     21     -18.2849      1.00000
     22     -18.2423      1.00000
     23     -18.1245      1.00000
     24     -18.0814      1.00000
     25     -18.0128      1.00000
     26     -17.8978      1.00000
     27     -17.7868      1.00000
     28     -17.4283      1.00000
     29     -17.4120      1.00000
     30     -17.4115      1.00000
     31     -17.4105      1.00000
     32     -17.4086      1.00000
     33     -17.4080      1.00000
     34     -17.3882      1.00000
     35     -17.2420      1.00000
     36     -17.2412      1.00000
     37     -17.2392      1.00000
     38     -17.2353      1.00000
     39     -17.2335      1.00000
     40     -17.2286      1.00000
     41     -17.2142      1.00000
     42     -17.2139      1.00000
     43     -17.2088      1.00000
     44     -17.2036      1.00000
     45     -17.2025      1.00000
     46     -17.1826      1.00000
     47     -16.9216      1.00000
     48     -16.9174      1.00000
     49     -16.9169      1.00000
     50     -16.9160      1.00000
     51     -16.9154      1.00000
     52     -16.9144      1.00000
     53     -16.9046      1.00000
     54     -16.8871      1.00000
     55     -16.8301      1.00000
     56     -16.8138      1.00000
     57     -16.7944      1.00000
     58     -16.7541      1.00000
     59     -16.7510      1.00000
     60     -16.7501      1.00000
     61     -16.7457      1.00000
     62     -16.7455      1.00000
     63     -16.7434      1.00000
     64     -16.7386      1.00000
     65     -16.7297      1.00000
     66     -16.7235      1.00000
     67     -16.7207      1.00000
     68     -16.7084      1.00000
     69     -16.7049      1.00000
     70     -16.6454      1.00000
     71     -16.3756      1.00000
     72     -16.3441      1.00000
     73     -16.2883      1.00000
     74     -16.1294      1.00000
     75     -16.0699      1.00000
     76     -15.7257      1.00000
     77     -15.7252      1.00000
     78     -15.7224      1.00000
     79     -15.7221      1.00000
     80     -15.7188      1.00000
     81     -15.7187      1.00000
     82     -15.7083      1.00000
     83     -15.7079      1.00000
     84     -15.7047      1.00000
     85     -15.7045      1.00000
     86     -15.6998      1.00000
     87     -15.6993      1.00000
     88     -15.6252      1.00000
     89     -15.6043      1.00000
     90     -15.6028      1.00000
     91     -15.5977      1.00000
     92     -15.5968      1.00000
     93     -15.5964      1.00000
     94     -15.5935      1.00000
     95     -15.5914      1.00000
     96     -15.5901      1.00000
     97     -15.5899      1.00000
     98     -15.5873      1.00000
     99     -15.5854      1.00000
    100     -15.5813      1.00000
    101     -15.5774      1.00000
    102     -15.5765      1.00000
    103     -15.5738      1.00000
    104     -15.5580      1.00000
    105     -15.5560      1.00000
    106     -15.5539      1.00000
    107     -15.5478      1.00000
    108     -15.5476      1.00000
    109     -15.5440      1.00000
    110     -15.5417      1.00000
    111     -15.5397      1.00000
    112     -15.5371      1.00000
    113     -15.5303      1.00000
    114     -15.5221      1.00000
    115     -15.5190      1.00000
    116     -15.4437      1.00000
    117     -15.4413      1.00000
    118     -15.4406      1.00000
    119     -15.4399      1.00000
    120     -15.4307      1.00000
    121     -15.4250      1.00000
    122     -15.3979      1.00000
    123     -15.3666      1.00000
    124     -15.3297      1.00000
    125     -15.3246      1.00000
    126     -15.3092      1.00000
    127     -15.2429      1.00000
    128     -15.2372      1.00000
    129     -15.1200      1.00000
    130     -15.0805      1.00000
    131     -15.0245      1.00000
    132     -14.9412      1.00000
    133     -14.9411      1.00000
    134     -14.9362      1.00000
    135     -14.9281      1.00000
    136     -14.8068      1.00000
    137     -14.8066      1.00000
    138     -14.8059      1.00000
    139     -14.8057      1.00000
    140     -14.5565      1.00000
    141     -14.5036      1.00000
