
 Fermi energy:         7.0920284065

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -19.0376      1.00000
      2     -18.8948      1.00000
      3     -18.8406      1.00000
      4     -18.6156      1.00000
      5     -18.4639      1.00000
      6     -18.4514      1.00000
      7     -18.4514      1.00000
      8     -18.4234      1.00000
      9     -18.4234      1.00000
     10     -18.3955      1.00000
     11     -18.3368      1.00000
     12     -18.3226      1.00000
     13     -18.3226      1.00000
     14     -18.2889      1.00000
     15     -18.2809      1.00000
     16     -18.2809      1.00000
     17     -18.2679      1.00000
     18     -18.2679      1.00000
     19     -18.2320      1.00000
     20     -18.2293      1.00000
     21     -18.2293      1.00000
     22     -18.1777      1.00000
     23     -18.1224      1.00000
     24     -18.0639      1.00000
     25     -18.0639      1.00000
     26     -17.9558      1.00000
     27     -17.9558      1.00000
     28     -17.6672      1.00000
     29     -17.3131      1.00000
     30     -17.3131      1.00000
     31     -17.3090      1.00000
     32     -17.3050      1.00000
     33     -17.3050      1.00000
     34     -17.2962      1.00000
     35     -17.1926      1.00000
     36     -17.1926      1.00000
     37     -17.1922      1.00000
     38     -17.1838      1.00000
     39     -17.1838      1.00000
     40     -17.1744      1.00000
     41     -17.1476      1.00000
     42     -17.1476      1.00000
     43     -17.1427      1.00000
     44     -17.1403      1.00000
     45     -17.1402      1.00000
     46     -17.1221      1.00000
     47     -16.9337      1.00000
     48     -16.9337      1.00000
     49     -16.9070      1.00000
     50     -16.9069      1.00000
     51     -16.8840      1.00000
     52     -16.8230      1.00000
     53     -16.8137      1.00000
     54     -16.8110      1.00000
     55     -16.8110      1.00000
     56     -16.8067      1.00000
     57     -16.8067      1.00000
     58     -16.7853      1.00000
     59     -16.7033      1.00000
     60     -16.7012      1.00000
     61     -16.7012      1.00000
     62     -16.6933      1.00000
     63     -16.6933      1.00000
     64     -16.6875      1.00000
     65     -16.6664      1.00000
     66     -16.6587      1.00000
     67     -16.6587      1.00000
     68     -16.6509      1.00000
     69     -16.6509      1.00000
     70     -16.6325      1.00000
     71     -16.4717      1.00000
     72     -16.4109      1.00000
     73     -16.4109      1.00000
     74     -16.3593      1.00000
     75     -16.3593      1.00000
     76     -16.0957      1.00000
     77     -15.6127      1.00000
     78     -15.6127      1.00000
     79     -15.6122      1.00000
     80     -15.6103      1.00000
     81     -15.6055      1.00000
     82     -15.6055      1.00000
     83     -15.5929      1.00000
     84     -15.5929      1.00000
     85     -15.5849      1.00000
     86     -15.5846      1.00000
     87     -15.5846      1.00000
     88     -15.5807      1.00000
     89     -15.5515      1.00000
     90     -15.5515      1.00000
     91     -15.5399      1.00000
     92     -15.5399      1.00000
     93     -15.5389      1.00000
     94     -15.5370      1.00000
     95     -15.5196      1.00000
     96     -15.5194      1.00000
     97     -15.5194      1.00000
     98     -15.5192      1.00000
     99     -15.5102      1.00000
    100     -15.5102      1.00000
    101     -15.5040      1.00000
    102     -15.5024      1.00000
    103     -15.5023      1.00000
    104     -15.5023      1.00000
    105     -15.4921      1.00000
    106     -15.4921      1.00000
    107     -15.4815      1.00000
    108     -15.4815      1.00000
    109     -15.4800      1.00000
    110     -15.4791      1.00000
    111     -15.4740      1.00000
    112     -15.4740      1.00000
    113     -15.4655      1.00000
    114     -15.4598      1.00000
    115     -15.4597      1.00000
    116     -15.4004      1.00000
    117     -15.3982      1.00000
    118     -15.3912      1.00000
    119     -15.3827      1.00000
    120     -15.3827      1.00000
    121     -15.3815      1.00000
    122     -15.3815      1.00000
    123     -15.3754      1.00000
    124     -15.3434      1.00000
    125     -15.3434      1.00000
    126     -15.3339      1.00000
    127     -15.3339      1.00000
    128     -15.2725      1.00000
    129     -15.2725      1.00000
    130     -15.2577      1.00000
    131     -15.2272      1.00000
    132     -15.2272      1.00000
    133     -15.0553      1.00000
    134     -14.8978      1.00000
    135     -14.8978      1.00000
    136     -14.8098      1.00000
    137     -14.8095      1.00000
    138     -14.7538      1.00000
    139     -14.7538      1.00000
    140     -14.7536      1.00000
    141     -14.7536      1.00000
    142     -14.6574      1.00000
    143     -14.2715      1.00000
    144      -9.0128      1.00000
    145      -9.0077      1.00000
    146      -9.0076      1.00000
    147      -8.9531      1.00000
    148      -8.9507      1.00000
    149      -8.9507      1.00000
    150      -8.9399      1.00000
    151      -8.9377      1.00000
    152      -8.9377      1.00000
    153      -8.6985      1.00000
    154      -8.6842      1.00000
    155      -8.6842      1.00000
    156      -8.3901      1.00000
    157      -8.0770      1.00000
    158      -8.0770      1.00000
    159      -8.0767      1.00000
    160      -8.0758      1.00000
    161      -8.0758      1.00000
    162      -8.0739      1.00000
    163      -8.0663      1.00000
    164      -8.0643      1.00000
    165      -8.0643      1.00000
    166      -8.0622      1.00000
    167      -8.0601      1.00000
    168      -8.0601      1.00000
    169      -8.0353      1.00000
    170      -8.0328      1.00000
    171      -8.0328      1.00000
    172      -8.0315      1.00000
    173      -8.0168      1.00000
    174      -8.0138      1.00000
    175      -8.0138      1.00000
    176      -8.0130      1.00000
    177      -8.0130      1.00000
    178      -8.0098      1.00000
    179      -8.0055      1.00000
    180      -8.0055      1.00000
    181      -8.0024      1.00000
    182      -8.0024      1.00000
    183      -7.9904      1.00000
    184      -7.9904      1.00000
    185      -7.9842      1.00000
    186      -7.9816      1.00000
    187      -7.9816      1.00000
    188      -7.9741      1.00000
    189      -7.9731      1.00000
    190      -7.9731      1.00000
    191      -7.9673      1.00000
    192      -7.9567      1.00000
    193      -7.8642      1.00000
    194      -7.8642      1.00000
    195      -7.8574      1.00000
    196      -7.8574      1.00000
    197      -7.8428      1.00000
    198      -7.8428      1.00000
    199      -7.7698      1.00000
    200      -7.7698      1.00000
    201      -7.7660      1.00000
    202      -7.7463      1.00000
    203      -7.7463      1.00000
    204      -7.7295      1.00000
    205      -7.6584      1.00000
    206      -7.6584      1.00000
    207      -7.6501      1.00000
    208      -7.5327      1.00000
    209      -7.5326      1.00000
    210      -7.2570      1.00000
    211      -7.2570      1.00000
    212      -7.0837      1.00000
    213      -7.0837      1.00000
    214      -7.0575      1.00000
    215      -7.0332      1.00000
    216      -7.0303      1.00000
    217      -7.0262      1.00000
    218      -7.0170      1.00000
    219      -6.7323      1.00000
    220      -6.7323      1.00000
    221      -6.7322      1.00000
    222      -6.7316      1.00000
    223      -6.7316      1.00000
    224      -6.7307      1.00000
    225      -6.7254      1.00000
    226      -6.7254      1.00000
    227      -6.6713      1.00000
    228      -6.6689      1.00000
    229      -6.6689      1.00000
    230      -6.6666      1.00000
    231      -6.6666      1.00000
    232      -6.6632      1.00000
    233      -6.6526      1.00000
    234      -6.6518      1.00000
    235      -6.6518      1.00000
    236      -6.6479      1.00000
    237      -6.6479      1.00000
    238      -6.6457      1.00000
    239      -6.3938      1.00000
    240      -6.3938      1.00000
    241      -6.3701      1.00000
    242      -6.1506      1.00000
    243      -6.1506      1.00000
    244      -5.8211      1.00000
    245      -5.7219      1.00000
    246      -5.1895      1.00000
    247      -5.1895      1.00000
    248      -5.1866      1.00000
    249      -5.1858      1.00000
    250      -5.1740      1.00000
    251      -5.1740      1.00000
    252      -5.1414      1.00000
    253      -5.1372      1.00000
    254      -5.1368      1.00000
    255      -5.1368      1.00000
    256      -5.1318      1.00000
    257      -5.1291      1.00000
    258      -5.1291      1.00000
    259      -5.1279      1.00000
    260      -5.1273      1.00000
    261      -5.1273      1.00000
    262      -5.1194      1.00000
    263      -5.1194      1.00000
    264      -5.0244      1.00000
    265      -5.0013      1.00000
    266      -5.0013      1.00000
    267      -4.9620      1.00000
    268      -4.9620      1.00000
    269      -4.9596      1.00000
    270      -4.9552      1.00000
    271      -4.9552      1.00000
    272      -4.9538      1.00000
    273      -4.9484      1.00000
    274      -4.9484      1.00000
    275      -4.9450      1.00000
    276      -4.9421      1.00000
    277      -4.9420      1.00000
    278      -4.9400      1.00000
    279      -4.9348      1.00000
    280      -4.9347      1.00000
    281      -4.9146      1.00000
    282      -4.9146      1.00000
    283      -4.9137      1.00000
    284      -4.9119      1.00000
    285      -4.8997      1.00000
    286      -4.8996      1.00000
    287      -4.8989      1.00000
    288      -4.8984      1.00000
    289      -4.8984      1.00000
    290      -4.8947      1.00000
    291      -4.8919      1.00000
    292      -4.8871      1.00000
    293      -4.8871      1.00000
    294      -4.8812      1.00000
    295      -4.8787      1.00000
    296      -4.8787      1.00000
    297      -4.8679      1.00000
    298      -4.8679      1.00000
    299      -4.8571      1.00000
    300      -4.8530      1.00000
    301      -4.8519      1.00000
    302      -4.8519      1.00000
    303      -4.8474      1.00000
    304      -4.8466      1.00000
    305      -4.8430      1.00000
    306      -4.8430      1.00000
    307      -4.8311      1.00000
    308      -4.8304      1.00000
    309      -4.8304      1.00000
    310      -4.7557      1.00000
    311      -4.7557      1.00000
    312      -4.7222      1.00000
    313      -4.7222      1.00000
    314      -4.7180      1.00000
    315      -4.6955      1.00000
    316      -4.6955      1.00000
    317      -4.6744      1.00000
    318      -4.6680      1.00000
    319      -4.6030      1.00000
    320      -4.5729      1.00000
    321      -4.5729      1.00000
    322      -4.5018      1.00000
    323      -4.1138      1.00000
    324      -4.1138      1.00000
    325      -4.0704      1.00000
    326      -4.0528      1.00000
    327      -4.0528      1.00000
    328      -4.0193      1.00000
    329      -4.0020      1.00000
    330      -4.0020      1.00000
    331      -3.9844      1.00000
    332      -3.9844      1.00000
    333      -3.9730      1.00000
    334      -3.9128      1.00000
    335      -3.9128      1.00000
    336      -3.7750      1.00000
    337      -3.6382      1.00000
    338      -3.6193      1.00000
    339      -3.6193      1.00000
    340      -3.5735      1.00000
    341      -3.5655      1.00000
    342      -3.5605      1.00000
    343      -3.5605      1.00000
    344      -3.5510      1.00000
    345      -3.5509      1.00000
    346      -3.5014      1.00000
    347      -3.3754      1.00000
    348      -3.3754      1.00000
    349      -3.3669      1.00000
    350      -3.3669      1.00000
    351      -3.3614      1.00000
    352      -3.3611      1.00000
    353      -3.3502      1.00000
    354      -3.3502      1.00000
    355      -3.3443      1.00000
    356      -3.3400      1.00000
    357      -3.3400      1.00000
    358      -3.3172      1.00000
    359      -3.3156      1.00000
    360      -3.3156      1.00000
    361      -3.3134      1.00000
    362      -3.3112      1.00000
    363      -3.3082      1.00000
    364      -3.3082      1.00000
    365      -3.3024      1.00000
    366      -3.3008      1.00000
    367      -3.3008      1.00000
    368      -3.2968      1.00000
    369      -3.2968      1.00000
    370      -3.2882      1.00000
    371      -3.2729      1.00000
    372      -3.1981      1.00000
    373      -3.1593      1.00000
    374      -3.1391      1.00000
    375      -3.1391      1.00000
    376      -3.0705      1.00000
    377      -3.0705      1.00000
    378      -3.0663      1.00000
    379      -3.0256      1.00000
    380      -3.0256      1.00000
    381      -2.9988      1.00000
    382      -2.9988      1.00000
    383      -2.9987      1.00000
    384      -2.9973      1.00000
    385      -2.9961      1.00000
    386      -2.9961      1.00000
    387      -2.9401      1.00000
    388      -2.9401      1.00000
    389      -2.9374      1.00000
    390      -2.9361      1.00000
    391      -2.9322      1.00000
    392      -2.9322      1.00000
    393      -2.9295      1.00000
    394      -2.9294      1.00000
    395      -2.9294      1.00000
    396      -2.9277      1.00000
    397      -2.9202      1.00000
    398      -2.9202      1.00000
    399      -2.8227      1.00000
    400      -2.7951      1.00000
    401      -2.7951      1.00000
    402      -2.7352      1.00000
    403      -2.7352      1.00000
    404      -2.6826      1.00000
    405      -2.6780      1.00000
    406      -2.6780      1.00000
    407      -2.6695      1.00000
    408      -2.6695      1.00000
    409      -2.6680      1.00000
    410      -2.6396      1.00000
    411      -2.6317      1.00000
    412      -2.6286      1.00000
    413      -2.6286      1.00000
    414      -2.6261      1.00000
    415      -2.6161      1.00000
    416      -2.6161      1.00000
    417      -2.6070      1.00000
    418      -2.6070      1.00000
    419      -2.6066      1.00000
    420      -2.6025      1.00000
    421      -2.6000      1.00000
    422      -2.5999      1.00000
    423      -2.5911      1.00000
    424      -2.5911      1.00000
    425      -2.5887      1.00000
    426      -2.5887      1.00000
    427      -2.5872      1.00000
    428      -2.5803      1.00000
    429      -2.5803      1.00000
    430      -2.5555      1.00000
    431      -2.5044      1.00000
    432      -2.4537      1.00000
    433      -2.4454      1.00000
    434      -2.4454      1.00000
    435      -2.4402      1.00000
    436      -2.4296      1.00000
    437      -2.4296      1.00000
    438      -2.4239      1.00000
    439      -2.3789      1.00000
    440      -2.3789      1.00000
    441      -2.3695      1.00000
    442      -2.3695      1.00000
    443      -2.3519      1.00000
    444      -2.3361      1.00000
    445      -2.3361      1.00000
    446      -2.3069      1.00000
    447      -2.2741      1.00000
    448      -2.2741      1.00000
    449      -2.1834      1.00000
    450      -1.7653      1.00000
    451      -1.7595      1.00000
    452      -1.7595      1.00000
    453      -1.7506      1.00000
    454      -1.7506      1.00000
    455      -1.7475      1.00000
    456      -1.7026      1.00000
    457      -1.6846      1.00000
    458      -1.6846      1.00000
    459      -1.6509      1.00000
    460      -1.6509      1.00000
    461      -1.5688      1.00000
    462      -1.5444      1.00000
    463      -1.5444      1.00000
    464      -1.4754      1.00000
    465      -1.4702      1.00000
    466      -1.4702      1.00000
    467      -1.4620      1.00000
    468      -1.4620      1.00000
    469      -1.4610      1.00000
    470      -1.4333      1.00000
    471      -1.4263      1.00000
    472      -1.4197      1.00000
    473      -1.4196      1.00000
    474      -1.4135      1.00000
    475      -1.4135      1.00000
    476      -1.3933      1.00000
    477      -1.3933      1.00000
    478      -1.3919      1.00000
    479      -1.3873      1.00000
    480      -1.3856      1.00000
    481      -1.3856      1.00000
    482      -1.3438      1.00000
    483      -1.3438      1.00000
    484      -1.3323      1.00000
    485      -1.3133      1.00000
    486      -1.3133      1.00000
    487      -1.2381      1.00000
    488      -1.1938      1.00000
    489      -1.1483      1.00000
    490      -1.1483      1.00000
    491      -1.1372      1.00000
    492      -0.8302      1.00000
    493      -0.7437      1.00000
    494      -0.7272      1.00000
    495      -0.7272      1.00000
    496      -0.7045      1.00000
    497      -0.7045      1.00000
    498      -0.6884      1.00000
    499      -0.6813      1.00000
    500      -0.6792      1.00000
    501      -0.6792      1.00000
    502      -0.6555      1.00000
    503      -0.6518      1.00000
    504      -0.6518      1.00000
    505      -0.6462      1.00000
    506      -0.6462      1.00000
    507      -0.5899      1.00000
    508      -0.5884      1.00000
    509      -0.5884      1.00000
    510      -0.5210      1.00000
    511      -0.4739      1.00000
    512      -0.4738      1.00000
    513      -0.4167      1.00000
    514      -0.4167      1.00000
    515      -0.4148      1.00000
    516      -0.4148      1.00000
    517      -0.3583      1.00000
    518      -0.3583      1.00000
    519      -0.3401      1.00000
    520      -0.3401      1.00000
    521      -0.3296      1.00000
    522      -0.0587      1.00000
    523      -0.0587      1.00000
    524      -0.0508      1.00000
    525      -0.0481      1.00000
    526      -0.0373      1.00000
    527      -0.0373      1.00000
    528      -0.0179      1.00000
    529      -0.0152      1.00000
    530      -0.0106      1.00000
    531      -0.0106      1.00000
    532       0.0047      1.00000
    533       0.0047      1.00000
    534       0.0070      1.00000
    535       0.0123      1.00000
    536       0.0221      1.00000
    537       0.0221      1.00000
    538       0.0262      1.00000
    539       0.0262      1.00000
    540       0.0510      1.00000
    541       0.0510      1.00000
    542       0.1147      1.00000
    543       0.1148      1.00000
    544       0.1280      1.00000
    545       0.1582      1.00000
    546       0.1681      1.00000
    547       0.1696      1.00000
    548       0.1696      1.00000
    549       0.2922      1.00000
    550       0.2922      1.00000
    551       0.4467      1.00000
    552       0.6247      1.00000
    553       0.6250      1.00000
    554       0.6309      1.00000
    555       0.6309      1.00000
    556       0.6447      1.00000
    557       0.6447      1.00000
    558       0.6599      1.00000
    559       0.6749      1.00000
    560       0.6749      1.00000
    561       0.7093      1.00000
    562       0.7093      1.00000
    563       0.7726      1.00000
    564       0.8871      1.00000
    565       0.8871      1.00000
    566       1.0786      1.00000
    567       1.0879      1.00000
    568       1.1160      1.00000
    569       1.1160      1.00000
    570       1.1672      1.00000
    571       1.1817      1.00000
    572       1.1817      1.00000
    573       1.4447      1.00000
    574       4.8958      1.00000
    575       7.0264      1.00000
    576       7.1939      0.00000
    577       7.1939      0.00000
    578       7.5981      0.00000
    579       7.6604      0.00000
    580       7.6624      0.00000
    581       7.6624      0.00000
    582       7.6635      0.00000
    583       7.6654      0.00000
    584       7.6815      0.00000
    585       7.6815      0.00000
    586       7.7225      0.00000
    587       7.7225      0.00000
    588       7.8911      0.00000
    589       7.9028      0.00000
    590       7.9619      0.00000
    591       7.9732      0.00000
    592       7.9732      0.00000
    593       8.1361      0.00000
    594       8.1467      0.00000
    595       8.1467      0.00000
    596       8.1806      0.00000
    597       8.1807      0.00000
    598       8.1982      0.00000
    599       8.2242      0.00000
    600       8.2242      0.00000
    601       8.2426      0.00000
    602       8.2575      0.00000
    603       8.2575      0.00000
    604       8.2807      0.00000
    605       8.4181      0.00000
    606       8.4362      0.00000
    607       8.4362      0.00000
    608       8.4416      0.00000
    609       8.4416      0.00000
    610       8.4571      0.00000
    611       8.4591      0.00000
    612       8.4591      0.00000
    613       8.4796      0.00000
    614       8.4861      0.00000
    615       8.4861      0.00000
    616       8.4941      0.00000
    617       8.4996      0.00000
    618       8.4996      0.00000
    619       8.5203      0.00000
    620       8.5203      0.00000
    621       8.5516      0.00000
    622       8.5526      0.00000
    623       8.5724      0.00000
    624       8.5724      0.00000
    625       8.6097      0.00000
    626       8.6348      0.00000
    627       8.6729      0.00000
    628       8.6729      0.00000
    629       8.6906      0.00000
    630       8.6906      0.00000
    631       8.7584      0.00000
    632       8.7585      0.00000
    633       8.8135      0.00000
    634       8.8337      0.00000
    635       8.8546      0.00000
    636       8.8546      0.00000
    637       9.0597      0.00000
    638       9.1266      0.00000
    639       9.1266      0.00000
    640       9.1277      0.00000
    641       9.1277      0.00000
    642       9.1388      0.00000
    643       9.1545      0.00000
    644       9.1729      0.00000
    645       9.1729      0.00000
    646       9.2275      0.00000
    647       9.2275      0.00000
    648       9.2410      0.00000
    649       9.3809      0.00000
    650       9.3809      0.00000
    651       9.6438      0.00000
    652      10.0812      0.00000
    653      10.0813      0.00000
    654      10.0813      0.00000
    655      10.0827      0.00000
    656      10.0827      0.00000
    657      10.0918      0.00000
    658      10.2340      0.00000
    659      10.2441      0.00000
    660      10.2441      0.00000
    661      10.2460      0.00000
    662      10.2460      0.00000
    663      10.2525      0.00000
    664      10.2807      0.00000
    665      10.2807      0.00000
    666      10.3289      0.00000
    667      10.3317      0.00000
    668      10.3317      0.00000
    669      10.5086      0.00000
    670      10.5538      0.00000
    671      10.5691      0.00000
    672      10.5957      0.00000
    673      10.5982      0.00000
    674      10.5982      0.00000
    675      10.6489      0.00000
    676      10.6523      0.00000
    677      10.6523      0.00000
    678      11.0772      0.00000
    679      11.0772      0.00000
    680      11.0777      0.00000
    681      11.0996      0.00000
    682      11.0996      0.00000
    683      11.1088      0.00000
    684      11.1101      0.00000
    685      11.1266      0.00000
    686      11.1266      0.00000
    687      11.1318      0.00000
    688      11.1318      0.00000
    689      11.1368      0.00000
    690      11.1386      0.00000
    691      11.1446      0.00000
    692      11.1446      0.00000
    693      11.1567      0.00000
    694      11.1567      0.00000
    695      11.1712      0.00000
    696      11.1712      0.00000
    697      11.1774      0.00000
    698      11.2011      0.00000
    699      11.2011      0.00000
    700      11.2307      0.00000
    701      11.2335      0.00000
    702      11.2404      0.00000
    703      11.2549      0.00000
    704      11.2558      0.00000
    705      11.2558      0.00000
    706      11.2710      0.00000
    707      11.2710      0.00000
    708      11.3326      0.00000
    709      11.3326      0.00000
    710      11.3815      0.00000
    711      11.3815      0.00000
    712      11.4941      0.00000
    713      11.6240      0.00000
    714      11.8223      0.00000
    715      11.8506      0.00000
    716      11.8506      0.00000
    717      11.8763      0.00000
    718      11.8763      0.00000
    719      11.9175      0.00000
    720      11.9460      0.00000
    721      11.9949      0.00000
    722      11.9949      0.00000
    723      12.0288      0.00000
    724      12.0288      0.00000
    725      12.8539      0.00000
    726      12.8539      0.00000
    727      12.8558      0.00000
    728      12.9549      0.00000
    729      13.2649      0.00000
    730      13.2766      0.00000
    731      13.2766      0.00000
    732      13.2805      0.00000
    733      13.2805      0.00000
    734      13.2838      0.00000
    735      13.2916      0.00000
    736      13.3031      0.00000
    737      13.3031      0.00000
    738      13.3068      0.00000
    739      13.3119      0.00000
    740      13.3119      0.00000
    741      13.3311      0.00000
    742      13.3311      0.00000
    743      13.3401      0.00000
    744      13.3558      0.00000
    745      13.3558      0.00000
    746      13.3617      0.00000
    747      13.3617      0.00000
    748      13.3698      0.00000
    749      13.3725      0.00000
    750      13.3773      0.00000
    751      13.3773      0.00000
    752      13.3850      0.00000
    753      13.3850      0.00000
    754      13.4242      0.00000
    755      13.5084      0.00000
    756      13.5084      0.00000
    757      13.5141      0.00000
    758      13.5176      0.00000
    759      13.5441      0.00000
    760      13.5441      0.00000
    761      13.5679      0.00000
    762      13.5999      0.00000
    763      13.5999      0.00000
    764      13.6418      0.00000
    765      13.6418      0.00000
    766      13.6495      0.00000
    767      13.6512      0.00000
    768      13.6623      0.00000
    769      13.6623      0.00000
    770      13.6763      0.00000
    771      13.6863      0.00000
    772      13.6863      0.00000
    773      13.7243      0.00000
    774      13.7243      0.00000
    775      13.7851      0.00000
    776      14.1368      0.00000
    777      14.1894      0.00000
    778      14.2049      0.00000
    779      14.2178      0.00000
    780      14.2178      0.00000
    781      14.2288      0.00000
    782      14.2288      0.00000
    783      14.2425      0.00000
    784      14.2425      0.00000
    785      14.2896      0.00000
    786      14.2896      0.00000
    787      14.3262      0.00000
    788      14.4786      0.00000
    789      14.4878      0.00000
    790      14.5212      0.00000
    791      14.5212      0.00000
    792      14.5344      0.00000
    793      14.5345      0.00000
    794      14.5496      0.00000
    795      14.6772      0.00000
    796      14.7588      0.00000
    797      14.7588      0.00000
    798      14.7683      0.00000
    799      14.7684      0.00000
    800      14.7686      0.00000
    801      14.7775      0.00000
    802      14.7775      0.00000
    803      14.8026      0.00000
    804      14.8026      0.00000
    805      14.8152      0.00000
    806      14.8273      0.00000
    807      14.8273      0.00000
    808      14.8394      0.00000
    809      14.8394      0.00000
    810      14.8424      0.00000
    811      14.8523      0.00000
    812      14.8626      0.00000
    813      14.9237      0.00000
    814      14.9237      0.00000
    815      14.9406      0.00000
    816      14.9406      0.00000
    817      15.0159      0.00000
    818      15.0359      0.00000
    819      15.0423      0.00000
    820      15.0424      0.00000
    821      15.0460      0.00000
    822      15.0460      0.00000
    823      15.0771      0.00000
    824      15.0772      0.00000
    825      15.1147      0.00000
    826      15.1165      0.00000
    827      15.1165      0.00000
    828      15.1219      0.00000
    829      15.1468      0.00000
    830      15.1468      0.00000
    831      15.1577      0.00000
    832      15.1578      0.00000
    833      15.1583      0.00000
    834      15.1637      0.00000
    835      15.1637      0.00000
    836      15.1640      0.00000
    837      15.1650      0.00000
    838      15.1705      0.00000
    839      15.1817      0.00000
    840      15.1817      0.00000
    841      15.1882      0.00000
    842      15.1882      0.00000
    843      15.2061      0.00000
    844      15.2061      0.00000
    845      15.2235      0.00000
    846      15.2250      0.00000
    847      15.2391      0.00000
    848      15.2392      0.00000
    849      15.2407      0.00000
    850      15.2407      0.00000
    851      15.2648      0.00000
    852      15.2648      0.00000
    853      15.2891      0.00000
    854      15.2891      0.00000
    855      15.3124      0.00000
    856      15.3124      0.00000
    857      15.3945      0.00000
    858      15.4500      0.00000
    859      15.4500      0.00000
    860      15.4664      0.00000
    861      15.5091      0.00000
    862      15.5091      0.00000
    863      15.5169      0.00000
    864      15.5172      0.00000
    865      15.5172      0.00000
    866      15.5212      0.00000
    867      15.5213      0.00000
    868      15.5236      0.00000
    869      15.5239      0.00000
    870      15.5239      0.00000
    871      15.5340      0.00000
    872      15.5947      0.00000
    873      15.6104      0.00000
    874      15.6413      0.00000
    875      15.6413      0.00000
