
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.1303      1.00000
      2     -24.5752      1.00000
      3     -24.5750      1.00000
      4     -24.5442      1.00000
      5     -24.1668      1.00000
      6     -24.1664      1.00000
      7     -24.0960      1.00000
      8     -23.9208      1.00000
      9     -23.8413      1.00000
     10     -23.8406      1.00000
     11     -23.4872      1.00000
     12     -23.4871      1.00000
     13     -23.4116      1.00000
     14     -23.1575      1.00000
     15     -23.1571      1.00000
     16     -23.1205      1.00000
     17     -23.0707      1.00000
     18     -23.0584      1.00000
     19     -23.0583      1.00000
     20     -22.7098      1.00000
     21     -22.7092      1.00000
     22     -22.4800      1.00000
     23     -22.2131      1.00000
     24     -22.2127      1.00000
     25     -22.1481      1.00000
     26     -22.0773      1.00000
     27     -21.9983      1.00000
     28     -21.9979      1.00000
     29     -21.9586      1.00000
     30     -21.9567      1.00000
     31     -21.9561      1.00000
     32     -21.7451      1.00000
     33     -21.7449      1.00000
     34     -21.7151      1.00000
     35     -21.5361      1.00000
     36     -21.5314      1.00000
     37     -21.5310      1.00000
     38     -21.3944      1.00000
     39     -21.3940      1.00000
     40     -21.1282      1.00000
     41     -21.1277      1.00000
     42     -21.1255      1.00000
     43     -21.1147      1.00000
     44     -20.9420      1.00000
     45     -20.9419      1.00000
     46     -20.8569      1.00000
     47     -20.8547      1.00000
     48     -20.8517      1.00000
     49     -20.8517      1.00000
     50     -17.1493      1.00000
     51     -15.5392      1.00000
     52     -15.5386      1.00000
     53     -14.8142      1.00000
     54     -14.8011      1.00000
     55     -14.7999      1.00000
     56     -14.5704      1.00000
     57     -14.5704      1.00000
     58     -14.5209      1.00000
     59     -14.5096      1.00000
     60     -14.5093      1.00000
     61     -14.4843      1.00000
     62     -14.2803      1.00000
     63     -14.2799      1.00000
     64     -14.1417      1.00000
     65     -14.0092      1.00000
     66     -14.0022      1.00000
     67     -14.0022      1.00000
     68     -13.5637      1.00000
     69     -13.5613      1.00000
     70     -13.5611      1.00000
     71     -13.3495      1.00000
     72     -13.3494      1.00000
     73     -13.3006      1.00000
     74     -13.2581      1.00000
     75     -13.2084      1.00000
     76     -13.2080      1.00000
     77     -13.1810      1.00000
     78     -13.1806      1.00000
     79     -13.1631      1.00000
     80     -12.7680      1.00000
     81     -12.7014      1.00000
     82     -12.7013      1.00000
     83     -12.6319      1.00000
     84     -12.4243      1.00000
     85     -12.4243      1.00000
     86     -12.0671      1.00000
     87     -12.0653      1.00000
     88     -12.0647      1.00000
     89     -11.9041      1.00000
     90     -11.7852      1.00000
     91     -11.7847      1.00000
     92     -11.7530      1.00000
     93     -11.5094      1.00000
     94     -11.5091      1.00000
     95     -11.1235      1.00000
     96     -11.0958      1.00000
     97     -10.9901      1.00000
     98     -10.9897      1.00000
     99     -10.7318      1.00000
