
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8243      1.00000
      2     -24.3433      1.00000
      3     -24.1843      1.00000
      4     -23.9223      1.00000
      5     -23.8799      1.00000
      6     -23.8704      1.00000
      7     -23.8543      1.00000
      8     -23.5256      1.00000
      9     -23.2873      1.00000
     10     -23.1447      1.00000
     11     -23.0952      1.00000
     12     -23.0743      1.00000
     13     -23.0346      1.00000
     14     -22.8571      1.00000
     15     -22.7830      1.00000
     16     -22.7690      1.00000
     17     -22.7280      1.00000
     18     -22.6993      1.00000
     19     -22.6254      1.00000
     20     -22.0704      1.00000
     21     -21.9323      1.00000
     22     -21.9021      1.00000
     23     -21.8407      1.00000
     24     -21.7173      1.00000
     25     -21.6948      1.00000
     26     -21.6930      1.00000
     27     -21.6852      1.00000
     28     -21.6773      1.00000
     29     -21.6708      1.00000
     30     -21.6670      1.00000
     31     -21.5009      1.00000
     32     -21.3831      1.00000
     33     -21.3607      1.00000
     34     -21.2763      1.00000
     35     -21.2734      1.00000
     36     -21.2520      1.00000
     37     -21.0758      1.00000
     38     -20.9600      1.00000
     39     -20.8456      1.00000
     40     -20.7994      1.00000
     41     -20.7720      1.00000
     42     -20.7591      1.00000
     43     -20.6683      1.00000
     44     -20.6610      1.00000
     45     -20.6089      1.00000
     46     -20.5995      1.00000
     47     -20.5770      1.00000
     48     -20.5699      1.00000
     49     -18.5816      1.00000
     50     -15.9764      1.00000
     51     -15.0209      1.00000
     52     -14.4615      1.00000
     53     -14.4507      1.00000
     54     -14.3879      1.00000
     55     -14.3847      1.00000
     56     -14.2653      1.00000
     57     -14.2593      1.00000
     58     -14.2094      1.00000
     59     -14.1903      1.00000
     60     -14.1730      1.00000
     61     -14.1275      1.00000
     62     -13.7872      1.00000
     63     -13.7533      1.00000
     64     -13.7437      1.00000
     65     -13.6579      1.00000
     66     -13.6344      1.00000
     67     -13.5786      1.00000
     68     -13.1848      1.00000
     69     -13.1418      1.00000
     70     -13.0556      1.00000
     71     -13.0081      1.00000
     72     -12.9592      1.00000
     73     -12.8980      1.00000
     74     -12.8684      1.00000
     75     -12.8630      1.00000
     76     -12.8572      1.00000
     77     -12.8518      1.00000
     78     -12.8506      1.00000
     79     -12.7614      1.00000
     80     -12.3968      1.00000
     81     -12.3390      1.00000
     82     -12.2127      1.00000
     83     -12.1820      1.00000
     84     -12.1332      1.00000
     85     -12.1283      1.00000
     86     -11.5579      1.00000
     87     -11.5284      1.00000
     88     -11.4968      1.00000
     89     -11.4213      1.00000
     90     -11.3390      1.00000
     91     -11.3183      1.00000
     92     -10.9723      1.00000
     93     -10.7432      1.00000
     94     -10.7273      1.00000
     95     -10.7053      1.00000
     96     -10.6149      1.00000
     97     -10.5959      1.00000
     98     -10.5704      1.00000
     99     -10.3677      1.00000
    100     -10.3575      1.00000
    101     -10.3097      1.00000
    102     -10.2396      1.00000
    103     -10.2295      1.00000
    104     -10.1754      1.00000
    105     -10.1537      1.00000
    106     -10.1464      1.00000
    107     -10.1165      1.00000
    108     -10.1078      1.00000
    109     -10.1050      1.00000
    110     -10.0794      1.00000
    111     -10.0763      1.00000
    112     -10.0692      1.00000
    113     -10.0593      1.00000
    114     -10.0573      1.00000
    115     -10.0514      1.00000
    116     -10.0512      1.00000
    117     -10.0445      1.00000
    118     -10.0035      1.00000
    119      -9.9898      1.00000
    120      -9.9817      1.00000
    121      -9.9669      1.00000
    122      -9.8715      1.00000
    123      -9.5287      1.00000
    124      -9.4325      1.00000
    125      -9.3731      1.00000
    126      -9.3317      1.00000
    127      -9.3210      1.00000
    128      -9.2988      1.00000
    129      -9.0685      1.00000
    130      -8.9763      1.00000
    131      -8.8885      1.00000
    132      -8.8794      1.00000
    133      -8.8652      1.00000
    134      -8.8108      1.00000
    135      -8.8054      1.00000
    136      -8.7935      1.00000
    137      -8.6774      1.00000
    138      -8.6565      1.00000
    139      -8.6162      1.00000
    140      -8.5456      1.00000
    141      -8.5346      1.00000
    142      -8.5089      1.00000
    143      -8.5051      1.00000
