
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.3230      1.00000
      2     -24.4533      1.00000
      3     -24.2487      1.00000
      4     -24.1056      1.00000
      5     -24.0670      1.00000
      6     -24.0651      1.00000
      7     -23.9615      1.00000
      8     -23.6808      1.00000
      9     -23.4192      1.00000
     10     -23.3443      1.00000
     11     -23.2733      1.00000
     12     -23.2510      1.00000
     13     -23.1644      1.00000
     14     -23.0290      1.00000
     15     -22.9807      1.00000
     16     -22.9407      1.00000
     17     -22.9280      1.00000
     18     -22.8184      1.00000
     19     -22.7012      1.00000
     20     -22.2629      1.00000
     21     -22.1463      1.00000
     22     -22.1003      1.00000
     23     -21.9811      1.00000
     24     -21.9025      1.00000
     25     -21.8898      1.00000
     26     -21.8847      1.00000
     27     -21.8728      1.00000
     28     -21.8522      1.00000
     29     -21.8416      1.00000
     30     -21.7224      1.00000
     31     -21.6656      1.00000
     32     -21.5726      1.00000
     33     -21.4778      1.00000
     34     -21.4686      1.00000
     35     -21.4469      1.00000
     36     -21.3066      1.00000
     37     -21.2706      1.00000
     38     -21.0608      1.00000
     39     -21.0399      1.00000
     40     -20.9825      1.00000
     41     -20.9512      1.00000
     42     -20.8879      1.00000
     43     -20.8594      1.00000
     44     -20.8165      1.00000
     45     -20.7799      1.00000
     46     -20.7697      1.00000
     47     -20.7515      1.00000
     48     -19.3554      1.00000
     49     -17.3035      1.00000
     50     -15.9376      1.00000
     51     -15.0224      1.00000
     52     -14.7177      1.00000
     53     -14.5972      1.00000
     54     -14.5725      1.00000
     55     -14.5140      1.00000
     56     -14.4833      1.00000
     57     -14.4000      1.00000
     58     -14.3859      1.00000
     59     -14.3582      1.00000
     60     -14.3232      1.00000
     61     -14.2892      1.00000
     62     -14.0160      1.00000
     63     -13.9218      1.00000
     64     -13.8812      1.00000
     65     -13.7891      1.00000
     66     -13.7303      1.00000
     67     -13.7077      1.00000
     68     -13.4058      1.00000
     69     -13.2875      1.00000
     70     -13.2238      1.00000
     71     -13.1300      1.00000
     72     -13.1033      1.00000
     73     -13.0940      1.00000
     74     -13.0644      1.00000
     75     -13.0448      1.00000
     76     -13.0380      1.00000
     77     -12.9919      1.00000
     78     -12.8609      1.00000
     79     -12.7487      1.00000
     80     -12.6033      1.00000
     81     -12.4037      1.00000
     82     -12.3865      1.00000
     83     -12.3571      1.00000
     84     -12.3115      1.00000
     85     -12.1303      1.00000
     86     -11.7375      1.00000
     87     -11.7106      1.00000
     88     -11.6711      1.00000
     89     -11.5243      1.00000
     90     -11.4620      1.00000
     91     -11.4331      1.00000
     92     -11.0724      1.00000
     93     -10.9615      1.00000
     94     -10.8814      1.00000
     95     -10.8119      1.00000
     96     -10.8100      1.00000
     97     -10.7525      1.00000
     98     -10.7396      1.00000
     99     -10.5416      1.00000
    100     -10.5296      1.00000
    101     -10.4713      1.00000
    102     -10.4642      1.00000
    103     -10.3918      1.00000
    104     -10.3702      1.00000
    105     -10.3478      1.00000
    106     -10.3297      1.00000
    107     -10.2936      1.00000
    108     -10.2765      1.00000
    109     -10.2685      1.00000
    110     -10.2619      1.00000
    111     -10.2551      1.00000
    112     -10.2455      1.00000
    113     -10.2147      1.00000
    114     -10.1951      1.00000
    115     -10.1781      1.00000
    116     -10.1749      1.00000
    117     -10.1631      1.00000
    118     -10.1104      1.00000
    119     -10.1061      1.00000
    120     -10.0801      1.00000
    121      -9.8931      1.00000
    122      -9.8773      1.00000
    123      -9.6545      1.00000
    124      -9.6138      1.00000
    125      -9.5353      1.00000
    126      -9.5059      1.00000
    127      -9.4782      1.00000
    128      -9.3510      1.00000
    129      -9.2950      1.00000
    130      -9.1332      1.00000
    131      -9.0721      1.00000
    132      -9.0647      1.00000
    133      -9.0185      1.00000
    134      -8.9779      1.00000
    135      -8.9611      1.00000
    136      -8.8803      1.00000
    137      -8.8106      1.00000
    138      -8.7776      1.00000
    139      -8.7593      1.00000
    140      -8.7251      1.00000
    141      -8.6953      1.00000
    142      -8.6886      1.00000
    143      -8.6851      1.00000
    144      -8.6641      1.00000
    145      -8.6425      1.00000
    146      -8.6004      1.00000
    147      -8.5564      1.00000
    148      -8.5475      1.00000
    149      -8.5359      1.00000
    150      -8.4509      1.00000
    151      -8.4328      1.00000
    152      -8.3240      1.00000
    153      -8.3011      1.00000
    154      -8.2675      1.00000
    155      -8.2346      1.00000
    156      -8.1012      1.00000
    157      -7.8894      1.00000
    158      -7.7746      1.00000
    159      -7.4562      1.00000
    160      -7.3745      1.00000
    161      -7.3380      1.00000
    162      -7.3289      1.00000
    163      -7.3225      1.00000
    164      -7.2824      1.00000
    165      -7.1613      1.00000
    166      -7.1322      1.00000
    167      -7.1119      1.00000
    168      -7.1038      1.00000
    169      -7.1020      1.00000
    170      -7.0882      1.00000
    171      -7.0721      1.00000
    172      -7.0574      1.00000
    173      -6.9648      1.00000
    174      -6.9269      1.00000
    175      -6.8706      1.00000
    176      -6.8660      1.00000
    177      -6.5540      1.00000
    178      -6.4770      1.00000
    179      -6.4736      1.00000
    180      -6.4491      1.00000
    181      -6.3740      1.00000
    182      -6.2869      1.00000
    183      -6.2627      1.00000
    184      -6.2504      1.00000
    185      -5.7752      1.00000
    186      -5.7558      1.00000
    187      -5.7382      1.00000
    188      -5.6965      1.00000
    189      -5.6189      1.00000
    190      -5.5841      1.00000
    191      -5.4771      1.00000
    192      -5.4327      1.00000
    193      -5.4187      1.00000
    194      -5.4056      1.00000
    195      -5.2431      1.00000
    196      -4.3837      1.00000
    197       0.3647      0.00000
    198       0.6667      0.00000
    199       0.8516      0.00000
    200       1.2026      0.00000
    201       1.2079      0.00000
    202       1.2264      0.00000
    203       1.2394      0.00000
    204       1.2939      0.00000
    205       1.3001      0.00000
    206       1.3055      0.00000
    207       1.3110      0.00000
    208       1.3334      0.00000
    209       1.3471      0.00000
    210       1.3618      0.00000
    211       1.3811      0.00000
    212       1.4176      0.00000
    213       1.4500      0.00000
    214       1.4553      0.00000
    215       1.4829      0.00000
    216       1.5383      0.00000
    217       1.5428      0.00000
    218       1.5906      0.00000
    219       1.7152      0.00000
    220       1.7331      0.00000
    221       1.7468      0.00000
    222       1.7667      0.00000
    223       1.8102      0.00000
    224       2.1434      0.00000
    225       2.1501      0.00000
    226       2.1550      0.00000
    227       2.1770      0.00000
    228       2.1772      0.00000
    229       2.1809      0.00000
    230       2.1848      0.00000
    231       2.1875      0.00000
    232       2.2001      0.00000
    233       2.2090      0.00000
    234       2.2170      0.00000
    235       2.2426      0.00000
    236       2.6153      0.00000
    237       2.6204      0.00000
    238       2.6249      0.00000
    239       2.6292      0.00000
    240       2.6393      0.00000
    241       2.6419      0.00000
    242       2.6978      0.00000
    243       2.7923      0.00000
    244       2.9125      0.00000
    245       2.9302      0.00000
    246       2.9598      0.00000
    247       2.9661      0.00000
    248       2.9780      0.00000
    249       2.9829      0.00000
    250       2.9882      0.00000
    251       3.0009      0.00000
    252       3.0716      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.5325      1.00000
      2     -24.4579      1.00000
      3     -24.2547      1.00000
      4     -24.1114      1.00000
      5     -24.0699      1.00000
      6     -24.0644      1.00000
      7     -23.9561      1.00000
      8     -23.6991      1.00000
      9     -23.4258      1.00000
     10     -23.3595      1.00000
     11     -23.2738      1.00000
     12     -23.2549      1.00000
     13     -23.1622      1.00000
     14     -23.0331      1.00000
     15     -22.9821      1.00000
     16     -22.9458      1.00000
     17     -22.9287      1.00000
     18     -22.8162      1.00000
     19     -22.6910      1.00000
     20     -22.2727      1.00000
     21     -22.1620      1.00000
     22     -22.1127      1.00000
     23     -21.9761      1.00000
     24     -21.9062      1.00000
     25     -21.8915      1.00000
     26     -21.8818      1.00000
     27     -21.8725      1.00000
     28     -21.8485      1.00000
     29     -21.8354      1.00000
     30     -21.7199      1.00000
     31     -21.6613      1.00000
     32     -21.5720      1.00000
     33     -21.4784      1.00000
     34     -21.4682      1.00000
     35     -21.4436      1.00000
     36     -21.2968      1.00000
     37     -21.2659      1.00000
     38     -21.0623      1.00000
     39     -21.0388      1.00000
     40     -20.9792      1.00000
     41     -20.9492      1.00000
     42     -20.8882      1.00000
     43     -20.8556      1.00000
     44     -20.8154      1.00000
     45     -20.7790      1.00000
     46     -20.7681      1.00000
     47     -20.7475      1.00000
     48     -19.1837      1.00000
     49     -16.8915      1.00000
     50     -16.2384      1.00000
     51     -14.9945      1.00000
     52     -14.7396      1.00000
     53     -14.6067      1.00000
     54     -14.5739      1.00000
     55     -14.5123      1.00000
     56     -14.4834      1.00000
     57     -14.3989      1.00000
     58     -14.3858      1.00000
     59     -14.3554      1.00000
     60     -14.3202      1.00000
     61     -14.2869      1.00000
     62     -14.0207      1.00000
     63     -13.9272      1.00000
     64     -13.8836      1.00000
     65     -13.7891      1.00000
     66     -13.7212      1.00000
     67     -13.7037      1.00000
     68     -13.4247      1.00000
     69     -13.2883      1.00000
     70     -13.2280      1.00000
     71     -13.1298      1.00000
     72     -13.1083      1.00000
     73     -13.0933      1.00000
     74     -13.0620      1.00000
     75     -13.0464      1.00000
     76     -13.0375      1.00000
     77     -12.9811      1.00000
     78     -12.8305      1.00000
     79     -12.7247      1.00000
     80     -12.6073      1.00000
     81     -12.4039      1.00000
     82     -12.3859      1.00000
     83     -12.3585      1.00000
     84     -12.3144      1.00000
     85     -12.1218      1.00000
     86     -11.7503      1.00000
     87     -11.7137      1.00000
     88     -11.6794      1.00000
     89     -11.5202      1.00000
     90     -11.4483      1.00000
     91     -11.4194      1.00000
     92     -11.0836      1.00000
     93     -11.0541      1.00000
     94     -10.9678      1.00000
     95     -10.8873      1.00000
     96     -10.8091      1.00000
     97     -10.7525      1.00000
     98     -10.7375      1.00000
     99     -10.5813      1.00000
    100     -10.5441      1.00000
    101     -10.5323      1.00000
    102     -10.4734      1.00000
    103     -10.4710      1.00000
    104     -10.3676      1.00000
    105     -10.3488      1.00000
    106     -10.3281      1.00000
    107     -10.2923      1.00000
    108     -10.2782      1.00000
    109     -10.2668      1.00000
    110     -10.2631      1.00000
    111     -10.2539      1.00000
    112     -10.2364      1.00000
    113     -10.2138      1.00000
    114     -10.2053      1.00000
    115     -10.1755      1.00000
    116     -10.1697      1.00000
    117     -10.1652      1.00000
    118     -10.0984      1.00000
    119     -10.0928      1.00000
    120     -10.0203      1.00000
    121      -9.8698      1.00000
    122      -9.8541      1.00000
    123      -9.6533      1.00000
    124      -9.6158      1.00000
    125      -9.5348      1.00000
    126      -9.5038      1.00000
    127      -9.4650      1.00000
    128      -9.4481      1.00000
    129      -9.3454      1.00000
    130      -9.1501      1.00000
    131      -9.1053      1.00000
    132      -9.0652      1.00000
    133      -9.0151      1.00000
    134      -8.9654      1.00000
    135      -8.9350      1.00000
    136      -8.8766      1.00000
    137      -8.8096      1.00000
    138      -8.7794      1.00000
    139      -8.7552      1.00000
    140      -8.7246      1.00000
    141      -8.7034      1.00000
    142      -8.6950      1.00000
    143      -8.6883      1.00000
    144      -8.6831      1.00000
    145      -8.6405      1.00000
    146      -8.6215      1.00000
    147      -8.5597      1.00000
    148      -8.5491      1.00000
    149      -8.5423      1.00000
    150      -8.4244      1.00000
    151      -8.3410      1.00000
    152      -8.3154      1.00000
    153      -8.2991      1.00000
    154      -8.2634      1.00000
    155      -8.2201      1.00000
    156      -8.0714      1.00000
    157      -7.8691      1.00000
    158      -7.7473      1.00000
    159      -7.4569      1.00000
    160      -7.4111      1.00000
    161      -7.3673      1.00000
    162      -7.3618      1.00000
    163      -7.3362      1.00000
    164      -7.3243      1.00000
    165      -7.2206      1.00000
    166      -7.1486      1.00000
    167      -7.1226      1.00000
    168      -7.1096      1.00000
    169      -7.0930      1.00000
    170      -7.0897      1.00000
    171      -7.0539      1.00000
    172      -7.0437      1.00000
    173      -6.9445      1.00000
    174      -6.8446      1.00000
    175      -6.8378      1.00000
    176      -6.8272      1.00000
    177      -6.5694      1.00000
    178      -6.4863      1.00000
    179      -6.4673      1.00000
    180      -6.4561      1.00000
    181      -6.2835      1.00000
    182      -6.2163      1.00000
    183      -6.1947      1.00000
    184      -6.1801      1.00000
    185      -5.7879      1.00000
    186      -5.7786      1.00000
    187      -5.7421      1.00000
    188      -5.6917      1.00000
    189      -5.6007      1.00000
    190      -5.5691      1.00000
    191      -5.4838      1.00000
    192      -5.4326      1.00000
    193      -5.4221      1.00000
    194      -5.3989      1.00000
    195      -4.9421      1.00000
    196      -2.8071      0.00000
    197      -1.1585      1.00000
    198       0.6266      0.00000
    199       0.6630      0.00000
    200       1.1660      0.00000
    201       1.1841      0.00000
    202       1.2265      0.00000
    203       1.2535      0.00000
    204       1.2884      0.00000
    205       1.2976      0.00000
    206       1.2990      0.00000
    207       1.3087      0.00000
    208       1.3290      0.00000
    209       1.3353      0.00000
    210       1.3439      0.00000
    211       1.3891      0.00000
    212       1.3997      0.00000
    213       1.4418      0.00000
