
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.6158      1.00000
      2     -24.4909      1.00000
      3     -24.3125      1.00000
      4     -24.0422      1.00000
      5     -23.9798      1.00000
      6     -23.9072      1.00000
      7     -23.8177      1.00000
      8     -23.6938      1.00000
      9     -23.4149      1.00000
     10     -23.3102      1.00000
     11     -23.1691      1.00000
     12     -23.1650      1.00000
     13     -23.0229      1.00000
     14     -22.9677      1.00000
     15     -22.8782      1.00000
     16     -22.8615      1.00000
     17     -22.7820      1.00000
     18     -22.6273      1.00000
     19     -22.5094      1.00000
     20     -22.3445      1.00000
     21     -22.1913      1.00000
     22     -21.9222      1.00000
     23     -21.8864      1.00000
     24     -21.8094      1.00000
     25     -21.7904      1.00000
     26     -21.7626      1.00000
     27     -21.7498      1.00000
     28     -21.7220      1.00000
     29     -21.6494      1.00000
     30     -21.5821      1.00000
     31     -21.4740      1.00000
     32     -21.4460      1.00000
     33     -21.3678      1.00000
     34     -21.3076      1.00000
     35     -21.2681      1.00000
     36     -21.1162      1.00000
     37     -21.0373      1.00000
     38     -20.9478      1.00000
     39     -20.8811      1.00000
     40     -20.7963      1.00000
     41     -20.7836      1.00000
     42     -20.7461      1.00000
     43     -20.7277      1.00000
     44     -20.6340      1.00000
     45     -20.6039      1.00000
     46     -20.3585      1.00000
     47     -20.0538      1.00000
     48     -19.5108      1.00000
     49     -18.3040      1.00000
     50     -16.0350      1.00000
     51     -15.0302      1.00000
     52     -14.6665      1.00000
     53     -14.5748      1.00000
     54     -14.4738      1.00000
     55     -14.4300      1.00000
     56     -14.3427      1.00000
     57     -14.3251      1.00000
     58     -14.3047      1.00000
     59     -14.2305      1.00000
     60     -14.1995      1.00000
     61     -13.9630      1.00000
     62     -13.9407      1.00000
     63     -13.8385      1.00000
     64     -13.7522      1.00000
     65     -13.6855      1.00000
     66     -13.6422      1.00000
     67     -13.5321      1.00000
     68     -13.2856      1.00000
     69     -13.2661      1.00000
     70     -13.1356      1.00000
     71     -13.0295      1.00000
     72     -13.0215      1.00000
     73     -12.9876      1.00000
     74     -12.9680      1.00000
     75     -12.9267      1.00000
     76     -12.8709      1.00000
     77     -12.7534      1.00000
     78     -12.7153      1.00000
     79     -12.6514      1.00000
     80     -12.3878      1.00000
     81     -12.3228      1.00000
     82     -12.3167      1.00000
     83     -12.2081      1.00000
     84     -12.1660      1.00000
     85     -11.8601      1.00000
     86     -11.7038      1.00000
     87     -11.5275      1.00000
     88     -11.4888      1.00000
     89     -11.4168      1.00000
     90     -11.3987      1.00000
     91     -11.1277      1.00000
     92     -11.0897      1.00000
     93     -10.9711      1.00000
     94     -10.9553      1.00000
     95     -10.7742      1.00000
     96     -10.7442      1.00000
     97     -10.6444      1.00000
     98     -10.5958      1.00000
     99     -10.4992      1.00000
    100     -10.4404      1.00000
    101     -10.4182      1.00000
    102     -10.3652      1.00000
    103     -10.3478      1.00000
    104     -10.3105      1.00000
    105     -10.2894      1.00000
    106     -10.2547      1.00000
    107     -10.2395      1.00000
    108     -10.2247      1.00000
    109     -10.1761      1.00000
    110     -10.1584      1.00000
    111     -10.1427      1.00000
    112     -10.1191      1.00000
    113     -10.1181      1.00000
    114     -10.0962      1.00000
    115     -10.0647      1.00000
    116     -10.0451      1.00000
    117      -9.9507      1.00000
    118      -9.9404      1.00000
    119      -9.8231      1.00000
    120      -9.8065      1.00000
    121      -9.7301      1.00000
    122      -9.5702      1.00000
    123      -9.5230      1.00000
    124      -9.3979      1.00000
    125      -9.3703      1.00000
    126      -9.2604      1.00000
    127      -9.2594      1.00000
    128      -9.2064      1.00000
    129      -9.1388      1.00000
    130      -9.0196      1.00000
    131      -9.0047      1.00000
    132      -8.9347      1.00000
    133      -8.9101      1.00000
    134      -8.8588      1.00000
    135      -8.7947      1.00000
    136      -8.7712      1.00000
    137      -8.7392      1.00000
    138      -8.6682      1.00000
    139      -8.6338      1.00000
    140      -8.5940      1.00000
    141      -8.5855      1.00000
    142      -8.5693      1.00000
    143      -8.5514      1.00000
    144      -8.5140      1.00000
    145      -8.4851      1.00000
    146      -8.4228      1.00000
    147      -8.4116      1.00000
    148      -8.3984      1.00000
    149      -8.3337      1.00000
    150      -8.2663      1.00000
    151      -8.2343      1.00000
    152      -8.1808      1.00000
    153      -8.0995      1.00000
    154      -8.0202      1.00000
    155      -7.8592      1.00000
    156      -7.6819      1.00000
    157      -7.4906      1.00000
    158      -7.4871      1.00000
    159      -7.3448      1.00000
    160      -7.2633      1.00000
    161      -7.2515      1.00000
    162      -7.1976      1.00000
    163      -7.1117      1.00000
    164      -7.0740      1.00000
    165      -7.0061      1.00000
    166      -6.9852      1.00000
    167      -6.9720      1.00000
    168      -6.9549      1.00000
    169      -6.9333      1.00000
    170      -6.9319      1.00000
    171      -6.8315      1.00000
    172      -6.8278      1.00000
    173      -6.7271      1.00000
    174      -6.6441      1.00000
    175      -6.5586      1.00000
    176      -6.4459      1.00000
    177      -6.3791      1.00000
    178      -6.3705      1.00000
    179      -6.3040      1.00000
    180      -6.2467      1.00000
    181      -6.1132      1.00000
    182      -5.9084      1.00000
    183      -5.7127      1.00000
    184      -5.6188      1.00000
    185      -5.5636      1.00000
    186      -5.5209      1.00000
    187      -5.4445      1.00000
    188      -5.4169      1.00000
    189      -5.3077      1.00000
    190      -5.2788      1.00000
    191      -5.1752      1.00000
    192      -5.1663      1.00000
    193      -4.8705      1.00000
    194      -4.8420      1.00000
    195      -4.0906      0.00000
    196      -2.9945      1.00000
    197      -0.0618      0.00000
    198       0.7351      0.00000
    199       1.0695      0.00000
    200       1.2124      0.00000
    201       1.2613      0.00000
    202       1.2954      0.00000
    203       1.3093      0.00000
    204       1.3185      0.00000
    205       1.3612      0.00000
    206       1.3883      0.00000
    207       1.4196      0.00000
    208       1.4304      0.00000
    209       1.4825      0.00000
    210       1.4853      0.00000
    211       1.5365      0.00000
    212       1.5672      0.00000
    213       1.5785      0.00000
    214       1.6150      0.00000
    215       1.6389      0.00000
    216       1.7283      0.00000
    217       1.7437      0.00000
    218       1.7856      0.00000
    219       1.8422      0.00000
    220       1.8773      0.00000
    221       1.9324      0.00000
    222       1.9698      0.00000
    223       2.1695      0.00000
    224       2.1731      0.00000
    225       2.2334      0.00000
    226       2.2740      0.00000
    227       2.3214      0.00000
    228       2.3243      0.00000
    229       2.3296      0.00000
    230       2.3703      0.00000
    231       2.3959      0.00000
    232       2.4245      0.00000
    233       2.4349      0.00000
    234       2.4998      0.00000
    235       2.5527      0.00000
    236       2.6668      0.00000
    237       2.6735      0.00000
    238       2.7091      0.00000
    239       2.7372      0.00000
    240       2.7491      0.00000
    241       2.7760      0.00000
    242       2.8441      0.00000
    243       2.9119      0.00000
    244       2.9711      0.00000
    245       3.0361      0.00000
    246       3.0711      0.00000
    247       3.0725      0.00000
    248       3.1274      0.00000
    249       3.1624      0.00000
    250       3.1691      0.00000
    251       3.2177      0.00000
    252       3.3799      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.6262      1.00000
      2     -24.4851      1.00000
      3     -24.3095      1.00000
      4     -24.0446      1.00000
      5     -23.9788      1.00000
      6     -23.9062      1.00000
      7     -23.7971      1.00000
      8     -23.6843      1.00000
      9     -23.4119      1.00000
     10     -23.2999      1.00000
     11     -23.1675      1.00000
     12     -23.1468      1.00000
     13     -23.0105      1.00000
     14     -22.9681      1.00000
     15     -22.8787      1.00000
     16     -22.8450      1.00000
     17     -22.7704      1.00000
     18     -22.5990      1.00000
     19     -22.4511      1.00000
     20     -22.3242      1.00000
     21     -22.1736      1.00000
     22     -21.9271      1.00000
     23     -21.8846      1.00000
     24     -21.8040      1.00000
     25     -21.7894      1.00000
     26     -21.7540      1.00000
     27     -21.7303      1.00000
     28     -21.6725      1.00000
     29     -21.6154      1.00000
     30     -21.5739      1.00000
     31     -21.4571      1.00000
     32     -21.4085      1.00000
     33     -21.3663      1.00000
     34     -21.3031      1.00000
     35     -21.2509      1.00000
     36     -21.0625      1.00000
     37     -21.0313      1.00000
