
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -29.6592      1.00000
      2     -25.3511      1.00000
      3     -24.2578      1.00000
      4     -24.0553      1.00000
      5     -23.9329      1.00000
      6     -23.9083      1.00000
      7     -23.8590      1.00000
      8     -23.7305      1.00000
      9     -23.4455      1.00000
     10     -23.3467      1.00000
     11     -23.1850      1.00000
     12     -23.1344      1.00000
     13     -23.1051      1.00000
     14     -22.9434      1.00000
     15     -22.8684      1.00000
     16     -22.8435      1.00000
     17     -22.7952      1.00000
     18     -22.7515      1.00000
     19     -22.7200      1.00000
     20     -22.3205      1.00000
     21     -22.2333      1.00000
     22     -22.1450      1.00000
     23     -21.9220      1.00000
     24     -21.8846      1.00000
     25     -21.8016      1.00000
     26     -21.7650      1.00000
     27     -21.7212      1.00000
     28     -21.7123      1.00000
     29     -21.7082      1.00000
     30     -21.6880      1.00000
     31     -21.6672      1.00000
     32     -21.4651      1.00000
     33     -21.4243      1.00000
     34     -21.4091      1.00000
     35     -21.3193      1.00000
     36     -21.2839      1.00000
     37     -21.2535      1.00000
     38     -21.0183      1.00000
     39     -21.0169      1.00000
     40     -20.8807      1.00000
     41     -20.8525      1.00000
     42     -20.8127      1.00000
     43     -20.8004      1.00000
     44     -20.6923      1.00000
     45     -20.6711      1.00000
     46     -20.6497      1.00000
     47     -20.6055      1.00000
     48     -20.5940      1.00000
     49     -20.5559      1.00000
     50     -18.9596      1.00000
     51     -16.3058      1.00000
     52     -14.9640      1.00000
     53     -14.8446      1.00000
     54     -14.4914      1.00000
     55     -14.4578      1.00000
     56     -14.3608      1.00000
     57     -14.3085      1.00000
     58     -14.3021      1.00000
     59     -14.2601      1.00000
     60     -14.2328      1.00000
     61     -14.1957      1.00000
     62     -14.0935      1.00000
     63     -13.9195      1.00000
     64     -13.8924      1.00000
     65     -13.8285      1.00000
     66     -13.7613      1.00000
     67     -13.6519      1.00000
     68     -13.4364      1.00000
     69     -13.3745      1.00000
     70     -13.2619      1.00000
     71     -13.1497      1.00000
     72     -13.0933      1.00000
     73     -13.0622      1.00000
     74     -12.9541      1.00000
     75     -12.9329      1.00000
     76     -12.9064      1.00000
     77     -12.8923      1.00000
     78     -12.8707      1.00000
     79     -12.8641      1.00000
     80     -12.5664      1.00000
     81     -12.5031      1.00000
     82     -12.4530      1.00000
     83     -12.3098      1.00000
     84     -12.1924      1.00000
     85     -12.1500      1.00000
     86     -11.8800      1.00000
     87     -11.7567      1.00000
     88     -11.7258      1.00000
     89     -11.5585      1.00000
     90     -11.4800      1.00000
     91     -11.4223      1.00000
     92     -11.3743      1.00000
     93     -11.3262      1.00000
     94     -11.2284      1.00000
     95     -10.9407      1.00000
     96     -10.8826      1.00000
     97     -10.7409      1.00000
     98     -10.6712      1.00000
     99     -10.5722      1.00000
    100     -10.5506      1.00000
    101     -10.4833      1.00000
    102     -10.4461      1.00000
    103     -10.4080      1.00000
    104     -10.3366      1.00000
    105     -10.3299      1.00000
    106     -10.2887      1.00000
    107     -10.2628      1.00000
    108     -10.2135      1.00000
    109     -10.1734      1.00000
    110     -10.1579      1.00000
    111     -10.1452      1.00000
    112     -10.1405      1.00000
    113     -10.1065      1.00000
    114     -10.1027      1.00000
    115     -10.0877      1.00000
    116     -10.0805      1.00000
    117     -10.0638      1.00000
    118     -10.0577      1.00000
    119     -10.0535      1.00000
    120     -10.0208      1.00000
    121     -10.0103      1.00000
    122      -9.9611      1.00000
    123      -9.6229      1.00000
    124      -9.5686      1.00000
    125      -9.5355      1.00000
    126      -9.4968      1.00000
    127      -9.3951      1.00000
    128      -9.3501      1.00000
    129      -9.3387      1.00000
    130      -9.2077      1.00000
    131      -9.0973      1.00000
    132      -9.0019      1.00000
    133      -8.9666      1.00000
    134      -8.9311      1.00000
    135      -8.8942      1.00000
    136      -8.8915      1.00000
    137      -8.8241      1.00000
    138      -8.7662      1.00000
    139      -8.7291      1.00000
    140      -8.6700      1.00000
    141      -8.6387      1.00000
    142      -8.5948      1.00000
    143      -8.5456      1.00000
    144      -8.5319      1.00000
    145      -8.5164      1.00000
    146      -8.5157      1.00000
    147      -8.5085      1.00000
    148      -8.4701      1.00000
    149      -8.4380      1.00000
    150      -8.3839      1.00000
    151      -8.3772      1.00000
    152      -8.3476      1.00000
    153      -8.2673      1.00000
    154      -8.2609      1.00000
    155      -8.2110      1.00000
    156      -8.1216      1.00000
    157      -8.0823      1.00000
    158      -8.0479      1.00000
    159      -7.6516      1.00000
    160      -7.3999      1.00000
    161      -7.3855      1.00000
    162      -7.2498      1.00000
    163      -7.2214      1.00000
    164      -7.2147      1.00000
    165      -7.1923      1.00000
    166      -7.1774      1.00000
    167      -7.1484      1.00000
    168      -7.0162      1.00000
    169      -7.0051      1.00000
    170      -6.9830      1.00000
    171      -6.9382      1.00000
    172      -6.9305      1.00000
    173      -6.9240      1.00000
    174      -6.9026      1.00000
    175      -6.8788      1.00000
    176      -6.8612      1.00000
    177      -6.5196      1.00000
    178      -6.4940      1.00000
    179      -6.4881      1.00000
    180      -6.3814      1.00000
    181      -6.3683      1.00000
    182      -6.3077      1.00000
    183      -6.2798      1.00000
    184      -6.2423      1.00000
    185      -5.7267      1.00000
    186      -5.6450      1.00000
    187      -5.5888      1.00000
