
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -28.9793      1.00000
      2     -24.3777      1.00000
      3     -24.1077      1.00000
      4     -24.0857      1.00000
      5     -23.9493      1.00000
      6     -23.9482      1.00000
      7     -23.9213      1.00000
      8     -23.8723      1.00000
      9     -23.3161      1.00000
     10     -23.2931      1.00000
     11     -23.2098      1.00000
     12     -23.2056      1.00000
     13     -23.1678      1.00000
     14     -23.0074      1.00000
     15     -22.8463      1.00000
     16     -22.8447      1.00000
     17     -22.8294      1.00000
     18     -22.8272      1.00000
     19     -22.8134      1.00000
     20     -22.5558      1.00000
     21     -21.9743      1.00000
     22     -21.9652      1.00000
     23     -21.9507      1.00000
     24     -21.9108      1.00000
     25     -21.8946      1.00000
     26     -21.7849      1.00000
     27     -21.7797      1.00000
     28     -21.7702      1.00000
     29     -21.7583      1.00000
     30     -21.7512      1.00000
     31     -21.7466      1.00000
     32     -21.5251      1.00000
     33     -21.4609      1.00000
     34     -21.4585      1.00000
     35     -21.3367      1.00000
     36     -21.3346      1.00000
     37     -21.3293      1.00000
     38     -21.1092      1.00000
     39     -21.0406      1.00000
     40     -20.9048      1.00000
     41     -20.8980      1.00000
     42     -20.8743      1.00000
     43     -20.8658      1.00000
     44     -20.7390      1.00000
     45     -20.7385      1.00000
     46     -20.6607      1.00000
     47     -20.6575      1.00000
     48     -20.6566      1.00000
     49     -20.6536      1.00000
     50     -15.5320      1.00000
     51     -15.4574      1.00000
     52     -14.6636      1.00000
     53     -14.5406      1.00000
     54     -14.5224      1.00000
     55     -14.4833      1.00000
     56     -14.3259      1.00000
     57     -14.3235      1.00000
     58     -14.3078      1.00000
     59     -14.2891      1.00000
     60     -14.2587      1.00000
     61     -14.2555      1.00000
     62     -13.9627      1.00000
     63     -13.9509      1.00000
     64     -13.7792      1.00000
     65     -13.7652      1.00000
     66     -13.7285      1.00000
     67     -13.7139      1.00000
     68     -13.3166      1.00000
