
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -27.2744      1.00000
      2     -24.3166      1.00000
      3     -24.0193      1.00000
      4     -23.9340      1.00000
      5     -23.9013      1.00000
      6     -23.8402      1.00000
      7     -23.7764      1.00000
      8     -23.5257      1.00000
      9     -23.2207      1.00000
     10     -23.1184      1.00000
     11     -23.0748      1.00000
     12     -23.0274      1.00000
     13     -22.9810      1.00000
     14     -22.8643      1.00000
     15     -22.8376      1.00000
     16     -22.7451      1.00000
     17     -22.6794      1.00000
     18     -22.5733      1.00000
     19     -22.5473      1.00000
     20     -22.0995      1.00000
     21     -22.0115      1.00000
     22     -21.7803      1.00000
     23     -21.7595      1.00000
     24     -21.7340      1.00000
     25     -21.6952      1.00000
     26     -21.6830      1.00000
     27     -21.6734      1.00000
     28     -21.6334      1.00000
     29     -21.5642      1.00000
     30     -21.5037      1.00000
     31     -21.4339      1.00000
     32     -21.4120      1.00000
     33     -21.2879      1.00000
     34     -21.2497      1.00000
     35     -21.2089      1.00000
     36     -21.1182      1.00000
     37     -20.9526      1.00000
     38     -20.8736      1.00000
     39     -20.7983      1.00000
     40     -20.7624      1.00000
     41     -20.7493      1.00000
     42     -20.6920      1.00000
     43     -20.6567      1.00000
     44     -20.6113      1.00000
     45     -20.5827      1.00000
     46     -20.5343      1.00000
     47     -20.4244      1.00000
     48     -20.3471      1.00000
     49     -17.3823      1.00000
     50     -14.6205      1.00000
     51     -14.5612      1.00000
     52     -14.4844      1.00000
     53     -14.4177      1.00000
     54     -14.3655      1.00000
     55     -14.3193      1.00000
     56     -14.2952      1.00000
     57     -14.2042      1.00000
     58     -14.1380      1.00000
     59     -14.1053      1.00000
     60     -14.0304      1.00000
     61     -13.9035      1.00000
     62     -13.8546      1.00000
     63     -13.6847      1.00000
     64     -13.5922      1.00000
     65     -13.5650      1.00000
     66     -13.4343      1.00000
     67     -13.3925      1.00000
     68     -13.2038      1.00000
     69     -13.0524      1.00000
     70     -12.9471      1.00000
     71     -12.8942      1.00000
     72     -12.8781      1.00000
     73     -12.8482      1.00000
     74     -12.8394      1.00000
     75     -12.8011      1.00000
     76     -12.7174      1.00000
     77     -12.6396      1.00000
     78     -12.5129      1.00000
     79     -12.4128      1.00000
     80     -12.2543      1.00000
     81     -12.1481      1.00000
     82     -12.1066      1.00000
     83     -12.0116      1.00000
     84     -11.9073      1.00000
     85     -11.7094      1.00000
     86     -11.4659      1.00000
     87     -11.4180      1.00000
     88     -11.3112      1.00000
     89     -11.1871      1.00000
     90     -11.1750      1.00000
     91     -11.1128      1.00000
     92     -10.9274      1.00000
     93     -10.7040      1.00000
     94     -10.6548      1.00000
     95     -10.6193      1.00000
     96     -10.5380      1.00000
     97     -10.5186      1.00000
     98     -10.4637      1.00000
     99     -10.3783      1.00000
    100     -10.3270      1.00000
    101     -10.2579      1.00000
    102     -10.2327      1.00000
    103     -10.1979      1.00000
    104     -10.1649      1.00000
    105     -10.1402      1.00000
    106     -10.1075      1.00000
    107     -10.0780      1.00000
    108     -10.0743      1.00000
    109     -10.0555      1.00000
    110     -10.0453      1.00000
    111     -10.0294      1.00000
    112     -10.0116      1.00000
    113      -9.9983      1.00000
    114      -9.9584      1.00000
    115      -9.9020      1.00000
    116      -9.8703      1.00000
    117      -9.8309      1.00000
    118      -9.6986      1.00000
    119      -9.6471      1.00000
    120      -9.6317      1.00000
    121      -9.4525      1.00000
    122      -9.4020      1.00000
    123      -9.3696      1.00000
    124      -9.2932      1.00000
    125      -9.2759      1.00000
    126      -9.2014      1.00000
    127      -9.0120      1.00000
    128      -8.9683      1.00000
    129      -8.9668      1.00000
    130      -8.9113      1.00000
    131      -8.8768      1.00000
    132      -8.7847      1.00000
    133      -8.7726      1.00000
    134      -8.7556      1.00000
    135      -8.7016      1.00000
    136      -8.6105      1.00000
    137      -8.5775      1.00000
    138      -8.5646      1.00000
    139      -8.5640      1.00000
    140      -8.4766      1.00000
    141      -8.4529      1.00000
    142      -8.4398      1.00000
    143      -8.4313      1.00000
    144      -8.3999      1.00000
    145      -8.3734      1.00000
    146      -8.3321      1.00000
    147      -8.2202      1.00000
    148      -8.1942      1.00000
    149      -8.1918      1.00000
    150      -8.1792      1.00000
    151      -8.1703      1.00000
    152      -8.0543      1.00000
    153      -8.0080      1.00000
    154      -7.7877      1.00000
    155      -7.5636      1.00000
    156      -7.4495      1.00000
    157      -7.3988      1.00000
    158      -7.3615      1.00000
    159      -7.1866      1.00000
    160      -7.1706      1.00000
    161      -7.1309      1.00000
    162      -7.0727      1.00000
    163      -6.9839      1.00000
    164      -6.9696      1.00000
    165      -6.9589      1.00000
    166      -6.9369      1.00000
    167      -6.9266      1.00000
    168      -6.9223      1.00000
    169      -6.8959      1.00000
    170      -6.8628      1.00000
    171      -6.8350      1.00000
    172      -6.7125      1.00000
    173      -6.6953      1.00000
    174      -6.5684      1.00000
    175      -6.5058      1.00000
    176      -6.4149      1.00000
    177      -6.3765      1.00000
    178      -6.2688      1.00000
    179      -6.2193      1.00000
    180      -6.2038      1.00000
    181      -6.1507      1.00000
    182      -5.9314      1.00000
    183      -5.6369      1.00000
    184      -5.5656      1.00000
    185      -5.5421      1.00000
    186      -5.5139      1.00000
    187      -5.4681      1.00000
    188      -5.3702      1.00000
    189      -5.3301      1.00000
    190      -5.2482      1.00000
    191      -5.2396      1.00000
    192      -5.2094      1.00000
    193      -5.1845      1.00000
    194      -5.1188      1.00000
    195      -2.7878      1.00000
    196      -0.4419      0.00000
    197       0.3537      1.00000
    198       0.8709      0.00000
    199       1.0547      0.00000
    200       1.0927      0.00000
    201       1.0961      0.00000
    202       1.1095      0.00000
    203       1.1174      0.00000
    204       1.1292      0.00000
    205       1.2934      0.00000
    206       1.3375      0.00000
    207       1.3637      0.00000
    208       1.3847      0.00000
    209       1.4467      0.00000
    210       1.4766      0.00000
    211       1.5076      0.00000
    212       1.5958      0.00000
    213       1.5974      0.00000
    214       1.6081      0.00000
    215       1.6617      0.00000
    216       1.7223      0.00000
    217       1.7605      0.00000
    218       1.7707      0.00000
    219       1.7972      0.00000
    220       1.8138      0.00000
    221       1.8457      0.00000
    222       1.8668      0.00000
    223       1.8832      0.00000
    224       1.8906      0.00000
    225       1.9408      0.00000
    226       1.9556      0.00000
    227       1.9795      0.00000
    228       2.0006      0.00000
    229       2.0116      0.00000
    230       2.0159      0.00000
    231       2.0252      0.00000
    232       2.0440      0.00000
    233       2.1528      0.00000
