
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3220      1.00000
      2     -24.0000      1.00000
      3     -23.9694      1.00000
      4     -23.9078      1.00000
      5     -23.8634      1.00000
      6     -23.8393      1.00000
      7     -23.6357      1.00000
      8     -23.1680      1.00000
      9     -23.1267      1.00000
     10     -23.1210      1.00000
     11     -23.0605      1.00000
     12     -23.0240      1.00000
     13     -22.9238      1.00000
     14     -22.7391      1.00000
     15     -22.7303      1.00000
     16     -22.7102      1.00000
     17     -22.6688      1.00000
     18     -22.5769      1.00000
     19     -22.3216      1.00000
     20     -21.8408      1.00000
     21     -21.7947      1.00000
     22     -21.7741      1.00000
     23     -21.7391      1.00000
     24     -21.7378      1.00000
     25     -21.6998      1.00000
     26     -21.6873      1.00000
     27     -21.6600      1.00000
     28     -21.6284      1.00000
     29     -21.5540      1.00000
     30     -21.5184      1.00000
     31     -21.3801      1.00000
     32     -21.2931      1.00000
     33     -21.2723      1.00000
     34     -21.2198      1.00000
     35     -21.1976      1.00000
     36     -21.1026      1.00000
     37     -20.9184      1.00000
     38     -20.8456      1.00000
     39     -20.7933      1.00000
     40     -20.7658      1.00000
     41     -20.7094      1.00000
     42     -20.6912      1.00000
     43     -20.6392      1.00000
     44     -20.5833      1.00000
     45     -20.5698      1.00000
     46     -20.5090      1.00000
     47     -20.3773      1.00000
     48     -20.2028      1.00000
     49     -14.5149      1.00000
     50     -14.4676      1.00000
     51     -14.4284      1.00000
     52     -14.4048      1.00000
     53     -14.3552      1.00000
     54     -14.3195      1.00000
     55     -14.2832      1.00000
     56     -14.2028      1.00000
     57     -14.1729      1.00000
     58     -14.0958      1.00000
     59     -14.0381      1.00000
     60     -13.9144      1.00000
     61     -13.7733      1.00000
     62     -13.6759      1.00000
     63     -13.5931      1.00000
     64     -13.5186      1.00000
     65     -13.4673      1.00000
     66     -13.4618      1.00000
     67     -13.2961      1.00000
     68     -12.9459      1.00000
     69     -12.9395      1.00000
     70     -12.9065      1.00000
     71     -12.8661      1.00000
     72     -12.8477      1.00000
     73     -12.8104      1.00000
     74     -12.8064      1.00000
     75     -12.7399      1.00000
     76     -12.7382      1.00000
     77     -12.6627      1.00000
     78     -12.5324      1.00000
     79     -12.1657      1.00000
     80     -12.1434      1.00000
     81     -12.1280      1.00000
     82     -12.0023      1.00000
     83     -11.9288      1.00000
     84     -11.8666      1.00000
     85     -11.6055      1.00000
     86     -11.3637      1.00000
     87     -11.3321      1.00000
     88     -11.2911      1.00000
     89     -11.2380      1.00000
     90     -10.9773      1.00000
     91     -10.6860      1.00000
     92     -10.6343      1.00000
     93     -10.5816      1.00000
     94     -10.5635      1.00000
     95     -10.5299      1.00000
     96     -10.4798      1.00000
     97     -10.4653      1.00000
     98     -10.4378      1.00000
     99     -10.2081      1.00000
    100     -10.1900      1.00000
    101     -10.1573      1.00000
    102     -10.1257      1.00000
    103     -10.1191      1.00000
    104     -10.1118      1.00000
    105     -10.1066      1.00000
    106     -10.0943      1.00000
    107     -10.0853      1.00000
    108     -10.0833      1.00000
    109     -10.0782      1.00000
    110     -10.0568      1.00000
    111     -10.0358      1.00000
    112     -10.0202      1.00000
    113      -9.9970      1.00000
    114      -9.9854      1.00000
    115      -9.9801      1.00000
    116      -9.9515      1.00000
    117      -9.7556      1.00000
    118      -9.7337      1.00000
    119      -9.7310      1.00000
    120      -9.5092      1.00000
    121      -9.3684      1.00000
    122      -9.3601      1.00000
    123      -9.3181      1.00000
    124      -9.2271      1.00000
    125      -9.1922      1.00000
    126      -8.9907      1.00000
    127      -8.9682      1.00000
    128      -8.9665      1.00000
    129      -8.9210      1.00000
    130      -8.9207      1.00000
    131      -8.8740      1.00000
    132      -8.8247      1.00000
    133      -8.6951      1.00000
    134      -8.6545      1.00000
    135      -8.6491      1.00000
    136      -8.5773      1.00000
    137      -8.5690      1.00000
    138      -8.5372      1.00000
    139      -8.4928      1.00000
    140      -8.4703      1.00000
    141      -8.4356      1.00000
    142      -8.3981      1.00000
    143      -8.3907      1.00000
    144      -8.3885      1.00000
    145      -8.3631      1.00000
    146      -8.3574      1.00000
    147      -8.3433      1.00000
    148      -8.2897      1.00000
    149      -8.2521      1.00000
    150      -8.2328      1.00000
    151      -8.0810      1.00000
    152      -8.0636      1.00000
    153      -7.9785      1.00000
    154      -7.9569      1.00000
    155      -7.5667      1.00000
    156      -7.3520      1.00000
    157      -7.3423      1.00000
    158      -7.2036      1.00000
    159      -7.1640      1.00000
    160      -7.0836      1.00000
    161      -7.0351      1.00000
    162      -7.0081      1.00000
    163      -6.9998      1.00000
    164      -6.9560      1.00000
    165      -6.9554      1.00000
    166      -6.9141      1.00000
    167      -6.9011      1.00000
    168      -6.8849      1.00000
    169      -6.8499      1.00000
    170      -6.8308      1.00000
    171      -6.7898      1.00000
    172      -6.7150      1.00000
    173      -6.6493      1.00000
    174      -6.5103      1.00000
