
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2845      1.00000
      2     -23.9623      1.00000
      3     -23.9260      1.00000
      4     -23.8719      1.00000
      5     -23.8307      1.00000
      6     -23.8087      1.00000
      7     -23.6114      1.00000
      8     -23.1337      1.00000
      9     -23.0871      1.00000
     10     -23.0833      1.00000
     11     -23.0324      1.00000
     12     -22.9929      1.00000
     13     -22.8959      1.00000
     14     -22.7029      1.00000
     15     -22.6991      1.00000
     16     -22.6844      1.00000
     17     -22.6385      1.00000
     18     -22.5520      1.00000
     19     -22.3052      1.00000
     20     -21.7919      1.00000
     21     -21.7671      1.00000
     22     -21.7543      1.00000
     23     -21.7051      1.00000
     24     -21.7017      1.00000
     25     -21.6717      1.00000
     26     -21.6598      1.00000
     27     -21.6336      1.00000
     28     -21.6013      1.00000
     29     -21.5289      1.00000
     30     -21.4922      1.00000
     31     -21.3546      1.00000
     32     -21.2734      1.00000
     33     -21.2400      1.00000
     34     -21.2002      1.00000
     35     -21.1768      1.00000
     36     -21.0793      1.00000
     37     -20.9031      1.00000
     38     -20.8170      1.00000
     39     -20.7659      1.00000
     40     -20.7392      1.00000
     41     -20.6886      1.00000
     42     -20.6645      1.00000
     43     -20.6183      1.00000
     44     -20.5643      1.00000
     45     -20.5438      1.00000
     46     -20.4908      1.00000
     47     -20.3726      1.00000
     48     -20.1222      1.00000
     49     -14.5208      1.00000
     50     -14.4598      1.00000
     51     -14.4022      1.00000
     52     -14.3725      1.00000
     53     -14.3253      1.00000
     54     -14.2882      1.00000
     55     -14.2606      1.00000
     56     -14.1790      1.00000
     57     -14.1329      1.00000
     58     -14.0744      1.00000
     59     -14.0082      1.00000
     60     -13.8899      1.00000
     61     -13.8145      1.00000
     62     -13.6386      1.00000
     63     -13.5751      1.00000
     64     -13.4744      1.00000
     65     -13.4295      1.00000
     66     -13.4286      1.00000
     67     -13.3344      1.00000
     68     -12.9232      1.00000
     69     -12.9175      1.00000
     70     -12.8819      1.00000
     71     -12.8489      1.00000
     72     -12.8405      1.00000
     73     -12.7942      1.00000
     74     -12.7838      1.00000
     75     -12.6971      1.00000
     76     -12.6729      1.00000
     77     -12.6225      1.00000
     78     -12.4907      1.00000
     79     -12.1439      1.00000
     80     -12.1219      1.00000
     81     -12.1113      1.00000
     82     -11.9904      1.00000
     83     -11.9164      1.00000
     84     -11.9092      1.00000
     85     -11.6491      1.00000
     86     -11.3605      1.00000
     87     -11.3233      1.00000
     88     -11.2630      1.00000
     89     -11.2050      1.00000
     90     -10.9959      1.00000
     91     -10.7594      1.00000
     92     -10.6226      1.00000
     93     -10.5823      1.00000
     94     -10.5525      1.00000
     95     -10.5152      1.00000
     96     -10.4747      1.00000
     97     -10.4504      1.00000
     98     -10.4122      1.00000
     99     -10.2223      1.00000
    100     -10.2014      1.00000
    101     -10.1603      1.00000
    102     -10.1216      1.00000
    103     -10.1159      1.00000
    104     -10.1014      1.00000
    105     -10.0861      1.00000
    106     -10.0826      1.00000
    107     -10.0801      1.00000
    108     -10.0682      1.00000
    109     -10.0264      1.00000
    110     -10.0248      1.00000
    111     -10.0059      1.00000
    112      -9.9886      1.00000
    113      -9.9723      1.00000
    114      -9.9718      1.00000
    115      -9.9506      1.00000
    116      -9.9374      1.00000
    117      -9.7577      1.00000
    118      -9.7461      1.00000
    119      -9.6962      1.00000
    120      -9.4988      1.00000
    121      -9.3824      1.00000
    122      -9.3496      1.00000
    123      -9.3200      1.00000
    124      -9.2762      1.00000
    125      -9.2155      1.00000
    126      -9.0519      1.00000
    127      -8.9736      1.00000
    128      -8.9422      1.00000
    129      -8.9203      1.00000
    130      -8.8800      1.00000
    131      -8.8447      1.00000
    132      -8.8418      1.00000
    133      -8.7856      1.00000
    134      -8.6607      1.00000
    135      -8.6604      1.00000
    136      -8.5863      1.00000
    137      -8.5382      1.00000
    138      -8.5330      1.00000
    139      -8.4783      1.00000
    140      -8.4718      1.00000
    141      -8.4206      1.00000
    142      -8.3963      1.00000
    143      -8.3909      1.00000
    144      -8.3758      1.00000
    145      -8.3522      1.00000
    146      -8.3394      1.00000
    147      -8.3376      1.00000
    148      -8.2647      1.00000
    149      -8.2264      1.00000
    150      -8.2247      1.00000
    151      -8.0662      1.00000
    152      -8.0642      1.00000
    153      -8.0111      1.00000
    154      -7.9738      1.00000
    155      -7.5112      1.00000
    156      -7.3543      1.00000
    157      -7.3035      1.00000
    158      -7.1967      1.00000
    159      -7.1789      1.00000
    160      -7.1140      1.00000
    161      -7.1014      1.00000
    162      -7.0918      1.00000
    163      -6.9730      1.00000
    164      -6.9642      1.00000
    165      -6.9134      1.00000
    166      -6.9092      1.00000
    167      -6.8773      1.00000
    168      -6.8701      1.00000
    169      -6.8553      1.00000
    170      -6.8187      1.00000
    171      -6.8016      1.00000
    172      -6.7229      1.00000
    173      -6.5615      1.00000
    174      -6.4953      1.00000
    175      -6.4793      1.00000
    176      -6.3101      1.00000
    177      -6.2709      1.00000
    178      -6.2177      1.00000
    179      -6.2076      1.00000
    180      -6.1446      1.00000
    181      -6.0294      1.00000
    182      -5.8598      1.00000
    183      -5.5777      1.00000
    184      -5.5060      1.00000
    185      -5.4944      1.00000
    186      -5.4159      1.00000
    187      -5.4141      1.00000
    188      -5.3172      1.00000
    189      -5.2457      1.00000
    190      -5.2034      1.00000
    191      -5.1807      1.00000
    192      -5.0621      1.00000
    193      -5.0303      1.00000
    194      -4.9771      1.00000
    195      -3.2236      1.00000
    196      -1.8386      0.00000
    197      -1.0997      1.00000
    198      -0.0303      0.00000
    199       0.8201      0.00000
    200       1.0628      0.00000
    201       1.2911      0.00000
    202       1.3497      0.00000
    203       1.3876      0.00000
    204       1.4252      0.00000
    205       1.4724      0.00000
    206       1.5285      0.00000
    207       1.5462      0.00000
    208       1.5667      0.00000
    209       1.5793      0.00000
    210       1.5848      0.00000
    211       1.6193      0.00000
    212       1.6512      0.00000
    213       1.6635      0.00000
    214       1.6680      0.00000
    215       1.7045      0.00000
    216       1.7657      0.00000
    217       1.7926      0.00000
    218       1.8661      0.00000
    219       1.8958      0.00000
    220       1.9297      0.00000
    221       1.9612      0.00000
    222       1.9707      0.00000
    223       2.0313      0.00000
    224       2.0775      0.00000
    225       2.2333      0.00000
    226       2.3489      0.00000
    227       2.4314      0.00000
    228       2.4450      0.00000
    229       2.4671      0.00000
    230       2.5017      0.00000
    231       2.5124      0.00000
    232       2.5991      0.00000
    233       2.7457      0.00000
    234       2.7506      0.00000
    235       2.7742      0.00000
    236       2.8186      0.00000
    237       2.8516      0.00000
    238       2.8768      0.00000
    239       2.8779      0.00000
    240       2.8907      0.00000
    241       2.9110      0.00000
    242       2.9232      0.00000
    243       2.9884      0.00000
    244       3.0227      0.00000
    245       3.0967      0.00000
    246       3.1515      0.00000
    247       3.1597      0.00000
    248       3.1641      0.00000
    249       3.1669      0.00000
    250       3.2024      0.00000
    251       3.2030      0.00000
    252       3.2203      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2750      1.00000
      2     -23.9462      1.00000
      3     -23.9169      1.00000
      4     -23.8677      1.00000
      5     -23.8286      1.00000
      6     -23.7938      1.00000
      7     -23.5955      1.00000
      8     -23.1088      1.00000
      9     -23.0768      1.00000
     10     -23.0741      1.00000
     11     -23.0275      1.00000
     12     -22.9828      1.00000
     13     -22.8882      1.00000
     14     -22.6926      1.00000
     15     -22.6839      1.00000
     16     -22.6813      1.00000
     17     -22.6291      1.00000
     18     -22.5348      1.00000
     19     -22.2827      1.00000
     20     -21.7577      1.00000
     21     -21.7435      1.00000
     22     -21.7304      1.00000
     23     -21.7030      1.00000
     24     -21.7000      1.00000
     25     -21.6683      1.00000
     26     -21.6550      1.00000
     27     -21.6308      1.00000
     28     -21.5968      1.00000
     29     -21.5222      1.00000
     30     -21.4841      1.00000
     31     -21.3486      1.00000
     32     -21.2629      1.00000
     33     -21.2281      1.00000
     34     -21.1987      1.00000
     35     -21.1599      1.00000
     36     -21.0703      1.00000
