
 Fermi energy:        -1.8530079689

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4717      1.00000
      2     -24.1976      1.00000
      3     -24.0690      1.00000
      4     -24.0265      1.00000
      5     -23.9894      1.00000
      6     -23.9835      1.00000
      7     -23.8357      1.00000
      8     -23.3305      1.00000
      9     -23.3127      1.00000
     10     -23.2240      1.00000
     11     -23.1780      1.00000
     12     -23.1557      1.00000
     13     -23.0560      1.00000
     14     -22.9103      1.00000
     15     -22.8989      1.00000
     16     -22.8149      1.00000
     17     -22.7894      1.00000
     18     -22.7607      1.00000
     19     -22.4352      1.00000
     20     -22.0919      1.00000
     21     -21.8830      1.00000
     22     -21.8495      1.00000
     23     -21.8421      1.00000
     24     -21.8361      1.00000
     25     -21.8220      1.00000
     26     -21.8142      1.00000
     27     -21.7834      1.00000
     28     -21.7734      1.00000
     29     -21.6830      1.00000
     30     -21.6170      1.00000
     31     -21.5332      1.00000
     32     -21.4334      1.00000
     33     -21.4170      1.00000
     34     -21.2968      1.00000
     35     -21.2658      1.00000
     36     -21.2375      1.00000
     37     -20.9694      1.00000
     38     -20.9598      1.00000
     39     -20.8705      1.00000
     40     -20.8700      1.00000
     41     -20.8243      1.00000
     42     -20.8121      1.00000
     43     -20.7895      1.00000
     44     -20.7713      1.00000
     45     -20.6469      1.00000
     46     -20.6334      1.00000
     47     -20.5754      1.00000
     48     -20.5656      1.00000
     49     -15.1155      1.00000
     50     -14.5913      1.00000
     51     -14.5499      1.00000
     52     -14.5283      1.00000
     53     -14.4817      1.00000
     54     -14.4303      1.00000
     55     -14.4205      1.00000
     56     -14.3747      1.00000
     57     -14.2262      1.00000
     58     -14.2229      1.00000
     59     -14.1574      1.00000
     60     -14.0799      1.00000
     61     -13.8740      1.00000
     62     -13.7742      1.00000
     63     -13.7323      1.00000
     64     -13.6770      1.00000
     65     -13.6038      1.00000
     66     -13.5330      1.00000
     67     -13.4408      1.00000
     68     -13.1604      1.00000
     69     -13.1251      1.00000
     70     -13.0058      1.00000
     71     -12.9809      1.00000
     72     -12.9674      1.00000
     73     -12.9515      1.00000
     74     -12.9331      1.00000
     75     -12.9094      1.00000
     76     -12.9045      1.00000
     77     -12.7822      1.00000
     78     -12.7604      1.00000
     79     -12.2902      1.00000
     80     -12.2410      1.00000
     81     -12.1590      1.00000
     82     -12.1513      1.00000
     83     -12.0706      1.00000
     84     -11.9404      1.00000
     85     -11.7994      1.00000
     86     -11.4625      1.00000
     87     -11.4601      1.00000
     88     -11.4198      1.00000
     89     -11.3189      1.00000
     90     -11.1971      1.00000
     91     -10.7523      1.00000
     92     -10.7467      1.00000
     93     -10.7222      1.00000
     94     -10.7141      1.00000
     95     -10.6614      1.00000
     96     -10.6481      1.00000
     97     -10.5869      1.00000
     98     -10.5716      1.00000
     99     -10.4714      1.00000
    100     -10.3460      1.00000
    101     -10.3328      1.00000
    102     -10.3016      1.00000
    103     -10.2835      1.00000
    104     -10.2780      1.00000
    105     -10.2511      1.00000
    106     -10.2305      1.00000
    107     -10.1647      1.00000
    108     -10.1521      1.00000
    109     -10.1368      1.00000
    110     -10.1088      1.00000
    111     -10.0827      1.00000
    112     -10.0802      1.00000
    113     -10.0780      1.00000
    114     -10.0442      1.00000
    115     -10.0371      1.00000
    116      -9.9690      1.00000
    117      -9.8512      1.00000
    118      -9.8348      1.00000
    119      -9.8128      1.00000
    120      -9.4948      1.00000
    121      -9.4863      1.00000
    122      -9.4687      1.00000
    123      -9.4656      1.00000
    124      -9.3930      1.00000
    125      -9.2710      1.00000
    126      -9.2324      1.00000
    127      -9.1619      1.00000
    128      -9.0512      1.00000
    129      -9.0334      1.00000
    130      -9.0290      1.00000
    131      -8.9841      1.00000
    132      -8.9451      1.00000
    133      -8.9405      1.00000
    134      -8.7839      1.00000
    135      -8.6077      1.00000
    136      -8.5954      1.00000
    137      -8.5554      1.00000
    138      -8.5354      1.00000
    139      -8.5254      1.00000
    140      -8.5130      1.00000
    141      -8.5035      1.00000
    142      -8.5006      1.00000
    143      -8.4906      1.00000
    144      -8.4616      1.00000
    145      -8.4424      1.00000
    146      -8.4323      1.00000
    147      -8.4208      1.00000
    148      -8.4150      1.00000
    149      -8.4037      1.00000
    150      -8.3968      1.00000
    151      -8.3699      1.00000
    152      -8.0968      1.00000
    153      -8.0546      1.00000
    154      -8.0261      1.00000
    155      -8.0041      1.00000
    156      -7.4379      1.00000
    157      -7.4203      1.00000
    158      -7.3359      1.00000
    159      -7.2291      1.00000
    160      -7.1086      1.00000
    161      -7.0840      1.00000
    162      -7.0546      1.00000
    163      -7.0312      1.00000
    164      -7.0268      1.00000
    165      -7.0214      1.00000
    166      -6.9975      1.00000
    167      -6.9959      1.00000
    168      -6.9956      1.00000
    169      -6.9873      1.00000
    170      -6.9714      1.00000
    171      -6.9635      1.00000
    172      -6.8648      1.00000
    173      -6.8250      1.00000
    174      -6.5928      1.00000
    175      -6.5407      1.00000
    176      -6.4908      1.00000
    177      -6.4194      1.00000
    178      -6.3962      1.00000
    179      -6.2792      1.00000
    180      -6.2312      1.00000
    181      -6.2191      1.00000
    182      -5.8961      1.00000
    183      -5.6363      1.00000
    184      -5.5897      1.00000
    185      -5.5747      1.00000
    186      -5.5240      1.00000
    187      -5.5175      1.00000
    188      -5.4432      1.00000
    189      -5.3743      1.00000
    190      -5.2740      1.00000
    191      -5.2506      1.00000
    192      -5.1739      1.00000
    193      -5.1722      1.00000
    194      -3.0312      1.00000
    195      -2.5866      1.00000
    196      -2.1582      1.00000
    197       0.8398      0.00000
    198       0.8772      0.00000
    199       1.2842      0.00000
    200       1.2860      0.00000
    201       1.3316      0.00000
    202       1.3830      0.00000
    203       1.4623      0.00000
    204       1.4709      0.00000
    205       1.5223      0.00000
    206       1.5367      0.00000
    207       1.5375      0.00000
    208       1.5409      0.00000
    209       1.5421      0.00000
    210       1.5435      0.00000
    211       1.5734      0.00000
    212       1.5805      0.00000
    213       1.6374      0.00000
    214       1.6904      0.00000
    215       1.7510      0.00000
    216       1.7659      0.00000
    217       1.7879      0.00000
    218       1.8371      0.00000
    219       1.8920      0.00000
    220       2.0172      0.00000
    221       2.0381      0.00000
    222       2.1235      0.00000
    223       2.2334      0.00000
    224       2.4195      0.00000
    225       2.4286      0.00000
    226       2.4296      0.00000
    227       2.4469      0.00000
    228       2.4650      0.00000
    229       2.5507      0.00000
    230       2.6120      0.00000
    231       2.8321      0.00000
    232       2.8426      0.00000
    233       2.8447      0.00000
    234       2.8466      0.00000
    235       2.8492      0.00000
    236       2.8675      0.00000
    237       2.8699      0.00000
    238       2.8866      0.00000
    239       2.8875      0.00000
    240       2.9030      0.00000
    241       2.9167      0.00000
    242       2.9214      0.00000
    243       3.0632      0.00000
    244       3.0875      0.00000
    245       3.1187      0.00000
    246       3.1329      0.00000
    247       3.1518      0.00000
    248       3.2036      0.00000
    249       3.2149      0.00000
    250       3.2222      0.00000
    251       3.2617      0.00000
    252       3.2622      0.00000
 Fermi energy:        -1.8530079689

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4717      1.00000
      2     -24.1976      1.00000
      3     -24.0690      1.00000
      4     -24.0265      1.00000
      5     -23.9894      1.00000
      6     -23.9835      1.00000
      7     -23.8357      1.00000
      8     -23.3305      1.00000
      9     -23.3127      1.00000
     10     -23.2240      1.00000
     11     -23.1780      1.00000
     12     -23.1557      1.00000
     13     -23.0560      1.00000
     14     -22.9103      1.00000
     15     -22.8989      1.00000
     16     -22.8149      1.00000
     17     -22.7894      1.00000
     18     -22.7607      1.00000
     19     -22.4352      1.00000
