
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.5627      1.00000
      2     -24.2435      1.00000
      3     -24.2118      1.00000
      4     -24.1224      1.00000
      5     -24.0899      1.00000
      6     -24.0489      1.00000
      7     -23.8020      1.00000
      8     -23.4278      1.00000
      9     -23.3563      1.00000
     10     -23.3418      1.00000
     11     -23.2811      1.00000
     12     -23.2014      1.00000
     13     -23.1468      1.00000
     14     -22.9711      1.00000
     15     -22.9573      1.00000
     16     -22.9220      1.00000
     17     -22.8085      1.00000
     18     -22.7361      1.00000
     19     -22.4194      1.00000
     20     -22.1544      1.00000
     21     -22.0339      1.00000
     22     -21.9564      1.00000
     23     -21.9533      1.00000
     24     -21.9278      1.00000
     25     -21.9070      1.00000
     26     -21.8801      1.00000
     27     -21.8570      1.00000
     28     -21.8126      1.00000
     29     -21.7147      1.00000
     30     -21.6504      1.00000
     31     -21.5846      1.00000
     32     -21.5346      1.00000
     33     -21.3787      1.00000
     34     -21.3422      1.00000
     35     -21.2558      1.00000
     36     -21.2083      1.00000
     37     -21.1263      1.00000
     38     -20.9785      1.00000
     39     -20.9611      1.00000
     40     -20.9487      1.00000
     41     -20.8993      1.00000
     42     -20.8677      1.00000
     43     -20.8239      1.00000
     44     -20.6962      1.00000
     45     -20.6838      1.00000
     46     -20.6335      1.00000
     47     -20.6143      1.00000
     48     -19.7577      1.00000
     49     -14.7764      1.00000
     50     -14.6916      1.00000
     51     -14.6342      1.00000
     52     -14.5929      1.00000
     53     -14.5313      1.00000
     54     -14.5235      1.00000
     55     -14.5111      1.00000
     56     -14.3616      1.00000
     57     -14.3265      1.00000
     58     -14.2656      1.00000
     59     -14.1570      1.00000
     60     -14.1508      1.00000
     61     -13.8783      1.00000
     62     -13.8470      1.00000
     63     -13.8260      1.00000
     64     -13.7348      1.00000
     65     -13.6134      1.00000
     66     -13.6060      1.00000
     67     -13.3372      1.00000
     68     -13.2706      1.00000
     69     -13.1887      1.00000
     70     -13.1212      1.00000
     71     -13.0835      1.00000
     72     -13.0297      1.00000
     73     -13.0133      1.00000
     74     -12.9978      1.00000
     75     -12.9796      1.00000
     76     -12.9402      1.00000
     77     -12.8318      1.00000
     78     -12.6932      1.00000
     79     -12.3471      1.00000
     80     -12.3073      1.00000
     81     -12.2011      1.00000
     82     -12.1432      1.00000
     83     -11.9796      1.00000
     84     -11.9101      1.00000
     85     -11.7997      1.00000
     86     -11.5953      1.00000
     87     -11.5277      1.00000
     88     -11.4471      1.00000
     89     -11.2207      1.00000
     90     -11.1612      1.00000
     91     -10.9142      1.00000
     92     -10.9112      1.00000
     93     -10.8141      1.00000
     94     -10.7922      1.00000
     95     -10.7497      1.00000
     96     -10.6857      1.00000
     97     -10.6668      1.00000
     98     -10.6033      1.00000
     99     -10.5311      1.00000
    100     -10.5166      1.00000
    101     -10.4385      1.00000
    102     -10.4250      1.00000
    103     -10.3980      1.00000
    104     -10.3482      1.00000
    105     -10.3159      1.00000
    106     -10.2975      1.00000
    107     -10.2892      1.00000
    108     -10.2230      1.00000
    109     -10.2079      1.00000
    110     -10.2064      1.00000
    111     -10.1763      1.00000
    112     -10.1326      1.00000
    113     -10.0948      1.00000
    114     -10.0488      1.00000
    115      -9.9796      1.00000
    116      -9.9487      1.00000
    117      -9.8596      1.00000
    118      -9.8121      1.00000
    119      -9.6872      1.00000
    120      -9.6037      1.00000
    121      -9.5893      1.00000
    122      -9.5659      1.00000
    123      -9.4382      1.00000
    124      -9.3884      1.00000
    125      -9.3723      1.00000
    126      -9.2596      1.00000
    127      -9.1854      1.00000
    128      -9.1181      1.00000
    129      -9.1122      1.00000
    130      -9.0923      1.00000
    131      -9.0343      1.00000
    132      -8.9858      1.00000
    133      -8.8699      1.00000
