
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0292      1.00000
      2     -23.6971      1.00000
      3     -23.6627      1.00000
      4     -23.6379      1.00000
      5     -23.5290      1.00000
      6     -23.4536      1.00000
      7     -23.1863      1.00000
      8     -22.7856      1.00000
      9     -22.7782      1.00000
     10     -22.7531      1.00000
     11     -22.7400      1.00000
     12     -22.7375      1.00000
     13     -22.6559      1.00000
     14     -22.3724      1.00000
     15     -22.3554      1.00000
     16     -22.3452      1.00000
     17     -22.2789      1.00000
     18     -22.1647      1.00000
     19     -21.8431      1.00000
     20     -21.4657      1.00000
     21     -21.4562      1.00000
     22     -21.4522      1.00000
     23     -21.4449      1.00000
     24     -21.4229      1.00000
     25     -21.4154      1.00000
     26     -21.2871      1.00000
     27     -21.2792      1.00000
     28     -21.2524      1.00000
     29     -21.2056      1.00000
     30     -21.1731      1.00000
     31     -21.0792      1.00000
     32     -20.9219      1.00000
     33     -20.9072      1.00000
     34     -20.8949      1.00000
     35     -20.8014      1.00000
     36     -20.7415      1.00000
     37     -20.5336      1.00000
     38     -20.5010      1.00000
     39     -20.4536      1.00000
     40     -20.4401      1.00000
     41     -20.3974      1.00000
     42     -20.3744      1.00000
     43     -20.3197      1.00000
     44     -20.2680      1.00000
     45     -20.2226      1.00000
     46     -20.1799      1.00000
     47     -19.8204      1.00000
     48     -19.5704      1.00000
     49     -14.1278      1.00000
     50     -14.0893      1.00000
     51     -14.0866      1.00000
     52     -14.0771      1.00000
     53     -14.0520      1.00000
     54     -14.0424      1.00000
     55     -13.9979      1.00000
     56     -13.8873      1.00000
     57     -13.8806      1.00000
     58     -13.6385      1.00000
     59     -13.5739      1.00000
     60     -13.5325      1.00000
     61     -13.3812      1.00000
     62     -13.3184      1.00000
     63     -13.2560      1.00000
     64     -13.1907      1.00000
     65     -13.1147      1.00000
     66     -13.0936      1.00000
     67     -12.9676      1.00000
     68     -12.5745      1.00000
     69     -12.5693      1.00000
     70     -12.5567      1.00000
     71     -12.5436      1.00000
     72     -12.5434      1.00000
     73     -12.5232      1.00000
     74     -12.4553      1.00000
     75     -12.3691      1.00000
     76     -12.2806      1.00000
     77     -12.2187      1.00000
     78     -12.1167      1.00000
     79     -11.8646      1.00000
     80     -11.8590      1.00000
     81     -11.7106      1.00000
     82     -11.6339      1.00000
     83     -11.5144      1.00000
     84     -11.4948      1.00000
     85     -11.2171      1.00000
     86     -10.9871      1.00000
     87     -10.9473      1.00000
     88     -10.9188      1.00000
     89     -10.8403      1.00000
     90     -10.5888      1.00000
     91     -10.3709      1.00000
     92     -10.3023      1.00000
     93     -10.2834      1.00000
     94     -10.2419      1.00000
     95     -10.2262      1.00000
     96     -10.1699      1.00000
     97     -10.1347      1.00000
     98     -10.1248      1.00000
     99      -9.8540      1.00000
    100      -9.8455      1.00000
    101      -9.8377      1.00000
    102      -9.8319      1.00000
    103      -9.8311      1.00000
    104      -9.8062      1.00000
    105      -9.7922      1.00000
    106      -9.7725      1.00000
    107      -9.7661      1.00000
    108      -9.7156      1.00000
    109      -9.7155      1.00000
    110      -9.6668      1.00000
    111      -9.6593      1.00000
    112      -9.6473      1.00000
    113      -9.6465      1.00000
    114      -9.6276      1.00000
    115      -9.6223      1.00000
    116      -9.5743      1.00000
    117      -9.4115      1.00000
    118      -9.3760      1.00000
    119      -9.2457      1.00000
    120      -9.1841      1.00000
    121      -9.0934      1.00000
    122      -9.0930      1.00000
    123      -9.0295      1.00000
    124      -8.7552      1.00000
    125      -8.7354      1.00000
    126      -8.5997      1.00000
    127      -8.5906      1.00000
    128      -8.5650      1.00000
    129      -8.5579      1.00000
    130      -8.5352      1.00000
    131      -8.5329      1.00000
    132      -8.5112      1.00000
    133      -8.4408      1.00000
    134      -8.3045      1.00000
    135      -8.2966      1.00000
    136      -8.2634      1.00000
    137      -8.2460      1.00000
    138      -8.2433      1.00000
    139      -8.1893      1.00000
