
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9926      1.00000
      2     -23.6706      1.00000
      3     -23.6350      1.00000
      4     -23.5850      1.00000
      5     -23.4757      1.00000
      6     -23.3958      1.00000
      7     -23.0920      1.00000
      8     -22.7500      1.00000
      9     -22.7378      1.00000
     10     -22.7298      1.00000
     11     -22.6735      1.00000
     12     -22.6645      1.00000
     13     -22.5952      1.00000
     14     -22.3415      1.00000
     15     -22.3164      1.00000
     16     -22.2572      1.00000
     17     -22.1679      1.00000
     18     -22.0352      1.00000
     19     -21.6934      1.00000
     20     -21.4391      1.00000
     21     -21.4230      1.00000
     22     -21.4145      1.00000
     23     -21.4094      1.00000
     24     -21.3754      1.00000
     25     -21.3728      1.00000
     26     -21.2321      1.00000
     27     -21.2272      1.00000
     28     -21.1870      1.00000
     29     -21.1282      1.00000
     30     -21.0716      1.00000
     31     -21.0107      1.00000
     32     -20.9079      1.00000
     33     -20.8539      1.00000
     34     -20.8171      1.00000
     35     -20.7257      1.00000
     36     -20.6312      1.00000
     37     -20.4689      1.00000
     38     -20.4574      1.00000
     39     -20.4209      1.00000
     40     -20.3852      1.00000
     41     -20.3467      1.00000
     42     -20.3118      1.00000
     43     -20.2425      1.00000
     44     -20.2106      1.00000
     45     -20.1278      1.00000
     46     -19.9726      1.00000
     47     -19.6351      1.00000
     48     -14.1127      1.00000
     49     -14.0741      1.00000
     50     -14.0445      1.00000
     51     -14.0372      1.00000
     52     -14.0070      1.00000
     53     -13.9975      1.00000
     54     -13.9245      1.00000
     55     -13.9008      1.00000
     56     -13.8637      1.00000
     57     -13.5829      1.00000
     58     -13.4899      1.00000
     59     -13.4573      1.00000
     60     -13.3440      1.00000
     61     -13.3242      1.00000
     62     -13.1792      1.00000
     63     -13.1619      1.00000
     64     -13.0629      1.00000
     65     -12.9977      1.00000
     66     -12.8347      1.00000
     67     -12.6644      1.00000
     68     -12.5531      1.00000
     69     -12.5376      1.00000
     70     -12.5307      1.00000
     71     -12.5201      1.00000
     72     -12.4609      1.00000
     73     -12.4499      1.00000
     74     -12.3642      1.00000
     75     -12.1216      1.00000
     76     -11.9951      1.00000
     77     -11.9498      1.00000
     78     -11.8356      1.00000
     79     -11.7862      1.00000
     80     -11.6498      1.00000
     81     -11.5592      1.00000
     82     -11.4995      1.00000
     83     -11.3534      1.00000
     84     -11.1755      1.00000
     85     -11.0991      1.00000
     86     -10.9247      1.00000
     87     -10.8569      1.00000
     88     -10.6570      1.00000
     89     -10.4621      1.00000
     90     -10.4494      1.00000
     91     -10.3038      1.00000
     92     -10.2600      1.00000
     93     -10.2076      1.00000
     94     -10.1687      1.00000
     95     -10.1436      1.00000
     96     -10.1133      1.00000
     97     -10.0464      1.00000
     98      -9.9655      1.00000
     99      -9.8351      1.00000
    100      -9.8233      1.00000
    101      -9.8137      1.00000
    102      -9.8019      1.00000
    103      -9.7730      1.00000
    104      -9.7643      1.00000
    105      -9.7541      1.00000
    106      -9.7504      1.00000
    107      -9.7251      1.00000
    108      -9.6740      1.00000
    109      -9.6555      1.00000
    110      -9.6431      1.00000
    111      -9.6166      1.00000
    112      -9.5649      1.00000
    113      -9.5196      1.00000
    114      -9.5004      1.00000
    115      -9.4006      1.00000
    116      -9.3219      1.00000
    117      -9.2949      1.00000
    118      -9.1478      1.00000
    119      -9.1310      1.00000
    120      -9.0154      1.00000
    121      -9.0075      1.00000
    122      -8.9653      1.00000
