
 Fermi energy:        -1.2017624757

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -23.9340      1.00000
      2     -23.6101      1.00000
      3     -23.5726      1.00000
      4     -23.5340      1.00000
      5     -23.4176      1.00000
      6     -23.3313      1.00000
      7     -23.0300      1.00000
      8     -22.6884      1.00000
      9     -22.6781      1.00000
     10     -22.6643      1.00000
     11     -22.6178      1.00000
     12     -22.6098      1.00000
     13     -22.5340      1.00000
     14     -22.2753      1.00000
     15     -22.2449      1.00000
     16     -22.2067      1.00000
     17     -22.1126      1.00000
     18     -21.9674      1.00000
     19     -21.6214      1.00000
     20     -21.3789      1.00000
     21     -21.3658      1.00000
     22     -21.3579      1.00000
     23     -21.3525      1.00000
     24     -21.3139      1.00000
     25     -21.3136      1.00000
     26     -21.1644      1.00000
     27     -21.1619      1.00000
     28     -21.1205      1.00000
     29     -21.0696      1.00000
     30     -21.0069      1.00000
     31     -20.9624      1.00000
     32     -20.8248      1.00000
     33     -20.7979      1.00000
     34     -20.7441      1.00000
     35     -20.6719      1.00000
     36     -20.5759      1.00000
     37     -20.4206      1.00000
     38     -20.3855      1.00000
     39     -20.3589      1.00000
     40     -20.3299      1.00000
     41     -20.2869      1.00000
     42     -20.2247      1.00000
     43     -20.2091      1.00000
     44     -20.1378      1.00000
     45     -20.0300      1.00000
     46     -19.9284      1.00000
     47     -19.6740      1.00000
     48     -14.0495      1.00000
     49     -14.0067      1.00000
     50     -13.9976      1.00000
     51     -13.9799      1.00000
     52     -13.9473      1.00000
     53     -13.9379      1.00000
     54     -13.8782      1.00000
     55     -13.8322      1.00000
     56     -13.8024      1.00000
     57     -13.5188      1.00000
     58     -13.4320      1.00000
     59     -13.4041      1.00000
     60     -13.2933      1.00000
     61     -13.2539      1.00000
     62     -13.1180      1.00000
     63     -13.1121      1.00000
     64     -13.0184      1.00000
     65     -12.9296      1.00000
     66     -12.7860      1.00000
     67     -12.5649      1.00000
     68     -12.4948      1.00000
     69     -12.4758      1.00000
     70     -12.4639      1.00000
     71     -12.4545      1.00000
     72     -12.4196      1.00000
     73     -12.4051      1.00000
     74     -12.2916      1.00000
     75     -12.0748      1.00000
     76     -11.9248      1.00000
     77     -11.8821      1.00000
     78     -11.7698      1.00000
     79     -11.7298      1.00000
     80     -11.5914      1.00000
     81     -11.5003      1.00000
     82     -11.4351      1.00000
     83     -11.2847      1.00000
     84     -11.1242      1.00000
     85     -11.0238      1.00000
     86     -10.8651      1.00000
     87     -10.8006      1.00000
     88     -10.5706      1.00000
     89     -10.4113      1.00000
     90     -10.4004      1.00000
     91     -10.2317      1.00000
