
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3742      1.00000
      2     -24.0367      1.00000
      3     -23.9503      1.00000
      4     -23.9429      1.00000
      5     -23.9229      1.00000
      6     -23.9198      1.00000
      7     -23.9113      1.00000
      8     -23.2778      1.00000
      9     -23.1405      1.00000
     10     -23.1341      1.00000
     11     -23.1339      1.00000
     12     -23.1196      1.00000
     13     -23.0866      1.00000
     14     -22.8344      1.00000
     15     -22.7722      1.00000
     16     -22.7705      1.00000
     17     -22.7476      1.00000
     18     -22.7475      1.00000
     19     -22.6921      1.00000
     20     -21.9852      1.00000
     21     -21.8105      1.00000
     22     -21.8018      1.00000
     23     -21.7958      1.00000
     24     -21.7391      1.00000
     25     -21.7382      1.00000
     26     -21.7328      1.00000
     27     -21.7271      1.00000
     28     -21.7270      1.00000
     29     -21.7246      1.00000
     30     -21.7090      1.00000
     31     -21.6347      1.00000
     32     -21.3698      1.00000
     33     -21.3521      1.00000
     34     -21.3405      1.00000
     35     -21.2979      1.00000
     36     -21.2829      1.00000
     37     -21.2663      1.00000
     38     -20.8865      1.00000
     39     -20.8666      1.00000
     40     -20.8470      1.00000
     41     -20.8135      1.00000
     42     -20.8030      1.00000
     43     -20.7999      1.00000
     44     -20.6864      1.00000
     45     -20.6858      1.00000
     46     -20.6267      1.00000
     47     -20.6199      1.00000
     48     -20.6135      1.00000
     49     -20.6077      1.00000
     50     -15.5930      1.00000
     51     -14.4872      1.00000
     52     -14.4594      1.00000
     53     -14.4304      1.00000
     54     -14.3983      1.00000
     55     -14.3843      1.00000
     56     -14.3248      1.00000
     57     -14.2527      1.00000
     58     -14.2403      1.00000
     59     -14.2226      1.00000
     60     -14.1819      1.00000
     61     -14.1663      1.00000
     62     -13.8577      1.00000
     63     -13.7103      1.00000
     64     -13.6478      1.00000
     65     -13.6467      1.00000
     66     -13.5826      1.00000
     67     -13.5554      1.00000
     68     -13.3536      1.00000
     69     -13.0337      1.00000
     70     -12.9952      1.00000
     71     -12.9646      1.00000
     72     -12.9383      1.00000
     73     -12.9364      1.00000
     74     -12.9255      1.00000
     75     -12.9127      1.00000
     76     -12.9116      1.00000
     77     -12.9030      1.00000
     78     -12.8263      1.00000
     79     -12.7845      1.00000
     80     -12.4561      1.00000
     81     -12.4010      1.00000
     82     -12.1952      1.00000
     83     -12.1935      1.00000
     84     -12.1226      1.00000
     85     -12.1157      1.00000
     86     -11.6615      1.00000
     87     -11.5654      1.00000
     88     -11.4896      1.00000
     89     -11.4481      1.00000
     90     -11.3757      1.00000
     91     -11.3521      1.00000
     92     -10.9206      1.00000
     93     -10.8677      1.00000
     94     -10.6914      1.00000
     95     -10.6443      1.00000
     96     -10.5916      1.00000
     97     -10.5908      1.00000
     98     -10.5693      1.00000
     99     -10.4489      1.00000
    100     -10.4387      1.00000
    101     -10.3141      1.00000
    102     -10.3052      1.00000
    103     -10.2932      1.00000
    104     -10.2666      1.00000
    105     -10.2202      1.00000
    106     -10.2119      1.00000
    107     -10.1883      1.00000
    108     -10.1476      1.00000
    109     -10.1447      1.00000
    110     -10.1225      1.00000
    111     -10.1196      1.00000
    112     -10.1111      1.00000
    113     -10.1064      1.00000
    114     -10.1059      1.00000
    115     -10.0469      1.00000
    116     -10.0379      1.00000
    117     -10.0222      1.00000
    118     -10.0216      1.00000
    119      -9.9992      1.00000
    120      -9.9358      1.00000
    121      -9.8096      1.00000
    122      -9.7569      1.00000
    123      -9.4794      1.00000
    124      -9.4775      1.00000
    125      -9.3872      1.00000
    126      -9.3854      1.00000
    127      -9.3790      1.00000
    128      -9.2841      1.00000
    129      -9.1400      1.00000
    130      -9.0727      1.00000
    131      -9.0022      1.00000
    132      -8.9571      1.00000
    133      -8.9129      1.00000
    134      -8.8643      1.00000
    135      -8.8019      1.00000
    136      -8.7928      1.00000
    137      -8.7250      1.00000
    138      -8.6841      1.00000
    139      -8.6411      1.00000
    140      -8.5756      1.00000
    141      -8.5755      1.00000
    142      -8.5590      1.00000
    143      -8.5557      1.00000
    144      -8.5479      1.00000
    145      -8.5361      1.00000
    146      -8.5185      1.00000
    147      -8.4504      1.00000
    148      -8.4297      1.00000
    149      -8.3785      1.00000
    150      -8.3516      1.00000
    151      -8.3207      1.00000
    152      -8.2894      1.00000
    153      -8.1883      1.00000
    154      -8.1243      1.00000
    155      -8.0880      1.00000
    156      -8.0779      1.00000
    157      -8.0463      1.00000
    158      -7.7255      1.00000
    159      -7.6363      1.00000
    160      -7.4365      1.00000
    161      -7.2787      1.00000
    162      -7.2658      1.00000
    163      -7.2563      1.00000
    164      -7.2050      1.00000
    165      -7.1957      1.00000
    166      -6.9654      1.00000
    167      -6.9638      1.00000
    168      -6.9497      1.00000
    169      -6.9495      1.00000
    170      -6.9468      1.00000
    171      -6.9458      1.00000
    172      -6.9315      1.00000
    173      -6.9207      1.00000
    174      -6.9015      1.00000
    175      -6.8503      1.00000
    176      -6.7623      1.00000
    177      -6.5416      1.00000
    178      -6.5217      1.00000
    179      -6.4538      1.00000
    180      -6.3906      1.00000
    181      -6.3188      1.00000
    182      -6.3076      1.00000
    183      -6.2897      1.00000
    184      -6.2133      1.00000
    185      -5.9411      1.00000
    186      -5.7561      1.00000
    187      -5.5760      1.00000
    188      -5.5651      1.00000
    189      -5.5556      1.00000
    190      -5.5232      1.00000
    191      -5.4912      1.00000
    192      -5.3728      1.00000
    193      -5.3322      1.00000
    194      -5.2822      1.00000
    195      -5.2644      1.00000
    196      -5.2438      1.00000
    197      -5.1556      1.00000
    198      -2.3883      0.00000
    199      -0.3366      1.00000
    200       0.7656      0.00000
    201       1.2056      0.00000
    202       1.2198      0.00000
    203       1.3114      0.00000
    204       1.3171      0.00000
    205       1.3630      0.00000
    206       1.3911      0.00000
    207       1.4206      0.00000
    208       1.4291      0.00000
    209       1.4308      0.00000
    210       1.4416      0.00000
    211       1.4481      0.00000
    212       1.4709      0.00000
    213       1.4947      0.00000
    214       1.5233      0.00000
    215       1.5470      0.00000
    216       1.5613      0.00000
    217       1.5886      0.00000
    218       1.6232      0.00000
    219       1.6719      0.00000
    220       1.7247      0.00000
    221       1.7768      0.00000
    222       1.8512      0.00000
    223       1.8548      0.00000
    224       1.8680      0.00000
    225       1.9667      0.00000
    226       2.0603      0.00000
    227       2.2174      0.00000
    228       2.2535      0.00000
    229       2.2587      0.00000
    230       2.2674      0.00000
    231       2.2709      0.00000
    232       2.3695      0.00000
    233       2.3726      0.00000
    234       2.3786      0.00000
    235       2.3920      0.00000
    236       2.4109      0.00000
    237       2.4125      0.00000
    238       2.4472      0.00000
    239       2.6310      0.00000
    240       2.6876      0.00000
    241       2.7087      0.00000
    242       2.7177      0.00000
    243       2.7723      0.00000
    244       2.7850      0.00000
    245       2.8826      0.00000
    246       2.9061      0.00000
    247       2.9344      0.00000
    248       2.9988      0.00000
    249       3.0227      0.00000
    250       3.0776      0.00000
    251       3.0989      0.00000
    252       3.1063      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.3382      1.00000
      2     -23.9644      1.00000
      3     -23.9409      1.00000
      4     -23.9202      1.00000
      5     -23.9127      1.00000
      6     -23.9106      1.00000
      7     -23.8443      1.00000
      8     -23.1696      1.00000
      9     -23.1294      1.00000
     10     -23.1234      1.00000
     11     -23.1191      1.00000
     12     -23.1097      1.00000
     13     -23.0209      1.00000
     14     -22.7802      1.00000
     15     -22.7538      1.00000
     16     -22.7535      1.00000
     17     -22.7442      1.00000
     18     -22.7309      1.00000
     19     -22.5927      1.00000
     20     -21.8161      1.00000
     21     -21.7762      1.00000
     22     -21.7725      1.00000
     23     -21.7625      1.00000
     24     -21.7368      1.00000
     25     -21.7352      1.00000
     26     -21.7308      1.00000
     27     -21.7242      1.00000
     28     -21.7235      1.00000
     29     -21.7231      1.00000
     30     -21.6799      1.00000
     31     -21.5253      1.00000
     32     -21.3504      1.00000
     33     -21.3106      1.00000
     34     -21.3007      1.00000
     35     -21.2962      1.00000
     36     -21.2668      1.00000
     37     -21.1353      1.00000
     38     -20.8375      1.00000
     39     -20.8302      1.00000
     40     -20.8160      1.00000
     41     -20.8069      1.00000
     42     -20.7742      1.00000
     43     -20.7184      1.00000
     44     -20.6630      1.00000
     45     -20.6346      1.00000
     46     -20.6237      1.00000
     47     -20.6169      1.00000
     48     -20.5818      1.00000
     49     -20.1717      1.00000
     50     -15.3602      1.00000
     51     -14.4574      1.00000
     52     -14.4477      1.00000
     53     -14.4252      1.00000
     54     -14.3764      1.00000
     55     -14.3699      1.00000
     56     -14.3198      1.00000
     57     -14.2305      1.00000
     58     -14.2257      1.00000
     59     -14.2137      1.00000
     60     -14.1554      1.00000
     61     -14.1436      1.00000
     62     -13.8300      1.00000
     63     -13.6903      1.00000
     64     -13.6363      1.00000
     65     -13.6358      1.00000
     66     -13.5249      1.00000
     67     -13.5223      1.00000
     68     -13.3103      1.00000
     69     -12.9756      1.00000
     70     -12.9574      1.00000
     71     -12.9487      1.00000
     72     -12.9288      1.00000
     73     -12.9153      1.00000
     74     -12.9132      1.00000
     75     -12.9060      1.00000
     76     -12.9038      1.00000
     77     -12.8988      1.00000
     78     -12.7886      1.00000
     79     -12.6904      1.00000
     80     -12.4150      1.00000
     81     -12.3537      1.00000
     82     -12.1905      1.00000
     83     -12.1904      1.00000
     84     -12.0851      1.00000
     85     -12.0650      1.00000
     86     -11.6046      1.00000
     87     -11.5134      1.00000
     88     -11.4569      1.00000
     89     -11.4343      1.00000
     90     -11.3528      1.00000
     91     -11.3022      1.00000
     92     -10.8333      1.00000
     93     -10.7991      1.00000
     94     -10.6426      1.00000
     95     -10.6280      1.00000
     96     -10.5735      1.00000
     97     -10.5718      1.00000
     98     -10.5465      1.00000
     99     -10.4079      1.00000
    100     -10.3718      1.00000
    101     -10.2814      1.00000
    102     -10.2684      1.00000
    103     -10.2447      1.00000
    104     -10.2238      1.00000
    105     -10.2083      1.00000
    106     -10.1993      1.00000
    107     -10.1739      1.00000
    108     -10.1385      1.00000
    109     -10.1364      1.00000
    110     -10.1174      1.00000
    111     -10.1143      1.00000
    112     -10.1078      1.00000
    113     -10.1017      1.00000
    114     -10.1016      1.00000
    115     -10.0370      1.00000
    116     -10.0315      1.00000
    117     -10.0195      1.00000
    118      -9.9988      1.00000
    119      -9.9576      1.00000
    120      -9.8678      1.00000
    121      -9.7365      1.00000
    122      -9.6777      1.00000
    123      -9.4489      1.00000
    124      -9.4165      1.00000
    125      -9.3819      1.00000
    126      -9.3796      1.00000
    127      -9.3685      1.00000
    128      -9.1716      1.00000
    129      -9.0312      1.00000
    130      -9.0056      1.00000
    131      -8.9623      1.00000
    132      -8.9458      1.00000
    133      -8.9020      1.00000
    134      -8.7874      1.00000
    135      -8.7725      1.00000
    136      -8.7617      1.00000
    137      -8.6838      1.00000
    138      -8.6613      1.00000
    139      -8.5951      1.00000
    140      -8.5659      1.00000
    141      -8.5644      1.00000
    142      -8.5539      1.00000
    143      -8.5521      1.00000
    144      -8.5420      1.00000
    145      -8.5245      1.00000
    146      -8.4724      1.00000
    147      -8.4203      1.00000
    148      -8.3712      1.00000
    149      -8.3542      1.00000
    150      -8.3004      1.00000
    151      -8.2981      1.00000
    152      -8.2681      1.00000
    153      -8.1510      1.00000
    154      -8.1069      1.00000
    155      -8.0833      1.00000
    156      -8.0464      1.00000
    157      -7.9787      1.00000
    158      -7.5663      1.00000
    159      -7.4048      1.00000
    160      -7.3083      1.00000
    161      -7.2696      1.00000
    162      -7.2439      1.00000
    163      -7.2415      1.00000
    164      -7.1912      1.00000
