
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2149      1.00000
      2     -23.8894      1.00000
      3     -23.7797      1.00000
      4     -23.7318      1.00000
      5     -23.6573      1.00000
      6     -23.5034      1.00000
      7     -23.2749      1.00000
      8     -22.9710      1.00000
      9     -22.9046      1.00000
     10     -22.8411      1.00000
     11     -22.8177      1.00000
     12     -22.7731      1.00000
     13     -22.6913      1.00000
     14     -22.5077      1.00000
     15     -22.4649      1.00000
     16     -22.3687      1.00000
     17     -22.2925      1.00000
     18     -22.1846      1.00000
     19     -21.8915      1.00000
     20     -21.6604      1.00000
     21     -21.5636      1.00000
     22     -21.5451      1.00000
     23     -21.5298      1.00000
     24     -21.4605      1.00000
     25     -21.4498      1.00000
     26     -21.3697      1.00000
     27     -21.3445      1.00000
     28     -21.3081      1.00000
     29     -21.2350      1.00000
     30     -21.2249      1.00000
     31     -21.1156      1.00000
     32     -21.0220      1.00000
     33     -20.9521      1.00000
     34     -20.8318      1.00000
     35     -20.8192      1.00000
     36     -20.7515      1.00000
     37     -20.6647      1.00000
     38     -20.6079      1.00000
     39     -20.5272      1.00000
     40     -20.4858      1.00000
     41     -20.4668      1.00000
     42     -20.3913      1.00000
     43     -20.3415      1.00000
     44     -20.2717      1.00000
     45     -20.1766      1.00000
     46     -20.1231      1.00000
     47     -19.8382      1.00000
     48     -19.5762      1.00000
     49     -17.3492      1.00000
     50     -14.9265      1.00000
     51     -14.2962      1.00000
     52     -14.1820      1.00000
     53     -14.1528      1.00000
     54     -14.1411      1.00000
     55     -14.1025      1.00000
     56     -14.0268      1.00000
     57     -13.9174      1.00000
     58     -13.9024      1.00000
     59     -13.7839      1.00000
     60     -13.6798      1.00000
     61     -13.5176      1.00000
     62     -13.4031      1.00000
     63     -13.3893      1.00000
     64     -13.2919      1.00000
     65     -13.2210      1.00000
     66     -13.1726      1.00000
     67     -13.1453      1.00000
     68     -12.7804      1.00000
     69     -12.6973      1.00000
     70     -12.6202      1.00000
     71     -12.6001      1.00000
     72     -12.5844      1.00000
     73     -12.5445      1.00000
     74     -12.5017      1.00000
     75     -12.4253      1.00000
     76     -12.3992      1.00000
     77     -12.3125      1.00000
     78     -12.2353      1.00000
     79     -12.0393      1.00000
     80     -11.9254      1.00000
     81     -11.8548      1.00000
     82     -11.6833      1.00000
     83     -11.6557      1.00000
     84     -11.5171      1.00000
     85     -11.3358      1.00000
     86     -11.0572      1.00000
     87     -11.0403      1.00000
     88     -10.9663      1.00000
     89     -10.9057      1.00000
     90     -10.8313      1.00000
     91     -10.5173      1.00000
     92     -10.4296      1.00000
     93     -10.4036      1.00000
     94     -10.2877      1.00000
     95     -10.2791      1.00000
     96     -10.2450      1.00000
     97     -10.2222      1.00000
     98     -10.1428      1.00000
     99     -10.0433      1.00000
    100      -9.9555      1.00000
    101      -9.9536      1.00000
    102      -9.9044      1.00000
    103      -9.9003      1.00000
    104      -9.8975      1.00000
    105      -9.8541      1.00000
    106      -9.8379      1.00000
    107      -9.8199      1.00000
    108      -9.7769      1.00000
    109      -9.7525      1.00000
    110      -9.7104      1.00000
    111      -9.6969      1.00000
    112      -9.6428      1.00000
    113      -9.6067      1.00000
    114      -9.5960      1.00000
    115      -9.5865      1.00000
    116      -9.5452      1.00000
    117      -9.5105      1.00000
    118      -9.4096      1.00000
    119      -9.2789      1.00000
    120      -9.2774      1.00000
    121      -9.1964      1.00000
    122      -9.1536      1.00000
    123      -9.0847      1.00000
    124      -9.0382      1.00000
    125      -8.7699      1.00000
    126      -8.7577      1.00000
    127      -8.6831      1.00000
    128      -8.6371      1.00000
    129      -8.6263      1.00000
    130      -8.5957      1.00000
    131      -8.5764      1.00000
    132      -8.5215      1.00000
    133      -8.4858      1.00000
    134      -8.4751      1.00000
    135      -8.3956      1.00000
    136      -8.3095      1.00000
    137      -8.2865      1.00000
    138      -8.2723      1.00000
    139      -8.2113      1.00000
    140      -8.1564      1.00000
    141      -8.1093      1.00000
    142      -8.0748      1.00000
    143      -8.0318      1.00000
    144      -8.0272      1.00000
    145      -7.9602      1.00000
    146      -7.9224      1.00000
    147      -7.9033      1.00000
    148      -7.8732      1.00000
    149      -7.8287      1.00000
    150      -7.7912      1.00000
    151      -7.7255      1.00000
    152      -7.6494      1.00000
    153      -7.5779      1.00000
    154      -7.4812      1.00000
    155      -7.3901      1.00000
    156      -7.1683      1.00000
    157      -7.0296      1.00000
    158      -6.9301      1.00000
    159      -6.8890      1.00000
    160      -6.7663      1.00000
    161      -6.7546      1.00000
    162      -6.7444      1.00000
    163      -6.7127      1.00000
    164      -6.6970      1.00000
    165      -6.6838      1.00000
    166      -6.6688      1.00000
    167      -6.5648      1.00000
    168      -6.5506      1.00000
    169      -6.5411      1.00000
    170      -6.5161      1.00000
    171      -6.4274      1.00000
    172      -6.3847      1.00000
    173      -6.3667      1.00000
    174      -6.2651      1.00000
    175      -6.0810      1.00000
    176      -6.0152      1.00000
    177      -6.0031      1.00000
    178      -5.9649      1.00000
    179      -5.8830      1.00000
    180      -5.8239      1.00000
    181      -5.7940      1.00000
    182      -5.5831      1.00000
    183      -5.3495      1.00000
    184      -5.2713      1.00000
    185      -5.2415      1.00000
    186      -5.1673      1.00000
    187      -5.0963      1.00000
    188      -5.0866      1.00000
    189      -5.0243      1.00000
    190      -5.0121      1.00000
    191      -4.9256      1.00000
    192      -4.8365      1.00000
    193      -4.6206      1.00000
    194      -4.3721      1.00000
    195      -2.8056      1.00000
    196      -1.0409      1.00000
    197      -0.8901      1.00000
    198       0.6589      0.00000
    199       0.8655      0.00000
    200       1.2635      0.00000
    201       1.3303      0.00000
    202       1.3365      0.00000
    203       1.4524      0.00000
    204       1.4786      0.00000
    205       1.5516      0.00000
    206       1.5574      0.00000
    207       1.5985      0.00000
    208       1.6122      0.00000
    209       1.6423      0.00000
    210       1.6593      0.00000
    211       1.6930      0.00000
    212       1.7083      0.00000
    213       1.7363      0.00000
    214       1.8095      0.00000
    215       1.9042      0.00000
    216       1.9687      0.00000
    217       2.0185      0.00000
    218       2.0551      0.00000
    219       2.0971      0.00000
    220       2.0983      0.00000
    221       2.1016      0.00000
    222       2.1134      0.00000
    223       2.1821      0.00000
    224       2.1877      0.00000
    225       2.1980      0.00000
    226       2.2238      0.00000
    227       2.2530      0.00000
    228       2.2866      0.00000
    229       2.3233      0.00000
    230       2.3280      0.00000
    231       2.3760      0.00000
    232       2.4219      0.00000
    233       2.4943      0.00000
    234       2.5317      0.00000
    235       2.5840      0.00000
    236       2.6679      0.00000
    237       2.6996      0.00000
    238       2.7221      0.00000
    239       2.7356      0.00000
    240       2.7407      0.00000
    241       2.7927      0.00000
    242       2.8800      0.00000
    243       3.0674      0.00000
    244       3.3364      0.00000
    245       3.3466      0.00000
    246       3.3490      0.00000
    247       3.3553      0.00000
    248       3.3677      0.00000
    249       3.3699      0.00000
    250       3.3744      0.00000
    251       3.3909      0.00000
    252       3.4158      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.1598      1.00000
      2     -23.8380      1.00000
      3     -23.7653      1.00000
      4     -23.7017      1.00000
      5     -23.6393      1.00000
      6     -23.4872      1.00000
      7     -23.2276      1.00000
      8     -22.9399      1.00000
      9     -22.8624      1.00000
     10     -22.8212      1.00000
     11     -22.8037      1.00000
     12     -22.7593      1.00000
     13     -22.6790      1.00000
     14     -22.4855      1.00000
     15     -22.4081      1.00000
     16     -22.3485      1.00000
     17     -22.2269      1.00000
     18     -22.1586      1.00000
     19     -21.8000      1.00000
     20     -21.6239      1.00000
     21     -21.5370      1.00000
     22     -21.5241      1.00000
     23     -21.5216      1.00000
     24     -21.4498      1.00000
     25     -21.4435      1.00000
     26     -21.3395      1.00000
     27     -21.2929      1.00000
     28     -21.2346      1.00000
     29     -21.2165      1.00000
     30     -21.2017      1.00000
     31     -21.0778      1.00000
     32     -20.9611      1.00000
     33     -20.8760      1.00000
     34     -20.8111      1.00000
     35     -20.7698      1.00000
     36     -20.7033      1.00000
     37     -20.6170      1.00000
     38     -20.5748      1.00000
     39     -20.4825      1.00000
     40     -20.4751      1.00000
     41     -20.3908      1.00000
     42     -20.3721      1.00000
     43     -20.2651      1.00000
     44     -20.1633      1.00000
     45     -20.1244      1.00000
     46     -19.9507      1.00000
     47     -19.7598      1.00000
     48     -19.4678      1.00000
     49     -17.3641      1.00000
     50     -14.6432      1.00000
     51     -14.2722      1.00000
     52     -14.1584      1.00000
     53     -14.1442      1.00000
     54     -14.1348      1.00000
     55     -14.0852      1.00000
     56     -14.0122      1.00000
     57     -13.9079      1.00000
     58     -13.8899      1.00000
     59     -13.7578      1.00000
     60     -13.6422      1.00000
     61     -13.4944      1.00000
     62     -13.3905      1.00000
     63     -13.3633      1.00000
     64     -13.2738      1.00000
     65     -13.1985      1.00000
     66     -13.1481      1.00000
     67     -13.1187      1.00000
     68     -12.7319      1.00000
     69     -12.6749      1.00000
     70     -12.6069      1.00000
     71     -12.5911      1.00000
     72     -12.5783      1.00000
     73     -12.5319      1.00000
     74     -12.4781      1.00000
     75     -12.4107      1.00000
     76     -12.3516      1.00000
     77     -12.2882      1.00000
     78     -12.1976      1.00000
     79     -12.0125      1.00000
     80     -11.9124      1.00000
     81     -11.8336      1.00000
     82     -11.6403      1.00000
     83     -11.6284      1.00000
     84     -11.4806      1.00000
     85     -11.2796      1.00000
     86     -11.0267      1.00000
     87     -11.0194      1.00000
     88     -10.9233      1.00000
     89     -10.8820      1.00000
     90     -10.8025      1.00000
     91     -10.4702      1.00000
     92     -10.3936      1.00000
     93     -10.3760      1.00000
     94     -10.2724      1.00000
     95     -10.2641      1.00000
     96     -10.2375      1.00000
     97     -10.1995      1.00000
     98     -10.1001      1.00000
     99     -10.0173      1.00000
    100      -9.9252      1.00000
    101      -9.9196      1.00000
    102      -9.8939      1.00000
    103      -9.8887      1.00000
    104      -9.8745      1.00000
    105      -9.8329      1.00000
    106      -9.8075      1.00000
    107      -9.7936      1.00000
    108      -9.7435      1.00000
    109      -9.7067      1.00000
    110      -9.6890      1.00000
    111      -9.6806      1.00000
    112      -9.6184      1.00000
    113      -9.5809      1.00000
    114      -9.5731      1.00000
    115      -9.5671      1.00000
    116      -9.4964      1.00000
    117      -9.4860      1.00000
    118      -9.3709      1.00000
    119      -9.2383      1.00000
    120      -9.2156      1.00000
    121      -9.1705      1.00000
    122      -9.1323      1.00000
    123      -9.0713      1.00000
    124      -9.0312      1.00000
    125      -8.7196      1.00000
    126      -8.7016      1.00000
    127      -8.6455      1.00000
    128      -8.6143      1.00000
    129      -8.5756      1.00000
    130      -8.5342      1.00000
    131      -8.5273      1.00000
    132      -8.4911      1.00000
    133      -8.4512      1.00000
    134      -8.4199      1.00000
    135      -8.3409      1.00000
    136      -8.2860      1.00000
    137      -8.2718      1.00000
    138      -8.2614      1.00000
    139      -8.1727      1.00000
    140      -8.1139      1.00000
    141      -8.0730      1.00000
    142      -8.0462      1.00000
    143      -7.9667      1.00000
    144      -7.9287      1.00000
    145      -7.9257      1.00000
    146      -7.8811      1.00000
    147      -7.8714      1.00000
    148      -7.7977      1.00000
    149      -7.7799      1.00000
    150      -7.7607      1.00000
    151      -7.6916      1.00000
    152      -7.5872      1.00000
    153      -7.5639      1.00000
    154      -7.3883      1.00000
    155      -7.3644      1.00000
    156      -7.0073      1.00000
    157      -6.9963      1.00000
    158      -6.8519      1.00000
    159      -6.8465      1.00000
    160      -6.7471      1.00000
    161      -6.7374      1.00000
    162      -6.7312      1.00000
    163      -6.6957      1.00000
    164      -6.6784      1.00000
    165      -6.6702      1.00000
    166      -6.5891      1.00000
    167      -6.5055      1.00000
    168      -6.4713      1.00000
    169      -6.4515      1.00000
    170      -6.4005      1.00000
    171      -6.3649      1.00000
    172      -6.3005      1.00000
    173      -6.2204      1.00000
    174      -6.1023      1.00000
    175      -5.9705      1.00000
    176      -5.9382      1.00000
    177      -5.9107      1.00000
    178      -5.8520      1.00000
    179      -5.7772      1.00000
    180      -5.7291      1.00000
    181      -5.4936      1.00000
    182      -5.3134      1.00000
    183      -5.2464      1.00000
    184      -5.2270      1.00000
    185      -5.1858      1.00000
    186      -5.1187      1.00000
    187      -5.0652      1.00000
    188      -5.0322      1.00000
    189      -4.9174      1.00000
    190      -4.8731      1.00000
    191      -4.7698      1.00000
    192      -4.4842      1.00000
    193      -4.1171      1.00000
    194      -2.7233      1.00000
    195      -2.3487      0.00000
    196      -0.9401      1.00000
    197       0.6833      0.00000
    198       0.9252      0.00000
    199       1.2021      0.00000
    200       1.2722      0.00000
    201       1.2822      0.00000
    202       1.3856      0.00000
    203       1.4816      0.00000
    204       1.5166      0.00000
    205       1.5488      0.00000
    206       1.5818      0.00000
    207       1.6185      0.00000
    208       1.6532      0.00000
    209       1.6640      0.00000
    210       1.6971      0.00000
    211       1.7108      0.00000
    212       1.7464      0.00000
    213       1.8215      0.00000
    214       1.8686      0.00000
    215       1.9198      0.00000
    216       1.9763      0.00000
    217       2.0261      0.00000
    218       2.0352      0.00000
    219       2.0501      0.00000
    220       2.0862      0.00000
    221       2.1009      0.00000
    222       2.1117      0.00000
    223       2.1239      0.00000
    224       2.1570      0.00000
    225       2.1912      0.00000
    226       2.2473      0.00000
    227       2.2660      0.00000
    228       2.3365      0.00000
    229       2.3426      0.00000
    230       2.3457      0.00000
    231       2.4261      0.00000
    232       2.4500      0.00000
    233       2.5479      0.00000
    234       2.6083      0.00000
    235       2.6874      0.00000
    236       2.7056      0.00000
    237       2.7191      0.00000
    238       2.7253      0.00000
    239       2.7400      0.00000
    240       2.7669      0.00000
    241       2.8364      0.00000
    242       2.9418      0.00000
    243       3.1307      0.00000
    244       3.3566      0.00000
    245       3.3606      0.00000
    246       3.3723      0.00000
    247       3.3806      0.00000
    248       3.3862      0.00000
    249       3.3987      0.00000
    250       3.4071      0.00000
    251       3.4141      0.00000
    252       3.4293      0.00000

