
 Fermi energy:        -0.6791602188

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0179      1.00000
      2     -23.6865      1.00000
      3     -23.6679      1.00000
      4     -23.5954      1.00000
      5     -23.5478      1.00000
      6     -23.4343      1.00000
      7     -23.2075      1.00000
      8     -22.8006      1.00000
      9     -22.7775      1.00000
     10     -22.7246      1.00000
     11     -22.7034      1.00000
     12     -22.6840      1.00000
     13     -22.6345      1.00000
     14     -22.3883      1.00000
     15     -22.3656      1.00000
     16     -22.2804      1.00000
     17     -22.2167      1.00000
     18     -22.1417      1.00000
     19     -21.8495      1.00000
     20     -21.4601      1.00000
     21     -21.4286      1.00000
     22     -21.4134      1.00000
     23     -21.3942      1.00000
     24     -21.3885      1.00000
     25     -21.3773      1.00000
     26     -21.2754      1.00000
     27     -21.2258      1.00000
     28     -21.1732      1.00000
     29     -21.1638      1.00000
     30     -21.1114      1.00000
     31     -21.0618      1.00000
     32     -20.8815      1.00000
     33     -20.8431      1.00000
     34     -20.8144      1.00000
     35     -20.7149      1.00000
     36     -20.6998      1.00000
     37     -20.4794      1.00000
     38     -20.4480      1.00000
     39     -20.4264      1.00000
     40     -20.3959      1.00000
     41     -20.3554      1.00000
     42     -20.3131      1.00000
     43     -20.2691      1.00000
     44     -20.1827      1.00000
     45     -20.0801      1.00000
     46     -19.8687      1.00000
     47     -19.8139      1.00000
     48     -19.4699      1.00000
     49     -18.2435      1.00000
     50     -14.7373      1.00000
     51     -14.0823      1.00000
     52     -14.0755      1.00000
     53     -14.0567      1.00000
     54     -14.0161      1.00000
     55     -14.0017      1.00000
     56     -13.8962      1.00000
     57     -13.8460      1.00000
     58     -13.8024      1.00000
     59     -13.7507      1.00000
     60     -13.5276      1.00000
     61     -13.4346      1.00000
     62     -13.2666      1.00000
     63     -13.2463      1.00000
     64     -13.2143      1.00000
     65     -13.1283      1.00000
     66     -13.0579      1.00000
     67     -13.0130      1.00000
     68     -12.7292      1.00000
     69     -12.5798      1.00000
     70     -12.5466      1.00000
     71     -12.4966      1.00000
     72     -12.4799      1.00000
     73     -12.4563      1.00000
     74     -12.3954      1.00000
     75     -12.3196      1.00000
     76     -12.2924      1.00000
     77     -12.2594      1.00000
     78     -12.1624      1.00000
     79     -11.9979      1.00000
     80     -11.8345      1.00000
     81     -11.7766      1.00000
     82     -11.6057      1.00000
     83     -11.5849      1.00000
     84     -11.5079      1.00000
     85     -11.2347      1.00000
     86     -10.9879      1.00000
     87     -10.9330      1.00000
     88     -10.8506      1.00000
     89     -10.8189      1.00000
     90     -10.7841      1.00000
     91     -10.4304      1.00000
     92     -10.2739      1.00000
     93     -10.2412      1.00000
     94     -10.2032      1.00000
     95     -10.1910      1.00000
     96     -10.1652      1.00000
     97     -10.1334      1.00000
     98     -10.0750      1.00000
     99      -9.8755      1.00000
    100      -9.8468      1.00000
    101      -9.8132      1.00000
    102      -9.8091      1.00000
    103      -9.8066      1.00000
    104      -9.7719      1.00000
    105      -9.7702      1.00000
    106      -9.7586      1.00000
    107      -9.7294      1.00000
    108      -9.7253      1.00000
    109      -9.6414      1.00000
    110      -9.6251      1.00000
    111      -9.6038      1.00000
    112      -9.5524      1.00000
    113      -9.5392      1.00000
    114      -9.5293      1.00000
    115      -9.5203      1.00000
    116      -9.4611      1.00000
    117      -9.4070      1.00000
    118      -9.3283      1.00000
    119      -9.2080      1.00000
    120      -9.1649      1.00000
    121      -9.1069      1.00000
    122      -9.0430      1.00000
    123      -9.0252      1.00000
    124      -8.9834      1.00000
    125      -8.6862      1.00000
    126      -8.5925      1.00000
    127      -8.5748      1.00000
    128      -8.5690      1.00000
    129      -8.5339      1.00000
    130      -8.5060      1.00000
    131      -8.4849      1.00000
    132      -8.4310      1.00000
    133      -8.3983      1.00000
    134      -8.3420      1.00000
    135      -8.2466      1.00000
    136      -8.2148      1.00000
    137      -8.1938      1.00000
    138      -8.1680      1.00000
    139      -8.1062      1.00000
    140      -8.0474      1.00000
    141      -8.0327      1.00000
    142      -8.0067      1.00000
    143      -7.9883      1.00000
    144      -7.9426      1.00000
    145      -7.8900      1.00000
    146      -7.8487      1.00000
    147      -7.8178      1.00000
    148      -7.7898      1.00000
    149      -7.7841      1.00000
    150      -7.6760      1.00000
    151      -7.6054      1.00000
    152      -7.5340      1.00000
    153      -7.5109      1.00000
    154      -7.4443      1.00000
    155      -7.3947      1.00000
    156      -7.0122      1.00000
    157      -6.9627      1.00000
    158      -6.7991      1.00000
    159      -6.7473      1.00000
    160      -6.6558      1.00000
    161      -6.6422      1.00000
    162      -6.6257      1.00000
    163      -6.6152      1.00000
    164      -6.6040      1.00000
    165      -6.5983      1.00000
    166      -6.5426      1.00000
    167      -6.4982      1.00000
    168      -6.4408      1.00000
    169      -6.4390      1.00000
    170      -6.3909      1.00000
    171      -6.3705      1.00000
    172      -6.3464      1.00000
    173      -6.3012      1.00000
    174      -6.1767      1.00000
    175      -6.0481      1.00000
    176      -5.9509      1.00000
    177      -5.9405      1.00000
    178      -5.8912      1.00000
    179      -5.8009      1.00000
    180      -5.7537      1.00000
    181      -5.6939      1.00000
    182      -5.4615      1.00000
    183      -5.1971      1.00000
    184      -5.1663      1.00000
    185      -5.1531      1.00000
