
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.2484      1.00000
      2     -24.0250      1.00000
      3     -23.7061      1.00000
      4     -23.6707      1.00000
      5     -23.6269      1.00000
      6     -23.5072      1.00000
      7     -23.4206      1.00000
      8     -23.0766      1.00000
      9     -22.8059      1.00000
     10     -22.7836      1.00000
     11     -22.7357      1.00000
     12     -22.7190      1.00000
     13     -22.7079      1.00000
     14     -22.5858      1.00000
     15     -22.3970      1.00000
     16     -22.3169      1.00000
     17     -22.3087      1.00000
     18     -22.1487      1.00000
     19     -22.0314      1.00000
     20     -21.5566      1.00000
     21     -21.5015      1.00000
     22     -21.4748      1.00000
     23     -21.4474      1.00000
     24     -21.4456      1.00000
     25     -21.4062      1.00000
     26     -21.3912      1.00000
     27     -21.2880      1.00000
     28     -21.2593      1.00000
     29     -21.1753      1.00000
     30     -21.1235      1.00000
     31     -21.0927      1.00000
     32     -20.9928      1.00000
     33     -20.9260      1.00000
     34     -20.8512      1.00000
     35     -20.8034      1.00000
     36     -20.6752      1.00000
     37     -20.5773      1.00000
     38     -20.5146      1.00000
     39     -20.4880      1.00000
     40     -20.4211      1.00000
     41     -20.3977      1.00000
     42     -20.3727      1.00000
     43     -20.3228      1.00000
     44     -20.2676      1.00000
     45     -20.1831      1.00000
     46     -20.0555      1.00000
     47     -19.7293      1.00000
     48     -18.0241      1.00000
     49     -15.3541      1.00000
     50     -14.1603      1.00000
     51     -14.1158      1.00000
     52     -14.1059      1.00000
     53     -14.0602      1.00000
     54     -14.0503      1.00000
     55     -14.0074      1.00000
     56     -13.9358      1.00000
     57     -13.8720      1.00000
     58     -13.8199      1.00000
     59     -13.6954      1.00000
     60     -13.5366      1.00000
     61     -13.4805      1.00000
     62     -13.3323      1.00000
     63     -13.3146      1.00000
     64     -13.2523      1.00000
     65     -13.1515      1.00000
     66     -13.1262      1.00000
     67     -13.0429      1.00000
     68     -12.7285      1.00000
     69     -12.6141      1.00000
     70     -12.5985      1.00000
     71     -12.5508      1.00000
     72     -12.5470      1.00000
     73     -12.5208      1.00000
     74     -12.4939      1.00000
     75     -12.3999      1.00000
     76     -12.2972      1.00000
     77     -12.2672      1.00000
     78     -11.9933      1.00000
     79     -11.9432      1.00000
     80     -11.8316      1.00000
     81     -11.7858      1.00000
     82     -11.7146      1.00000
     83     -11.6004      1.00000
     84     -11.4702      1.00000
     85     -11.3745      1.00000
     86     -11.0772      1.00000
     87     -11.0049      1.00000
     88     -10.9192      1.00000
     89     -10.8379      1.00000
     90     -10.6114      1.00000
     91     -10.4599      1.00000
     92     -10.3553      1.00000
     93     -10.3202      1.00000
     94     -10.3127      1.00000
     95     -10.2537      1.00000
     96     -10.1791      1.00000
     97     -10.1523      1.00000
     98     -10.1049      1.00000
     99      -9.9948      1.00000
    100      -9.9017      1.00000
    101      -9.8677      1.00000
    102      -9.8549      1.00000
    103      -9.8401      1.00000
    104      -9.8097      1.00000
    105      -9.8033      1.00000
    106      -9.7883      1.00000
    107      -9.7779      1.00000
    108      -9.7641      1.00000
    109      -9.7538      1.00000
    110      -9.7305      1.00000
    111      -9.7146      1.00000
    112      -9.6131      1.00000
    113      -9.5750      1.00000
    114      -9.5644      1.00000
    115      -9.5452      1.00000
    116      -9.5088      1.00000
    117      -9.3985      1.00000
    118      -9.3578      1.00000
    119      -9.2812      1.00000
    120      -9.2256      1.00000
    121      -9.1304      1.00000
    122      -9.0543      1.00000
    123      -9.0168      1.00000
    124      -8.9360      1.00000
    125      -8.8369      1.00000
    126      -8.7877      1.00000
    127      -8.6105      1.00000
    128      -8.5939      1.00000
    129      -8.5293      1.00000
    130      -8.5137      1.00000
    131      -8.5129      1.00000
    132      -8.4825      1.00000
    133      -8.4744      1.00000
    134      -8.3852      1.00000
    135      -8.2972      1.00000
    136      -8.2646      1.00000
    137      -8.2532      1.00000
    138      -8.2435      1.00000
    139      -8.2277      1.00000
    140      -8.1904      1.00000
    141      -8.1113      1.00000
    142      -8.0640      1.00000
    143      -8.0575      1.00000
    144      -8.0328      1.00000
    145      -8.0043      1.00000
    146      -7.9596      1.00000
    147      -7.8862      1.00000
    148      -7.7977      1.00000
    149      -7.7395      1.00000
    150      -7.7036      1.00000
    151      -7.6982      1.00000
    152      -7.6645      1.00000
    153      -7.5590      1.00000
    154      -7.3991      1.00000
    155      -7.2146      1.00000
    156      -7.0546      1.00000
    157      -6.9280      1.00000
    158      -6.8596      1.00000
    159      -6.8379      1.00000
    160      -6.7123      1.00000
    161      -6.6845      1.00000
    162      -6.6782      1.00000
    163      -6.6663      1.00000
    164      -6.6495      1.00000
    165      -6.6314      1.00000
    166      -6.6254      1.00000
    167      -6.5684      1.00000
    168      -6.5023      1.00000
    169      -6.4789      1.00000
    170      -6.3519      1.00000
    171      -6.2603      1.00000
    172      -6.2488      1.00000
    173      -6.1741      1.00000
    174      -6.1218      1.00000
    175      -6.0533      1.00000
    176      -5.9869      1.00000
    177      -5.9354      1.00000
    178      -5.9034      1.00000
    179      -5.7949      1.00000
    180      -5.6128      1.00000
    181      -5.5683      1.00000
    182      -5.2480      1.00000
    183      -5.2130      1.00000
    184      -5.1682      1.00000
    185      -5.1395      1.00000
    186      -5.0768      1.00000
    187      -5.0602      1.00000
    188      -5.0157      1.00000
    189      -4.9585      1.00000
    190      -4.8928      1.00000
    191      -4.7645      1.00000
    192      -4.6870      1.00000
    193      -4.1363      1.00000
    194      -3.7284      1.00000
    195      -1.6246      1.00000
    196      -0.3838      1.00000
    197       0.7259      0.00000
    198       1.2947      0.00000
    199       1.3393      0.00000
    200       1.3439      0.00000
    201       1.4516      0.00000
    202       1.4592      0.00000
    203       1.5131      0.00000
    204       1.5552      0.00000
    205       1.6042      0.00000
    206       1.6171      0.00000
    207       1.6665      0.00000
    208       1.6741      0.00000
    209       1.7005      0.00000
    210       1.7213      0.00000
    211       1.7718      0.00000
    212       1.8532      0.00000
    213       1.8875      0.00000
    214       1.9609      0.00000
    215       2.0219      0.00000
    216       2.0687      0.00000
    217       2.1007      0.00000
    218       2.1272      0.00000
    219       2.1478      0.00000
    220       2.1534      0.00000
    221       2.1672      0.00000
    222       2.1712      0.00000
    223       2.1790      0.00000
    224       2.2210      0.00000
    225       2.2389      0.00000
    226       2.2675      0.00000
    227       2.2729      0.00000
    228       2.2777      0.00000
    229       2.2802      0.00000
    230       2.3194      0.00000
    231       2.3837      0.00000
    232       2.4211      0.00000
    233       2.4609      0.00000
    234       2.5354      0.00000
    235       2.6769      0.00000
    236       2.7000      0.00000
    237       2.7027      0.00000
    238       2.7069      0.00000
    239       2.7105      0.00000
    240       2.7252      0.00000
    241       3.1622      0.00000
    242       3.2988      0.00000
    243       3.3394      0.00000
    244       3.3434      0.00000
    245       3.3532      0.00000
    246       3.3574      0.00000
    247       3.3595      0.00000
    248       3.3644      0.00000
    249       3.3656      0.00000
    250       3.4226      0.00000
    251       3.4369      0.00000
    252       3.4430      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.8854      1.00000
      2     -24.0203      1.00000
      3     -23.7049      1.00000
      4     -23.6684      1.00000
      5     -23.6250      1.00000
      6     -23.4918      1.00000
      7     -23.4157      1.00000
      8     -23.0559      1.00000
      9     -22.8007      1.00000
     10     -22.7784      1.00000
     11     -22.7314      1.00000
     12     -22.7142      1.00000
     13     -22.7004      1.00000
     14     -22.5774      1.00000
     15     -22.3926      1.00000
     16     -22.3068      1.00000
     17     -22.2956      1.00000
     18     -22.1137      1.00000
     19     -22.0168      1.00000
     20     -21.5269      1.00000
     21     -21.4968      1.00000
     22     -21.4720      1.00000
     23     -21.4453      1.00000
     24     -21.4433      1.00000
     25     -21.4041      1.00000
     26     -21.3881      1.00000
     27     -21.2764      1.00000
     28     -21.2471      1.00000
     29     -21.1667      1.00000
     30     -21.1153      1.00000
     31     -21.0836      1.00000
     32     -20.9830      1.00000
     33     -20.9216      1.00000
     34     -20.8355      1.00000
     35     -20.7814      1.00000
     36     -20.6606      1.00000
     37     -20.5612      1.00000
     38     -20.5099      1.00000
     39     -20.4834      1.00000
     40     -20.4182      1.00000
     41     -20.3925      1.00000
     42     -20.3667      1.00000
     43     -20.3188      1.00000
     44     -20.2590      1.00000
     45     -20.1713      1.00000
     46     -20.0158      1.00000
     47     -19.6811      1.00000
     48     -17.7151      1.00000
     49     -15.0886      1.00000
     50     -14.1574      1.00000
     51     -14.1040      1.00000
     52     -14.0990      1.00000
     53     -14.0520      1.00000
     54     -14.0373      1.00000
     55     -13.9961      1.00000
     56     -13.9041      1.00000
     57     -13.8657      1.00000
     58     -13.8022      1.00000
     59     -13.6520      1.00000
     60     -13.4839      1.00000
     61     -13.4469      1.00000
     62     -13.3195      1.00000
     63     -13.3041      1.00000
     64     -13.2299      1.00000
     65     -13.1205      1.00000
     66     -13.0750      1.00000
     67     -12.9948      1.00000
     68     -12.6991      1.00000
     69     -12.5982      1.00000
     70     -12.5590      1.00000
     71     -12.5432      1.00000
     72     -12.5404      1.00000
     73     -12.4934      1.00000
     74     -12.4799      1.00000
     75     -12.3441      1.00000
     76     -12.2692      1.00000
     77     -12.2478      1.00000
     78     -11.9573      1.00000
