
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.3655      1.00000
      2     -24.3877      1.00000
      3     -24.0847      1.00000
      4     -24.0275      1.00000
      5     -23.9850      1.00000
      6     -23.9822      1.00000
      7     -23.8765      1.00000
      8     -23.6301      1.00000
      9     -23.2617      1.00000
     10     -23.2309      1.00000
     11     -23.1524      1.00000
     12     -23.1100      1.00000
     13     -23.0884      1.00000
     14     -22.9316      1.00000
     15     -22.8763      1.00000
     16     -22.8154      1.00000
     17     -22.7904      1.00000
     18     -22.6958      1.00000
     19     -22.5591      1.00000
     20     -22.1424      1.00000
     21     -21.9520      1.00000
     22     -21.8707      1.00000
     23     -21.8397      1.00000
     24     -21.8227      1.00000
     25     -21.8023      1.00000
     26     -21.7799      1.00000
     27     -21.7693      1.00000
     28     -21.7268      1.00000
     29     -21.6595      1.00000
     30     -21.5657      1.00000
     31     -21.5362      1.00000
     32     -21.4148      1.00000
     33     -21.3477      1.00000
     34     -21.3349      1.00000
     35     -21.2972      1.00000
     36     -21.1824      1.00000
     37     -21.0312      1.00000
     38     -20.9392      1.00000
     39     -20.8789      1.00000
     40     -20.8571      1.00000
     41     -20.8072      1.00000
     42     -20.7616      1.00000
     43     -20.7084      1.00000
     44     -20.6943      1.00000
     45     -20.6602      1.00000
     46     -20.6001      1.00000
     47     -20.4982      1.00000
     48     -19.1293      1.00000
     49     -16.2952      1.00000
     50     -14.6838      1.00000
     51     -14.5761      1.00000
     52     -14.5342      1.00000
     53     -14.4707      1.00000
     54     -14.4353      1.00000
     55     -14.4122      1.00000
     56     -14.3827      1.00000
     57     -14.2988      1.00000
     58     -14.2096      1.00000
     59     -14.1981      1.00000
     60     -14.0764      1.00000
     61     -14.0223      1.00000
     62     -13.8142      1.00000
     63     -13.7514      1.00000
     64     -13.6845      1.00000
     65     -13.6131      1.00000
     66     -13.5525      1.00000
     67     -13.4750      1.00000
     68     -13.2236      1.00000
     69     -13.0690      1.00000
     70     -13.0304      1.00000
     71     -13.0045      1.00000
     72     -12.9619      1.00000
     73     -12.9417      1.00000
     74     -12.9016      1.00000
     75     -12.8920      1.00000
     76     -12.8315      1.00000
     77     -12.7899      1.00000
     78     -12.5766      1.00000
     79     -12.4482      1.00000
     80     -12.2982      1.00000
     81     -12.2190      1.00000
     82     -12.1908      1.00000
     83     -12.0958      1.00000
     84     -11.9793      1.00000
     85     -11.9298      1.00000
     86     -11.5923      1.00000
     87     -11.5015      1.00000
     88     -11.3869      1.00000
     89     -11.3145      1.00000
     90     -11.1520      1.00000
     91     -10.9709      1.00000
     92     -10.8268      1.00000
     93     -10.7818      1.00000
     94     -10.7676      1.00000
     95     -10.7006      1.00000
     96     -10.6046      1.00000
     97     -10.5350      1.00000
     98     -10.5162      1.00000
     99     -10.5009      1.00000
    100     -10.4660      1.00000
    101     -10.3525      1.00000
    102     -10.3376      1.00000
    103     -10.2782      1.00000
    104     -10.2606      1.00000
    105     -10.2372      1.00000
    106     -10.1951      1.00000
    107     -10.1672      1.00000
    108     -10.1536      1.00000
    109     -10.1495      1.00000
    110     -10.1170      1.00000
    111     -10.1149      1.00000
    112     -10.1021      1.00000
    113     -10.0964      1.00000
    114     -10.0585      1.00000
    115     -10.0577      1.00000
    116     -10.0009      1.00000
    117      -9.9667      1.00000
    118      -9.8577      1.00000
    119      -9.7747      1.00000
    120      -9.6534      1.00000
    121      -9.5209      1.00000
    122      -9.5025      1.00000
    123      -9.4205      1.00000
    124      -9.4132      1.00000
    125      -9.3998      1.00000
    126      -9.3155      1.00000
    127      -9.0765      1.00000
    128      -9.0707      1.00000
    129      -9.0668      1.00000
    130      -9.0183      1.00000
    131      -8.9408      1.00000
    132      -8.8815      1.00000
    133      -8.8693      1.00000
    134      -8.8579      1.00000
    135      -8.7497      1.00000
    136      -8.6832      1.00000
    137      -8.6329      1.00000
    138      -8.6288      1.00000
    139      -8.6017      1.00000
    140      -8.5911      1.00000
    141      -8.5544      1.00000
    142      -8.5167      1.00000
    143      -8.5149      1.00000
    144      -8.4948      1.00000
    145      -8.4759      1.00000
    146      -8.4278      1.00000
    147      -8.4155      1.00000
    148      -8.2735      1.00000
    149      -8.2490      1.00000
    150      -8.2467      1.00000
    151      -8.2309      1.00000
    152      -8.1753      1.00000
    153      -8.0986      1.00000
    154      -7.9286      1.00000
    155      -7.6076      1.00000
    156      -7.5037      1.00000
    157      -7.4357      1.00000
    158      -7.4342      1.00000
    159      -7.2820      1.00000
    160      -7.1259      1.00000
    161      -7.1184      1.00000
    162      -7.1027      1.00000
    163      -7.0994      1.00000
    164      -7.0492      1.00000
    165      -7.0159      1.00000
    166      -7.0072      1.00000
    167      -7.0023      1.00000
    168      -6.9799      1.00000
    169      -6.9493      1.00000
    170      -6.8515      1.00000
    171      -6.8284      1.00000
    172      -6.7145      1.00000
    173      -6.6746      1.00000
    174      -6.6190      1.00000
    175      -6.5623      1.00000
    176      -6.4860      1.00000
    177      -6.3528      1.00000
    178      -6.3321      1.00000
    179      -6.2788      1.00000
    180      -6.1472      1.00000
    181      -6.0248      1.00000
    182      -6.0022      1.00000
    183      -5.6683      1.00000
    184      -5.6286      1.00000
    185      -5.5957      1.00000
    186      -5.5630      1.00000
    187      -5.4621      1.00000
    188      -5.4426      1.00000
    189      -5.3538      1.00000
    190      -5.3037      1.00000
    191      -5.2583      1.00000
    192      -5.2105      1.00000
    193      -4.8467      1.00000
    194      -4.6537      1.00000
    195      -2.7845      1.00000
    196      -0.5045      0.00000
    197       0.3729      1.00000
    198       0.9722      0.00000
    199       1.0078      0.00000
    200       1.0361      0.00000
    201       1.0482      0.00000
    202       1.0694      0.00000
    203       1.0780      0.00000
    204       1.1052      0.00000
    205       1.1373      0.00000
    206       1.1916      0.00000
    207       1.2879      0.00000
    208       1.3120      0.00000
    209       1.3484      0.00000
    210       1.3925      0.00000
    211       1.4662      0.00000
    212       1.5153      0.00000
    213       1.5186      0.00000
    214       1.5511      0.00000
    215       1.6133      0.00000
    216       1.6457      0.00000
    217       1.7103      0.00000
    218       1.7488      0.00000
    219       1.7949      0.00000
    220       1.8027      0.00000
    221       1.8176      0.00000
    222       1.8331      0.00000
    223       1.8528      0.00000
    224       1.8686      0.00000
    225       1.8838      0.00000
    226       1.9140      0.00000
    227       1.9349      0.00000
    228       1.9592      0.00000
    229       1.9709      0.00000
    230       1.9835      0.00000
    231       1.9892      0.00000
    232       1.9922      0.00000
    233       2.0118      0.00000
    234       2.1339      0.00000
    235       2.2983      0.00000
    236       2.3670      0.00000
    237       2.3730      0.00000
    238       2.3753      0.00000
    239       2.3825      0.00000
    240       2.4067      0.00000
    241       2.7403      0.00000
    242       2.7612      0.00000
    243       2.9104      0.00000
    244       2.9671      0.00000
    245       2.9746      0.00000
    246       2.9861      0.00000
    247       3.0171      0.00000
    248       3.0521      0.00000
    249       3.0625      0.00000
    250       3.0834      0.00000
    251       3.0914      0.00000
    252       3.1030      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -26.0397      1.00000
      2     -24.3824      1.00000
      3     -24.0743      1.00000
      4     -24.0221      1.00000
      5     -23.9827      1.00000
      6     -23.9782      1.00000
      7     -23.8717      1.00000
      8     -23.6159      1.00000
      9     -23.2528      1.00000
     10     -23.2273      1.00000
     11     -23.1475      1.00000
     12     -23.1025      1.00000
     13     -23.0836      1.00000
     14     -22.9283      1.00000
     15     -22.8680      1.00000
     16     -22.8119      1.00000
     17     -22.7866      1.00000
     18     -22.6856      1.00000
     19     -22.5510      1.00000
     20     -22.1270      1.00000
     21     -21.9419      1.00000
     22     -21.8628      1.00000
     23     -21.8364      1.00000
     24     -21.8197      1.00000
     25     -21.8004      1.00000
     26     -21.7748      1.00000
     27     -21.7675      1.00000
     28     -21.7246      1.00000
     29     -21.6575      1.00000
     30     -21.5607      1.00000
     31     -21.5315      1.00000
     32     -21.4103      1.00000
     33     -21.3447      1.00000
     34     -21.3312      1.00000
     35     -21.2947      1.00000
     36     -21.1732      1.00000
     37     -21.0255      1.00000
     38     -20.9354      1.00000
     39     -20.8765      1.00000
     40     -20.8544      1.00000
     41     -20.8062      1.00000
     42     -20.7601      1.00000
     43     -20.7075      1.00000
     44     -20.6920      1.00000
     45     -20.6585      1.00000
     46     -20.5982      1.00000
     47     -20.4988      1.00000
     48     -18.8361      1.00000
     49     -16.0809      1.00000
     50     -14.6566      1.00000
     51     -14.5710      1.00000
     52     -14.5254      1.00000
     53     -14.4642      1.00000
     54     -14.4284      1.00000
     55     -14.4043      1.00000
     56     -14.3755      1.00000
     57     -14.2905      1.00000
     58     -14.2047      1.00000
     59     -14.1930      1.00000
     60     -14.0682      1.00000
     61     -14.0087      1.00000
     62     -13.8019      1.00000
     63     -13.7463      1.00000
     64     -13.6774      1.00000
     65     -13.6042      1.00000
     66     -13.5463      1.00000
     67     -13.4609      1.00000
     68     -13.2074      1.00000
     69     -13.0584      1.00000
     70     -13.0246      1.00000
     71     -12.9934      1.00000
     72     -12.9583      1.00000
     73     -12.9391      1.00000
     74     -12.8986      1.00000
     75     -12.8839      1.00000
     76     -12.8229      1.00000
     77     -12.7786      1.00000
     78     -12.5686      1.00000
     79     -12.4306      1.00000
     80     -12.2872      1.00000
     81     -12.2164      1.00000
     82     -12.1843      1.00000
     83     -12.0872      1.00000
     84     -11.9562      1.00000
     85     -11.9087      1.00000
     86     -11.5776      1.00000
     87     -11.4934      1.00000
     88     -11.3794      1.00000
     89     -11.3018      1.00000
     90     -11.1439      1.00000
     91     -10.9347      1.00000
     92     -10.7766      1.00000
     93     -10.7572      1.00000
     94     -10.6954      1.00000
     95     -10.6701      1.00000
     96     -10.5922      1.00000
     97     -10.5328      1.00000
     98     -10.5106      1.00000
     99     -10.4550      1.00000
    100     -10.3410      1.00000
    101     -10.3309      1.00000
    102     -10.2757      1.00000
    103     -10.2731      1.00000
    104     -10.2576      1.00000
    105     -10.2347      1.00000
    106     -10.1915      1.00000
    107     -10.1647      1.00000
    108     -10.1478      1.00000
    109     -10.1275      1.00000
    110     -10.1136      1.00000
    111     -10.0959      1.00000
    112     -10.0887      1.00000
    113     -10.0865      1.00000
    114     -10.0529      1.00000
    115      -9.9810      1.00000
    116      -9.9638      1.00000
    117      -9.9355      1.00000
    118      -9.8462      1.00000
    119      -9.7627      1.00000
    120      -9.6431      1.00000
    121      -9.5147      1.00000
    122      -9.4983      1.00000
    123      -9.4118      1.00000
    124      -9.3832      1.00000
    125      -9.3144      1.00000
    126      -9.2043      1.00000
    127      -9.0679      1.00000
    128      -9.0472      1.00000
    129      -9.0378      1.00000
    130      -9.0063      1.00000
    131      -8.9206      1.00000
    132      -8.8596      1.00000
    133      -8.8591      1.00000
    134      -8.7979      1.00000
    135      -8.7375      1.00000
    136      -8.6787      1.00000
    137      -8.6265      1.00000
    138      -8.5998      1.00000
    139      -8.5895      1.00000
    140      -8.5790      1.00000
    141      -8.5525      1.00000
    142      -8.5115      1.00000
    143      -8.4923      1.00000
    144      -8.4874      1.00000
    145      -8.4603      1.00000
    146      -8.4109      1.00000
    147      -8.4094      1.00000
    148      -8.2469      1.00000
    149      -8.2266      1.00000
    150      -8.2183      1.00000
    151      -8.1666      1.00000
    152      -8.1608      1.00000
    153      -8.0954      1.00000
    154      -7.9238      1.00000
    155      -7.6013      1.00000
    156      -7.4893      1.00000
    157      -7.4260      1.00000
    158      -7.2909      1.00000
    159      -7.2798      1.00000
    160      -7.1220      1.00000
    161      -7.0944      1.00000
    162      -7.0904      1.00000
    163      -7.0715      1.00000
    164      -7.0322      1.00000
    165      -7.0066      1.00000
    166      -6.9983      1.00000
    167      -6.9802      1.00000
    168      -6.9714      1.00000
    169      -6.9420      1.00000
    170      -6.8336      1.00000
    171      -6.7761      1.00000
    172      -6.6634      1.00000
    173      -6.6403      1.00000
    174      -6.6069      1.00000
    175      -6.5527      1.00000
    176      -6.4482      1.00000
    177      -6.3426      1.00000
    178      -6.3114      1.00000
    179      -6.2618      1.00000
    180      -6.0473      1.00000
    181      -5.9956      1.00000
    182      -5.9423      1.00000
    183      -5.6483      1.00000
    184      -5.6093      1.00000
    185      -5.5838      1.00000
    186      -5.5497      1.00000
    187      -5.4470      1.00000
    188      -5.4309      1.00000
    189      -5.3339      1.00000
    190      -5.2950      1.00000
    191      -5.2469      1.00000
    192      -5.2030      1.00000
