
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0256      1.00000
      2     -23.6986      1.00000
      3     -23.6601      1.00000
      4     -23.6335      1.00000
      5     -23.5159      1.00000
      6     -23.4305      1.00000
      7     -23.1524      1.00000
      8     -22.7761      1.00000
      9     -22.7715      1.00000
     10     -22.7437      1.00000
     11     -22.7275      1.00000
     12     -22.7275      1.00000
     13     -22.6388      1.00000
     14     -22.3647      1.00000
     15     -22.3262      1.00000
     16     -22.3259      1.00000
     17     -22.2459      1.00000
     18     -22.1027      1.00000
     19     -21.8044      1.00000
     20     -21.4644      1.00000
     21     -21.4542      1.00000
     22     -21.4501      1.00000
     23     -21.4427      1.00000
     24     -21.4150      1.00000
     25     -21.4069      1.00000
     26     -21.2675      1.00000
     27     -21.2380      1.00000
     28     -21.2220      1.00000
     29     -21.1825      1.00000
     30     -21.1526      1.00000
     31     -21.0754      1.00000
     32     -20.9067      1.00000
     33     -20.8776      1.00000
     34     -20.8687      1.00000
     35     -20.7742      1.00000
     36     -20.7009      1.00000
     37     -20.4994      1.00000
     38     -20.4822      1.00000
     39     -20.4422      1.00000
     40     -20.4345      1.00000
     41     -20.3867      1.00000
     42     -20.3497      1.00000
     43     -20.3295      1.00000
     44     -20.2376      1.00000
     45     -20.1947      1.00000
     46     -20.0607      1.00000
     47     -19.7085      1.00000
     48     -19.4548      1.00000
     49     -14.8392      1.00000
     50     -14.1342      1.00000
     51     -14.0825      1.00000
     52     -14.0687      1.00000
     53     -14.0659      1.00000
     54     -14.0417      1.00000
     55     -14.0289      1.00000
     56     -13.8853      1.00000
     57     -13.8743      1.00000
     58     -13.8043      1.00000
     59     -13.6000      1.00000
     60     -13.5265      1.00000
     61     -13.4858      1.00000
     62     -13.3094      1.00000
     63     -13.2795      1.00000
     64     -13.2421      1.00000
     65     -13.1209      1.00000
     66     -13.0878      1.00000
     67     -13.0395      1.00000
     68     -12.5711      1.00000
     69     -12.5643      1.00000
     70     -12.5614      1.00000
     71     -12.5438      1.00000
     72     -12.5313      1.00000
     73     -12.5069      1.00000
     74     -12.4064      1.00000
     75     -12.3188      1.00000
     76     -12.2014      1.00000
     77     -12.1906      1.00000
     78     -12.1388      1.00000
     79     -11.9827      1.00000
     80     -11.8531      1.00000
     81     -11.8371      1.00000
     82     -11.6737      1.00000
     83     -11.5663      1.00000
     84     -11.4949      1.00000
     85     -11.3149      1.00000
     86     -10.9771      1.00000
     87     -10.9277      1.00000
     88     -10.8943      1.00000
     89     -10.8347      1.00000
     90     -10.8275      1.00000
     91     -10.5331      1.00000
     92     -10.3017      1.00000
     93     -10.2755      1.00000
     94     -10.2384      1.00000
     95     -10.2298      1.00000
     96     -10.2142      1.00000
     97     -10.1539      1.00000
     98     -10.1120      1.00000
     99      -9.8548      1.00000
    100      -9.8462      1.00000
    101      -9.8397      1.00000
    102      -9.8328      1.00000
    103      -9.8261      1.00000
    104      -9.7966      1.00000
    105      -9.7948      1.00000
    106      -9.7792      1.00000
    107      -9.7773      1.00000
    108      -9.7127      1.00000
    109      -9.7064      1.00000
    110      -9.6688      1.00000
    111      -9.6369      1.00000
    112      -9.6345      1.00000
    113      -9.6151      1.00000
    114      -9.6146      1.00000
    115      -9.5754      1.00000
    116      -9.5390      1.00000
    117      -9.4918      1.00000
    118      -9.3829      1.00000
    119      -9.2835      1.00000
    120      -9.1996      1.00000
    121      -9.1951      1.00000
    122      -9.0851      1.00000
    123      -9.0842      1.00000
    124      -9.0025      1.00000
    125      -8.7131      1.00000
    126      -8.6146      1.00000
    127      -8.5961      1.00000
    128      -8.5916      1.00000
    129      -8.5464      1.00000
    130      -8.5387      1.00000
    131      -8.5370      1.00000
    132      -8.5074      1.00000
    133      -8.4543      1.00000
    134      -8.4013      1.00000
    135      -8.2999      1.00000
    136      -8.2987      1.00000
    137      -8.2641      1.00000
    138      -8.2434      1.00000
    139      -8.1750      1.00000
    140      -8.1143      1.00000
    141      -8.0754      1.00000
    142      -8.0555      1.00000
    143      -8.0264      1.00000
    144      -8.0118      1.00000
    145      -7.9939      1.00000
    146      -7.9888      1.00000
    147      -7.9351      1.00000
    148      -7.8128      1.00000
    149      -7.7974      1.00000
    150      -7.7444      1.00000
    151      -7.7126      1.00000
    152      -7.7075      1.00000
    153      -7.6898      1.00000
    154      -7.4110      1.00000
    155      -7.2061      1.00000
    156      -7.1027      1.00000
    157      -7.0786      1.00000
    158      -6.8600      1.00000
    159      -6.8418      1.00000
    160      -6.7364      1.00000
    161      -6.6964      1.00000
    162      -6.6826      1.00000
    163      -6.6773      1.00000
    164      -6.6743      1.00000
    165      -6.6534      1.00000
    166      -6.6459      1.00000
    167      -6.5893      1.00000
    168      -6.5144      1.00000
    169      -6.4393      1.00000
    170      -6.4275      1.00000
    171      -6.4235      1.00000
    172      -6.2894      1.00000
    173      -6.2800      1.00000
    174      -6.1889      1.00000
    175      -6.1780      1.00000
    176      -5.9817      1.00000
    177      -5.9042      1.00000
    178      -5.8852      1.00000
    179      -5.8353      1.00000
    180      -5.7069      1.00000
    181      -5.5909      1.00000
    182      -5.4699      1.00000
    183      -5.2448      1.00000
    184      -5.2022      1.00000
    185      -5.1962      1.00000
    186      -5.1121      1.00000
    187      -5.1026      1.00000
    188      -5.0341      1.00000
    189      -4.9058      1.00000
    190      -4.8718      1.00000
    191      -4.8668      1.00000
    192      -4.4226      1.00000
    193      -4.3521      1.00000
    194      -3.4669      1.00000
    195      -3.0867      1.00000
    196      -0.5790      1.00000
    197       0.6785      0.00000
    198       1.2446      0.00000
    199       1.2908      0.00000
    200       1.2911      0.00000
    201       1.4039      0.00000
    202       1.4140      0.00000
    203       1.4725      0.00000
    204       1.5143      0.00000
    205       1.5727      0.00000
    206       1.6380      0.00000
    207       1.6454      0.00000
    208       1.6517      0.00000
    209       1.6707      0.00000
    210       1.6910      0.00000
    211       1.6964      0.00000
    212       1.8338      0.00000
    213       1.8376      0.00000
    214       1.9341      0.00000
    215       1.9440      0.00000
    216       2.0263      0.00000
    217       2.0583      0.00000
    218       2.0693      0.00000
    219       2.1048      0.00000
    220       2.1107      0.00000
    221       2.1137      0.00000
    222       2.1216      0.00000
    223       2.1411      0.00000
    224       2.1747      0.00000
    225       2.1982      0.00000
    226       2.2249      0.00000
    227       2.2279      0.00000
    228       2.2321      0.00000
    229       2.2436      0.00000
    230       2.2475      0.00000
    231       2.3450      0.00000
    232       2.3665      0.00000
    233       2.4122      0.00000
    234       2.4442      0.00000
    235       2.6549      0.00000
    236       2.6561      0.00000
    237       2.6612      0.00000
    238       2.6729      0.00000
    239       2.6825      0.00000
    240       2.6986      0.00000
    241       2.8781      0.00000
    242       3.2198      0.00000
    243       3.2784      0.00000
    244       3.3082      0.00000
    245       3.3092      0.00000
    246       3.3609      0.00000
    247       3.3842      0.00000
    248       3.3861      0.00000
    249       3.3905      0.00000
    250       3.4008      0.00000
    251       3.4207      0.00000
    252       3.4443      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0227      1.00000
      2     -23.6980      1.00000
      3     -23.6582      1.00000
      4     -23.6311      1.00000
      5     -23.5046      1.00000
      6     -23.4222      1.00000
      7     -23.1249      1.00000
      8     -22.7706      1.00000
      9     -22.7654      1.00000
     10     -22.7388      1.00000
     11     -22.7208      1.00000
     12     -22.7169      1.00000
     13     -22.6264      1.00000
     14     -22.3576      1.00000
     15     -22.3159      1.00000
     16     -22.3099      1.00000
     17     -22.2033      1.00000
     18     -22.0733      1.00000
     19     -21.7345      1.00000
     20     -21.4620      1.00000
     21     -21.4497      1.00000
     22     -21.4482      1.00000
     23     -21.4403      1.00000
     24     -21.4114      1.00000
     25     -21.4040      1.00000
     26     -21.2441      1.00000
     27     -21.2214      1.00000
     28     -21.2122      1.00000
     29     -21.1495      1.00000
     30     -21.1341      1.00000
     31     -21.0632      1.00000
     32     -20.8862      1.00000
     33     -20.8617      1.00000
     34     -20.8558      1.00000
     35     -20.7411      1.00000
     36     -20.6826      1.00000
     37     -20.4960      1.00000
     38     -20.4510      1.00000
     39     -20.4385      1.00000
     40     -20.4070      1.00000
     41     -20.3716      1.00000
     42     -20.3302      1.00000
     43     -20.3219      1.00000
     44     -20.2206      1.00000
     45     -20.1654      1.00000
     46     -20.0351      1.00000
     47     -19.3117      1.00000
     48     -19.0134      1.00000
     49     -14.3063      1.00000
     50     -14.1322      1.00000
     51     -14.0797      1.00000
     52     -14.0622      1.00000
     53     -14.0602      1.00000
     54     -14.0330      1.00000
     55     -14.0198      1.00000
     56     -13.8807      1.00000
     57     -13.8649      1.00000
     58     -13.7207      1.00000
     59     -13.5715      1.00000
     60     -13.4911      1.00000
     61     -13.4664      1.00000
     62     -13.3015      1.00000
     63     -13.2588      1.00000
     64     -13.2293      1.00000
     65     -13.0844      1.00000
     66     -13.0582      1.00000
     67     -13.0271      1.00000
     68     -12.5674      1.00000
     69     -12.5587      1.00000
     70     -12.5489      1.00000
     71     -12.5358      1.00000
     72     -12.5212      1.00000
     73     -12.4975      1.00000
     74     -12.3932      1.00000
     75     -12.2725      1.00000
     76     -12.1693      1.00000
     77     -12.1212      1.00000
     78     -12.0677      1.00000
     79     -11.9059      1.00000
     80     -11.8324      1.00000
     81     -11.8293      1.00000
     82     -11.6306      1.00000
     83     -11.5375      1.00000
     84     -11.4273      1.00000
     85     -11.2522      1.00000
     86     -10.9625      1.00000
     87     -10.9021      1.00000
     88     -10.8602      1.00000
     89     -10.7802      1.00000
     90     -10.7688      1.00000
     91     -10.4508      1.00000
     92     -10.2983      1.00000
