
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4248      1.00000
      2     -24.1516      1.00000
      3     -24.0492      1.00000
      4     -24.0026      1.00000
      5     -23.9755      1.00000
      6     -23.9376      1.00000
      7     -23.8052      1.00000
      8     -23.2838      1.00000
      9     -23.2528      1.00000
     10     -23.2440      1.00000
     11     -23.1851      1.00000
     12     -23.0937      1.00000
     13     -23.0060      1.00000
     14     -22.8948      1.00000
     15     -22.8543      1.00000
     16     -22.8335      1.00000
     17     -22.7910      1.00000
     18     -22.6679      1.00000
     19     -22.4211      1.00000
     20     -21.9559      1.00000
     21     -21.8948      1.00000
     22     -21.8684      1.00000
     23     -21.8575      1.00000
     24     -21.8277      1.00000
     25     -21.8018      1.00000
     26     -21.7934      1.00000
     27     -21.7831      1.00000
     28     -21.7570      1.00000
     29     -21.7121      1.00000
     30     -21.5917      1.00000
     31     -21.4802      1.00000
     32     -21.4666      1.00000
     33     -21.3339      1.00000
     34     -21.3167      1.00000
     35     -21.3037      1.00000
     36     -21.1925      1.00000
     37     -21.0283      1.00000
     38     -20.9139      1.00000
     39     -20.9008      1.00000
     40     -20.8807      1.00000
     41     -20.8522      1.00000
     42     -20.7967      1.00000
     43     -20.7758      1.00000
     44     -20.6753      1.00000
     45     -20.6623      1.00000
     46     -20.6346      1.00000
     47     -20.6181      1.00000
     48     -16.6393      1.00000
     49     -14.7249      1.00000
     50     -14.5790      1.00000
     51     -14.5515      1.00000
     52     -14.4760      1.00000
     53     -14.4498      1.00000
     54     -14.4056      1.00000
     55     -14.3764      1.00000
     56     -14.2983      1.00000
     57     -14.2573      1.00000
     58     -14.1925      1.00000
     59     -14.1559      1.00000
     60     -14.0958      1.00000
     61     -13.9209      1.00000
     62     -13.7394      1.00000
     63     -13.6812      1.00000
     64     -13.6586      1.00000
     65     -13.6065      1.00000
     66     -13.4978      1.00000
     67     -13.3772      1.00000
     68     -13.0992      1.00000
     69     -13.0457      1.00000
     70     -12.9980      1.00000
     71     -12.9739      1.00000
     72     -12.9560      1.00000
     73     -12.9418      1.00000
     74     -12.9243      1.00000
     75     -12.8619      1.00000
     76     -12.7481      1.00000
     77     -12.6771      1.00000
     78     -12.5595      1.00000
     79     -12.2548      1.00000
     80     -12.2297      1.00000
     81     -12.1964      1.00000
     82     -12.1545      1.00000
     83     -11.9641      1.00000
     84     -11.9473      1.00000
     85     -11.7733      1.00000
     86     -11.5187      1.00000
     87     -11.4375      1.00000
     88     -11.3293      1.00000
     89     -11.2195      1.00000
     90     -11.0913      1.00000
     91     -10.8196      1.00000
     92     -10.7220      1.00000
     93     -10.6714      1.00000
     94     -10.6705      1.00000
     95     -10.6584      1.00000
     96     -10.6068      1.00000
     97     -10.5313      1.00000
     98     -10.5113      1.00000
     99     -10.3939      1.00000
    100     -10.3138      1.00000
    101     -10.2920      1.00000
    102     -10.2753      1.00000
    103     -10.2379      1.00000
    104     -10.2288      1.00000
    105     -10.2210      1.00000
    106     -10.2074      1.00000
    107     -10.1793      1.00000
    108     -10.1585      1.00000
    109     -10.1444      1.00000
    110     -10.1343      1.00000
    111     -10.1028      1.00000
    112     -10.0826      1.00000
    113     -10.0810      1.00000
    114     -10.0714      1.00000
    115     -10.0459      1.00000
    116      -9.9018      1.00000
    117      -9.8569      1.00000
    118      -9.7757      1.00000
    119      -9.6744      1.00000
    120      -9.5460      1.00000
    121      -9.5226      1.00000
    122      -9.4431      1.00000
    123      -9.4117      1.00000
    124      -9.4031      1.00000
    125      -9.3468      1.00000
    126      -9.1327      1.00000
    127      -9.0524      1.00000
    128      -9.0336      1.00000
    129      -9.0320      1.00000
    130      -8.9798      1.00000
    131      -8.9684      1.00000
    132      -8.8735      1.00000
    133      -8.7641      1.00000
    134      -8.7584      1.00000
    135      -8.6751      1.00000
    136      -8.6594      1.00000
    137      -8.6391      1.00000
    138      -8.6052      1.00000
    139      -8.5504      1.00000
    140      -8.5378      1.00000
    141      -8.5238      1.00000
    142      -8.5092      1.00000
    143      -8.4936      1.00000
    144      -8.4834      1.00000
    145      -8.4767      1.00000
    146      -8.4683      1.00000
    147      -8.4338      1.00000
    148      -8.4142      1.00000
    149      -8.2858      1.00000
    150      -8.2079      1.00000
    151      -8.1771      1.00000
    152      -8.1039      1.00000
    153      -8.0093      1.00000
    154      -7.7719      1.00000
    155      -7.5607      1.00000
    156      -7.4668      1.00000
    157      -7.4111      1.00000
    158      -7.2794      1.00000
    159      -7.1517      1.00000
    160      -7.1176      1.00000
    161      -7.1084      1.00000
    162      -7.0827      1.00000
    163      -7.0576      1.00000
    164      -7.0396      1.00000
    165      -7.0269      1.00000
    166      -7.0174      1.00000
    167      -7.0014      1.00000
    168      -6.9926      1.00000
    169      -6.9786      1.00000
    170      -6.9260      1.00000
    171      -6.7135      1.00000
    172      -6.6473      1.00000
    173      -6.5868      1.00000
    174      -6.5849      1.00000
    175      -6.4274      1.00000
    176      -6.3408      1.00000
    177      -6.3155      1.00000
    178      -6.2925      1.00000
    179      -6.1016      1.00000
    180      -6.0151      1.00000
    181      -5.9207      1.00000
    182      -5.6463      1.00000
    183      -5.6358      1.00000
    184      -5.6121      1.00000
    185      -5.5703      1.00000
    186      -5.4819      1.00000
    187      -5.4793      1.00000
    188      -5.4535      1.00000
    189      -5.3114      1.00000
    190      -5.2948      1.00000
    191      -5.2625      1.00000
    192      -5.2450      1.00000
    193      -4.0067      1.00000
    194      -2.6261      1.00000
    195      -1.0230      0.00000
    196       0.3736      1.00000
    197       1.0413      0.00000
    198       1.0418      0.00000
    199       1.0479      0.00000
    200       1.0533      0.00000
    201       1.0543      0.00000
    202       1.0628      0.00000
    203       1.0981      0.00000
    204       1.1563      0.00000
    205       1.1799      0.00000
    206       1.2450      0.00000
    207       1.2797      0.00000
    208       1.3140      0.00000
    209       1.3636      0.00000
    210       1.4027      0.00000
    211       1.4597      0.00000
    212       1.4916      0.00000
    213       1.5077      0.00000
    214       1.5699      0.00000
    215       1.6437      0.00000
    216       1.6629      0.00000
    217       1.6989      0.00000
    218       1.7372      0.00000
    219       1.8040      0.00000
    220       1.8103      0.00000
    221       1.8147      0.00000
    222       1.8172      0.00000
    223       1.8285      0.00000
    224       1.8912      0.00000
    225       1.9231      0.00000
    226       1.9665      0.00000
    227       1.9685      0.00000
    228       1.9739      0.00000
    229       1.9788      0.00000
    230       1.9820      0.00000
    231       1.9839      0.00000
    232       2.0242      0.00000
    233       2.0307      0.00000
    234       2.1764      0.00000
    235       2.3676      0.00000
    236       2.3741      0.00000
    237       2.3755      0.00000
    238       2.3780      0.00000
    239       2.3941      0.00000
    240       2.4071      0.00000
    241       2.9322      0.00000
    242       2.9517      0.00000
    243       2.9839      0.00000
    244       3.0023      0.00000
    245       3.0140      0.00000
    246       3.0192      0.00000
    247       3.0349      0.00000
    248       3.0611      0.00000
    249       3.0655      0.00000
    250       3.0726      0.00000
    251       3.0920      0.00000
    252       3.1092      0.00000
 Fermi energy:         0.0000000000

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.4184      1.00000
      2     -24.1362      1.00000
      3     -24.0472      1.00000
      4     -23.9976      1.00000
      5     -23.9741      1.00000
      6     -23.9329      1.00000
      7     -23.7861      1.00000
      8     -23.2633      1.00000
      9     -23.2489      1.00000
     10     -23.2395      1.00000
     11     -23.1787      1.00000
     12     -23.0889      1.00000
     13     -22.9990      1.00000
     14     -22.8905      1.00000
     15     -22.8478      1.00000
     16     -22.8235      1.00000
     17     -22.7852      1.00000
     18     -22.6552      1.00000
     19     -22.3978      1.00000
     20     -21.9446      1.00000
     21     -21.8818      1.00000
     22     -21.8564      1.00000
     23     -21.8526      1.00000
     24     -21.8242      1.00000
     25     -21.7994      1.00000
     26     -21.7918      1.00000
     27     -21.7794      1.00000
     28     -21.7504      1.00000
     29     -21.7014      1.00000
     30     -21.5887      1.00000
     31     -21.4724      1.00000
     32     -21.4532      1.00000
     33     -21.3296      1.00000
     34     -21.3140      1.00000
     35     -21.2997      1.00000
     36     -21.1865      1.00000
     37     -21.0131      1.00000
     38     -20.9126      1.00000
     39     -20.8924      1.00000
     40     -20.8786      1.00000
     41     -20.8473      1.00000
     42     -20.7956      1.00000
     43     -20.7713      1.00000
     44     -20.6732      1.00000
     45     -20.6587      1.00000
     46     -20.6326      1.00000
     47     -20.6134      1.00000
     48     -16.5708      1.00000
     49     -14.6808      1.00000
     50     -14.5675      1.00000
     51     -14.5371      1.00000
     52     -14.4687      1.00000
     53     -14.4449      1.00000
     54     -14.3978      1.00000
     55     -14.3606      1.00000
     56     -14.2765      1.00000
     57     -14.2431      1.00000
     58     -14.1847      1.00000
     59     -14.1350      1.00000
     60     -14.0811      1.00000
     61     -13.8900      1.00000
     62     -13.7283      1.00000
     63     -13.6677      1.00000
     64     -13.6313      1.00000
     65     -13.5910      1.00000
     66     -13.4872      1.00000
     67     -13.3243      1.00000
     68     -13.0859      1.00000
     69     -13.0226      1.00000
     70     -12.9931      1.00000
     71     -12.9706      1.00000
     72     -12.9487      1.00000
     73     -12.9375      1.00000
     74     -12.9205      1.00000
     75     -12.8389      1.00000
     76     -12.7266      1.00000
     77     -12.6471      1.00000
     78     -12.5322      1.00000
     79     -12.2422      1.00000
     80     -12.2248      1.00000
     81     -12.1785      1.00000
     82     -12.1366      1.00000
     83     -11.9531      1.00000
     84     -11.9107      1.00000
     85     -11.6992      1.00000
     86     -11.5075      1.00000
     87     -11.4221      1.00000
     88     -11.3156      1.00000
     89     -11.1889      1.00000
     90     -11.0731      1.00000
     91     -10.7942      1.00000
     92     -10.7093      1.00000
     93     -10.6615      1.00000
     94     -10.6542      1.00000
     95     -10.6503      1.00000
     96     -10.5973      1.00000
     97     -10.5093      1.00000
     98     -10.4904      1.00000
     99     -10.3782      1.00000
    100     -10.3056      1.00000
    101     -10.2862      1.00000
    102     -10.2724      1.00000
    103     -10.2335      1.00000
    104     -10.2177      1.00000
    105     -10.2096      1.00000
    106     -10.1999      1.00000
    107     -10.1746      1.00000
    108     -10.1469      1.00000
    109     -10.1390      1.00000
    110     -10.1210      1.00000
    111     -10.0960      1.00000
    112     -10.0767      1.00000
    113     -10.0709      1.00000
    114     -10.0567      1.00000
    115     -10.0397      1.00000
    116      -9.8901      1.00000
    117      -9.8379      1.00000
    118      -9.7510      1.00000
    119      -9.6576      1.00000
    120      -9.5244      1.00000
    121      -9.5135      1.00000
    122      -9.4182      1.00000
    123      -9.4095      1.00000
    124      -9.4003      1.00000
    125      -9.3202      1.00000
    126      -9.1166      1.00000
    127      -9.0395      1.00000
    128      -9.0299      1.00000
    129      -9.0263      1.00000
    130      -8.9730      1.00000
    131      -8.9544      1.00000
    132      -8.8674      1.00000
    133      -8.7480      1.00000
    134      -8.7382      1.00000
    135      -8.6592      1.00000
    136      -8.6522      1.00000
    137      -8.6367      1.00000
    138      -8.5647      1.00000
    139      -8.5353      1.00000
    140      -8.5229      1.00000
    141      -8.5184      1.00000
    142      -8.4958      1.00000
    143      -8.4901      1.00000
    144      -8.4669      1.00000
    145      -8.4620      1.00000
    146      -8.4399      1.00000
    147      -8.4277      1.00000
    148      -8.3613      1.00000
    149      -8.2776      1.00000
    150      -8.1989      1.00000
    151      -8.1642      1.00000
    152      -8.0927      1.00000
    153      -7.9841      1.00000
    154      -7.7297      1.00000
    155      -7.5483      1.00000
    156      -7.4558      1.00000
    157      -7.3566      1.00000
    158      -7.2631      1.00000
    159      -7.1376      1.00000
    160      -7.1046      1.00000
    161      -7.0757      1.00000
    162      -7.0747      1.00000
    163      -7.0566      1.00000
    164      -7.0360      1.00000
    165      -7.0231      1.00000
    166      -7.0143      1.00000
    167      -6.9990      1.00000
    168      -6.9897      1.00000
    169      -6.9669      1.00000
    170      -6.9188      1.00000
    171      -6.7102      1.00000
    172      -6.6395      1.00000
    173      -6.5748      1.00000
    174      -6.5643      1.00000
    175      -6.4259      1.00000
    176      -6.3392      1.00000
    177      -6.3083      1.00000
    178      -6.2887      1.00000
    179      -6.0957      1.00000
    180      -5.9106      1.00000
    181      -5.8801      1.00000
    182      -5.6479      1.00000
    183      -5.6349      1.00000
    184      -5.6108      1.00000
    185      -5.5674      1.00000
    186      -5.4777      1.00000
    187      -5.4521      1.00000
    188      -5.4241      1.00000
    189      -5.3086      1.00000
    190      -5.2919      1.00000
    191      -5.2606      1.00000
    192      -5.2422      1.00000
    193      -3.9893      1.00000
    194      -0.8896      0.00000
    195       0.3950      0.00000
    196       0.8321      0.00000
    197       1.0434      0.00000
    198       1.0573      0.00000
    199       1.0579      0.00000
    200       1.0592      0.00000
    201       1.0662      0.00000
    202       1.1326      0.00000
    203       1.1549      0.00000
    204       1.1886      0.00000
    205       1.2369      0.00000
    206       1.2859      0.00000
    207       1.2939      0.00000
    208       1.3120      0.00000
    209       1.3937      0.00000
    210       1.4147      0.00000
    211       1.4822      0.00000
    212       1.5149      0.00000
    213       1.5735      0.00000
    214       1.5924      0.00000
    215       1.6516      0.00000
    216       1.6872      0.00000
    217       1.7222      0.00000
    218       1.7840      0.00000
    219       1.8088      0.00000
    220       1.8185      0.00000
    221       1.8206      0.00000
    222       1.8222      0.00000
    223       1.8296      0.00000
    224       1.8748      0.00000
    225       1.9309      0.00000
    226       1.9340      0.00000
    227       1.9463      0.00000
    228       1.9496      0.00000
    229       1.9551      0.00000
    230       1.9626      0.00000
    231       1.9849      0.00000
    232       2.0062      0.00000
    233       2.0450      0.00000
    234       2.2543      0.00000
    235       2.3483      0.00000
    236       2.3528      0.00000
    237       2.3562      0.00000
    238       2.3571      0.00000
    239       2.3677      0.00000
    240       2.3988      0.00000
    241       2.9355      0.00000
    242       2.9703      0.00000
    243       2.9828      0.00000
    244       2.9892      0.00000
    245       2.9930      0.00000
    246       3.0035      0.00000
    247       3.0282      0.00000
    248       3.0341      0.00000
    249       3.0366      0.00000
    250       3.0598      0.00000
    251       3.0712      0.00000
    252       3.0799      0.00000

