
 Fermi energy:        -0.1794460140

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0157      1.00000
      2     -23.6929      1.00000
      3     -23.6595      1.00000
      4     -23.5914      1.00000
      5     -23.5256      1.00000
      6     -23.3789      1.00000
      7     -23.1247      1.00000
      8     -22.7892      1.00000
      9     -22.7766      1.00000
     10     -22.7195      1.00000
     11     -22.7057      1.00000
     12     -22.6605      1.00000
     13     -22.5989      1.00000
     14     -22.3718      1.00000
     15     -22.3251      1.00000
     16     -22.2623      1.00000
     17     -22.2071      1.00000
     18     -22.0020      1.00000
     19     -21.7253      1.00000
     20     -21.4778      1.00000
     21     -21.4702      1.00000
     22     -21.4030      1.00000
     23     -21.3907      1.00000
     24     -21.3849      1.00000
     25     -21.3770      1.00000
     26     -21.2332      1.00000
     27     -21.2242      1.00000
     28     -21.2168      1.00000
     29     -21.1365      1.00000
     30     -21.0788      1.00000
     31     -20.9875      1.00000
     32     -20.8900      1.00000
     33     -20.8347      1.00000
     34     -20.8073      1.00000
     35     -20.6915      1.00000
     36     -20.6159      1.00000
     37     -20.4898      1.00000
     38     -20.4608      1.00000
     39     -20.4117      1.00000
     40     -20.3649      1.00000
     41     -20.3621      1.00000
     42     -20.3308      1.00000
     43     -20.2672      1.00000
     44     -20.1818      1.00000
     45     -20.1603      1.00000
     46     -20.0622      1.00000
     47     -19.6806      1.00000
     48     -15.2630      1.00000
     49     -14.1210      1.00000
     50     -14.0979      1.00000
     51     -14.0630      1.00000
     52     -14.0446      1.00000
     53     -14.0184      1.00000
     54     -13.9701      1.00000
     55     -13.8997      1.00000
     56     -13.8371      1.00000
     57     -13.7709      1.00000
     58     -13.6198      1.00000
     59     -13.4999      1.00000
     60     -13.4368      1.00000
     61     -13.3240      1.00000
     62     -13.2689      1.00000
     63     -13.2032      1.00000
     64     -13.1419      1.00000
     65     -13.1018      1.00000
     66     -12.9854      1.00000
     67     -12.7768      1.00000
     68     -12.5700      1.00000
     69     -12.5404      1.00000
     70     -12.5100      1.00000
     71     -12.5086      1.00000
     72     -12.5046      1.00000
     73     -12.4609      1.00000
     74     -12.3832      1.00000
     75     -12.2209      1.00000
     76     -12.1086      1.00000
     77     -12.0851      1.00000
     78     -11.9220      1.00000
     79     -11.7971      1.00000
     80     -11.7574      1.00000
     81     -11.5980      1.00000
     82     -11.5475      1.00000
     83     -11.3157      1.00000
     84     -11.2995      1.00000
     85     -11.1517      1.00000
     86     -10.9555      1.00000
     87     -10.8636      1.00000
     88     -10.7298      1.00000
     89     -10.6534      1.00000
     90     -10.5010      1.00000
     91     -10.3172      1.00000
     92     -10.2812      1.00000
     93     -10.2453      1.00000
     94     -10.1994      1.00000
     95     -10.1834      1.00000
     96     -10.1329      1.00000
     97     -10.0668      1.00000
     98     -10.0071      1.00000
     99      -9.8711      1.00000
    100      -9.8374      1.00000
    101      -9.8199      1.00000
    102      -9.8186      1.00000
    103      -9.7886      1.00000
    104      -9.7833      1.00000
    105      -9.7419      1.00000
    106      -9.7253      1.00000
    107      -9.7103      1.00000
    108      -9.6741      1.00000
    109      -9.6497      1.00000
    110      -9.6392      1.00000
    111      -9.5765      1.00000
    112      -9.5400      1.00000
    113      -9.4969      1.00000
    114      -9.4951      1.00000
    115      -9.4365      1.00000
    116      -9.2815      1.00000
    117      -9.2180      1.00000
    118      -9.1721      1.00000
    119      -9.1464      1.00000
    120      -9.1178      1.00000
    121      -9.0100      1.00000
    122      -8.9860      1.00000
    123      -8.9681      1.00000
    124      -8.7583      1.00000
    125      -8.6665      1.00000
    126      -8.5831      1.00000
    127      -8.5755      1.00000
    128      -8.5293      1.00000
    129      -8.5176      1.00000
    130      -8.4631      1.00000
    131      -8.4520      1.00000
    132      -8.3803      1.00000
    133      -8.3373      1.00000
    134      -8.2381      1.00000
    135      -8.2084      1.00000
    136      -8.1843      1.00000
    137      -8.1707      1.00000
    138      -8.1488      1.00000
    139      -8.0664      1.00000
    140      -8.0322      1.00000
    141      -8.0270      1.00000
    142      -7.9885      1.00000
    143      -7.9373      1.00000
    144      -7.9072      1.00000
    145      -7.8917      1.00000
    146      -7.8770      1.00000
    147      -7.8401      1.00000
    148      -7.6898      1.00000
    149      -7.6734      1.00000
    150      -7.6422      1.00000
    151      -7.6167      1.00000
    152      -7.4890      1.00000
    153      -7.3416      1.00000
    154      -7.1701      1.00000
    155      -7.0884      1.00000
    156      -6.8857      1.00000
    157      -6.7961      1.00000
    158      -6.7206      1.00000
    159      -6.6882      1.00000
    160      -6.6837      1.00000
    161      -6.6446      1.00000
    162      -6.6315      1.00000
    163      -6.6223      1.00000
    164      -6.6180      1.00000
    165      -6.6107      1.00000
    166      -6.4432      1.00000
    167      -6.4196      1.00000
    168      -6.4169      1.00000
    169      -6.3540      1.00000
    170      -6.3351      1.00000
    171      -6.2275      1.00000
    172      -6.1190      1.00000
    173      -6.1120      1.00000
    174      -5.9296      1.00000
    175      -5.9013      1.00000
    176      -5.8666      1.00000
    177      -5.8440      1.00000
    178      -5.7340      1.00000
    179      -5.5801      1.00000
    180      -5.3811      1.00000
    181      -5.2034      1.00000
    182      -5.1893      1.00000
    183      -5.1194      1.00000
    184      -5.0731      1.00000
    185      -5.0213      1.00000
    186      -4.9552      1.00000
    187      -4.8639      1.00000
    188      -4.8339      1.00000
    189      -4.7753      1.00000
    190      -4.4719      1.00000
    191      -4.3996      1.00000
    192      -4.2154      1.00000
    193      -2.8042      1.00000
    194      -1.1675      1.00000
    195      -0.4285      1.00000
    196       0.9105      0.00000
    197       1.4760      0.00000
    198       1.5192      0.00000
    199       1.5298      0.00000
    200       1.6457      0.00000
    201       1.6630      0.00000
    202       1.6699      0.00000
    203       1.6993      0.00000
    204       1.7103      0.00000
    205       1.7218      0.00000
    206       1.7294      0.00000
    207       1.7542      0.00000
    208       1.7736      0.00000
    209       1.7773      0.00000
    210       1.8778      0.00000
    211       1.9049      0.00000
    212       2.0018      0.00000
    213       2.0205      0.00000
    214       2.0511      0.00000
    215       2.1411      0.00000
    216       2.1641      0.00000
    217       2.2086      0.00000
    218       2.2467      0.00000
    219       2.2746      0.00000
    220       2.3115      0.00000
    221       2.3228      0.00000
    222       2.3343      0.00000
    223       2.3675      0.00000
    224       2.4049      0.00000
    225       2.4405      0.00000
    226       2.5313      0.00000
    227       2.5655      0.00000
    228       2.5923      0.00000
    229       2.5950      0.00000
    230       2.6008      0.00000
    231       2.6685      0.00000
    232       2.6812      0.00000
    233       2.7235      0.00000
    234       2.7542      0.00000
    235       2.8827      0.00000
    236       2.8848      0.00000
    237       2.8970      0.00000
    238       2.9087      0.00000
    239       2.9211      0.00000
    240       2.9617      0.00000
    241       3.4040      0.00000
    242       3.4204      0.00000
    243       3.4575      0.00000
    244       3.4614      0.00000
    245       3.4886      0.00000
    246       3.5137      0.00000
    247       3.5260      0.00000
    248       3.5286      0.00000
    249       3.5343      0.00000
    250       3.5458      0.00000
    251       3.5519      0.00000
    252       3.5648      0.00000
 Fermi energy:        -2.3050701850

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.0136      1.00000
      2     -23.6919      1.00000
      3     -23.6583      1.00000
      4     -23.5896      1.00000
      5     -23.5176      1.00000
      6     -23.3744      1.00000
      7     -23.1073      1.00000
      8     -22.7867      1.00000
      9     -22.7727      1.00000
     10     -22.7105      1.00000
     11     -22.7026      1.00000
     12     -22.6584      1.00000
     13     -22.5917      1.00000
     14     -22.3658      1.00000
     15     -22.3173      1.00000
     16     -22.2441      1.00000
     17     -22.1942      1.00000
     18     -21.9854      1.00000
     19     -21.6903      1.00000
     20     -21.4771      1.00000
     21     -21.4683      1.00000
     22     -21.4019      1.00000
     23     -21.3890      1.00000
     24     -21.3832      1.00000
     25     -21.3763      1.00000
     26     -21.2237      1.00000
     27     -21.2098      1.00000
     28     -21.2034      1.00000
     29     -21.1291      1.00000
     30     -21.0752      1.00000
     31     -20.9779      1.00000
     32     -20.8816      1.00000
     33     -20.8253      1.00000
     34     -20.7885      1.00000
     35     -20.6814      1.00000
     36     -20.6033      1.00000
     37     -20.4866      1.00000
     38     -20.4586      1.00000
     39     -20.3965      1.00000
     40     -20.3622      1.00000
     41     -20.3584      1.00000
