
 Fermi energy:        -2.9234401425

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.8538      1.00000
      2     -25.1740      1.00000
      3     -24.2787      1.00000
      4     -24.0705      1.00000
      5     -23.9660      1.00000
      6     -23.8915      1.00000
      7     -23.7239      1.00000
      8     -23.6599      1.00000
      9     -23.4453      1.00000
     10     -23.2440      1.00000
     11     -23.2236      1.00000
     12     -23.0996      1.00000
     13     -23.0277      1.00000
     14     -22.9170      1.00000
     15     -22.8130      1.00000
     16     -22.7898      1.00000
     17     -22.7119      1.00000
     18     -22.6214      1.00000
     19     -22.4150      1.00000
     20     -22.3743      1.00000
     21     -22.1935      1.00000
     22     -22.0015      1.00000
     23     -21.8920      1.00000
     24     -21.8734      1.00000
     25     -21.7708      1.00000
     26     -21.7370      1.00000
     27     -21.6841      1.00000
     28     -21.6639      1.00000
     29     -21.6346      1.00000
     30     -21.5303      1.00000
     31     -21.4545      1.00000
     32     -21.3956      1.00000
     33     -21.2763      1.00000
     34     -21.2373      1.00000
     35     -21.2290      1.00000
     36     -21.1585      1.00000
     37     -21.0666      1.00000
     38     -20.9268      1.00000
     39     -20.8835      1.00000
     40     -20.8109      1.00000
     41     -20.7795      1.00000
     42     -20.7003      1.00000
     43     -20.6724      1.00000
     44     -20.5474      1.00000
     45     -20.4936      1.00000
     46     -20.4639      1.00000
     47     -20.2406      1.00000
     48     -19.2507      1.00000
     49     -16.6008      1.00000
     50     -15.8463      1.00000
     51     -15.4182      1.00000
     52     -14.7794      1.00000
     53     -14.5650      1.00000
     54     -14.5146      1.00000
     55     -14.4277      1.00000
     56     -14.3213      1.00000
     57     -14.2847      1.00000
     58     -14.2623      1.00000
     59     -14.2077      1.00000
     60     -14.0973      1.00000
     61     -14.0059      1.00000
     62     -13.9612      1.00000
     63     -13.8269      1.00000
     64     -13.7181      1.00000
     65     -13.6785      1.00000
     66     -13.6587      1.00000
     67     -13.5452      1.00000
     68     -13.2615      1.00000
     69     -13.2340      1.00000
     70     -13.2138      1.00000
     71     -13.0615      1.00000
     72     -12.9758      1.00000
     73     -12.9224      1.00000
     74     -12.9174      1.00000
     75     -12.8323      1.00000
     76     -12.7927      1.00000
     77     -12.7628      1.00000
     78     -12.6164      1.00000
     79     -12.5298      1.00000
     80     -12.4133      1.00000
     81     -12.2641      1.00000
     82     -12.2539      1.00000
     83     -12.1952      1.00000
     84     -11.9632      1.00000
     85     -11.9407      1.00000
     86     -11.6494      1.00000
     87     -11.5858      1.00000
