
 Fermi energy:         0.0000000000

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -25.6155      1.00000
      2     -24.9817      1.00000
      3     -24.5083      1.00000
      4     -24.2073      1.00000
      5     -24.1908      1.00000
      6     -24.1653      1.00000
      7     -24.1372      1.00000
      8     -23.9289      1.00000
      9     -23.6377      1.00000
     10     -23.4613      1.00000
     11     -23.4289      1.00000
     12     -23.4034      1.00000
     13     -23.2975      1.00000
     14     -23.1724      1.00000
     15     -23.0902      1.00000
     16     -23.0800      1.00000
     17     -23.0599      1.00000
     18     -23.0158      1.00000
     19     -22.8403      1.00000
     20     -22.4943      1.00000
     21     -22.2945      1.00000
     22     -22.2880      1.00000
     23     -22.0893      1.00000
     24     -22.0559      1.00000
     25     -22.0165      1.00000
     26     -22.0014      1.00000
     27     -21.9911      1.00000
     28     -21.9790      1.00000
     29     -21.9662      1.00000
     30     -21.9554      1.00000
     31     -21.7600      1.00000
     32     -21.6918      1.00000
     33     -21.6792      1.00000
     34     -21.5771      1.00000
     35     -21.5737      1.00000
     36     -21.5303      1.00000
     37     -21.3462      1.00000
     38     -21.3200      1.00000
     39     -21.1441      1.00000
     40     -21.1199      1.00000
     41     -21.0930      1.00000
     42     -21.0487      1.00000
     43     -20.9762      1.00000
     44     -20.9576      1.00000
     45     -20.9075      1.00000
     46     -20.9024      1.00000
     47     -20.8541      1.00000
     48     -20.8489      1.00000
     49     -19.1682      1.00000
     50     -16.6680      1.00000
     51     -15.3622      1.00000
     52     -14.7795      1.00000
     53     -14.7253      1.00000
     54     -14.6978      1.00000
     55     -14.6064      1.00000
     56     -14.5641      1.00000
     57     -14.5543      1.00000
     58     -14.5370      1.00000
     59     -14.4730      1.00000
     60     -14.4497      1.00000
     61     -14.2481      1.00000
     62     -14.1447      1.00000
     63     -14.0962      1.00000
     64     -14.0057      1.00000
     65     -13.9477      1.00000
     66     -13.8979      1.00000
     67     -13.7985      1.00000
     68     -13.5152      1.00000
     69     -13.4646      1.00000
     70     -13.3947      1.00000
     71     -13.3932      1.00000
     72     -13.2823      1.00000
     73     -13.1896      1.00000
     74     -13.1854      1.00000
     75     -13.1697      1.00000
     76     -13.1513      1.00000
     77     -13.0606      1.00000
     78     -13.0528      1.00000
     79     -12.9221      1.00000
     80     -12.7316      1.00000
     81     -12.5520      1.00000
     82     -12.5220      1.00000
     83     -12.4466      1.00000
