
 Fermi energy:        -1.1518558480

 spin component 1

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.2673      1.00000
      2     -23.9299      1.00000
      3     -23.7587      1.00000
      4     -23.6897      1.00000
      5     -23.5999      1.00000
      6     -23.4746      1.00000
      7     -23.2964      1.00000
      8     -23.0601      1.00000
      9     -22.9468      1.00000
     10     -22.7761      1.00000
     11     -22.7313      1.00000
     12     -22.6726      1.00000
     13     -22.6319      1.00000
     14     -22.5140      1.00000
     15     -22.4382      1.00000
     16     -22.3304      1.00000
     17     -22.1923      1.00000
     18     -22.0697      1.00000
     19     -21.8292      1.00000
     20     -21.6974      1.00000
     21     -21.5135      1.00000
     22     -21.4926      1.00000
     23     -21.4411      1.00000
     24     -21.4123      1.00000
     25     -21.3773      1.00000
     26     -21.3467      1.00000
     27     -21.2538      1.00000
     28     -21.2259      1.00000
     29     -21.1930      1.00000
     30     -21.1150      1.00000
     31     -20.9808      1.00000
     32     -20.8957      1.00000
     33     -20.8775      1.00000
     34     -20.7900      1.00000
     35     -20.7878      1.00000
     36     -20.6320      1.00000
     37     -20.5213      1.00000
     38     -20.4970      1.00000
     39     -20.4689      1.00000
     40     -20.4152      1.00000
     41     -20.3680      1.00000
     42     -20.3086      1.00000
     43     -20.1625      1.00000
     44     -20.0277      1.00000
     45     -19.7535      1.00000
     46     -19.4852      1.00000
     47     -18.0372      1.00000
     48     -17.9079      1.00000
     49     -15.5694      1.00000
     50     -14.3982      1.00000
     51     -14.1324      1.00000
     52     -14.1144      1.00000
     53     -14.0983      1.00000
     54     -14.0004      1.00000
     55     -13.9770      1.00000
     56     -13.9308      1.00000
     57     -13.8670      1.00000
     58     -13.8134      1.00000
     59     -13.6947      1.00000
     60     -13.4770      1.00000
     61     -13.4115      1.00000
     62     -13.3220      1.00000
     63     -13.2641      1.00000
     64     -13.1715      1.00000
     65     -13.1053      1.00000
     66     -13.0248      1.00000
     67     -12.9686      1.00000
     68     -12.7721      1.00000
     69     -12.6326      1.00000
     70     -12.5862      1.00000
     71     -12.5455      1.00000
     72     -12.5022      1.00000
     73     -12.4010      1.00000
     74     -12.3488      1.00000
     75     -12.3111      1.00000
     76     -12.2360      1.00000
     77     -11.9971      1.00000
     78     -11.9765      1.00000
     79     -11.8636      1.00000
     80     -11.8162      1.00000
     81     -11.6746      1.00000
     82     -11.5656      1.00000
     83     -11.4237      1.00000
     84     -11.3386      1.00000
     85     -11.2276      1.00000
     86     -11.0375      1.00000
     87     -10.8790      1.00000
     88     -10.7938      1.00000
     89     -10.7064      1.00000
     90     -10.6454      1.00000
     91     -10.3700      1.00000
     92     -10.3402      1.00000
     93     -10.3062      1.00000
     94     -10.2680      1.00000
     95     -10.2276      1.00000
     96     -10.1563      1.00000
     97     -10.1051      1.00000
     98     -10.0556      1.00000
     99      -9.9438      1.00000
    100      -9.9179      1.00000
    101      -9.8511      1.00000
    102      -9.8491      1.00000
    103      -9.8452      1.00000
    104      -9.8223      1.00000
    105      -9.8020      1.00000
    106      -9.7858      1.00000
    107      -9.7434      1.00000
    108      -9.6991      1.00000
    109      -9.6689      1.00000
    110      -9.6588      1.00000
    111      -9.6358      1.00000
    112      -9.5968      1.00000
    113      -9.5511      1.00000
    114      -9.5084      1.00000
    115      -9.4300      1.00000
    116      -9.3793      1.00000
    117      -9.2827      1.00000
    118      -9.2697      1.00000
    119      -9.2561      1.00000
    120      -9.2312      1.00000
    121      -8.9783      1.00000
    122      -8.9712      1.00000
    123      -8.8534      1.00000
    124      -8.7403      1.00000
    125      -8.7162      1.00000
    126      -8.5799      1.00000
    127      -8.5653      1.00000
    128      -8.5499      1.00000
    129      -8.5476      1.00000
    130      -8.4777      1.00000
    131      -8.4546      1.00000
    132      -8.4015      1.00000
    133      -8.3485      1.00000
    134      -8.3293      1.00000
    135      -8.3072      1.00000
    136      -8.2698      1.00000
    137      -8.2411      1.00000
    138      -8.1384      1.00000
    139      -8.1213      1.00000
    140      -8.0883      1.00000
    141      -8.0758      1.00000
    142      -8.0192      1.00000
    143      -8.0097      1.00000
    144      -7.8650      1.00000
    145      -7.8645      1.00000
    146      -7.8156      1.00000
    147      -7.7690      1.00000
    148      -7.7253      1.00000
    149      -7.6559      1.00000
    150      -7.5349      1.00000
    151      -7.4243      1.00000
    152      -7.3836      1.00000
    153      -7.2768      1.00000
    154      -7.1166      1.00000
    155      -6.9261      1.00000
    156      -6.9133      1.00000
    157      -6.8005      1.00000
    158      -6.7558      1.00000
    159      -6.7454      1.00000
    160      -6.7275      1.00000
    161      -6.6924      1.00000
    162      -6.6901      1.00000
    163      -6.6684      1.00000
    164      -6.6090      1.00000
    165      -6.5662      1.00000
    166      -6.5330      1.00000
    167      -6.4821      1.00000
    168      -6.4108      1.00000
    169      -6.3609      1.00000
    170      -6.2692      1.00000
    171      -6.1562      1.00000
    172      -6.0736      1.00000
    173      -6.0071      1.00000
    174      -5.9314      1.00000
    175      -5.8645      1.00000
    176      -5.8341      1.00000
    177      -5.8011      1.00000
    178      -5.5376      1.00000
    179      -5.4287      1.00000
    180      -5.2864      1.00000
    181      -5.2506      1.00000
    182      -5.1979      1.00000
    183      -5.1538      1.00000
    184      -5.1237      1.00000
    185      -5.0757      1.00000
    186      -4.9709      1.00000
    187      -4.8675      1.00000
    188      -4.6411      1.00000
    189      -4.4046      1.00000
    190      -4.0572      1.00000
    191      -3.1647      1.00000
    192      -3.1145      1.00000
    193      -2.0807      1.00000
    194      -1.4193      1.00000
    195       0.8427      0.00000
    196       0.9765      0.00000
    197       1.1537      0.00000
    198       1.4069      0.00000
    199       1.4658      0.00000
    200       1.4966      0.00000
    201       1.5659      0.00000
    202       1.5913      0.00000
    203       1.6063      0.00000
    204       1.6343      0.00000
    205       1.6493      0.00000
    206       1.6775      0.00000
    207       1.6893      0.00000
    208       1.7104      0.00000
    209       1.7804      0.00000
    210       1.8322      0.00000
    211       1.8466      0.00000
    212       1.9213      0.00000
    213       1.9831      0.00000
    214       2.0099      0.00000
    215       2.0168      0.00000
    216       2.1442      0.00000
    217       2.1864      0.00000
    218       2.2073      0.00000
    219       2.2370      0.00000
    220       2.2593      0.00000
    221       2.2680      0.00000
    222       2.3722      0.00000
    223       2.3948      0.00000
    224       2.4299      0.00000
    225       2.4908      0.00000
    226       2.5380      0.00000
    227       2.5493      0.00000
    228       2.5646      0.00000
    229       2.6112      0.00000
    230       2.6290      0.00000
    231       2.6459      0.00000
    232       2.6973      0.00000
    233       2.7300      0.00000
    234       2.7629      0.00000
    235       2.8369      0.00000
    236       2.8554      0.00000
    237       2.8958      0.00000
    238       2.9110      0.00000
    239       2.9186      0.00000
    240       3.0193      0.00000
    241       3.0981      0.00000
    242       3.1837      0.00000
    243       3.2809      0.00000
    244       3.3440      0.00000
    245       3.3795      0.00000
    246       3.4165      0.00000
    247       3.4662      0.00000
    248       3.4988      0.00000
    249       3.5094      0.00000
    250       3.5156      0.00000
    251       3.5318      0.00000
    252       3.5391      0.00000
 Fermi energy:        -1.7642055250

 spin component 2

 k-point     1 :       0.0000    0.0000    0.0000
  band No.  band energies     occupation 
      1     -24.1530      1.00000
      2     -23.8785      1.00000
      3     -23.7353      1.00000
      4     -23.6830      1.00000
      5     -23.5857      1.00000
      6     -23.4602      1.00000
      7     -23.2704      1.00000
      8     -23.0004      1.00000
      9     -22.9290      1.00000
     10     -22.7707      1.00000
     11     -22.7264      1.00000
     12     -22.6683      1.00000
     13     -22.6262      1.00000
     14     -22.4912      1.00000
